timestamp,open,high,low,close,volume
2020-07-29,341.66,373.55,341.66,373.55,80
2020-07-30,380.39,410.76,380.39,410.76,90
2020-08-02,418.35,451.76,418.35,451.76,230
2020-08-03,460.11,496.55,460.11,496.55,776
2020-08-05,506.42,545.9,506.42,545.9,4464
2020-08-06,572.48,599.81,542.87,545.9,31854
2020-08-09,572.48,572.48,507.94,525.4,9707
2020-08-10,521.61,577.79,520.09,566.4,11652
2020-08-11,555.77,566.4,523.88,545.14,5870
2020-08-13,525.4,570.2,525.4,546.66,7146
2020-08-16,536.03,539.07,516.29,527.68,5753
2020-08-17,537.55,555.77,518.57,545.14,4011
2020-08-18,534.51,539.07,528.44,539.07,2177
2020-08-19,529.2,529.2,521.61,523.88,4465
2020-08-20,533.75,533.75,516.29,526.92,2401
2020-08-23,526.92,542.11,517.05,542.11,4104
2020-08-24,537.55,548.18,532.24,545.9,5291
2020-08-25,546.66,565.64,535.27,544.38,3897
2020-08-26,535.27,548.18,535.27,542.11,4609
2020-08-27,539.07,545.9,533,538.31,2704
2020-08-30,538.31,538.31,517.05,533.75,1698
2020-08-31,535.27,539.83,531.48,534.51,5805
2020-09-02,540.59,549.7,532.24,536.03,4545
2020-09-03,529.2,535.27,527.68,534.51,4522
2020-09-06,561.09,561.09,529.2,533,5536
2020-09-07,531.48,538.31,524.64,538.31,4312
2020-09-08,539.07,544.38,532.24,538.31,5292
2020-09-09,548.94,591.46,541.35,588.42,24756
2020-09-10,617.27,617.27,577.79,593.74,11266
2020-09-13,593.74,593.74,571.72,586.9,12177
2020-09-14,577.03,583.87,559.57,577.03,12353
2020-09-15,569.44,580.83,558.05,567.92,3362
2020-09-16,578.55,589.94,558.05,565.64,5457
2020-09-17,565.64,584.62,561.85,572.48,8153
2020-09-20,583.87,584.62,561.85,562.61,3455
2020-09-21,562.61,565.64,558.81,562.61,2758
2020-09-22,562.61,562.61,550.46,555.77,5803
2020-09-23,547.42,567.16,547.42,561.85,2153
2020-09-24,552.74,561.85,552.74,560.33,3241
2021-01-10,570.96,615.75,570.96,615.75,635
