timestamp,open,high,low,close,volume
2023-03-23,298.8,328.6,298.8,328.6,3220
2023-03-26,335,361.4,335,361.4,10
2023-03-27,368.6,397.5,368.6,397.5,6410
2023-03-28,405.4,437.2,405.4,437.2,5420
2023-03-29,445.9,480.9,445,448,52292
2023-03-30,440.1,450,430.4,437.6,23220
2023-04-02,437.6,440,404,419.1,19656
2023-04-03,411,412,390.2,398,16906
2023-04-04,399,407.9,388,393.6,5547
2023-04-05,390,408.9,388.2,408.9,7492
2023-04-06,403,411,401,407,5440
2023-04-09,400.1,402,390.1,392,5680
2023-04-10,385.1,406,382.7,398.9,5370
2023-04-11,391,399,390,398,3836
2023-04-12,405,417.9,391.1,417.9,6880
2023-04-13,415,434,402.2,434,7351
2023-04-16,425.4,430,400,400,19740
2023-04-17,398,400,392.3,400,3120
2023-04-18,392,398,386,396.5,2600
2023-04-19,395,399.8,392,397,1840
2023-04-20,404.9,404.9,385,394,6555
2023-04-23,386.2,390,375.1,376,4040
2023-04-24,370,380,367.1,378,3151
2023-04-25,370.6,382,360.9,379,7262
2023-04-26,383,385,371.5,376,3490
2023-04-27,380,380,365.2,374,6634
2023-04-30,366.8,375,352,359,10243
2023-05-02,366,369,347.1,369,3222
2023-05-03,369,369,348,358,3370
2023-05-04,351.1,361,346,358,1720
2023-05-07,350.9,350.9,341,347.8,1800
2023-05-08,341,343.3,330.1,337,1890
2023-05-09,335,349,330.1,343,2590
2023-05-10,340.5,351.9,335.1,351.9,1122
2023-05-11,354,354,335.6,335.6,1992
2023-05-14,335.6,342.3,330.3,334,1902
2023-05-15,327.4,337,323,328,1090
2023-05-16,325,335,323,330.1,3350
2023-05-17,325,336,325,335.9,1570
2023-05-18,330.4,351,330.4,350,7120
2023-05-21,350,364,338,345,6066
2023-05-22,351,351.9,332.2,343.5,2604
2023-05-23,340,365,340,365,20052
2023-05-24,365,371.9,359,368.4,5575
2023-05-28,361.6,377.4,353,377.4,15729
2023-05-30,369.9,369.9,348.7,362.9,13364
2023-05-31,356,356,327.5,327.5,13708
2023-06-01,327.5,350,323.6,344.1,5851
2023-06-04,344,362,338.1,361.9,5460
2023-06-05,367,367,338,349.9,10704
2023-06-06,343,351.8,337,346.8,16854
2023-06-07,350,357,338,346,8067
2023-06-08,352.9,354,339,346,6162
2023-06-11,341.5,360.7,341.5,357.3,18836
2023-06-12,357.2,363,351.2,353,6223
2023-06-13,350,367,348.1,360,8622
2023-06-14,360,379,358,366,14791
2023-06-15,358.7,366,355.1,355.2,6210
2023-06-18,355.2,379,355.2,376.6,12019
2023-06-19,376,406,370,397,16499
2023-06-20,397,404.8,381,381,7767
2023-06-21,381,382,360.5,362.6,13984
2023-06-22,369.7,375.3,356.1,356.4,4980
2023-06-25,350.1,374.3,349.2,374.3,7695
2023-06-26,371,376,364.8,365.1,5145
2023-06-27,358,372,358,372,5422
2023-06-28,364.6,364.6,348,355,10242
2023-07-02,348,354,335.8,335.8,5723
2023-07-03,342.5,351.9,336,337,9884
2023-07-04,335,345,335,340,1140
2023-07-05,345.9,346,330,330.4,2815
2023-07-06,324.5,345,324.5,336,3084
2023-07-09,329.4,342.7,329.4,333.1,3575
2023-07-10,328,340,328,330.1,3580
2023-07-11,325.5,339.6,325.5,334.5,2330
2023-07-12,335.9,348.9,330,342,6547
2023-07-13,342,349.9,338.1,338.1,4313
2023-07-16,332.5,337.9,330,330,2350
2023-07-17,330,349.7,326.3,340,2580
2023-07-18,345,345,334.3,335.2,3175
2023-07-19,328.5,341.9,328.5,334,2520
2023-07-20,328.1,347,328.1,339.1,4735
2023-07-23,340.1,354.8,335.4,345,5845
2023-07-24,338.2,360,338.2,356,8818
2023-07-25,363,363,350,353,6120
2023-07-26,360,360,346.1,348.9,2954
2023-07-27,350,354,344,348.9,2985
2023-07-30,345,347,335,344.9,3129
2023-07-31,338.4,347,326.1,332,3940
2023-08-01,338,338,330.7,335,2800
2023-08-02,329.3,341.7,329.1,341.7,4070
2023-08-03,335,341.7,332.2,337,2351
2023-08-06,335,335,327.6,331.9,3037
2023-08-07,325.3,330.1,320,324,4101
2023-08-08,320,328.5,320,320,2110
2023-08-09,315.1,348.5,312,348.5,3085
2023-08-10,341.6,345.5,318.9,331.1,1145
2023-08-13,325,329.9,325,326,1506
2023-08-14,320,329.4,320,324,1300
2023-08-15,320,326.5,315.5,316.1,1525
2023-08-16,311,317,310,310,3484
2023-08-17,304.1,314,304.1,311,1830
2023-08-20,305.1,311.2,304.1,304.3,2140
2023-08-21,300.1,324,296,302.9,2715
2023-08-22,296.9,310,296.9,302.2,1000
2023-08-23,298.2,315,298.2,315,2505
