timestamp,open,high,low,close,volume
2022-09-25,316,347.6,316,347.6,212
2022-09-27,347.6,368.7,347.6,368.7,60
2022-09-28,368.7,398.9,368.7,398.9,41
2022-09-29,406.8,438.7,406.8,438.7,50
2022-10-09,447.4,456.3,447.4,456.3,30
2022-10-10,456.3,501.9,456.3,501.9,90
2022-10-11,511,552,511,552,60
2022-10-12,563,607.2,563,607.2,70
2022-10-13,619.3,667.9,619.3,667.9,50
2022-10-16,681.2,734.6,681.2,734.6,1944
2022-10-17,749,808,749,808,3780
2022-10-19,824.1,888.8,824.1,888.8,6990
2022-10-20,906.5,963,820.2,830.2,42382
2022-10-23,830,830,764.4,767.1,16958
2022-10-31,782.4,782.4,730,731,10764
2022-11-01,731,795,706,778,9803
2022-11-02,777,800,750,785,6290
2022-11-03,780,785,755,759,3880
2022-11-06,759,786,744,783,11612
2022-11-07,790,794,770.1,774,10064
2022-11-08,760.3,777,760.3,765,2826
2022-11-09,764,764,747,747,3832
2022-11-10,743,759,721,730,3358
2022-11-13,740,744,710,720,3485
2022-11-14,710.1,728.9,710.1,724,1880
2022-11-15,724,724,711.3,713.2,2240
2022-11-16,720,725,709.1,713,2109
2022-11-17,725,735,715.4,730.1,1710
2022-11-22,731,732,716.6,724.7,1530
2022-11-23,725,725,716.1,719,1864
2022-11-24,708.3,715,708.3,714,2013
2022-11-27,710.1,738,708,738,4318
2022-11-28,725,737.4,717,724,1905
2022-11-29,710.5,727,710.5,724.9,2189
2022-11-30,711.1,724,711.1,718,1441
2022-12-01,715.5,720,712.1,716.2,2740
2022-12-04,716.2,720,706,715,2645
2022-12-05,710.1,715.9,705,705,3273
2022-12-06,702,710,702,706,1460
2022-12-07,706,710,703.5,705,1425
2022-12-11,693,706,691,693,2157
2022-12-12,681.2,700,681.2,693,1595
2022-12-13,685,700,685,693.1,1235
2022-12-14,706,721,693,700,1775
2022-12-15,714,727,692.4,693,1246
2022-12-18,681,689.5,675,677,2509
2022-12-19,672,685,672,674,1515
2022-12-20,670,685,670,683,1405
