timestamp,open,high,low,close,volume
2012-01-10,2810,2760,2598,2598,277
2012-01-11,2598,2547,2400,2400,195
2012-02-27,2400,2352,2352,2352,98
2012-02-29,2352,2469,2469,2469,430
2012-03-04,2469,2420,2420,2420,1827
2012-03-11,2420,2419,2419,2419,500
2012-03-19,2419,2450,2450,2450,690
2012-03-20,2450,2401,2352,2352,319
2012-03-21,2352,2399,2399,2399,690
2012-03-29,2399,2399,2399,2399,50
2012-04-03,2399,2399,2399,2399,50
2012-04-04,2399,2352,2259,2259,309
2012-04-05,2259,2259,2259,2259,50
2012-04-08,2259,2214,2169,2169,530
2012-04-12,2169,2169,2169,2169,300
2012-04-24,2169,2126,2084,2084,1492
2012-04-25,2084,2100,2100,2100,500
2012-05-10,2100,2058,2017,2017,550
2012-06-20,2017,2049,2049,2049,100
2012-06-26,2049,2050,2050,2050,24
2012-07-31,2050,2010,2000,2000,110
2012-08-13,2000,1961,1961,1961,10
2012-08-23,1961,2000,2000,2000,10
2012-08-26,2000,1960,1921,1921,510
2012-08-27,1921,1883,1883,1883,10
2012-08-28,1883,1846,1846,1846,10
2012-08-29,1846,1810,1810,1810,10
2012-08-30,1810,1774,1705,1705,30
2012-09-12,1705,1773,1739,1773,20
2012-09-17,1773,1808,1808,1808,10
2012-09-18,1808,1772,1772,1772,50
2012-09-19,1772,1807,1807,1807,10
2012-09-20,1807,1800,1800,1800,10
2012-09-23,1800,1800,1799,1800,30
2012-09-27,1800,1830,1830,1830,10
2012-10-07,1830,1829,1829,1829,348
2012-12-17,1829,1793,1793,1793,200
2013-01-22,1793,1758,1758,1758,10
2013-01-23,1758,1793,1793,1793,500
2013-01-31,1793,1828,1828,1828,10
2013-02-04,1828,1864,1864,1864,10
2013-02-05,1864,1901,1901,1901,10
2013-02-06,1901,1939,1939,1939,10
2013-02-19,1939,1901,1901,1901,320
2013-02-21,1901,1863,1825,1825,564
2013-02-26,1825,1790,1790,1790,162
2013-03-05,1790,1760,1760,1760,10
2013-03-06,1760,1725,1725,1725,145
2013-03-11,1725,1695,1695,1695,60
2013-03-13,1695,1720,1720,1720,35
2013-03-14,1720,1686,1686,1686,80
2013-03-17,1686,1670,1670,1670,28
2013-03-20,1670,1637,1637,1637,24
2013-04-01,1637,1650,1650,1650,300
2013-04-09,1650,1640,1640,1640,20
2013-04-22,1640,1670,1670,1670,10
2013-04-23,1670,1672,1672,1672,10
2013-04-25,1672,1730,1700,1730,20
2013-05-21,1730,1764,1764,1764,10
2013-05-23,1764,1799,1799,1799,10
2013-06-23,1799,1833,1833,1833,100
2013-07-08,1833,1742,1742,1742,60
2013-07-16,1742,1742,1742,1742,400
2013-07-23,1742,1776,1776,1776,10
2013-09-11,1776,1776,1776,1776,36
2013-09-22,1776,1741,1741,1741,130
2013-10-06,1741,1741,1741,1741,30
2013-11-28,1741,1755,1755,1755,292
2013-12-10,1755,1730,1730,1730,105
2013-12-18,1730,1764,1764,1764,100
2014-01-05,1764,1763,1729,1763,413
2014-01-06,1763,1763,1728,1728,134
2014-01-13,1728,1750,1749,1750,378
2014-01-19,1750,1715,1715,1715,160
2014-01-22,1715,1759,1749,1759,1000
2014-02-03,1759,1829,1794,1829,623
2014-02-05,1829,1850,1850,1850,350
2014-02-09,1850,1820,1820,1820,250
2014-02-12,1820,1893,1856,1893,613
2014-02-20,1893,1930,1930,1930,306
2014-03-13,1930,1892,1855,1855,40
2014-03-26,1855,1892,1892,1892,150
2014-04-17,1892,1855,1855,1855,50
2014-04-20,1855,1855,1855,1855,637
2014-04-29,1855,1855,1855,1855,10
2014-05-07,1855,1892,1892,1892,10
2014-06-04,1892,1936,1900,1936,185
2014-06-08,1936,1898,1898,1898,244
2014-06-10,1898,1880,1880,1880,408
2014-06-12,1880,1917,1917,1917,227
2014-06-15,1917,1880,1880,1880,152
2014-06-19,1880,1916,1916,1916,80
2014-06-25,1916,1950,1925,1950,301
2014-07-01,1950,1912,1912,1912,107
2014-07-15,1912,1950,1950,1950,10
2014-07-16,1950,1989,1950,1950,85
2014-07-17,1950,1949,1911,1949,127
2014-09-11,1949,1930,1930,1930,50
2014-10-13,1930,1930,1930,1930,100
2014-11-20,1930,1900,1900,1900,85
2014-12-07,1900,1900,1900,1900,95
2014-12-15,1900,1862,1862,1862,20
2015-01-01,1862,1890,1890,1890,50
2015-01-05,1890,1899,1899,1899,10
2015-01-13,1899,1875,1875,1875,121
2015-02-16,1875,1960,1912,1960,915
2015-02-19,1960,1970,1970,1970,100
2015-02-24,1970,1970,1970,1970,121
2015-03-02,1970,2009,2009,2009,300
2015-03-19,2009,2009,2009,2009,96
2015-03-30,2009,2010,2010,2010,760
2015-04-02,2010,1970,1970,1970,100
2015-04-05,1970,2009,2009,2009,10
2015-04-06,2009,2049,2049,2049,10
2015-04-07,2049,2055,2055,2055,500
2015-04-08,2055,2096,2096,2096,100
2015-04-09,2096,2055,2050,2050,48
2015-04-12,2050,2131,2090,2131,56
