timestamp,open,high,low,close,volume
2023-06-08,202.8,223,202.8,223,10
2023-06-11,227.4,245.3,227.4,245.3,2858
2023-06-12,250.2,269.8,250.2,269.8,12422
2023-06-13,275.1,296.7,254.6,296.7,78893
2023-06-14,302.6,326.3,279.3,319,35632
2023-06-15,320,320,300.1,300.3,28590
2023-06-18,299,299,277.2,289.1,49791
2023-06-19,283.5,287,278.4,284.6,17866
2023-06-20,284,284,274,278,13448
2023-06-21,272.5,276,267.3,271,14784
2023-06-22,269,270,261,264,9747
2023-06-25,258.8,270.4,252.1,270,22187
2023-06-26,265,280,260,269,16541
2023-06-27,274.2,274.2,255.1,268,9935
2023-06-28,263,273,256.1,263,8720
2023-07-02,257.8,258,247.4,247.4,11249
2023-07-03,243,252.3,237,237.1,10062
2023-07-04,234,239.8,229.5,230,12012
2023-07-05,226.5,249.9,222,223.5,17941
2023-07-06,219.3,227.9,219.3,224,6690
2023-07-09,224,240.7,218,229,6683
2023-07-10,227,234.6,222.1,227.4,7595
2023-07-11,222.9,230,222.9,228,10400
2023-07-12,224,244,224,240.6,11187
2023-07-13,236,244.9,232.1,236.2,8649
2023-07-16,231.5,232.2,227.2,232.2,5089
2023-07-17,228,238.7,224.6,235,5512
2023-07-18,230.3,244,226,235,7115
2023-07-19,230.3,238,226.3,232,4989
2023-07-20,230,236.6,226,236,12037
2023-07-23,231.5,240.6,231.4,235,5756
2023-07-24,236,243.6,233,236.4,6918
2023-07-25,231.7,239.5,228.6,231,9807
2023-07-26,230,232,226.6,231,5915
2023-07-27,227.1,231,226.4,226.5,3740
2023-07-30,224,226.6,223.3,224.2,4962
2023-07-31,222.1,225.5,222.1,222.6,5047
2023-08-01,227,227,215,218,5789
2023-08-02,218,218,212.2,217,5621
2023-08-03,213,217,212.1,214.1,6941
2023-08-06,209.9,210,206.1,207.5,5060
2023-08-07,203.4,208,203.4,207,6245
2023-08-08,210,214.2,200.1,201.1,5131
2023-08-09,197.3,209,197.3,205,4027
2023-08-10,202,213,202,203.8,4690
2023-08-13,203.8,210,200.3,201.6,10515
2023-08-14,200,208,200,202,4015
2023-08-15,200,202,198.1,198.1,4555
2023-08-16,195,198,192.2,196,6020
2023-08-17,199.9,199.9,188.6,188.9,4100
2023-08-20,186,189,181,182,5320
2023-08-21,179,180,170,172.6,6815
2023-08-22,171,179.5,171,178,5301
2023-08-23,176,191.7,175.1,191.7,4836
2023-08-24,191.7,194.2,182,183.9,4344
2023-08-27,182,182,172,178,2044
2023-08-28,174.5,181,174.5,181,3818
2023-08-29,177.5,180.4,175,178,3730
2023-08-30,175,181.5,172,175,3100
2023-09-03,172,175.8,172,175,2825
2023-09-04,171.5,182,171.5,182,3035
2023-09-05,178.4,181,175.5,176.1,2889
2023-09-07,172.9,180,172.8,179,5225
2023-09-10,177,188.5,176,188,4040
2023-09-11,184.4,204,181,201,10997
2023-09-12,202,210,187.4,197.5,9425
2023-09-13,193.6,212,190,212,6910
2023-09-17,207.9,210,193.1,195,19419
2023-09-18,191.1,212.1,188,212,5990
2023-09-19,211,228.5,199,225,25367
2023-09-21,227,242.7,225.1,231,36575
2023-09-24,232.6,232.6,221.5,222.5,14329
2023-09-25,223,241.7,218.1,234,18268
2023-09-26,230,245,230,244,18323
2023-09-27,239.8,241.7,232,235.4,20680
2023-10-01,231,235,218.7,222,21698
2023-10-02,217.6,231.5,216,224.9,14128
2023-10-03,220.5,223,216,218,5150
2023-10-04,216.1,229.5,216,222.5,6874
2023-10-05,220.2,229.5,219.7,220,6336
2023-10-08,216,218,210.8,212.9,11767
2023-10-09,216,217,207,207.1,5508
2023-10-10,204,212,204,211,4205
2023-10-11,206.8,217.2,206,209,6959
2023-10-12,205.1,211,205,209,6219
2023-10-16,204.9,205.5,201.2,205,4810
2023-10-17,203.5,217,203.5,208,5415
2023-10-18,207,213,206.1,211,4389
2023-10-19,207.1,211.1,205.8,210.6,3502
2023-10-29,206.4,207,200,207,2520
2023-10-30,203,206.2,200.1,206.2,1661
2023-10-31,202.5,204,200,202,1355
2023-11-01,201.1,203,196.5,199.9,5037
2023-11-02,196,203.7,193.4,193.4,2890
2023-11-05,192.2,194,188.1,193,4632
2023-11-06,190,200.7,190,198.5,3640
