timestamp,open,high,low,close,volume
2025-08-20,292.1,321.3,292.1,321.3,320
2025-08-21,320,353.4,320,353.4,490
2025-08-24,346.8,388.7,346.8,388.7,545
2025-08-25,383.2,427.5,383.2,427.5,885
2025-08-26,436,470.2,436,470.2,750
2025-08-27,477,517.2,477,517.2,2420
2025-08-28,527.5,568.9,527.5,568.9,34970
2025-08-31,580.2,625.7,521,542.27,328282
2025-09-01,543,543,512,515.8,176864
2025-09-02,520,520,493,494.94,75879
2025-09-03,485.1,515,472.1,483.06,71659
2025-09-04,475,500,474,495.24,57229
2025-09-07,490,499,475,475.82,52696
2025-09-08,470,483.8,455.1,458.92,53608
2025-09-18,449.8,449.8,413.1,416,1814
2025-09-21,410,445,395,437.52,45519
2025-09-23,437,453.5,437,449.8,40917
2025-09-24,449.8,469.2,433.1,461,36839
2025-09-25,470,477,450.1,459,47055
2025-09-28,455,463,451.2,459,20632
2025-10-07,459,460,440,444.9,34673
2025-10-08,444.9,444.9,426.7,432,32690
2025-10-09,440,460,430.1,432,26983
2025-10-12,423.5,440.5,407,410,34247
2025-10-13,408.1,423.8,403,420,28114
2025-10-14,416,420,408.5,409.1,14035
2025-10-15,417.2,417.2,403.1,411.7,21279
2025-10-16,411,411,397.1,400,22993
2025-10-19,400,424,397.2,407.9,11705
2025-10-26,407.9,415,400,402,8288
2025-10-28,394,418.9,394,418.9,21817
2025-10-29,412.1,430,412,415,23621
2025-10-30,409,448.8,409,437.3,40896
2025-11-02,440,446.7,432,441,40403
2025-11-03,433,447.8,429,437,32879
2025-11-04,433,445.5,420,427,21850
2025-11-05,420,430,415,424,18083
2025-11-06,424,430,417.8,422.1,19186
2025-11-09,419.1,452.9,416,439.9,56050
2025-11-10,441,448.6,428.6,433.3,26547
2025-11-11,425.1,460,425.1,450,81917
2025-11-12,443,455,437.2,445,27435
2025-11-13,436.9,458,436.9,447,37162
2025-11-16,447,454.9,432,440,21049
2025-11-17,432.1,445,432.1,445,26235
2025-11-18,453.9,465,446,464,62716
2025-11-19,463,490,463,488,124282
2025-11-20,489,506,468.2,469.5,94449
2025-11-23,469.5,487,465.3,477.1,58078
2025-11-24,467.6,493,467.6,480,52082
2025-11-25,479,480,468.2,473.7,41107
2025-11-26,471.5,490,467.3,483.4,41468
2025-11-27,485,492.7,478.1,487.8,73026
2025-11-30,482.1,503,482.1,490,93046
2025-12-01,490,496,476.8,479.9,68130
2025-12-02,478,517,473.1,511,99073
