timestamp,open,high,low,close,volume
2023-01-04,194.3,213.7,194.3,213.7,370
2023-01-05,217.9,235,217.9,235,370
2023-01-08,239.7,258.5,239.7,258.5,430
2023-01-09,263.6,284.3,263.6,284.3,340
2023-01-10,289.9,312.7,289.9,312.7,1140
2023-01-12,318.9,343.9,318.9,343.9,2890
2023-01-17,350.7,378.2,350.7,378.2,4980
2023-01-18,385.7,416,385.7,416,16324
2023-01-19,424.3,439.6,401.2,419.1,21229
2023-01-23,410.8,420,405,412,11120
2023-01-24,412,412,400,408,6710
2023-01-25,402.1,448.8,402.1,442,13179
2023-01-26,450.8,486.2,442.1,486.2,10923
2023-01-29,495.9,534.8,487,534.8,21198
2023-01-30,545.4,588.2,545.4,569.9,38326
2023-01-31,559,611.9,539,611.9,15594
2023-02-01,599.7,611.9,571,596,15763
2023-02-02,600,600,560.6,573,18237
2023-02-05,561.6,573.9,540.8,567,16040
2023-02-06,555.7,555.7,537,540.5,5651
2023-02-07,536.4,572,536.2,558.9,8910
2023-02-08,570,600,538,570,9113
2023-02-09,558.6,627,548,627,38364
2023-02-12,614.5,653,592,641.5,33770
2023-02-14,630,630,600,609,22781
2023-02-15,597,654.7,590,654.7,11799
2023-02-16,641.7,647,600.1,640,21239
2023-02-20,627.2,677.2,603.1,610,14501
2023-02-22,610,640,600.2,629,14040
2023-02-23,617,617,598,598,7752
2023-02-26,586.1,601.8,552.8,601.8,6556
2023-02-27,590,610,570,584,8772
2023-02-28,573.1,579,562,568,2920
2023-03-01,560,594,550,594,5891
2023-03-02,605.8,605.8,547,565.9,5055
2023-03-05,577,577,535,539,870
2023-03-07,531,549,528.3,528.3,1197
2023-03-09,538.8,549.5,510,544.9,5017
2023-03-12,555,561,529.4,543,7145
2023-03-13,532.3,538.9,517.7,535,1255
2023-03-14,524.3,555,515.1,554,1097
2023-03-15,550,572,525.1,525.1,1629
2023-03-16,535,535,516.2,522,7001
2023-03-19,512,550,512,521.2,2811
2023-03-20,521.2,541.9,521.2,525,2650
2023-03-22,520,540,520,530,3761
2023-03-23,525,526,514.9,525,3050
2023-03-26,515.2,521,505,505.3,4475
2023-03-27,515.4,515.4,496.2,514,4281
2023-03-28,514,524.2,504,504,3040
2023-03-29,500,510,490.1,496,2171
2023-03-30,502,510,498.1,500,1801
2023-04-02,500,530,495.2,495.2,7517
2023-04-03,485.4,497.8,485.4,497.8,546
2023-04-04,488.1,497,473,494.7,2230
2023-04-05,490,513.9,480,510,4043
2023-04-06,499.8,507.9,490.2,492.6,2252
2023-04-09,482.8,485,475.4,476,3012
2023-04-10,476,504,467.2,504,1610
2023-04-11,494,509.9,484.1,509.9,1447
2023-04-12,500,520.2,485,518.6,10477
2023-04-13,524.8,524.8,493.2,509,5005
2023-04-16,500,505,490,503,1560
2023-04-17,493.1,502.8,486,500,1430
2023-04-18,490,494,479,479,2555
2023-04-19,488,489.6,472,481,2205
2023-04-20,490.6,490.6,474,483,1721
2023-04-23,492.6,492.6,456,472,500
2023-04-24,463,470,460,464,1500
2023-04-25,456.2,482.5,456.2,481.9,2249
