timestamp,open,high,low,close,volume
2012-04-12,1669.73,1669.73,1669.73,1669.73,960
2012-09-11,1669.76,1659.88,1659.88,1659.88,20
2013-05-26,1659.88,1659.88,1659.88,1659.88,20
2013-07-15,1659.88,1659.88,1659.88,1659.88,60
2014-08-26,1659.88,1659.88,1659.88,1659.88,840
2014-09-10,1659.88,1659.88,1659.88,1659.88,82
2016-11-15,1659.88,1659.88,1659.88,1659.88,100
2018-02-27,1692.91,1692.91,1692.91,1692.91,100
2019-05-06,1725.95,1759.95,1725.95,1759.95,20
2019-10-10,1795,1830,1795,1830,134
2021-08-01,1866.6,1903.9,1866.6,1903.9,360
2022-05-17,1941.9,1941.9,1941.9,1941.9,21
2022-09-13,1980.7,2136,1980.7,2136,52
2022-09-14,2178.7,2178.7,2178.7,2178.7,10
2022-09-25,2222.2,2222.2,2222.2,2222.2,10
2023-07-11,2266.6,2311.9,2266.6,2311.9,20
2023-08-07,2358.1,2405.2,2358.1,2405.2,20
2023-09-24,2453.3,2453.3,2453.3,2453.3,22
2023-12-11,2502.3,2698.6,2502.3,2698.6,50
2023-12-12,2752.5,2968.4,2752.5,2968.4,50
2023-12-13,3027.7,3265.2,3027.7,3265.2,50
2023-12-14,3330.5,3591.7,3330.5,3591.7,50
2023-12-17,3663.5,3950.8,3663.5,3950.8,50
2023-12-18,3950.7,4345.8,3950.7,4345.8,60
2023-12-19,4432.7,4780.3,4432.7,4780.3,50
2023-12-20,4875.9,5258.3,4875.9,5258.3,50
2023-12-21,5363.4,5784.1,5363.4,5784.1,50
2023-12-24,5899.7,6362.5,5899.7,6362.5,50
2023-12-27,6235.5,6235.5,6235.5,6235.5,10
2024-01-31,6360.2,6360.2,6360.2,6360.2,10
2024-02-12,6487.4,6996.2,6487.4,6996.2,50
2024-02-13,7136.1,7695.8,7136.1,7695.8,50
2024-02-14,7849.7,8465.3,7849.7,8465.3,50
2024-02-15,8634.6,9311.8,8634.6,9311.8,50
2024-02-18,9498,10242.9,9498,10242.9,60
2024-02-20,10447.7,11267.1,10447.7,11267.1,50
2024-02-21,11492.4,12393.8,11492.4,12393.8,50
2024-02-22,12641.6,13415.2,12641.6,13415.2,40
2024-02-25,13683.5,14756.7,13683.5,14756.7,61
2024-02-26,15051.8,16232.3,15051.8,16232.3,50
2024-02-27,16556.9,17855.5,16556.9,17855.5,50
2024-02-28,18205,19641,17855.5,19641,220
2024-02-29,20033.8,21605.1,20033.8,21605.1,70
2024-03-03,22037.2,23765.6,19511,22834,687
2024-03-04,23290.6,23290.6,23290.6,23290.6,10
2024-03-05,23756.4,23756.4,20961.6,20962,366
2024-03-06,20542.8,21381,19336,21000,160
2024-03-07,20580,21500,18900,21500,330
2024-03-12,21070,21070,21070,21070,10
2024-03-14,20648.6,20648.6,20648.6,20648.6,10
2024-03-17,20235.7,20235.7,20235.7,20235.7,10
2024-03-20,19831,19831,18350,18350,60
2024-03-21,17983,17983,16615,16615,241
2024-03-25,16947.3,18276.5,16947.3,18276.5,80
2024-03-26,18500,20104.1,18500,18543.6,150
2024-03-27,18200,18360,18000,18360,80
2024-03-28,18500,18727.2,18300,18300,89
2024-03-31,17950,17950,16901.4,16901.4,40
2024-04-01,17239.4,17584.1,17239.4,17250.2,30
2024-04-02,17595.2,17595.2,17595.2,17595.2,10
2024-04-03,17243.3,17243.3,17243.3,17243.3,10
2024-04-04,16899,16899,16899,16899,10
2024-04-07,16700,16800.1,16366,16599,141
2024-04-09,16267.1,16267.1,15630,15942.6,100
2024-04-10,15700,16918.3,15400,16918.3,210
2024-04-14,16600,17222,16580,17222,50
2024-04-15,16877.6,16877.6,16210,16210,40
2024-04-16,15885.8,15885.8,15885.8,15885.8,10
2024-04-18,15580,15580,15580,15580,10
2024-04-21,15269.2,15570,15269.2,15570,20
2024-04-22,15881.4,15881.4,15484.1,15484.1,30
2024-04-24,15793.7,16109,15793.7,16109,20
2024-04-28,15800,15800,15800,15800,10
2024-04-29,15550,16167,15505.1,16167,100
2024-04-30,15845,15845,15240,15240,61
2024-05-02,15544.8,15855.6,15544.8,15800.1,31
2024-05-05,15800,15800,15484.1,15484.1,30
2024-05-06,15200,15200,15180.2,15180.2,20
2024-05-07,15400,15450,15400,15450,40
2024-05-08,15449.9,15450,15449.9,15450,20
2024-05-09,15151,15454,15151,15454,20
2024-05-12,15763,15763,15763,15763,10
2024-05-13,15800,16078,15800,16078,52
2024-05-14,16000,16000,16000,16000,20
2024-05-15,16320,16398,16320,16398,30
2024-05-16,16200,16200,16071,16071,40
2024-05-19,16392,16392,16065,16065,60
2024-05-22,15801,15801,15746,15746,30
2024-05-26,15432,15432,15432,15432,10
2024-05-27,15123.4,15555,15123.4,15450,60
2024-05-29,15550,16090,15550,16090,105
2024-05-30,16399,16411,16399,16399,30
2024-06-02,16100,16100,15840.1,15840.1,44
2024-06-03,16000,16000,16000,16000,20
2024-06-04,15900,16050,15850,16050,160
2024-06-05,16371,16449.1,16371,16449.1,20
2024-06-06,16151,16155,16151,16155,50
2024-06-09,16478,16478,16478,16478,50
2024-06-12,16148.6,16148.6,16148.5,16148.5,20
2024-06-16,15825.6,15825.6,15825.6,15825.6,20
2024-06-18,16000,16000,16000,16000,40
