timestamp,open,high,low,close,volume
2025-11-10,302.4,332.6,302.4,332.6,190
2025-11-11,339.2,365.8,339.2,365.8,290
2025-11-12,373.1,402.3,373.1,402.3,520
2025-11-13,410.3,442.5,410.3,442.5,4850
2025-11-16,451.3,486.7,451.3,486.7,11500
2025-11-17,496.4,535.3,451,535.3,114540
2025-11-18,545.9,588.8,535,588.8,40870
2025-11-19,600,647.6,561,647.6,36430
2025-11-20,634.7,634.7,582.9,589,154398
2025-11-23,580,593,546.9,579.9,87382
2025-11-24,591.4,591.4,559.6,568.9,48456
2025-11-25,560,591,554,588.1,51448
2025-11-26,577,585,566,568.6,35305
2025-11-27,562.59,582,558.1,565,30000
2025-11-30,557.2,568.2,555,555.2,34190
2025-12-01,550,565,544,562,32047
2025-12-02,562,618.2,552.4,618.2,140946
2025-12-03,630.5,675,620,658,110513
2025-12-07,644.9,644.9,595.1,602,155524
2025-12-08,590,605.1,582,600,52224
2025-12-09,612,635.5,600,632,34665
2025-12-10,620,635,611.3,616,65680
2025-12-11,606.1,625,602,606,43989
2025-12-14,600,607,590.3,591,27175
2025-12-15,585,607,585,594,31029
2025-12-16,590.1,630,588.5,611,40189
2025-12-17,605,623,600.2,612,18698
2025-12-18,600,633.2,600,620.9,112831
2025-12-21,620.9,630,610.2,620,58542
2025-12-22,632.4,632.4,598.1,600,60902
2025-12-23,590.1,604,580,585.2,46819
2025-12-24,580,596,570,575,55434
2025-12-28,575,596.7,565,590,52920
2025-12-29,578.3,601.8,578.3,590,43251
2025-12-31,590,604,586.5,592,57437
2026-01-01,587,644,587,620.3,188747
2026-01-04,620,643,616,640,111305
2026-01-05,645,695,640.2,694,103420
2026-01-06,695,729.3,643.9,666,67157
2026-01-07,670,693.5,646,650.1,68663
2026-01-08,650.1,656,625.3,637.5,150364
2026-01-12,637.5,673,632,672,99233
2026-01-13,672,681,646,647,77131
2026-01-14,659.9,659.9,635.1,637.2,35411
2026-01-18,628.1,683.9,628.1,677,119975
2026-01-20,690,723,677.3,700.2,120617
2026-01-21,702,714.2,687.8,689.2,66185
2026-01-22,689.3,736,680.2,710,135587
2026-01-25,710,770,710,752,117900
2026-01-26,755,803,714,780,215586
2026-01-27,781,822,755,762,82827
2026-01-28,760,780,731.1,772,90583
2026-01-29,772,772,720,720,103510
2026-02-01,710,720,695.8,702,40218
2026-02-02,714.8,752,696,740,57882
2026-02-03,749.9,750,710.6,720,35538
2026-02-04,720,734,701.2,705,29817
2026-02-05,715,715,700.2,708.8,35758
2026-02-08,715,718,691.8,691.8,32238
2026-02-09,694,699.9,656.1,670,42632
2026-02-10,660,693.9,660,672,26352
2026-02-11,685,685.2,652,663,16616
2026-02-12,651,675,642,647,25892
2026-02-16,647,670,643.5,661,24556
2026-02-17,661,670,645,648,19262
2026-02-22,642,642.9,626.1,630,22907
2026-02-23,639,639,620,624,12090
2026-02-24,616,647.7,616,646,20441
2026-02-25,650,660.5,643,649,18029
2026-02-26,649,652,632.3,642,9866
2026-03-01,629.2,643.8,629.2,638.5,16757
2026-03-03,645,659.9,635.2,658.9,22141
2026-03-09,672,713,672,713,891
2026-03-10,727,727,680,689.9,42165
2026-03-11,689,694,666.5,666.6,23470
2026-03-12,679,679,654,665,21212
2026-03-15,665,677.5,650,655.2,20702
2026-03-16,650,667.4,640,648,26699
2026-03-17,648,655,637.2,638.2,13955
2026-03-19,632.1,657,632.1,645,33530
2026-03-22,656.9,657.9,645,650,28819
2026-03-23,649,657.8,645,652,29163
2026-03-24,650,660.9,647.1,655.9,20475
2026-03-25,663,678,647.1,665.5,33893
2026-03-26,673,686,666.1,678,32916
2026-03-29,664.5,684.9,650,653,22456
2026-03-30,645.1,653,633,635,18046
2026-03-31,626,640,614,626,23577
2026-04-01,620,634.9,605.7,611,19951
2026-04-02,600,620,599,612,16792
2026-04-05,602,602,558,564,25673
2026-04-06,555.1,598,555.1,580,17129
2026-04-07,588.9,595,578.4,584,13100
2026-04-08,588.6,626,582,623,33455
2026-04-09,634.9,648.7,612,633,27276
2026-04-10,640,640,612.7,622.9,19547
2026-04-13,610.8,623,600,615,17249
2026-04-15,615,633.3,610.1,618,15769
2026-04-16,615,625,601,605,19013
2026-04-17,598.1,621,596.1,618.1,24626
2026-04-20,631.2,631.2,596.1,628.8,22429
2026-04-21,617,628.1,611.5,619,12926
2026-04-22,603,617.8,595,610,17239
2026-04-23,601.2,607.9,592,596.4,11698
2026-04-24,586,597,585,591.2,8118
2026-04-27,595,603,590,600,12977
2026-04-28,587.1,603,583.8,594,15363
2026-04-29,583.1,589.9,560.1,570,18619
2026-04-30,560,579.8,555,571,8665
2026-05-04,557.1,573,555,560,7211
2026-05-05,555.1,573.9,555,567,7867
2026-05-06,556,570,556,565,3497
2026-05-07,560,570,557.1,562,3992
2026-05-08,560.1,575,560.1,569.1,7311
2026-05-11,569,595,569,595,15122
2026-05-12,598,610,570,583,19837
2026-05-13,570,583,565.8,582,8505
2026-05-14,570.2,584.9,570.2,583.8,6832
2026-05-15,572,592,572,589.8,12169
2026-05-18,590,631.5,589,627.1,76742
2026-05-19,633,654,626,635.1,97455
2026-05-20,642,688.9,642,682.8,137677
2026-05-21,679,746,661,746,197708
2026-05-22,708.7,814,680,814,145025
2026-05-25,751,760,706,730,113158
2026-05-26,710,737.7,710,732.1,101332
2026-05-27,718,841,718,841,197734
2026-06-01,798,798,723,730,104206
2026-06-02,714.9,720,675,697.2,92390
2026-06-03,682.8,740,682.8,732,68798
2026-06-04,736,743.6,720,720,87099
2026-06-05,711.3,730,700.1,700.1,59295
2026-06-08,713.1,713.1,682.1,686,24953
2026-06-09,686,700.2,670,688.1,36335
2026-06-10,690.1,735,690.1,733.1,92750
2026-06-11,730.9,751,720,731,222281
2026-06-12,715.3,735,673.7,710,35379
2026-06-15,700.1,718,700.1,709.9,36086
2026-06-16,690,767.6,690,747.9,164406
2026-06-17,750,820,735.1,818,232796
2026-06-18,777.1,895,755,888,161716
2026-06-19,819,843.6,754.8,777.4,148991
2026-06-22,754.2,810,722,810,123995
2026-06-23,746.5,760,688.5,688.5,185057
2026-06-24,703,703,662,669,36626
2026-06-25,655,701,653.8,658,27718
2026-06-26,669.9,682,652,662,59751
2026-06-29,662,674,651,671.5,43084
2026-06-30,684,684,625.7,639,45755
2026-07-01,639,660,621,637,26572
2026-07-02,650,658,636,652,33044
2026-07-03,652,669.7,652,665.1,33322
2026-07-06,646,666,620.8,630,85489
2026-07-07,630,650,629.5,635,79467
2026-07-08,635,654,587,600.5,84365
2026-07-09,600,605,578,585,42423
2026-07-10,571.1,609,571.1,600.1,39341
2026-07-13,616.9,616.9,568.5,575,36819
2026-07-14,575,587,558,575,48150
2026-07-15,562,580,555.8,560,50118
2026-07-16,571.9,588.8,560.2,585,40201
2026-07-17,590,625.2,582,625.2,55241
2026-07-20,608,667.4,608,667,92800
2026-07-21,657,665,638,638,74590
2026-07-22,626.09,723,625.2,705,65595
2026-07-23,650,660,612.1,635,191406
2026-07-24,635,646,625,634.9,59530
2026-07-27,634.9,634.9,600,603,38521
2026-07-28,605,613,585.2,599.5,43141
2026-07-29,599.2,612,590,593,26816
2026-07-30,593,599.5,585,587,17807
2026-07-31,582,597,570.2,597,27776
2026-08-03,608,608,590,594.9,16454
2026-08-04,596,596,580,585,22883
2026-08-05,599,599,581.1,588,14366
2026-08-06,588,599,585,585.1,20057
2026-08-07,572.6,588.2,572.6,584.8,12856
2026-08-10,581,590,580,584,18488
2026-08-11,585,599,585,591,25797
2026-08-12,591,599.9,586,588,10866
2026-08-13,586,590,581.2,585,16109
2026-08-14,585,586.1,580.1,580.1,13721
2026-08-17,580,610,575.2,606,47698
2026-08-18,601,619,590,594.9,26037
2026-08-19,581,605,581,598,20116
2026-08-20,608.2,608.2,586,588,13603
2026-08-21,600,600,578,584,16715
2026-08-24,579,586,570,572,18772
2026-08-25,580,580,560,564.8,17363
2026-08-26,560,569,535,540,22032
2026-08-27,545,549,515,542.9,19450
