timestamp,open,high,low,close,volume
2023-12-21,300,330,300,330,2080
2023-12-24,335.5,363,335.5,363,3090
2023-12-27,363,399.3,363,399.3,3660
2023-12-28,407,439.2,407,439.2,5760
2024-01-01,447.9,483.1,447.9,483.1,4780
2024-01-02,492.7,531.4,492.7,531.4,7805
2024-01-03,542,584.5,535.1,549,85750
2024-01-04,540,593,527.4,589.2,30058
2024-01-07,595,595,555.5,556,33610
2024-01-08,550,581,545.1,560,26658
2024-01-09,571.2,571.2,545.1,546,20017
2024-01-10,540,566,540,550,18125
2024-01-11,550,567.1,542,552,12850
2024-01-14,552,582,552,582,29379
2024-01-16,575,591.9,562,566,27503
2024-01-17,566,567.1,532.2,532.2,19224
2024-01-18,523,542,510.1,542,25225
2024-01-21,552.8,552.8,514,518,24374
2024-01-22,509,518,502,515,16169
2024-01-23,505,529.9,505,510.2,9940
2024-01-24,511.5,520,505.7,512,9615
2024-01-25,501.8,521.2,496,513,11475
2024-01-28,511,519,505.3,511.5,9710
2024-01-29,503.9,530,503.9,520,12033
2024-01-30,525,534,520,524.5,10035
2024-01-31,514.5,530,506,510,9836
2024-02-01,505,510,495,496,13912
2024-02-04,488,502,485.2,488,10456
2024-02-05,488,500,488,495.1,7785
2024-02-06,485.2,510,485.2,509.9,8571
2024-02-07,511,525,504.2,517,10480
2024-02-08,510,521,510,520,7642
2024-02-11,515,530,515,520.6,16154
2024-02-12,518,572.6,516.3,572.6,60320
2024-02-13,572.6,575.5,539,545,30094
2024-02-14,535,557,535,551,13916
2024-02-15,540,555.9,530.2,538,18910
2024-02-18,538,538,519.4,530,12539
2024-02-20,522,559,520.1,549,23105
2024-02-21,538.1,557,538.1,551,27457
2024-02-22,540,574,540,573,66059
2024-02-25,574,624.9,563,622,52197
2024-02-26,609.6,641,609.6,635,25585
2024-02-27,622.3,686.8,602.9,602.9,34944
2024-02-28,614.9,663.1,604,661,86100
2024-02-29,661,670,621,670,31070
2024-03-03,656.6,656.6,610,619.8,12202
2024-03-04,632.1,657,632.1,643,1807
2024-03-05,655.8,655.8,600,611.9,21669
2024-03-06,601,640,598,624,31625
2024-03-07,611.6,680,605,680,23216
2024-03-10,666.4,666.4,622.5,632,56581
2024-03-12,635,635,607,617.2,13453
2024-03-13,620,620,601,611.9,8486
2024-03-14,600.1,620,588.1,611,23160
2024-03-17,600,625,600,623.5,11887
2024-03-18,613,626,611.1,619,13786
2024-03-19,609.1,620,600,600,17076
2024-03-20,588,645,588,617,68859
2024-03-21,604.7,616,600,613.3,11487
2024-03-25,601.1,637.5,591,607,13613
2024-03-26,595.6,612,595.6,607,23914
2024-03-27,595,600,584.5,586,21537
2024-03-28,575.3,592,575.2,581,10280
2024-03-31,570.1,589,568.5,589,11462
2024-04-01,577.3,585,567,580,10463
2024-04-02,569,580,555.7,555.7,8108
2024-04-03,557,557,540.2,545,7653
2024-04-04,555,555,530,545,7338
2024-04-07,537,545,530.6,534,9860
2024-04-09,534,558.9,530.2,535.5,12872
2024-04-10,545,556,538,541.1,7909
2024-04-14,545,557,542.2,553.9,8415
2024-04-15,551,555,547,554,6844
2024-04-16,545.1,553.8,534,535.1,5780
2024-04-18,525,534,522,525,5516
2024-04-21,520,548.5,517.5,534,2008
2024-04-22,530,534,520,522,3524
2024-04-24,512.3,532,512.3,523.9,4077
2024-04-25,514,530,510,530,6737
2024-04-28,519.4,520,507,515,8179
2024-04-29,508.1,518.2,495,499,22913
2024-04-30,492,511.9,490,504.8,21093
2024-05-02,495,514.8,495,496.1,7483
2024-05-05,495,506,487,490,9571
2024-05-06,486,493,481.5,490,4521
2024-05-07,499.8,516,480.5,491.2,7153
2024-05-08,490,499.8,488.5,493,2030
2024-05-09,493,510,493,510,10374
2024-05-12,506.3,516.3,505,505,5262
2024-05-13,502,510,495,510,15683
2024-05-14,506,549,506,546,20170
2024-05-15,540,550,525,527.9,7840
2024-05-16,536,536,520,523.9,6772
2024-05-19,523,545,523,541,19125
2024-05-20,551.8,560,540,555,19239
2024-05-21,566,569,544,560.3,7537
2024-05-22,571.5,571.5,555.2,571,23421
2024-05-26,560,565,543,552,8253
2024-05-27,541,563,533,553,11349
2024-05-29,556,570,542.1,561,18996
2024-05-30,560,567.1,550.3,560,10060
2024-06-02,560,564,555,563,12578
2024-06-03,555.3,564,555,559.9,7365
2024-06-04,555,560,548.8,550,10215
2024-06-05,550,555,532.2,532.2,11918
2024-06-06,542.8,553,535,537,5070
2024-06-09,537,559,537,559,15780
2024-06-10,570,594.6,561,594.4,45994
2024-06-11,596,603,585,587,8315
2024-06-12,598,615,580,608,31464
2024-06-13,595.9,602,579,589.5,7774
2024-06-16,579,595,575,590,13221
2024-06-18,595,600,551,597,21412
2024-06-19,597,600,588.1,599,8455
2024-06-20,595,605,587.1,593,10246
2024-06-23,604.8,604.8,575,582.2,8409
2024-06-24,585,599.9,561.9,599.9,32778
2024-06-25,599.9,640.8,599.9,640,38592
2024-06-26,630,642,613.2,629.3,12318
2024-06-27,617.1,622,600,615,12265
2024-06-30,603.2,620,593.1,603,14964
2024-07-01,603,611.9,595.2,609,5175
2024-07-02,621.1,645,606,615,15219
2024-07-03,604.6,617,586.1,586.1,14731
2024-07-04,595,631,590,595.3,11199
2024-07-07,595,603,588.1,588.2,6855
2024-07-08,599.9,599.9,581.1,588,6689
2024-07-09,588,615,588,615,33187
2024-07-10,605.1,617,603.5,614,12247
2024-07-11,603,620,603,620,8181
2024-07-14,632.4,645,608,623,16961
