timestamp,open,high,low,close,volume
2025-04-10,302.5,332.7,302.5,332.7,210
2025-04-13,335.2,365.9,335.2,365.9,180
2025-04-15,372.8,402.4,372.8,402.4,250
2025-04-16,410,442.6,410,442.6,240
2025-04-17,451,486.8,451,486.8,180
2025-04-20,496.5,535.4,496.5,535.4,440
2025-04-21,537.7,588.9,537.7,588.9,310
2025-04-22,579.7,647.7,579.7,647.7,440
2025-04-23,660.6,712.4,660.6,712.4,580
2025-04-24,704.3,783.6,704.3,783.6,440
2025-04-27,783.6,861.9,783.6,861.9,580
2025-04-28,873.7,948,873.7,948,480
2025-04-29,963.7,1042.8,963.7,1042.8,740
2025-04-30,1061.3,1147,1061.3,1147,810
2025-05-04,1169.9,1261.7,1169.9,1261.7,1110
2025-05-05,1239.3,1387.8,1239.3,1387.8,870
2025-05-06,1415.5,1526.5,1415.5,1526.5,950
2025-05-07,1526,1679.1,1526,1679.1,1330
2025-05-08,1678.9,1847,1678.9,1847,1790
2025-05-11,1820.4,2031.7,1820.4,2031.7,3320
2025-05-13,2072.3,2234.8,2072.3,2234.8,19150
2025-05-14,2279.4,2458.2,2015.2,2066.15,246209
2025-05-15,2025,2228,1953.2,2151.2,88593
2025-05-18,2108.2,2108.2,1999,2003.72,78228
2025-05-19,2001,2050,1903.1,1915.75,69459
2025-05-20,1878,1928.7,1830.1,1913.5,56183
2025-05-21,1950,2000,1830,1839.02,41132
2025-05-22,1820,1935.9,1792,1881.76,75386
2025-05-25,1875,1902,1828,1870.84,28325
2025-05-26,1908,1908,1829.1,1833.34,52290
2025-05-27,1800,1830,1798,1802.05,36957
2025-05-28,1785.1,1802,1700,1710.15,47473
2025-06-02,1705,1749,1657,1690.88,71911
2025-06-03,1690,1764.6,1680,1725.62,37905
2025-06-04,1750,1764,1716,1750.3,29753
2025-06-05,1750.3,1760,1676,1694.13,40175
2025-06-08,1685,1693,1563.1,1579,55475
2025-06-09,1579.1,1641.1,1521,1614.25,36658
2025-06-10,1640,1662,1600,1625.46,22910
2025-06-11,1657,1657,1585.1,1587.7,16983
2025-06-12,1560,1587,1531,1535.22,29931
2025-06-15,1535,1570,1511,1521.77,17077
2025-06-16,1500,1541,1488,1493.14,24121
2025-06-17,1500,1500,1435,1445.27,24372
2025-06-18,1445,1473,1417,1439.7,23828
2025-06-19,1439.7,1452,1388.8,1401.48,26002
2025-06-22,1373.5,1400,1330,1336.95,26507
2025-06-23,1332,1367.7,1311.1,1324.75,16170
2025-06-24,1324,1395,1320,1368.89,25663
2025-06-25,1345,1484,1345,1453.69,33763
2025-06-26,1482.7,1482.7,1391.6,1397.79,23027
2025-06-29,1375,1396,1351,1369.68,16424
2025-06-30,1391,1392.9,1352,1359.86,11719
2025-07-01,1344,1396,1344,1354.8,19145
2025-07-02,1355,1381,1355,1366.25,12158
2025-07-03,1362,1393.5,1349,1351.66,21303
2025-07-06,1345,1375,1344,1353.38,23272
2025-07-07,1369,1450,1353.1,1402.02,43660
2025-07-08,1387,1430,1387,1412.3,11625
2025-07-09,1385.1,1440,1385.1,1398.9,17381
2025-07-10,1426.8,1426.8,1375,1376.89,22397
2025-07-13,1404.4,1430,1365,1365.88,12068
2025-07-14,1356,1383,1350,1351.29,10654
2025-07-15,1360,1364,1341.1,1360.17,14569
2025-07-16,1367,1390,1355.4,1364.36,17440
2025-07-17,1364,1420,1364,1399.53,18342
2025-07-20,1420,1505,1400,1473.71,58359
2025-07-21,1475,1485,1440,1480.65,27858
2025-07-22,1471,1501,1471,1496.37,19699
2025-07-23,1487,1499,1440,1453.43,26998
2025-07-24,1469,1481,1433,1440.16,23055
2025-07-27,1445,1468,1405.1,1415.1,25899
2025-07-28,1402,1418,1390,1409.92,18705
2025-07-29,1405,1443,1405,1431.08,18436
2025-07-30,1434,1434,1400,1400.68,11440
2025-07-31,1400,1400,1378,1381.81,19022
2025-08-03,1363,1380,1355,1356.8,19200
2025-08-04,1350,1370,1342.2,1354.53,15798
2025-08-05,1354.53,1357,1337.1,1340.36,12967
2025-08-06,1331,1355,1331,1335.74,16516
2025-08-07,1335,1355,1335,1338.13,14195
2025-08-11,1338,1350,1328.9,1329.84,14077
2025-08-12,1330,1340,1316,1317.49,6454
2025-08-13,1310,1330.1,1308.1,1311.88,12069
2025-08-14,1311,1320,1292.6,1297.2,14136
2025-08-17,1297.3,1309,1251.1,1255.03,14711
2025-08-18,1265,1268,1250,1251.11,8489
2025-08-19,1252,1274,1252,1264.94,9164
2025-08-20,1251,1273,1245,1249.29,9875
2025-08-21,1234,1250,1217.5,1220.1,14443
2025-08-24,1220.1,1225.9,1166,1181.83,18081
2025-08-25,1165,1195,1165,1185.26,10299
2025-08-26,1170,1194.9,1170,1187.7,8867
2025-08-27,1190,1305,1180,1277.93,26389
2025-08-28,1281,1285,1230,1232.08,14883
2025-08-31,1208,1225,1177.2,1197.49,18560
2025-09-01,1221.4,1221.4,1173.2,1187.38,9608
2025-09-02,1182,1192,1175.1,1177.96,5182
2025-09-03,1162.1,1198.9,1162.1,1167.34,10653
2025-09-04,1165.1,1174.9,1150.1,1156.68,9300
2025-09-07,1150,1165,1147.1,1153.89,4706
2025-09-08,1145,1149.5,1112.3,1116.91,11607
2025-09-18,1094.6,1094.6,1005.3,1005.3,3065
2025-09-21,985.2,1055.7,985.2,1049.41,16736
2025-09-23,1070,1080.1,1026.1,1074,15933
2025-09-24,1076,1092,1040,1049,12756
2025-09-25,1040,1054.9,1031,1054.9,7416
2025-09-28,1050,1070,1050,1064.8,3809
2025-10-07,1064,1066,1025,1040,8295
2025-10-08,1040,1040,1008,1025.5,9461
2025-10-09,1046,1091,1020,1046,14148
2025-10-12,1030,1065,1000,1065,18821
2025-10-13,1086,1171.5,1045,1171.5,42584
2025-10-14,1194.9,1287.9,1190,1240.1,65708
2025-10-15,1264,1289,1218,1285,33783
2025-10-16,1280,1299,1205.5,1231.1,25135
2025-10-19,1240,1250,1207.5,1210,13118
2025-10-26,1230,1279,1186,1279,15146
2025-10-28,1253.5,1340,1229,1334,37147
2025-10-29,1355,1360,1290,1299,24326
2025-10-30,1285,1345,1254.5,1315,36448
2025-11-02,1340,1419,1300,1419,50755
2025-11-03,1420,1420,1322.2,1335,33686
2025-11-04,1340,1340,1300,1300,19829
2025-11-05,1300,1378,1276.1,1305,12601
2025-11-06,1325,1325,1280,1297.8,14470
2025-11-09,1295.7,1299.2,1239.8,1239.8,14513
2025-11-10,1230,1259,1212,1240,8662
2025-11-11,1216,1289,1216,1230,5804
2025-11-12,1206,1254,1180,1214.8,13778
2025-11-13,1214,1238.2,1181.1,1238.2,15129
2025-11-16,1238.2,1238.2,1203,1224.8,4716
2025-11-17,1249,1249,1210,1237,5303
2025-11-18,1213,1256.9,1213,1245.9,7048
2025-11-19,1240,1254,1211.1,1235,3670
2025-11-20,1217,1259,1217,1250,19628
2025-11-23,1250,1295.2,1242,1280,16058
2025-11-24,1302,1349,1261,1297,16923
2025-11-25,1280,1300,1260.2,1282,10842
2025-11-26,1282.5,1290,1263,1264,11460
2025-11-27,1280,1284.9,1246,1255.1,14446
2025-11-30,1255,1279.9,1249,1260,13614
2025-12-01,1279.7,1279.7,1240.1,1259,7242
2025-12-02,1247,1260,1246,1258,4265
2025-12-03,1257.5,1308,1240,1263,9786
2025-12-07,1255,1301.7,1255,1280,25013
2025-12-08,1255.4,1297,1255.4,1275,24023
2025-12-09,1270,1305,1270,1294,19989
2025-12-10,1280,1315,1276.3,1295,10910
2025-12-11,1295,1309,1268,1270,8814
2025-12-14,1255,1319,1235,1238,17195
2025-12-15,1249.9,1287.9,1221,1241.1,13421
2025-12-16,1265.9,1289,1228,1258.9,8504
2025-12-17,1255,1279,1242,1242,9939
2025-12-18,1234.1,1249,1228,1228,9060
2025-12-21,1220,1230,1195,1214,11718
2025-12-22,1201,1214.9,1191.4,1198,8009
2025-12-23,1215,1246,1181,1219,6983
2025-12-24,1211,1218,1196.6,1218,4903
2025-12-28,1212,1229,1200,1229,5210
2025-12-29,1229,1229,1205,1205,6814
2025-12-31,1205,1220,1200.5,1219.5,6880
2026-01-01,1202.1,1222,1196,1197,7083
2026-01-04,1197,1228,1181.1,1225,15078
2026-01-05,1220,1275,1215,1274,36693
2026-01-06,1275.1,1297,1252,1252,21383
2026-01-07,1251,1270,1230,1247.7,19756
2026-01-08,1230,1240,1221.1,1226,9157
2026-01-12,1218,1252.9,1216,1240,20400
2026-01-13,1250,1257.9,1227,1235,13639
2026-01-14,1228,1284.8,1222,1230.9,10168
2026-01-18,1225,1259.9,1223.3,1250,15011
2026-01-20,1250,1295,1250,1290,27780
2026-01-21,1264.2,1341.3,1264.2,1305,35025
2026-01-22,1309,1362,1307,1360,50958
2026-01-25,1333,1496,1333,1495,81679
2026-01-26,1495,1520,1440,1490,81257
2026-01-27,1465,1566,1382,1490,72463
2026-01-28,1519.8,1519.8,1426,1485,65991
2026-01-29,1499,1515,1422,1450,66852
2026-02-01,1450,1568.7,1384.8,1568.7,43300
2026-02-02,1537.4,1537.4,1441,1482,52269
2026-02-03,1475,1499,1427,1474,34876
2026-02-04,1474,1484,1435,1468,20099
2026-02-05,1470,1588,1441,1499.8,69339
2026-02-08,1490,1530,1461,1489,53035
2026-02-09,1480,1495,1440,1474,34722
2026-02-10,1475,1475,1430,1448,20451
2026-02-11,1450,1489,1361.3,1364,73009
2026-02-12,1391,1447,1316,1447,29377
2026-02-16,1418.1,1418.1,1365,1385,13957
2026-02-17,1361,1385,1326,1328,15654
2026-02-22,1330,1339,1310,1330,8922
2026-02-23,1305,1348,1300,1320,14383
2026-02-24,1346,1400,1295,1400,29444
2026-02-25,1372,1374,1323,1370,16676
2026-02-26,1380,1380,1335,1349,3857
2026-03-01,1322.1,1402.8,1322.1,1337.2,24741
2026-03-03,1355,1418,1311.1,1418,25803
2026-03-09,1417.9,1533,1417.9,1532.9,5839
2026-03-10,1532.9,1532.9,1445,1489,58270
2026-03-11,1500,1500,1435,1438,14910
2026-03-12,1430,1459,1419,1425.9,25219
2026-03-15,1444,1450,1400,1425,24015
2026-03-16,1423.5,1479,1368.1,1404,28592
2026-03-17,1432,1432,1380.1,1385,6756
2026-03-19,1385,1432,1385,1429.5,25911
2026-03-22,1425,1440,1416,1418.5,25999
