timestamp,open,high,low,close,volume
2022-01-02,1892.31,1942.69,1884.69,1929.23,9223
2022-06-13,294,294,294,294,60
2022-06-15,299.85,323.38,299.85,323.38,60
2022-06-17,329.85,336.38,329.85,336.38,20
2022-06-19,343.08,349.92,343.08,349.92,30
2022-06-20,356.85,384.85,356.85,384.85,70
2022-06-21,392.54,423.31,392.54,423.31,60
2022-06-22,423.31,423.31,423.31,423.31,10
2022-06-23,431.77,465.62,431.77,465.62,50
2022-06-24,465.62,503.85,465.62,503.85,50
2022-06-26,513.92,554.23,513.92,554.23,70
2022-06-27,565.31,609.62,565.31,609.62,70
2022-06-28,600,670.54,600,670.54,89
2022-06-29,683.92,737.54,683.92,737.54,80
2022-06-30,752.23,811.23,752.23,811.23,100
2022-07-01,827.38,892.31,827.38,892.31,76
2022-07-03,910.15,981.54,910.15,981.54,88
2022-07-04,981.54,1079.69,981.54,1079.69,170
2022-07-05,1101.23,1187.62,1101.23,1187.62,144
2022-07-06,1187.62,1306.31,1187.62,1306.31,134
2022-12-11,1332.38,1436.92,1332.38,1436.92,1150
2022-12-12,1465.38,1580.62,1465.38,1580.62,1489
2022-12-13,1549.31,1738.62,1549.31,1738.62,2019
2022-12-14,1773.38,1912.46,1773.38,1912.46,760
2022-12-15,1950.69,2103.69,1800.77,1850,25894
2022-12-18,1850,1850,1796.23,1800.77,13170
2022-12-19,1800.77,1938.46,1783.08,1908.46,5360
2022-12-20,1922.31,2094.62,1900,2053.85,8826
2022-12-21,2076.92,2084.62,2013.08,2036.92,8055
2022-12-22,2061.54,2061.54,1936.92,1994.62,5725
2022-12-26,2033.85,2033.85,1861.54,1901.54,11147
2022-12-27,1907.69,1923.08,1863.85,1866.15,7093
2022-12-28,1830.77,1888.46,1830.77,1866.92,3648
2022-12-29,1846.15,1882.31,1846.15,1876.92,2489
2023-01-01,1907.69,1907.69,1840,1884.62,5342
2023-01-02,1892.31,1942.69,1884.69,1929.23,9223
2023-01-03,1967.8,2087,1967.8,2000,8107
2023-01-04,2040,2040,1977,2020,3375
2023-01-05,2050,2144,2021,2106.1,3939
2023-01-08,2148,2148,2050,2051,6353
2023-01-09,2050,2050,2014.2,2018,5380
2023-01-10,2057.9,2057.9,1975,1976,6054
2023-01-12,2015.5,2019,1922.9,1944,4309
2023-01-17,1980,1980,1910,1980,2478
2023-01-18,1985,2010,1935,1940,1512
2023-01-19,1915,1940,1902.2,1915,992
2023-01-23,1920,1921,1890,1900,2326
2023-01-24,1880,1908.8,1850,1908.8,2793
2023-01-25,1877,1920,1877,1896.5,1143
2023-01-26,1890,1942,1890,1890.3,2160
2023-01-29,1863,1905,1863,1895,982
2023-01-30,1861,1880,1861,1867,2130
2023-01-31,1855.1,1855.1,1830,1855,2288
2023-02-01,1830,1855,1825.3,1855,785
2023-02-02,1818,1858,1803.2,1804,1340
2023-02-05,1804,1825,1790,1805,1380
2023-02-06,1800,1821,1786,1806,1108
2023-02-07,1800,1883,1795,1883,2595
2023-02-08,1899,1899,1840.1,1873,988
2023-02-09,1840.1,1910,1835,1870,830
2023-02-12,1869.9,1869.9,1806.1,1829,879
2023-02-14,1800,1830,1800,1815,680
2023-02-15,1780,1822.9,1780,1820,680
2023-02-16,1785.1,1826,1785.1,1800,1207
2023-02-20,1800,1800,1740,1789,1394
2023-02-22,1780,1824.5,1721.1,1824.5,1875
2023-02-23,1824.5,1824.5,1642.1,1642.1,818
2023-02-26,1609.3,1690,1477.9,1690,5114
2023-02-27,1690,1690,1571,1600,1793
2023-02-28,1570.1,1632,1507,1632,1875
2023-03-01,1599.4,1599.4,1510,1538,2265
2023-03-02,1508,1538,1479.4,1483,880
2023-03-05,1465,1465,1390,1408,1007
2023-03-07,1380.1,1408,1335,1335,2877
2023-03-09,1335,1384.9,1335,1365,1178
2023-03-12,1345.2,1389,1345.2,1380,1272
2023-03-13,1380,1380,1291,1345,3167
2023-07-03,1195,1289,1195,1289,1612
2023-07-04,1289,1417.9,1277.2,1280,18093
2023-07-05,1270,1285,1195,1202,5850
2023-07-06,1185,1205,1181,1199.9,4726
2023-07-09,1200,1206,1175,1190,3834
2023-07-10,1168,1205,1168,1190,4574
2023-07-11,1175.4,1213.8,1175,1186,3091
2023-07-12,1186,1304.6,1170.2,1304.6,8215
2023-07-13,1305,1346,1277,1330,9547
2023-07-16,1330,1410,1290.3,1410,7751
2023-07-17,1381.8,1520,1366.1,1510,10089
2023-07-18,1540.2,1560,1411.2,1470,10436
2023-07-19,1440.6,1450,1385,1448,4788
2023-07-20,1469,1498.2,1400,1497,4976
2023-07-23,1468,1507.5,1431.1,1498,6000
2023-07-24,1527.9,1527.9,1421,1450,4982
2023-07-25,1479,1479,1400,1425,3458
2023-07-26,1425,1425,1385,1385,2277
2023-07-27,1400,1400,1340,1350,3299
2023-07-30,1350,1360,1308.3,1341,2198
2023-07-31,1367.8,1367.8,1313.2,1328.9,2324
2023-08-01,1305,1335,1250,1295,4136
2023-08-02,1309.9,1309.9,1265,1290,1456
2023-08-03,1315.8,1315.8,1265.1,1270,1459
2023-08-06,1265,1265.1,1186.6,1212,4618
2023-08-07,1200,1240,1200,1219.9,2621
2023-08-08,1215,1261,1184,1249.5,2282
2023-08-09,1249.5,1249.5,1195.9,1227.5,2561
2023-08-10,1244.4,1244.4,1200,1211,2618
2023-08-13,1234,1234,1192.1,1210,1399
2023-08-14,1234.2,1308,1186,1300,3897
2023-08-15,1275,1275,1212.1,1245,2717
2023-08-16,1220.1,1256,1199,1214,741
2023-08-17,1238.2,1238.2,1190,1191,1862
2023-08-20,1192,1210,1168,1168,3033
2023-08-21,1168,1190,1151,1188,2627
2023-08-22,1190,1209,1151.1,1190,1430
2023-08-23,1207.5,1207.5,1170,1199.9,1564
2023-08-24,1180,1199.9,1168,1199.9,2635
2023-08-27,1176,1176,1154,1155,3745
2023-08-28,1145,1175,1123,1160,7872
2023-08-29,1180,1180,1117,1146,1532
2023-08-30,1168.9,1192.2,1086.3,1138,10435
2023-09-03,1116,1116,1068.5,1083,2528
2023-09-04,1100,1100,986.3,1050,7944
2023-09-05,1029,1059.9,995,1028,1974
2023-09-07,1042,1046,986,1016,1398
2023-09-10,1036,1077,979,1075,3459
2023-09-11,1053.5,1100,1010,1100,3103
2023-09-12,1120,1140,1045.1,1076,1765
2023-09-13,1097.5,1097.5,1021,1067,1165
2023-09-17,1088,1109,996.7,1049.7,2867
2023-09-18,1070.6,1070.6,994,1032.9,2937
2023-09-19,1012.3,1050,980,1048,3185
2023-09-21,1028.1,1132,1008,1054.9,3882
2023-09-24,1075.9,1140,1036,1070.8,5928
2023-09-25,1092.2,1092.2,1030,1064,1941
2023-09-26,1042.8,1129.8,1026,1070.1,2704
2023-09-27,1070,1090.9,1045,1051,5315
2023-10-01,1071,1090,1008,1020,8464
2023-10-02,1020,1122,1000,1122,5221
2023-10-03,1144.4,1144.4,1034.7,1050,2654
2023-10-04,1029,1130,1029,1130,5757
2023-10-05,1107.4,1107.4,1045,1070,6089
2023-10-08,1070,1089.9,1015.5,1020,4422
2023-10-09,1040,1040,1010,1023,2558
2023-10-10,1010,1020,1005,1020,1020
2023-10-11,1040.4,1040.4,1005.2,1024,1382
2023-10-12,1044,1044,1003.7,1024.9,3773
2023-10-16,1005,1025,993,1004,2902
2023-10-17,1020,1024,1000,1015.2,1499
2023-10-18,1034,1045.5,1015,1033,3108
2023-10-19,1050,1076.1,994,1068.5,3058
2023-10-29,1048,1155,1012,1139,3566
2023-10-30,1116.3,1116.3,1030,1095,4894
2023-10-31,1110,1155.6,1011,1132.5,5775
2023-11-01,1155.1,1155.1,1025,1070,3605
2023-11-02,1048.6,1088,1019.2,1065,4476
2023-11-05,1065,1065,1000,1018,5769
2023-11-06,999,1038,990,1020,3140
2023-11-07,1000.2,1034.9,1000.2,1000.2,899
2023-11-08,990.1,1037.9,980,1018,1345
2023-11-09,1000,1020,990,1020,1465
