timestamp,open,high,low,close,volume
2025-11-06,402.2,442.4,402.2,442.4,460
2025-11-09,451,486.6,451,486.6,970
2025-11-10,491.2,535.2,491.2,535.2,3280
2025-11-11,545.8,588.7,545.8,572,149771
2025-11-12,580,580,520,522.1,123835
2025-11-13,520,574,502,558,56540
2025-11-16,558,558,523,524,55621
2025-11-17,534.4,554,510,539,60615
2025-11-18,545.8,555,538.1,541.1,44476
2025-11-19,551.9,595.2,537,595.2,122135
2025-11-20,600,619,561,566,93546
2025-11-23,555,572,555,556,66360
2025-11-24,556,568,551,553,60367
2025-11-25,550,591,548.1,591,62170
2025-11-26,591,595,571,571,59458
2025-11-27,571,583,566.1,574,50931
2025-11-30,566.2,579,560,564,53028
2025-12-01,561,572.3,553.1,569.3,29522
2025-12-02,578,617,561.1,605,101883
2025-12-03,607,640,605.2,622.3,105304
2025-12-07,630,630,587.3,590,76902
2025-12-08,586,600,580.2,588,53314
2025-12-09,576.3,609.9,576.3,600,54340
2025-12-10,591.1,607,584,586,59011
2025-12-11,585,599,580,585,40600
2025-12-14,583,590,570,572,38697
2025-12-15,573.1,579,566,578.9,33111
2025-12-16,575,599,575,587,37183
2025-12-17,585.1,594.9,576.5,577,34031
2025-12-18,565.5,585,565.5,572.5,38804
2025-12-21,572,573.9,556,559.2,34872
2025-12-22,559,567.9,547,554.9,37623
2025-12-23,555,565,546.2,555,27206
2025-12-24,555,577,550,554,20131
2025-12-28,547,570,547,567.6,42156
2025-12-29,567.6,576,555,562,38260
2025-12-31,570,576,556,571,56574
2026-01-01,568,589.9,560,584.9,73078
2026-01-04,584,608,575.1,608,108114
2026-01-05,620,666,605,666,194735
2026-01-06,675,708,642.1,654,133901
2026-01-07,642,664,620,627,98577
2026-01-08,615,650,611.1,649.8,85496
2026-01-12,662,673.2,639.1,663,135533
2026-01-13,650,679.8,650,656,106947
2026-01-14,650,679,642,648,45157
2026-01-18,645,670.1,641,669,110938
2026-01-20,670,680.3,662,665,81375
2026-01-21,652,678,652,659,58017
2026-01-22,652,700,652,689.9,118951
2026-01-25,689,753,689,739.9,130833
2026-01-26,739,813.8,717,785,169437
2026-01-27,790,860,775,851,141936
2026-01-28,834,918.9,794,842,144499
2026-01-29,825.2,840,760,763,128908
2026-02-01,747.8,777,721,760.9,74101
2026-02-02,761,820,761,816,104728
2026-02-03,820,877,784,789,210982
2026-02-04,789.1,790,755.1,760,65853
2026-02-05,744.8,774.7,744.8,758,49424
2026-02-08,745,770,740.8,750,56122
2026-02-09,735,753,715,730,43473
2026-02-10,716,755,716,742,35517
2026-02-11,756.8,770,722,742,21483
2026-02-12,727.3,739.5,720,721,47798
2026-02-16,721,740,712,729,29374
2026-02-17,743.5,743.5,698,720,34915
2026-02-22,720,729,680,683,30816
2026-02-23,680,693,665,680,36742
2026-02-24,690,719,673.1,719,34247
2026-02-25,719,730,696,730,35376
2026-02-26,744.6,744.6,710,729,30786
2026-03-01,714.5,730,687,725,29714
2026-03-03,724,740,717.1,735.9,50814
2026-03-09,750.6,795.9,750.6,795.9,1360
2026-03-10,800,810,750,768,94315
2026-03-11,768,788,735.3,740,70389
2026-03-12,745,813,718.1,810,136276
2026-03-15,810,810,729,729,144193
2026-03-16,723,725,704.1,710,64393
2026-03-17,711,711,695,704,52110
2026-03-19,705,717.2,698.1,705.1,57051
2026-03-22,705.1,716,701,707,41639
2026-03-23,705,719,693,702,40522
2026-03-24,703,707.7,698,705,28442
2026-03-25,705,727,698,715,46970
2026-03-26,715,734,715,732.9,63123
2026-03-29,747.4,747.4,703,708,36728
2026-03-30,705,711,689,694,44493
2026-03-31,690,703.8,671.3,695,29377
2026-04-01,695,695,653.1,661,22369
2026-04-02,647.8,675,647.8,659.9,29697
2026-04-05,659.9,660,594,598,40562
