timestamp,open,high,low,close,volume
2022-10-23,179.7,179.7,179.7,179.7,73
2022-10-31,179.7,179.7,179.7,179.7,10
2022-11-01,179.7,179.7,179.7,179.7,20
2022-11-06,177.7,183.2,177.7,183.2,20
2022-11-07,186.8,198.1,186.8,198.1,50
2022-11-13,202,202,202,202,10
2022-11-15,202,202,202,202,11
2022-11-16,202,206,202,206,20
2022-11-17,210.1,214.3,210.1,214.3,20
2022-11-22,218.5,222.8,218.5,222.8,30
2022-11-23,227.2,231.7,227.2,231.7,20
2022-11-27,236.3,245.8,236.3,245.8,30
2022-11-28,245.8,250.7,245.8,250.7,20
2022-11-29,255.7,266,255.7,266,30
2022-12-01,271.3,292.6,271.3,292.6,60
2022-12-04,298.4,321.8,298.4,321.8,90
2022-12-06,328.2,348.1,328.2,348.1,47
2022-12-07,355,355,355,355,14
2022-12-11,362.1,376.6,362.1,376.6,36
2022-12-12,384.1,399.5,384.1,399.5,30
2022-12-13,407.4,407.4,407.4,407.4,10
2022-12-14,415.5,440.8,415.5,440.8,40
2022-12-15,440.8,458.5,440.8,458.5,30
2022-12-18,458.5,496.1,458.5,496.1,43
2022-12-19,506,545.7,506,545.7,50
2022-12-20,556.6,600.2,556.6,600.2,57
2022-12-21,612.2,649.5,612.2,649.5,40
2022-12-22,662.4,714.4,662.4,714.4,50
2022-12-26,728.6,785.8,728.6,785.8,90
2022-12-27,801.5,864.3,801.5,864.3,70
2022-12-28,881.5,950.7,881.5,950.7,90
2022-12-29,969.7,1045.7,969.7,1045.7,190
2023-01-01,1066.5,1150.2,1066.5,1150.2,220
2023-01-02,1150.2,1265.2,1150.2,1265.2,200
2023-01-03,1265.2,1391.7,1265.2,1391.7,1583
2023-01-04,1419.5,1530.8,1295,1375,15505
2023-01-05,1402,1512.5,1330,1512.5,5812
2023-01-08,1542,1662,1440.6,1599,8886
2023-01-09,1629.9,1630,1540,1560,5379
2023-01-10,1560,1591.2,1462,1463,4746
2023-01-12,1463,1492.2,1365,1380,4615
2023-01-17,1380,1405,1350,1392,3272
2023-01-18,1367,1402,1367,1376,2427
2023-01-19,1352,1375,1351.2,1360,1875
2023-01-23,1335,1387.3,1335,1346,2469
2023-01-24,1327.1,1356,1327.1,1351,2131
2023-01-25,1330,1397,1330,1367,2290
2023-01-26,1394.3,1421,1362,1365,1160
2023-01-29,1345,1369.9,1345,1369.9,1215
2023-01-30,1350,1360,1327,1332.1,1385
2023-01-31,1316,1338,1308.1,1312,1250
2023-02-01,1286,1325,1286,1311,1274
2023-02-02,1300,1326,1280,1297,1767
2023-02-05,1276,1280,1255,1258,1300
2023-02-06,1255,1260,1235,1260,730
2023-02-07,1275,1300,1261,1300,910
2023-02-08,1325,1350,1301,1340,1950
2023-02-09,1340,1340,1315.3,1337,768
2023-02-12,1310.3,1310.3,1280,1298.9,940
2023-02-14,1275,1290,1262,1280,830
2023-02-15,1256,1274,1235.1,1274,915
2023-02-16,1298.9,1298.9,1220.1,1220.1,790
2023-02-20,1196,1215,1196,1200.1,941
2023-02-22,1195,1198,1166.2,1185,1484
2023-02-23,1161.5,1161.5,1066.5,1066.5,1281
2023-02-26,1045.2,1087,959.9,1067,3309
2023-02-27,1088,1088.3,990.5,1020,2280
2023-02-28,1005,1020,990,1001,745
2023-03-01,995,1076,995,995,1470
2023-03-02,995,995,968,968,350
2023-03-05,950,987.3,920.3,920.3,1025
2023-03-07,901.9,940,896,911,758
2023-03-09,928,945,894,930,743
2023-03-12,920,929,880,897,1291
2023-03-13,880,895,863.1,895,880
2023-03-14,877.1,877.1,860.7,870,270
2023-03-15,860,880,845.1,859,585
2023-03-16,843,860,833.5,840,877
2023-03-19,825,845,825,828.2,560
2023-03-20,813,846.6,805,846.6,1054
2023-03-22,840,863,801,801,1332
2023-03-23,786,815,777,777,1430
2023-03-26,761.6,770,746,746.1,720
2023-03-27,746.1,761,725,725,1110
2023-03-28,725,780,725,754,731
2023-03-29,769,795.5,760,793,466
2023-03-30,780,799.9,765.6,768.7,411
2023-04-02,768.7,766.5,749,749,674
2023-04-03,750,752,734,751,240
2023-04-04,736,750,725,725,340
2023-04-05,739.5,768,730.5,731,205
2023-04-06,745,745,730,740,525
2023-04-09,725.4,739.9,725.3,725.6,210
2023-04-10,725,730,716,730,100
2023-04-11,730,743.9,725,743.9,342
2023-04-12,755,800,745,800,352
2023-04-13,816,816,760.2,762,975
2023-04-16,750,816,750,805,2526
2023-04-17,820,820,791,792,492
2023-04-18,790,807,776.7,785,185
2023-04-19,780.1,840,780.1,840,1233
2023-04-20,856.8,924,825,869.9,866
2023-04-23,870,870,810.1,829,825
2023-04-24,813,820,800.1,820,545
2023-04-25,836.4,870.1,791.3,791.3,925
2023-04-26,791.3,810,774.2,774.2,2690
2023-04-27,770,770,745,764,2344
2023-04-30,750,770.2,750,760,325
2023-05-02,745,759.9,740,740,390
2023-05-03,740,750,727.1,740,185
2023-05-04,726,740,720.1,723,570
2023-05-07,730,730,711.1,720,200
2023-05-08,720,725,690,690,824
2023-05-09,700,700,677,685.1,1554
2023-05-10,695,700,681.1,681.1,89
2023-05-11,680,681.1,667.6,667.6,874
2023-05-14,680.9,694.5,657.9,660,187
2023-05-15,651,674.7,651,660,645
2023-05-16,660,673,660,660,240
2023-05-17,660.1,675,660.1,674,287
2023-05-18,685,687.4,680,680,507
2023-05-21,689,700,675,675.1,1347
2023-05-22,688.5,690,668.2,675,220
2023-05-23,688.5,702.7,680,702.7,407
2023-05-24,702.7,742,702.7,741,1901
2023-05-28,741,745,730,745,579
2023-05-30,750,750,701,701,1624
2023-05-31,700,700,686,690,304
2023-06-01,690,706,690,691,538
2023-06-04,677.2,705,677.2,705,540
2023-06-05,706,706,686,700,490
2023-06-06,686,720,680,720,160
2023-06-07,720,734.4,711,720,520
2023-06-08,706,706,694,700,130
2023-06-11,686.1,728,686.1,716,1060
2023-06-12,716,730,716,717,240
2023-06-13,720,743.5,707,743,775
2023-06-14,743,786.5,733,751,1489
2023-06-15,750,775.1,741,770,1511
2023-06-18,785.4,801,757.1,768,545
2023-06-19,762,780,725.2,725.2,2767
2023-06-20,717,745,700.7,700.7,1853
2023-06-21,700.8,743,700.8,720,1561
2023-06-22,734,762.9,692,739.9,961
2023-06-25,730.5,741,712,725,1434
2023-06-26,710.5,789,710.5,775,6242
2023-06-27,784,845,768.6,838,4533
2023-06-28,854.7,871.7,806.5,826.2,1670
2023-07-02,811,811,745,773.5,3256
2023-07-03,777,780,750.2,751,3186
2023-07-04,766,766,737,749,745
2023-08-16,780,829,700.3,708,2066
2023-08-17,695.1,745,685,725,1922
2023-08-20,725,725,677.7,684,1332
2023-08-21,684,685,673,675.1,690
2023-08-22,670,675,663,663,916
2023-08-23,651,673,651,666,1435
2023-08-24,654,667,654,655,1133
2023-08-27,643,668,630,630,617
2023-08-28,618,633,618,625,858
2023-08-29,615,621,606,608,1151
2023-08-30,604,613,600,610,980
2023-09-03,597.9,617,589.2,600.1,403
2023-09-04,591,608,591,600,434
2023-09-05,595,600,592,596,282
2023-09-07,590,600,587,598,664
2023-09-10,591.1,595,586.1,593,1284
2023-09-11,583,606,583,603,341
2023-09-12,601,601,597,597,434
2023-09-13,586.3,622.2,586.3,621.9,761
2023-09-17,610,615,598.2,610,539
2023-09-18,598,638,598,617,606
2023-09-19,605,678,601,617,641
2023-09-21,620,651,620,640,1150
2023-09-24,640,655,631,640,729
2023-09-25,635,647.5,632,645,461
2023-09-26,654.9,657.9,635,656,693
2023-09-27,650,656,636.4,637.5,321
2023-10-01,630,634.4,620,625.1,367
2023-10-02,613.3,637.6,613.3,620.4,1318
2023-10-03,615.2,640,615.2,640,672
2023-10-04,628,663,625,635,1037
2023-10-05,635,635,623,626.1,440
2023-10-08,614.3,638,609,625,1215
2023-10-09,612.6,625,612.5,616,567
2023-10-10,606.1,621,600,620,268
2023-10-11,615,620,614.9,617,403
2023-10-12,605.3,607,600,602.6,532
2023-10-16,592,603.7,592,595,654
2023-10-17,595,606.9,583.7,600,393
2023-10-18,605,628,600,620,1552
2023-10-19,630,639.7,617.4,630,467
2023-10-29,630,630,598,618,277
2023-10-30,605.7,610,594,600,1050
2023-10-31,600,612,593,594,175
2023-11-01,594,615,585.2,604.2,353
2023-11-02,600,600,590,600,160
2023-11-05,600,602,590,595,740
2023-11-06,590,606.9,579,602,358
2023-11-07,614,614,592,593,224
2023-11-08,593,597,587,597,506
2023-11-09,590,590,580,590,100
2023-11-22,601.8,630,601.8,626,1105
2023-11-23,620,621,602.7,611.9,349
2023-11-26,620,626,590,626,808
2023-11-27,620,636.9,612.2,619,346
2023-11-28,608.5,631,608.5,612,455
2023-11-29,620,645,613,615.6,954
2023-11-30,605.2,621,605.1,610,1051
2023-12-03,600,608,599,605,387
2023-12-04,605,610.3,593.5,597,400
2023-12-05,585.1,611.6,585.1,594,439
2023-12-06,600,649.3,600,627.2,2199
2023-12-07,639.7,642.8,618.5,628,421
2023-12-10,640.5,652,640.5,652,20
2023-12-11,665,691.6,645,655,1965
2023-12-12,668,720.5,654.7,720.5,4089
2023-12-13,734,789,730,730,4184
2023-12-14,716,730,715.5,725,1228
2023-12-17,735,795.5,725,782.9,2550
2023-12-18,770,861.1,767.3,861,9938
2023-12-19,878,930,821.6,887.4,3275
2023-12-20,869.7,959,852.4,918,3477
2023-12-21,899.7,1009.8,868,1009.8,3886
2023-12-24,1010,1010,908.9,950,6038
2023-12-27,931,1033,875,1027,8294
2023-12-28,1027,1027,924.3,924.3,319
2024-01-01,905.9,910,863.1,881,5926
2024-01-02,864,895,863.4,895,3027
2024-01-03,877.1,925,862,923,2156
2024-01-04,904.6,996,887.2,923.1,7406
2024-01-07,904.7,1015,892,1015,4348
2024-01-08,1035,1035,913.5,1014,16529
2024-01-09,993.8,993.8,922.3,931,6900
2024-01-10,948,948,895,895.5,3648
2024-01-11,877.8,894,806,880,6988
2024-01-14,865,888.4,865,872,3010
2024-01-16,872,905,852,894,7330
2024-01-17,894,905,870,872.3,3318
2024-01-18,856,870,850,850,2276
2024-01-21,845,861.9,833.5,840,2163
2024-01-22,835,841,815,827,2381
2024-01-23,812,844,812,825,1775
2024-01-24,825,840,820,828,1279
2024-01-25,828,833,790,792,2062
2024-01-28,792,815,790,804,871
2024-01-29,819,819,801,814,956
2024-01-30,798,821,798,819,1151
2024-01-31,808,808.1,790,791,2351
2024-02-01,781.1,792,781,785,998
2024-02-04,771,815,770,795,1218
2024-02-05,810.9,810.9,785,790,606
2024-02-06,790,800,780.3,790,1204
2024-02-07,804.8,804.8,782.1,800,857
2024-02-08,785.1,802,785,790,584
2024-02-11,790,809.5,785.1,800.3,3585
2024-02-12,810,810,790,798,1190
2024-02-13,795,863.5,790,802.2,2799
2024-02-14,802,841,793,825,1566
2024-02-15,808.5,822.9,801,801,1038
2024-02-18,800,800,765,766.1,1593
2024-02-20,751,800,751,775,710
2024-02-21,766.3,780,766.1,772,463
2024-02-22,773,790.5,760,766,768
2024-02-25,766,817,760,817,1301
2024-02-26,800.7,806,786,790,1629
2024-02-27,790,853,782.1,853,2719
2024-02-28,836,840,811,830,1605
2024-02-29,820,830,798,800,2294
2024-03-03,784.1,810,784.1,810,1362
2024-03-04,826,842.5,826,842.5,20
2024-03-05,837.9,845,818,845,2601
2024-03-06,828.1,855,812.1,846.8,1912
2024-03-07,835.1,856,810,856,2619
2024-03-10,870,924,862,921.9,14313
2024-03-12,903.5,1013,903.5,979,8234
2024-03-13,959.5,1045.5,943.1,1045.5,5116
2024-03-14,1024.6,1024.6,961,990,4390
2024-03-17,970.2,998.7,960,968.1,6406
2024-03-18,987,1064.9,967.4,1064.9,14718
2024-03-19,1070,1171.3,1070,1171.3,11105
2024-03-20,1147.9,1288,1110,1280,9972
2024-03-21,1254.4,1408,1181,1408,9599
2024-03-25,1379.9,1544,1271.1,1544,14437
2024-03-26,1544,1544,1389.6,1399.6,8900
2024-03-27,1371.7,1454,1259.7,1454,26547
2024-03-28,1483,1483,1308.6,1308.6,8222
2024-03-31,1282.5,1379,1218,1379,13456
2024-04-01,1406.5,1406.5,1241.1,1300,13885
2024-04-02,1326,1326,1210,1296,11430
2024-04-03,1270.1,1295,1209,1278,19441
2024-04-04,1252.5,1320,1220.1,1285.1,10870
2024-04-07,1285,1290,1255,1255,6521
2024-04-09,1257,1280.1,1240,1243,6842
2024-04-10,1243,1248.9,1220,1223,5832
2024-04-14,1200,1269,1200,1216.6,3532
2024-04-15,1234,1264.4,1220,1225,5453
2024-04-16,1249.5,1249.5,1203,1203,1899
2024-04-18,1187,1205.6,1134,1155,3972
2024-04-21,1135,1193,1091,1147,3501
2024-04-22,1145,1165,1108,1130,3232
2024-04-24,1108,1159,1108,1134.9,1898
2024-04-25,1113.6,1210.7,1113.6,1117,1823
2024-04-28,1139.3,1190,1115,1142,4100
2024-04-29,1160,1183,1137,1169,4708
2024-04-30,1189,1189,1149,1170,2748
2024-05-02,1151,1268.8,1151,1215,6065
2024-05-05,1235,1259,1160.1,1200,7213
2024-05-06,1200,1200,1156,1160,706
2024-05-07,1139,1206.6,1139,1175,2050
2024-05-08,1175,1224,1170,1220,2943
2024-05-09,1220,1230.5,1152,1189,2791
2024-05-12,1189,1189.9,1156.5,1158,2925
2024-05-13,1160,1190,1160,1179,2345
2024-05-14,1162.3,1264.8,1162.3,1264,7247
2024-05-15,1265,1280,1200,1220,4295
2024-05-16,1230,1326,1220.1,1325,19023
2024-05-19,1351.5,1405,1328.9,1340,8196
2024-05-20,1350,1356,1275,1290,9441
2024-05-21,1300,1305,1265.1,1295,5484
2024-05-22,1289,1300,1260,1265.1,10140
2024-05-26,1275,1285,1235,1251.1,3246
2024-05-27,1250,1270,1220,1228,4268
2024-05-29,1228,1252.5,1190,1190,3253
2024-05-30,1199,1214,1176,1177,4418
2024-06-02,1179,1196,1160,1182,1910
2024-06-03,1200,1244,1160,1225,3966
2024-06-04,1240,1282.9,1211,1260,5027
2024-06-05,1262,1283,1242,1255,3992
2024-06-06,1250,1280,1240,1260,2823
2024-06-09,1260,1260,1200,1214,5615
2024-06-10,1190.1,1243,1190.1,1222.2,2444
2024-06-11,1222.2,1267,1220,1255,4519
2024-06-12,1259,1280,1216,1280,5863
2024-06-13,1305,1345,1305,1335,16558
2024-06-16,1335,1340,1280,1284,5209
2024-06-18,1258.4,1299.4,1233.3,1278,4395
2024-06-19,1302,1302,1255,1255,1852
2024-06-20,1270,1325,1252,1268,4080
2024-06-23,1288,1288,1227.2,1227.8,2845
2024-06-24,1252,1277,1226.5,1255,2598
2024-06-25,1276,1300,1254.4,1279,5259
2024-06-26,1295,1295,1246.2,1259,2370
2024-06-27,1260,1283.5,1241.5,1256,4618
2024-06-30,1237.6,1261.9,1236,1236,3138
2024-07-01,1236,1265,1236,1239,1882
2024-07-02,1263,1288,1251,1265,1567
2024-07-03,1289,1289,1230,1257.8,2495
2024-07-04,1259,1270,1247,1260,1237
2024-07-07,1279,1280,1250,1258,3623
2024-07-08,1258,1277,1240,1274,2051
2024-07-09,1274,1375,1274,1375,10854
2024-07-10,1402.5,1465,1402,1420.5,13144
2024-07-11,1408,1426,1394,1415,5640
2024-07-14,1443.3,1450,1375.2,1389.9,3347
2024-07-15,1395,1402,1359.4,1359.4,3616
2024-07-16,1386.5,1400,1332.8,1400,4619
2024-07-17,1385,1428,1385,1407,4127
2024-07-18,1425,1489,1420,1423,7012
2024-07-21,1430,1441,1401,1420,3836
