timestamp,open,high,low,close,volume
2023-06-08,261,287.1,250,287.1,30
2023-06-11,292.8,311,279.3,292,41826
2023-06-12,287,289.6,274.9,283.5,33479
2023-06-13,283,305.5,278,295,32792
2023-06-14,290,303.7,285,290,20048
2023-06-15,285,291,283.1,288.9,13645
2023-06-18,283.2,294,280,288,23489
2023-06-19,288,292,282.3,289,22744
2023-06-20,292,292,280,285,8314
2023-06-21,290,290,270.9,279,17871
2023-06-22,273.5,276,266,270,10461
2023-06-25,264.6,277,261.6,277,9820
2023-06-26,282,282,264,267,9980
2023-06-27,262.7,278.4,262,275,15335
2023-06-28,269.5,269.5,260,263,16091
2023-07-02,262,262,249.1,252.2,11395
2023-07-03,247.5,257,242,247,16563
2023-07-04,242.1,251,240.2,245,5390
2023-07-05,240.4,243,232.7,234.9,10875
2023-07-06,230.5,246,226.1,239.7,9178
2023-07-09,235,239.7,235,235,8040
2023-07-10,232,236.6,223.5,227.3,16880
2023-07-11,224.8,229,222,227.5,4049
2023-07-12,225,244,223,241,11827
2023-07-13,237.1,246.6,231.4,231.4,8899
2023-07-16,228,234,223.6,228,4465
2023-07-17,232.5,233,221.8,231,8295
2023-07-18,227,239,226.7,232,5435
2023-07-19,233,233,224,228.3,3135
2023-07-20,225,242.7,225,242.7,15045
2023-07-23,242,255,238,249,14804
2023-07-24,249,258,239.2,243,11654
2023-07-25,239,246.5,237,238,3315
2023-07-26,242,242,234,239.9,4720
2023-07-27,235.2,243.7,231.5,239.6,5101
2023-07-30,235,235,226.4,231,9818
2023-07-31,228.1,234.1,228,230,4848
2023-08-01,230,234,226.1,228,4186
2023-08-02,224.2,240,213,221,6077
2023-08-03,225,233,217,223,4425
2023-08-06,220,220,215.3,219,5296
2023-08-07,222,227.7,208,214,4480
2023-08-08,210.1,215,210,213,6700
2023-08-09,210.1,219.3,206.3,217.5,5875
2023-08-10,214,215.4,209.8,215,5910
2023-08-13,211,214,209.1,214,5680
2023-08-14,210,222,207.2,208.3,8574
2023-08-15,208,208,199.5,199.6,8220
2023-08-16,195.7,204,195.7,203,2590
2023-08-17,200,206.9,196.6,199,3715
2023-08-20,195.1,205,191.6,192.3,2805
2023-08-21,189,189.9,183.3,185.5,6820
2023-08-22,182,188.5,180,187.4,2310
2023-08-23,185,205.5,185,204,6030
2023-08-24,200,203,190,190,6072
2023-08-27,188.8,189.9,182.1,184,2154
2023-08-28,181,187,177.4,184,3670
2023-08-29,181,194.7,180.6,194.7,2113
2023-08-30,190.9,191,184,187.3,4455
2023-09-03,183.6,184,180.1,180.1,3228
2023-09-04,180,198.1,178,198.1,3056
2023-09-05,194.2,195.4,186.6,195,2340
2023-09-07,191.1,191.1,184,189,2210
2023-09-10,186,202,186,194.9,2625
2023-09-11,191.2,210,191.2,209.9,11616
2023-09-12,214,218.2,197,218.2,6047
2023-09-13,222.5,222.5,198.4,220,12113
2023-09-17,215.6,215.6,201.9,205,11897
2023-09-18,201,209.2,200,207,6865
2023-09-19,203,224.4,203,218.1,16259
2023-09-21,219,232.5,219,230,21862
2023-09-24,230,234.6,217.1,219,12761
2023-09-25,215,238,211.1,234,32423
2023-09-26,235,248,231,242,26608
2023-09-27,246.8,246.8,230,238,22541
2023-10-01,233.3,235,221,221.3,18875
2023-10-02,217,230.7,217,228.9,14576
2023-10-03,224.4,233,217,223,18065
2023-10-04,225,229,219.7,227,8627
2023-10-05,222.5,228,222.5,228,8301
2023-10-08,223.5,223.5,217.7,217.7,10723
2023-10-09,213.4,224,211.1,217,3913
2023-10-10,212.7,219.3,211,215,5320
2023-10-11,211,216,207,214,4370
2023-10-12,209.8,215,205,209,8457
2023-10-16,205,208,201,205,4115
2023-10-17,207,215.3,202.9,203,7926
2023-10-18,205,212.5,203,210,5395
2023-10-19,214,214,202.2,207.9,3072
2023-10-29,204,209,197.9,202.4,2970
2023-10-30,199,208,198,207,5530
2023-10-31,202.9,206.8,199.1,202,5220
2023-11-01,198,206,195,199.8,4270
2023-11-02,198,199,194.1,199,8680
2023-11-05,196,199,192,197.7,4143
2023-11-06,197,204,197,200.2,4320
2023-11-07,204.2,206,200,204,3430
2023-11-08,204,205,200.3,205,1650
2023-11-09,205.1,209,195.4,198,4900
2023-11-20,194.2,205,194.2,198.9,2780
2023-11-21,195,198,192.1,196,1250
2023-11-22,193,204,190,203.9,3922
2023-11-23,199.9,209.9,196.1,207,4765
2023-11-26,208,219,206,217.5,9122
2023-11-27,217,221,210.7,216.2,4468
2023-11-28,212,215.3,208.5,215.3,8009
2023-11-29,215.3,226,209.9,214,13427
2023-11-30,218.2,218.2,203,205,9175
2023-12-03,200.9,211.9,197.6,211.9,12186
2023-12-04,207.7,218.9,205,213,8583
2023-12-05,209,214,205.3,212,5400
2023-12-06,210,212,208.1,212,1747
2023-12-07,208.4,219,208.4,212,11114
2023-12-10,216.2,232,216.2,228,1190
2023-12-11,230,250.8,223.5,250.8,86347
2023-12-12,255.8,275.8,255.8,275.8,70469
2023-12-13,270.3,300.5,270.3,300.5,49678
2023-12-14,294.5,330.5,271.9,330.5,75235
2023-12-17,337,337,297.7,327,102511
2023-12-18,327,327,301.5,305.5,83666
2023-12-19,305,311.1,292.1,300,36398
2023-12-20,306,306,295,296.5,45551
2023-12-21,296,306,282,284.9,40977
2023-12-24,284,299,281,290,36778
2023-12-27,295.8,307,286,296,26721
2023-12-28,294,305,290,292.5,20417
2024-01-01,287,300,287,290.9,21133
2024-01-02,286,295.8,281,281.4,16173
2024-01-03,282,296,276.1,296,14590
2024-01-04,296,308.8,296,305,38940
2024-01-07,307,310,296,301.7,22650
2024-01-08,297.1,317.9,295.9,315.1,44590
2024-01-09,321,327,312,314,56812
2024-01-10,310.3,321.3,307.2,308.1,16101
2024-01-11,302,321.9,302,319.8,34601
2024-01-14,326,351.7,326,351.5,57036
2024-01-16,355,381.4,351.1,370,33381
2024-01-17,363,370,333,338,74468
2024-01-18,332,354,320,347.1,45498
2024-01-21,354,359,337.2,340,42468
2024-01-22,333.2,344.7,330,336,29690
2024-01-23,329.4,342.8,329.4,340,20580
2024-01-24,334,343.9,332.3,332.3,21423
2024-01-25,325.7,344,325.7,329,23188
2024-01-28,329,341.2,328,340,17455
2024-01-29,346.7,357,335,348.2,32342
2024-01-30,341.4,364,341.4,349,25744
2024-01-31,342.1,361,337,338,30363
2024-02-01,344.7,370,332,348,92944
2024-02-04,348,367,342,359.1,33581
2024-02-05,355,360,352,357,22686
2024-02-06,353,360,350,354,13835
2024-02-07,347,368,347,357,31996
2024-02-08,355,373.3,355,368,51274
2024-02-11,375.3,379.5,368,377.9,62312
2024-02-12,370.4,411,370,400,49427
2024-02-13,400,438.6,392.1,430,101488
2024-02-14,430,450,412.1,420,61005
2024-02-15,412,438,405,425,58281
2024-02-18,417,425,405,414,40905
2024-02-20,420,420,399.1,409.9,31437
2024-02-21,403.1,415,400,406.9,23777
2024-02-22,398.8,421,380,388.5,35341
2024-02-25,381.1,392.5,381.1,386.2,18573
2024-02-26,380.5,400.8,380.5,389.8,13406
2024-02-27,383,404,380.1,386,14177
2024-02-28,393,393,375.1,387,18600
2024-02-29,390,390,360.1,365,26647
2024-03-03,365,370,348,349.9,25974
2024-03-04,356.8,384.7,356.8,384.7,1510
2024-03-05,392.3,392.3,365,365,55112
2024-03-06,357.7,401.5,350.6,401.5,84337
2024-03-07,409.5,410,388.1,410,42935
2024-03-10,405,415,398,413,40432
2024-03-12,404.8,430,404.8,416.5,74348
2024-03-13,422,439,398,419,47575
2024-03-14,410.7,419.7,402.5,403,28829
2024-03-17,403,408,382.6,385.5,23104
2024-03-18,393.2,393.2,378.1,387.6,23592
2024-03-19,381.1,395,380,387,17244
2024-03-20,380.5,388.1,376.2,380,15549
2024-03-21,375,379,370.6,373,19814
2024-03-25,366,395.9,366,391,14931
2024-03-26,384,430.1,384,430.1,142111
2024-03-27,435,452,418.4,430,102901
2024-03-28,426,448,422,437.9,39644
2024-03-31,429.2,435,416,425,73234
2024-04-01,418,449,418,448,89791
2024-04-02,439.1,462,430.4,435,37254
2024-04-03,436,447.9,431,435.2,49202
2024-04-04,431.6,442.4,431.6,433.6,46044
2024-04-07,425,476,425,475,69461
2024-04-09,465.5,520,440,510,106191
2024-04-10,499.8,539,463,486.5,75944
2024-04-14,476.8,532,450,532,71495
2024-04-15,521.4,521.4,478.8,478.8,75414
2024-04-16,469.3,469.3,443,452,57091
2024-04-18,450,456,443,443.2,27224
2024-04-21,434.4,487,432,487,91317
2024-04-22,477.3,486.8,451.1,451.1,73072
2024-04-24,447,460.1,442.5,444,10886
2024-04-25,436,450,435,437,29392
2024-04-28,440,443.9,426.1,438,19577
2024-04-29,445,445,420,438,18155
2024-04-30,430,468,430,446,33968
2024-05-02,437.1,481,437.1,450,30223
2024-05-05,441,493,433,493,37383
2024-05-06,483.2,483.2,443.7,443.7,33955
2024-05-07,434.9,439,420.5,421,14418
2024-05-08,427.9,462,415,462,29356
2024-05-09,452.8,498,429,446.5,95851
2024-05-12,437.6,438.6,425,426,19345
2024-05-13,422.1,430,414,416,31945
2024-05-14,409,428.4,409,425,53971
2024-05-15,420.1,425.1,411,411,18726
2024-05-16,411.5,418,405,406,18367
2024-05-19,406,408,390.1,390.1,25793
2024-05-20,391.6,420,391.6,405,20543
2024-05-21,401,421,401,410,20298
2024-05-22,411,423.3,411,414,30722
2024-05-26,419.9,419.9,407,409,12151
2024-05-27,405,414.7,404,414,9610
2024-05-29,421.9,421.9,406,406,20583
2024-05-30,410,415.1,403,412.3,25113
2024-06-02,410,439,410,435,44764
2024-06-03,435,449,434,439,48339
2024-06-04,439,440,422,429.9,27840
2024-06-05,434.9,439,417.2,422,16609
2024-06-06,422,430.4,416,430,20101
2024-06-09,432,435,426,433,18821
2024-06-10,433,448.8,433,444,46205
2024-06-11,452.8,452.8,439,439,28758
2024-06-12,444,453,430.3,432,14209
2024-06-13,427,433.9,424,424.5,29386
2024-06-16,426,440,423,423.1,16504
2024-06-18,423,425,416,420.1,17282
2024-06-19,415,428.3,415,419,14210
2024-06-20,419,423,415.5,417,9234
2024-06-23,412,420,412,413.1,21026
2024-06-24,410,424,410,420,8866
2024-06-25,420,429.9,417,427.2,18422
2024-06-26,435.7,435.7,422.1,423,14861
2024-06-27,420.1,426,420.1,420.1,6138
2024-06-30,418,420,406.7,406.7,17535
2024-07-01,414,430,408,427.9,25646
2024-07-02,435,454,424.9,429,21768
2024-07-03,425,428,421,426,7303
2024-07-04,433,438,425,426.1,17176
2024-07-07,418,425.1,418,424,6896
2024-07-08,418.4,427,418.4,423,9080
2024-07-09,423,429.9,420.6,428.4,12544
2024-07-10,424,433.8,424,427,15186
2024-07-11,435.5,435.5,426,429,14536
2024-07-14,437,446,427.3,432,11167
2024-07-15,440,473,432,462,91727
2024-07-16,462,488.5,462,478.9,59940
2024-07-17,485,485,466.2,479.9,33980
2024-07-18,471,499,465.4,466.3,67988
2024-07-21,474,478,460,466,39044
2024-07-22,469,481.3,459.8,476.9,59523
2024-07-23,483,486.3,470,480.1,37403
2024-07-24,478,486,464,465,33025
2024-07-25,466,480,460,474,37494
2024-07-28,475,482,460,467.1,23709
2024-07-29,458,481.1,458,471,31486
2024-07-30,471,480,463,471,22028
2024-07-31,480,499,480,490,66004
2024-08-01,490,516.9,479,488.6,58639
2024-08-05,498.3,498.3,482,488.8,31498
2024-08-06,488,497,451,453,44246
2024-08-07,452,498.3,450,498.3,95470
2024-08-08,508.2,541,505,531.1,100242
2024-08-11,530,540,519.4,525,56498
2024-08-12,525,577.5,516,555,104753
2024-08-13,560,610.5,555,610.5,96855
2024-08-14,622.7,671.5,615,631,64020
2024-08-15,631,643.6,605,615.1,62514
2024-08-18,615,662,585,600.1,60181
2024-08-21,588.1,660.1,588.1,660.1,74500
2024-08-22,673.3,713,630,657,75406
2024-08-25,643.9,643.9,618,618,58724
2024-08-27,618,679.8,618,679.8,154091
2024-08-28,693.3,742,663,685,81378
2024-08-29,695,695,666.1,675.2,42459
2024-09-01,688.7,714,661.5,665.5,88341
2024-09-02,653.1,732,653.1,732,86033
2024-09-03,725,725,658.8,670,143467
2024-09-04,660,665,618,630,60522
2024-09-05,642.6,652,609,634.9,32800
2024-09-08,647,647,606.1,606.1,22854
2024-09-09,618,627,568,571,40139
2024-09-10,582,585,550,560,39544
2024-09-11,555,604,555,581,40496
2024-09-12,569.4,628,569.4,600,65968
2024-09-15,588,601,569,571,57183
2024-09-16,579,579,525,545,39947
2024-09-18,540,555,522.9,531,22690
2024-09-22,541.6,558,522,538,32564
2024-09-23,528.1,535,510,511.1,18094
2024-09-24,502.1,519,479.3,480,19825
2024-09-25,489.6,510,472.1,493,18288
2024-09-26,487,501.5,470,472,11812
2024-09-29,465,508.9,452.5,476,22863
2024-09-30,485.5,495,466.5,472,4348
2024-10-01,479.6,506,475.1,496,22090
2024-10-02,505.9,521,486.1,494,26569
2024-10-06,485,501.8,478,496,13646
2024-10-07,504.8,544,500,544,43576
2024-10-08,554.8,566.9,530.1,544,24979
2024-10-09,533.3,553.7,532.2,532.2,9782
2024-10-15,539,539,524.5,535,11700
2024-10-16,540,553,528,543,20366
2024-10-17,553,555,538.1,548.1,14842
2024-10-20,537.2,544.9,520,530,25753
2024-10-21,538,538,510,519,21631
2024-10-22,509.1,530,509.1,528,13885
2024-10-23,520.1,559,520,538,15160
2024-10-24,527.3,540.5,527.3,529,7460
2024-10-27,518.5,561,518.5,557.1,45481
2024-10-28,546,612.8,546,612.8,93107
2024-10-29,625,644,602.1,609,24509
2024-10-30,609,630,590,615,40573
2024-11-05,627,639,600,625.1,15803
2024-11-06,612.6,662.8,612.6,624,49027
2024-11-10,614.1,618,604.1,610.1,61965
2024-11-11,607,619,588,590,69196
2024-11-12,585,612,583,603.1,25562
2024-11-13,615,615,589,606,23747
2024-11-14,605,630,600,620,63339
2024-11-17,620,630,606.1,606.1,34075
2024-11-19,618,618,580,580.1,23197
2024-11-20,580,595,568.4,595,15476
2024-11-21,599,604.9,580,585,20800
2024-11-24,574,595,574,585,15125
