timestamp,open,high,low,close,volume
2022-01-02,182,193,171.9,191,16519
2022-07-14,203.55,218.9,197.5,207.5,127582
2022-07-15,210,210,197,204.6,27911
2022-07-17,204.5,204.5,196.05,200,18500
2022-07-18,197,204,195.1,201.5,14521
2022-07-19,201,206,198.75,199.55,13090
2022-07-20,200,201,195.5,196,18846
2022-07-21,193.2,200.5,193.2,193.6,12830
2022-07-22,196,196,188.25,189.5,14372
2022-07-24,189,193.5,185.75,193.5,20599
2022-07-25,193.5,203,193,203,24559
2022-07-26,201.5,204.5,195.1,199.5,17923
2022-07-27,196.55,201.75,193.75,200.95,18914
2022-07-28,200,209.5,197.95,201.75,42405
2022-07-29,202,206.5,200.05,206.5,16053
2022-07-31,206.5,209.5,204.05,208,33804
2022-08-01,204.85,220.5,204.85,216.8,45225
2022-08-02,220.1,226.95,211,222,30061
2022-08-03,218.6,238.5,218.6,227.5,29262
2022-08-04,227.5,233.6,220.5,232.5,49183
2022-08-05,232.55,232.55,222,225,23881
2022-08-07,225,229,221.05,224.5,21386
2022-08-08,221.5,228.5,221.5,224.5,43357
2022-08-09,221.05,228.5,219.25,219.25,30664
2022-08-10,215.95,222.6,215,220,16076
2022-08-11,217,237,217,226.5,37128
2022-08-14,223,232.5,220,224.75,20929
2022-08-15,221.5,242,218.2,240.5,42081
2022-08-16,244.3,245,230,230,61854
2022-08-17,230,248,230,246.5,66316
2022-08-18,242.6,249,242.5,242.6,31702
2022-08-21,246.45,254,231.3,240,60990
2022-08-22,236.5,236.5,228.05,230.05,50918
2022-08-23,227.9,231.5,224.75,225,22540
2022-08-24,227.5,230.5,221,225.5,32709
2022-08-25,222.5,231,218.7,218.7,19963
2022-08-26,220,220.5,212,214.5,21817
2022-08-28,212.5,214.9,205,207.5,27141
2022-08-29,205.1,210.65,205.1,209.9,17176
2022-08-30,209,212.65,206.85,209.5,12520
2022-08-31,212.65,219.2,205.45,211.5,10052
2022-09-01,210.05,213.5,205.5,213,18943
2022-09-02,216,218,208.05,208.05,7385
2022-09-04,211.2,217.5,207.8,210,11104
2022-09-05,210,216,206.5,206.5,10741
2022-09-06,205,209,204.6,205.5,7908
2022-09-07,202.65,206.5,202.5,206.5,10545
2022-09-08,209.6,209.6,200,206,10115
2022-09-11,209,212.3,202.9,209.6,11999
2022-09-12,206.55,206.55,203,203,10451
2022-09-13,203,207.45,201,205,7158
2022-09-14,202.5,211.5,202,209,16315
2022-09-15,206,209.95,200.5,202.5,10617
2022-09-16,199.5,200.5,194.25,198.75,13481
2022-09-18,197,197,187.8,188,13875
2022-09-20,185.25,190.5,177.75,181.05,10268
2022-09-21,178.45,186.3,178.25,180.95,7503
2022-09-22,180,182,177.5,177.5,19280
2022-09-25,177.5,177.5,173,173.5,3508
2022-09-27,175.5,179,170,175,4525
2022-09-28,172.5,175.3,172.5,174,2338
2022-09-29,175,176.45,172.5,174.45,3864
2022-10-09,175,179,173,176.5,1210
2022-10-10,175,177.5,172,172,4153
2022-10-11,169.6,171,167.5,171,2808
2022-10-12,171.5,174.5,167.05,172.5,4860
2022-10-13,173,177.95,171.1,176.85,5286
2022-10-16,174.35,175,171,172.5,2143
2022-10-17,170.5,172,168.6,172,2581
2022-10-19,171,171,166.7,168,5250
2022-10-20,165.65,168.5,163.5,167,2861
2022-10-23,164.7,169.2,163.55,167.95,4411
2022-10-31,165.6,165.7,163.35,165.05,1780
2022-11-01,162.75,176.55,162.75,175,7321
2022-11-02,175,179.45,170.6,177,12135
2022-11-03,174.5,177.5,172.25,177.45,9701
2022-11-06,175,184,170.05,184,6435
2022-11-07,185,186.2,179.7,180,6110
2022-11-08,180,182.5,177,177.4,3746
2022-11-09,174.9,179.5,170.25,171,4390
2022-11-10,168.6,173.4,164,166.5,8526
2022-11-13,164.5,170.8,163.05,167,3660
2022-11-14,165.05,170,165.05,170,1253
2022-11-15,168,171.45,166.1,166.1,2910
2022-11-16,164.1,169.45,164.1,169,1957
2022-11-17,167.15,174,167.15,174,4242
2022-11-22,174,175,168.5,168.5,8691
2022-11-23,166.15,169.5,166.15,169.4,3055
2022-11-24,167.05,170.35,167.05,170.35,1905
2022-11-27,168.15,174.5,168.15,173,3309
2022-11-28,171.05,177.95,171,171.5,6882
2022-11-29,171.5,175,169.5,173.5,1155
2022-11-30,172.5,173.25,168.65,173,1125
2022-12-01,170.55,175.45,168.5,172.5,2793
2022-12-04,170.1,175,167,172.5,3532
2022-12-05,170.5,172.5,168.35,171.9,4183
2022-12-06,170,170.5,167.25,169.95,3210
2022-12-07,168,170,167,167,2718
2022-12-11,165.1,167.5,158.5,163.05,4975
2022-12-12,163.5,168,162.6,164.45,8019
2022-12-13,163.05,167.3,163.05,166,1225
2022-12-14,166,168.5,164,168.5,4607
2022-12-15,166.15,166.15,162.5,164.25,1860
2022-12-18,162.5,164.5,162.5,163.5,2475
2022-12-19,161.3,163.5,161.3,163.5,1200
2022-12-20,161.25,164.85,161.25,162.15,4993
2022-12-21,160.05,162.5,160,161.45,3956
2022-12-22,162.5,162.5,158.5,161.5,2605
2022-12-26,162,168,162,166.5,3469
2022-12-27,168.8,172.9,167,169.5,15080
2022-12-28,168,179.05,168,173.5,5983
2022-12-29,171.1,179,170,179,12212
2023-01-01,181,181,173.65,180,16281
2023-01-02,182,193,171.9,191,16519
2023-01-03,193.05,193.05,185,186.15,18418
2023-01-04,187.55,195.75,185.05,194,12224
2023-01-05,195.6,198,188.1,195,22491
2023-01-08,197.55,197.85,188,193.6,16806
2023-01-09,196.45,201.4,192.1,201.4,23359
2023-01-10,199.55,207.55,192,194.45,36475
2023-01-12,197.3,200,184.3,188.5,18101
2023-01-17,186,200,184,197.45,25292
2023-01-18,195.1,204,195.1,199.75,46351
2023-01-19,197.55,206.05,197.5,201.5,18425
2023-01-23,203.5,204.5,195.15,197,21749
2023-01-24,195,197,190.5,195,11779
2023-01-25,192.1,207.55,192.1,207,43686
2023-01-26,210,216.5,204.55,213,33613
2023-01-29,210,217.5,208,212.5,34838
2023-01-30,210,219.05,204.05,206,40266
2023-01-31,202.9,209,200.2,205,23760
2023-02-01,206,208.95,202,205.5,13599
2023-02-02,208.5,208.5,200.05,201,14106
2023-02-05,200,205,200,202.5,16682
2023-02-06,202.5,202.5,197.15,199.45,13531
2023-02-07,197.5,211.5,197.5,210,20966
2023-02-08,207,213,206.5,207.5,19496
2023-02-09,206.5,209.5,205.15,207.55,10301
2023-02-12,204.5,205.5,199.45,199.45,13498
2023-02-14,197.1,203,197.1,201.9,15828
2023-02-15,199.6,207.5,199.6,204,11143
2023-02-16,201.1,205.5,198.6,200,17015
2023-02-20,200,210.5,198.65,208.25,18484
2023-02-22,210,222.5,208.6,222.5,51421
2023-02-23,225.95,225.95,212.5,214.5,21036
2023-02-26,211.25,218,205,217.5,32337
2023-02-27,217.5,218.5,206.35,211.5,36268
2023-02-28,210.5,218.5,210.5,213.15,27730
2023-03-01,215,215,207.5,209.85,21981
2023-03-02,209.5,209.5,204.55,204.55,14823
2023-03-05,201.55,205,200.05,201,11220
2023-03-07,201,210,200.05,206,6050
2023-03-09,205,212,203,211,9620
2023-03-12,211,213.5,205,205,16276
2023-03-13,202.9,208,202.9,207.5,8444
2023-03-14,204.45,209.6,204.45,209.45,9050
2023-03-15,207.5,208,205.1,207.5,4441
2023-03-16,210.6,210.6,204.6,207,7107
2023-03-19,204.5,210.05,204.5,207.5,4751
2023-03-20,205,210.1,205,210.1,4229
2023-03-22,207.05,210,206.4,209.95,5269
2023-03-23,206.8,207.5,203.8,206,9564
2023-03-26,203,206,202.5,202.5,7817
2023-03-27,200.1,206.5,199.5,204.05,5563
2023-03-28,201.65,210.1,201.65,205.35,11216
2023-03-29,205,206.5,203.5,206,3909
2023-03-30,203,209,203,203.5,2745
2023-04-02,203.5,206.5,200.5,200.6,11772
2023-04-03,198.5,200.5,197,197.55,11963
2023-04-04,200,201.45,195.05,196.05,4850
2023-04-05,194.55,198.5,194.55,198.5,2672
2023-04-06,195.75,198.5,195.75,196.95,4310
2023-04-09,199.5,199.5,190.55,192.55,6679
2023-04-10,193,199.5,190.55,193.1,8366
2023-04-11,190.55,196.2,190.55,193.75,1205
2023-04-12,191,204.5,191,204.5,16701
2023-04-13,207,207,198,201,7368
2023-04-16,198,201,197.55,198,2707
2023-04-17,196.1,199,195,197.9,3088
2023-04-18,195,197.5,193.1,195,7474
2023-04-19,194,198.5,194,198.5,5681
2023-04-20,196.55,199.5,196.15,198,7557
2023-04-23,197.4,197.4,193.75,194,1832
2023-04-24,191.15,197.5,190.2,194,5796
2023-04-25,191.2,195.35,191.2,195,2699
2023-04-26,193.5,196,191.5,193,5317
2023-04-27,193,194,190.5,191,3916
2023-04-30,190,194.55,187.5,190.5,5430
2023-05-02,187.7,190,187.5,189.45,2085
2023-05-03,189.45,189.45,185,187.5,1690
2023-05-04,184.85,187.5,183.2,187,7616
2023-05-07,185,185,180.5,181.5,2443
2023-05-08,179,184.1,178.95,181,2666
2023-05-09,181.05,186.75,180,183,950
2023-05-10,185.65,187.25,178.5,184.95,3710
2023-05-11,182.5,183.5,180.1,183.45,1740
2023-05-14,186,186,175.55,175.55,4108
2023-05-15,178,179,175,176.5,2693
2023-05-16,174.05,178.95,173.35,176.5,1210
2023-05-17,177.5,180.55,175,178.6,2390
2023-05-18,176.75,186.65,176.75,186.25,4572
2023-05-21,183.75,188.5,181.5,181.5,8354
2023-05-22,179.1,188,179.1,184.95,2915
2023-05-23,184.5,191,182.55,189.95,7877
2023-05-24,189,190.9,185.3,189,4545
2023-05-28,187.5,191.5,186.55,187.5,8306
2023-05-30,185,186.5,182.55,186.25,6715
2023-05-31,183.55,185.95,177.5,177.5,10529
2023-06-01,177.5,180.5,174.5,176,11310
2023-06-04,178.5,183.95,176.5,183.5,12401
2023-06-05,181,186.5,178.45,181.5,9546
2023-06-06,182.5,187.5,176.35,185,21653
2023-06-07,182.5,189.45,182.5,188.4,10281
2023-06-08,190,190,184.3,186,11495
2023-06-11,184.5,199,184.5,193.15,36483
2023-06-12,190.3,192.75,187.5,192.5,13080
2023-06-13,190,195.35,189.65,194.95,14147
2023-06-14,192.1,196.9,189.05,193,19373
2023-06-15,195.85,195.85,187,189,11023
2023-06-18,187,191.25,186,191.25,15662
2023-06-19,194,194,188.5,189.5,7044
2023-06-20,186.75,192,186.75,187.5,3238
2023-06-21,190.25,190.25,182.3,183.5,10964
2023-06-22,182,185.5,178.5,179.5,12393
2023-06-25,177,185.15,175.5,185,26830
2023-06-26,185.5,187.45,179,183.25,11517
2023-06-27,181,185,178.65,184.95,10878
2023-06-28,182.3,185,179.75,181.5,8133
2023-07-02,180,182,176.5,181,11130
2023-07-03,178.4,179,175,176,7845
2023-07-04,176,177,172.5,172.5,4350
2023-07-05,172.5,176.5,170.5,172.9,9931
2023-07-06,175,177,168.2,172.5,3090
2023-07-09,172.5,174.45,171,173.75,2887
2023-07-10,171.5,174.1,171.05,173.5,1710
2023-07-11,171.5,171.5,168.5,170.9,3415
2023-07-12,168.5,178.5,168.5,177.95,4262
2023-07-13,175.5,179.5,169.7,173.45,12898
2023-07-16,171,172.5,169.05,172.5,4513
2023-07-17,170.05,174.95,168.55,174.95,4047
2023-07-18,172.5,175,170.6,174,3830
2023-07-19,171.55,173,170.2,172.5,5674
2023-07-20,171,178.5,170.25,174.65,1816
2023-07-23,172.2,175,171,174.25,7185
2023-07-24,172.05,180,172,177,8571
2023-07-25,175,177.5,174.55,174.55,2518
2023-07-26,173.55,175.45,173.5,174.5,2610
2023-07-27,172.15,174.5,172.05,172.55,2700
2023-07-30,170.15,175,170,170.5,5125
2023-07-31,168.5,174.95,168.5,172.4,3864
2023-08-01,170.05,172,168.5,168.5,4435
2023-08-02,166.75,170,165.5,167,4449
2023-08-03,167,167.5,165.05,166.5,4080
2023-08-06,165,165,162.7,164.5,6551
2023-08-07,162.25,167.05,160.5,167.05,7813
2023-08-08,164.75,165,162.6,163.25,3054
2023-08-09,163,171.45,160,171.45,3410
2023-08-10,173.5,173.5,162.05,168.25,4535
2023-08-13,165.95,166,162.5,165,3410
2023-08-14,163,163,160,162,6450
2023-08-15,161,162,159.5,160.1,3914
2023-08-16,157.9,160,157.5,160,3169
2023-08-17,158,160.5,156.5,160.5,2200
2023-08-20,159.1,159.1,154.95,155,2964
2023-08-21,152.9,153.25,151.05,153.25,2977
2023-08-22,151.25,154.55,150.5,154.55,4336
2023-08-23,155,160,153,157,14172
2023-08-24,155,159.65,153,159,8878
2023-08-27,156.85,156.85,153.5,154.45,2627
2023-08-28,152.4,157,152.4,153,2357
2023-08-29,151,154,151,153.5,3793
2023-08-30,151.5,153.7,151.5,151.95,2250
2023-09-03,149.95,150.5,148.6,149.5,3875
2023-09-04,147.55,151.4,147.05,149.95,2898
2023-09-05,148.05,151.4,146,147.5,1610
2023-09-07,147.5,150.35,146.05,147.6,3393
2023-09-10,146.05,148.95,146.05,148.95,2006
2023-09-11,147.05,154,145.8,152.5,5444
2023-09-12,150.45,152.5,150,152,5280
2023-09-13,150.05,156.5,150,156,2791
2023-09-17,156.5,157.5,150.45,152.45,6011
2023-09-18,150.5,153.5,150.5,153.4,1325
2023-09-19,152.5,159.1,150.75,159,4709
2023-09-21,161.15,167.55,161.15,165.5,20382
2023-09-24,165,166.5,159,161,11615
2023-09-25,159,166,159,162.7,8709
2023-09-26,164.75,170,164.05,168.5,18112
2023-09-27,166.15,169.15,165,167.25,8595
2023-10-01,169.55,169.55,160.5,163.5,10040
2023-10-02,161.3,170,159.35,166,4100
2023-10-03,165,171.5,161.3,162.05,5795
2023-10-04,161.1,164.95,161.1,164.95,7104
2023-10-05,163.1,165.75,162,165,5900
2023-10-08,166,166,157.8,159.95,8587
2023-10-09,157.8,162,155,157.95,4220
2023-10-10,157.5,160.1,155.55,157.5,3320
2023-10-11,155.45,157.45,154.25,157.25,4110
2023-10-12,155.5,159.35,154.1,157.1,4527
2023-10-16,155,155.5,153.05,153.15,2040
2023-10-17,152.5,155,152.5,154.5,1725
2023-10-18,152.45,156.1,150.65,155.55,3280
2023-10-19,153.45,157,151.65,155,1150
2023-10-29,153,154,151,154,2530
2023-10-30,151.95,155.5,148.75,154.5,2060
2023-10-31,152.45,152.45,151.05,151.55,468
2023-11-01,151,154,150.05,151.5,1080
2023-11-02,150,152,149.55,151.85,2210
2023-11-05,149.85,150.15,148.1,149.05,2630
2023-11-06,148,151.1,148,150.95,3276
2023-11-07,150,153.5,149.5,153.5,4085
2023-11-08,153.5,155.3,150,153.45,1550
2023-11-09,152.5,153.5,148.85,150.6,936
2023-11-20,150,159.5,150,152.5,3065
2023-11-21,150.65,152.4,149.35,151.9,3408
2023-11-22,149.9,155.05,149.9,155,4320
2023-11-23,152.9,160,151.05,157,3816
2023-11-26,154.9,159.65,152.9,159.5,8410
2023-11-27,159.5,159.5,155.9,157.5,4237
2023-11-28,157.5,159.5,155.45,156.55,6320
2023-11-29,156.55,158.5,148.5,154.4,10038
2023-11-30,152.35,154.5,150,152.7,4581
2023-12-03,153,153.5,150.3,153.5,3780
2023-12-04,153,155.5,151.3,152.1,4266
2023-12-05,152.25,156,152.1,152.15,2966
2023-12-06,150.5,153,150.5,153,2820
2023-12-07,151,157.5,151,154.9,4066
2023-12-10,156.95,165.35,156.95,165,3696
2023-12-11,167.3,168.5,161,164.95,25454
2023-12-12,165,170.35,163.05,168.05,20706
2023-12-13,170,175,168.45,173.5,31459
2023-12-14,173.5,175.5,170,173.55,8812
2023-12-17,175.95,187.5,171.05,187.5,42773
2023-12-18,190,193.5,183,187.5,40639
2023-12-19,187.5,190.45,180.3,188.5,26553
2023-12-20,191.25,193.5,185.5,187,18628
2023-12-21,187,192.25,180.55,189.5,32383
2023-12-24,186.75,193.25,183,190,36086
2023-12-27,192.5,199.35,187.5,196.5,77296
2023-12-28,196.5,209.5,196.5,207,102207
2024-01-01,207,213.2,199.5,213.2,55467
2024-01-02,210,210,200.5,202.5,29657
2024-01-03,200,205.55,198,205.05,33555
2024-01-04,203.55,217.5,203.1,207,70369
2024-01-07,208.5,210.95,205.5,207.05,29944
2024-01-08,205,215,204,214,80020
2024-01-09,214,226.5,212,224.5,96900
2024-01-10,225,232,212.85,225.95,50982
2024-01-11,226.5,233,215.7,230.5,51619
2024-01-14,226.9,244.8,212.5,236.5,52785
2024-01-16,232.8,247,232.8,244.5,66499
2024-01-17,240.65,256,230,245,67355
2024-01-18,241.1,261.5,226.5,261.5,78513
2024-01-21,257.5,271,240.5,260,88419
2024-01-22,255.8,265.5,240.4,242.5,71953
2024-01-23,238.65,259.5,235.05,255.95,102096
2024-01-24,251.85,263.65,244,260,70536
2024-01-25,256.5,256.5,244.7,252.95,52341
2024-01-28,248.9,260,237.35,250,34176
2024-01-29,246,258.95,245,250,35260
2024-01-30,246,262,242.1,250.05,40523
2024-01-31,246.05,253.5,244.1,248.45,37403
2024-02-01,244.5,247.5,241.15,247.5,28820
2024-02-04,244.5,256.5,237,248.5,36642
2024-02-05,244.55,260,243,244,15512
2024-02-06,240.15,260.5,235,257.5,25570
