timestamp,open,high,low,close,volume
2022-12-14,216,237.6,216,237.6,8512
2022-12-15,242,261.3,242,261.3,4995
2022-12-18,266.5,287.4,266.5,287.4,10491
2022-12-19,293.1,293.1,258.7,264.5,30972
2022-12-20,259.3,278,255,271.2,4630
2022-12-21,265.8,297.9,265.8,297.9,5545
2022-12-22,303.8,303.8,276.2,286,9063
2022-12-26,281,309,281,309,9815
2022-12-27,314,329,302.1,325,11845
2022-12-28,320,333.5,308.2,328.7,6972
2022-12-29,328.7,334.7,310.4,326,7217
2023-01-01,325,340.6,321.1,327,5560
2023-01-02,321,328.9,315,328,10919
2023-01-03,322.3,340.6,322.3,340.6,5410
2023-01-04,333.8,374,327.2,374,10673
2023-01-05,366.6,411.4,352.2,411,7940
2023-01-08,402.8,440,379.3,418.9,9461
2023-01-09,410.6,423,400,423,9039
2023-01-10,430,431.2,388,424,10210
2023-01-12,416,416,393.4,404,11292
2023-01-17,396,415.2,388.4,414.9,5470
2023-01-18,410,426.5,395,405,7260
2023-01-19,398,428.9,391.1,405,8689
2023-01-23,413,413,391.2,399,2210
2023-01-24,391.1,407.7,385.1,406.9,6794
2023-01-25,400,417.9,392.1,415,10423
2023-01-26,406.7,425,398.7,410.5,8680
2023-01-29,402.3,451.5,397,451.5,16338
2023-01-30,460.5,478.3,438,444,13610
2023-01-31,435.2,474.3,430.5,470,13915
2023-02-01,470,508,462.1,499,10730
2023-02-02,489.1,499,466.4,477,11324
2023-02-05,467.5,486,446.9,451,9547
2023-02-06,442,465.3,442,455,10467
2023-02-07,445.9,477.6,437,470,8916
2023-02-08,460.6,475,455,469,9521
2023-02-09,459.7,493.9,442,493.9,9046
2023-02-12,484.1,503.7,465.1,497,13312
2023-02-14,487.1,494,473.6,488.5,8881
2023-02-15,478.8,488,462.6,474,7450
2023-02-16,464.6,498.4,457,466,5877
2023-02-20,457.1,466,448.9,448.9,6590
2023-02-22,440,486,440,475.1,7907
2023-02-23,465.6,468,450,450,4128
2023-02-26,441,461,432.4,458,4761
2023-02-27,448.9,466.7,443.1,466.7,6420
2023-02-28,457.4,470.2,448.3,469.2,1640
2023-03-01,460,462,451.5,451.5,6294
2023-03-02,443,460,435.1,444.9,5547
2023-03-05,436.2,448.8,427.5,427.5,2760
2023-03-07,427,448,425.4,439.9,2950
2023-03-09,431.2,457.3,431.1,449.7,1790
2023-03-12,445,453.9,425,447,3230
2023-03-13,439,460,431.1,450.8,2432
2023-03-14,445,448.8,435.1,448.8,2240
2023-03-15,439.9,457.7,432,457.7,2094
2023-03-16,466.8,466.8,444.5,464.1,3720
2023-03-19,454.9,460,442.1,453,2660
2023-03-20,444,460,444,458.6,3420
2023-03-22,466.9,475,443,473,7250
2023-03-23,463.6,463.6,446,460,4306
2023-03-26,450.8,450.8,431.7,431.7,4594
