timestamp,open,high,low,close,volume
2022-03-06,287.1,287.1,287.1,287.1,20
2022-03-07,287.1,298.6,287.1,298.6,34
2022-03-09,298.6,310.5,298.6,310.5,27
2022-03-10,316.7,341.5,316.7,341.5,70
2022-03-13,348.3,375.6,348.3,375.6,51
2022-03-14,383.1,390.7,383.1,390.7,20
2022-03-15,398.5,429.7,398.5,429.7,230
2022-03-16,438.2,472.6,438.2,472.6,270
2022-03-20,482,519.8,482,519.8,950
2022-03-21,530.1,571.7,530.1,571.7,1089
2022-03-22,583.1,628.8,583.1,628.8,1300
2022-03-23,641.3,691.6,641.3,691.6,1470
2022-03-24,705.4,760.7,705.4,760.7,4370
2022-03-27,775.9,836.7,775.9,836.7,8392
2022-03-28,853.4,920.3,853.4,920.3,8072
2022-03-29,938.7,1012.3,938.7,1012.3,3922
2022-03-30,1032.5,1113.5,1032.5,1113.5,12986
2022-03-31,1135.7,1224.8,1056.5,1224.8,79378
2022-04-03,1249.2,1347.2,1224.8,1347.2,7631
2022-04-04,1373,1481.9,1220,1470,47292
2022-04-05,1440.6,1440.6,1323,1323,2885
2022-04-06,1296.6,1296.6,1190.7,1190.7,3980
2022-04-07,1166.9,1166.9,1071.7,1112,41032
2022-04-11,1112,1150,1001,1001,30266
2022-04-12,1001,1060.8,926,935,19079
2022-04-13,916.3,1006,902,976,15093
2022-04-17,976,990,902,902,9317
2022-04-18,885,901,832,838,14645
2022-04-19,825,914,823,860,5294
2022-04-20,860,877,836,840,3114
2022-04-21,830,866.8,810,841,7026
2022-04-24,857.8,886,840.7,885,7160
2022-04-25,870,885,830,854,6708
2022-04-26,837,850,810.1,826.9,3979
2022-04-27,811,842.5,801.5,838,4639
2022-04-28,821.3,835,807,830,3905
2022-05-02,819,820,783,798,4744
2022-05-04,782.1,790,766.6,775,2154
2022-05-05,760,760,712,729,3435
2022-05-08,735,737,684.1,730,3595
2022-05-09,716,749,716,742,2610
2022-05-10,731,756,721,750,3655
2022-05-11,740,822,734,818,6472
2022-05-12,802,824,786,815.9,4857
2022-05-17,800,800,737.9,737.9,2326
2022-05-18,738,790,710,779,2135
2022-05-19,789,789,742,762,2195
2022-05-20,777.2,777.2,744,759,1911
2022-05-23,772.9,772.9,729.2,739.1,1497
2022-05-24,739,784.1,727.1,755,1800
2022-05-25,770,770.1,740.2,750,6730
2022-05-26,746,765,737.8,749.9,1970
2022-05-27,762,762,723.4,738,2400
2022-05-30,725.1,730,707.6,707.6,1552
2022-05-31,721.7,725,694.1,715,1522
2022-06-01,712,740,700,715,1360
2022-06-02,701.4,743,701.4,724,1650
2022-06-03,735,735,706,723,1545
2022-06-06,737,751,711,729,3787
2022-06-07,730,734,715.1,734,1421
2022-06-08,725,760,721,760,1699
2022-06-09,745,759.5,727,727,1701
2022-06-10,713.1,729,701,719,1405
2022-06-13,710,724.2,704,712.9,895
2022-06-14,701.1,710,683,683,4700
