timestamp,open,high,low,close,volume
2018-04-29,495.44,515.02,474.36,478.12,5440
2018-05-02,478.1,500.69,466.81,491.65,19051
2018-05-03,499.93,499.93,481.86,491.65,28360
2018-05-06,482.61,501.43,478.84,482.61,6806
2018-05-07,475.84,489.39,475.84,481.11,9642
2018-05-08,481.84,503.67,475.82,503.67,4739
2018-05-09,503.68,504.43,483.35,490.88,13120
2018-05-10,490.88,488.62,481.85,481.85,9005
2018-05-14,483.34,490.87,471.3,471.3,4437
2018-05-15,480.33,487.86,465.27,472.05,1849
2018-05-16,470.55,482.6,463.02,474.32,4131
2018-05-17,474.31,483.34,471.3,473.56,5330
2018-05-20,481.07,489.35,474.29,478.06,2447
2018-05-21,474.27,485.56,470.51,485.56,5718
2018-05-22,478.04,485.56,471.26,476.53,1450
2018-05-23,474.25,489.31,472.75,482.53,1604
2018-05-24,482.52,482.52,468.98,468.98,4580
2018-05-27,462.21,468.99,462.21,464.47,9448
2018-05-28,464.47,486.3,456.19,486.3,9675
2018-05-29,493.92,494.68,475.74,477.26,11597
2018-05-30,470.51,486.32,470.51,475.78,5305
2018-05-31,478.03,481.04,466.74,466.74,5055
2018-06-03,457.69,465.19,441.93,446.44,12369
2018-06-04,438.91,454.72,438.16,441.17,5185
2018-06-06,441.39,458.4,441.39,453.96,11010
2018-06-07,462.18,462.18,439.64,440.39,8035
2018-06-10,444.17,444.17,427.61,429.11,4335
2018-06-11,421.6,444.18,421.6,432.89,10251
2018-06-12,427.6,440.4,421.58,433.63,3890
2018-06-13,434.31,477.29,429.03,469.75,23228
2018-06-14,472.77,486.28,462.27,484.03,27640
2018-06-17,493.05,502.08,478.74,488.53,35147
2018-06-18,479.49,489.28,474.97,479.49,10805
2018-06-19,481.76,490.04,470.47,472.73,12890
2018-06-20,470.45,477.98,462.93,468.95,8990
2018-06-21,461.41,473.45,458.4,458.4,4402
2018-06-24,453.87,472.69,453.87,456.88,9348
2018-06-25,447.87,462.17,447.87,451.63,9966
2018-06-26,450.12,450.12,444.12,445.62,4678
2018-06-27,444.11,460.67,437.34,451.64,2425
2018-06-28,453.16,453.16,445.63,445.63,3360
2018-07-01,438.13,442.64,434.36,435.12,1040
2018-07-02,431.39,438.1,423.94,429.9,4453
2018-07-03,424.69,435.86,424.69,432.14,980
2018-07-04,424.7,444.07,424.7,443.33,3406
2018-07-05,443.32,467.91,443.32,465.67,8340
2018-07-08,469.4,469.4,455.24,457.48,19201
2018-07-09,458.24,464.2,449.3,453.77,4080
2018-07-10,453.77,458.24,440.36,453.77,11058
2018-07-11,461.99,473.17,456.03,458.26,22771
2018-07-12,467.2,467.2,438.14,447.08,12188
2018-07-15,447.07,450.79,442.6,450.79,3975
2018-07-16,453,467.98,447.01,456.74,4343
2018-07-17,456.75,456.75,449.3,449.3,970
2018-07-18,450.06,450.06,444.08,447.82,3175
2018-07-19,447.07,450.8,438.88,439.62,4448
2018-07-22,436.64,442.64,432.14,434.39,5270
2018-07-23,428.43,446.32,428.43,438.86,3209
2018-07-24,444.03,452.17,433.67,436.63,8626
2018-07-25,439.6,439.6,432.15,437.37,2530
2018-07-26,432.16,443.34,431.42,432.16,6183
2018-07-29,425.46,439.61,425.46,432.16,4310
2018-07-30,435.89,438.13,428.44,438.13,5103
2018-07-31,445.58,445.58,428.44,432.17,4420
2018-08-01,426.97,431.44,426.97,427.72,4160
2018-08-02,429.95,431.44,426.23,427.72,4080
2018-08-05,427.72,427.72,421.02,424,2950
2018-08-06,427.71,431.44,418.02,426.96,6869
2018-08-07,418.76,428.45,418.76,425.47,490
2018-08-08,417.28,423.99,417.28,418.02,2300
2018-08-09,416.55,418.04,415.81,415.81,3920
2018-08-12,416.56,416.56,405.39,408.37,3742
2018-08-13,403.06,418.05,399.32,415.8,700
2018-08-14,426.23,429.98,411.25,427.73,5032
2018-08-15,427.72,435.92,420.27,435.17,6896
2018-08-16,432.18,438.88,425.47,425.47,8283
2018-08-19,433.66,458.99,421.74,434.4,59551
2018-08-20,426.21,433.66,420.99,424.72,4520
2018-08-21,424.72,428.44,420.99,424.72,3841
2018-08-22,423.98,423.98,416.53,420.26,4525
2018-08-23,423.99,423.99,409.84,409.84,8163
2018-08-26,406.13,417.31,402.41,407.62,5430
2018-08-28,406.14,412.11,403.16,412.11,2700
2018-08-29,413.62,413.62,400.2,407.66,6065
2018-08-30,406.9,416.57,400.95,402.44,7918
2018-09-02,406.93,414.38,402.45,406.18,2955
2018-09-04,413.65,413.65,403.96,407.68,1326
2018-09-05,409.92,421.84,407.68,412.9,7238
2018-09-06,412.91,428.56,409.93,410.67,7089
2018-09-09,409.21,409.21,398.15,399.62,1835
2018-09-10,393.71,404.77,392.97,400.34,1570
2018-09-11,398.15,412.89,398.15,403.31,1330
2018-09-12,398.14,412.88,398.14,409.19,3910
2018-09-13,409.2,409.2,401.83,402.57,4876
2018-09-16,409.93,418.04,407.72,407.72,11699
2018-09-17,407.71,415.82,407.71,409.19,3090
2018-09-18,412.87,419.5,406.97,412.87,3511
2018-09-20,409.18,412.86,405.49,406.96,2680
2018-09-23,415.07,415.07,406.96,406.96,5578
2018-09-25,415.09,420.26,403.3,404.03,5000
2018-09-26,406.22,409.13,401.85,401.85,2709
2018-09-27,395.29,404.03,395.29,403.3,1543
2018-09-30,400.41,404.05,393.13,396.77,5131
2018-10-01,396.76,403.31,391.66,393.12,3900
2018-10-02,393.1,393.83,389.46,390.91,970
2018-10-03,388.01,391.66,385.82,387.28,3098
2018-10-04,387.26,390.18,382.17,389.45,3751
2018-10-07,385.83,393.83,382.91,385.83,2049
2018-10-08,385.09,392.35,379.27,380,1592
2018-10-09,386.53,386.53,374.9,375.63,3130
2018-10-10,378.52,382.89,372.7,372.7,950
2018-10-11,374.89,382.17,369.06,382.17,1578
2018-10-14,385.82,385.82,375.63,377.81,850
2018-10-15,385.1,392.38,377.09,377.09,750
2018-10-21,378.56,382.2,372,374.19,280
2018-10-22,369.81,374.91,369.81,371.27,760
2018-10-23,378.55,378.55,370.54,371.27,250
2018-10-24,371.27,377.83,371.27,377.1,1440
2018-10-25,377.1,380.77,374.18,378.57,2770
2018-10-28,377.08,377.08,364.73,370.54,1579
2018-10-29,370.54,370.54,364.72,368.36,1458
2018-10-30,368.36,375.64,364.72,368.36,1010
2018-10-31,363.97,370.51,363.25,363.97,1060
2018-11-01,363.97,366.16,356.69,363.97,3705
2018-11-04,356.69,371.25,353.05,367.61,1295
2018-11-05,377.14,377.14,362.49,369.08,1152
2018-11-14,369.07,371.33,363.06,367.57,155
2018-11-15,367.56,370.57,357.79,364.56,4990
2018-11-18,364.55,364.55,354.03,356.28,1388
2018-11-19,356.27,356.27,339.74,342.74,5506
2018-11-20,342.75,357.04,337.49,357.04,2442
2018-11-21,357.04,357.04,339,342,4466
2018-11-22,342,342,336.74,339.75,630
2018-11-25,339.74,342.74,335.23,335.23,1900
2018-11-26,335.22,336.73,324.7,324.7,2220
2018-11-27,324.69,330.71,324.69,326.2,6250
2018-11-28,326.21,338.23,326.21,337.48,180
2018-11-29,337.49,337.49,323.21,323.21,2826
2018-12-02,323.2,323.2,305.91,311.93,2964
2018-12-03,311.94,322.46,300.67,300.67,4607
2018-12-04,300.67,304.42,300.67,303.67,820
2018-12-06,303.68,315.27,302.91,308.32,370
2018-12-09,308.32,311.41,303.68,307.55,3065
2018-12-10,307.56,320.69,307.56,318.37,2530
2018-12-11,318.38,319.15,306.79,306.79,6375
2018-12-12,306.78,312.18,306.78,312.18,540
2018-12-13,312.2,322.24,309.88,319.93,2590
2018-12-16,319.94,330.76,318.39,323.03,3680
2018-12-17,323.02,340.8,319.93,340.8,4140
2018-12-18,340.8,344.66,323.84,324.61,4804
2018-12-19,324.62,330.02,317.68,319.22,1130
2018-12-20,319.22,326.16,319.22,324.62,4485
2018-12-23,324.61,345.43,323.84,343.12,15687
2018-12-24,343.13,356.24,336.19,339.28,9256
2018-12-25,339.28,339.28,331.57,331.57,1963
2018-12-26,331.58,352.4,331.58,352.4,7312
2018-12-27,352.38,359.32,336.19,336.96,10519
2018-12-30,336.96,356.24,336.96,343.9,8420
2018-12-31,343.89,350.83,337.73,346.21,6070
2019-01-01,346.21,350.07,340.04,340.04,2800
2019-01-02,340.05,341.59,334.65,335.42,2911
2019-01-03,335.42,336.19,330.02,333.11,5385
2019-01-06,333.09,333.09,330.01,330.01,490
2019-01-07,330.02,336.19,330.02,335.42,845
2019-01-08,335.42,341.59,333.11,333.11,1007
2019-01-09,333.11,335.42,331.56,333.11,935
2019-01-10,333.09,335.4,330.01,335.4,290
2019-01-13,335.4,335.4,326.92,326.92,852
2019-01-14,326.93,331.56,324.62,327.7,400
2019-01-15,327.7,360.08,327.7,360.08,10153
2019-01-16,360.07,360.07,347.73,353.13,5688
2019-01-17,353.12,356.98,347.73,352.35,387
2019-01-20,352.36,352.36,333.85,333.85,90
2019-01-21,333.87,347.75,335.41,338.5,5321
2019-01-22,338.51,340.05,332.34,336.19,3166
2019-01-23,336.19,351.61,333.1,346.21,3304
2019-01-24,346.23,347,339.29,339.29,2051
2019-01-27,339.3,340.84,334.67,340.07,800
2019-01-28,340.06,343.14,333.89,339.29,2980
2019-01-29,339.3,343.15,335.44,343.15,1430
2019-01-30,343.17,343.17,337.77,339.31,1340
2019-01-31,339.31,343.17,337.77,342.4,2430
2019-02-03,340.84,342.38,337.76,340.07,10385
2019-02-04,346.24,349.32,340.07,342.38,9360
2019-02-05,342.4,346.25,342.4,346.25,2145
2019-02-06,340.86,346.25,339.31,343.17,1604
2019-02-07,339.31,343.17,338.54,340.08,950
2019-02-10,336.24,340.09,336.24,336.24,1405
2019-02-11,330.85,338.56,330.85,338.56,1660
2019-02-12,337.79,338.56,331.62,335.48,1780
2019-02-13,334.71,335.48,326.99,333.16,3629
2019-02-14,326.98,333.15,322.35,330.06,1020
2019-02-17,328.53,330.07,326.98,327.75,630
2019-02-18,323.14,331.63,323.14,328.54,1630
2019-02-19,333.94,341.65,327.77,341.65,3235
2019-02-20,345.5,345.5,336.24,339.33,1270
