timestamp,open,high,low,close,volume
2019-02-17,166.67,166.67,130,130,60
2019-02-18,161.67,166.67,160,160,60
2019-02-21,155.33,160,160,160,0
2019-02-24,151,155.33,151,151,30
2019-03-03,147,151,147,147,30
2019-03-05,143,147,143,143,30
2019-03-06,139.33,143,138,138,60
2019-03-07,134.67,138,134.67,134.67,30
2019-03-17,131.33,131.33,131.33,131.33,30
2019-04-03,128.33,128.33,128.33,128.33,30
2019-04-09,125.33,125.33,123.33,123.33,70
2019-04-10,120.67,120.67,120.67,120.67,20
2019-04-11,118,118,116,116,30
2019-04-22,113.67,115.33,113.67,115.33,30
2019-04-23,113,113,113,113,60
2019-05-09,111,111,111,111,10
2019-05-19,109,109,109,109,30
2019-05-20,107.33,107.33,107.33,107.33,30
2019-05-21,105.33,105.33,105.33,105.33,20
2019-05-22,103.67,104.67,101.67,101.67,1339
2019-05-23,101,101,98.33,98.67,2260
2019-05-26,98.33,98.67,96.33,96.67,1245
2019-05-27,96.33,97,95,97,1050
2019-05-28,96.67,97,96.33,96.67,670
2019-05-29,96.33,98.33,96.33,98.33,760
2019-05-30,98,98.67,98,98,750
2019-06-02,98.33,98.67,96.67,96.67,1140
2019-06-03,96.67,97,96.33,96.67,950
2019-06-04,97,97.67,96,96,860
2019-06-06,96.33,96.67,95.67,96,770
2019-06-10,95.67,95.67,95,95.33,740
2019-06-11,95,95.67,95,95.33,590
2019-06-12,95,95.67,95,95.33,500
2019-06-13,95,95.67,95,95.33,320
2019-06-16,96.67,96.67,94.33,94.33,1010
2019-06-17,94.67,94.67,94,94,240
2019-06-18,93.67,95,93.33,94.67,430
2019-06-19,94.33,94.33,93.33,93.67,630
2019-06-20,93.67,94.33,93.67,94,300
2019-06-23,93.67,94,93.67,94,160
2019-06-24,94,94.67,93.67,94.67,980
2019-06-25,94.67,94.67,94.33,94.33,50
2019-06-26,94,94,93.33,93.67,300
2019-06-27,93.33,93.33,92.67,93.33,320
2019-06-30,93,93.67,93,93.67,190
2019-07-01,93.33,93.33,93,93.33,310
2019-07-02,93.33,93.67,93.33,93.33,250
2019-07-03,93,93.33,93,93,220
2019-07-04,93.33,93.33,93.33,93.33,240
2019-07-07,93.67,94.33,93.67,94.33,190
2019-07-08,94.67,95.67,94.67,95.33,740
2019-07-09,95.33,96.67,95.33,96.33,630
2019-07-10,96,96,95.33,95.33,160
2019-07-11,95.33,96,95.33,96,276
2019-07-14,96.33,96.33,95.33,95.67,310
2019-07-15,95.33,95.67,95,95,465
2019-07-16,95.33,95.33,94.67,94.67,430
2019-07-17,95,95,94.67,94.67,470
2019-07-18,94.67,94.67,94.67,94.67,90
2019-07-21,94.67,95,94.67,95,30
2019-07-22,94.67,95.33,94.67,95.33,70
2019-07-23,95,96.33,95,96.33,390
2019-07-24,96.67,97.67,96.67,97.67,825
2019-07-25,97.33,97.67,96.67,96.67,440
2019-07-28,96.33,96.33,95.33,95.33,220
2019-07-29,95,95,95,95,190
2019-07-30,94.67,94.67,94.33,94.67,180
2019-07-31,94.33,95,94.33,95,210
2019-08-01,95,95.33,94.33,94.33,540
2019-08-04,94.67,94.67,94,94.33,490
2019-08-05,94,95.33,94,94.33,1300
2019-08-06,94.33,94.67,94.33,94.33,170
2019-08-07,94.67,94.67,94,94.33,310
2019-08-08,94,94.33,93.67,94,290
2019-08-11,94,94.33,93.67,94.33,260
2019-08-12,94,94.33,93.67,94,380
2019-08-13,93.67,93.67,93.67,93.67,290
2019-08-14,94,94.33,93.67,94.33,170
2019-08-15,94.33,94.67,94,94.33,240
2019-08-18,94,94.33,93.33,94.33,360
2019-08-19,94,94.33,93.67,94,380
2019-08-20,93.67,94,93.67,93.67,240
2019-08-21,93.67,93.67,92.67,92.67,460
2019-08-22,93,93,92.33,92.33,140
2019-08-25,92,92.67,92,92.67,430
2019-08-26,92.33,92.67,92.33,92.33,180
2019-08-27,92.33,92.33,92.33,92.33,180
2019-08-28,92,92,91.67,91.67,150
2019-08-29,91.67,91.67,91,91,310
