timestamp,open,high,low,close,volume
2021-03-16,299,328,299,328,10180
2021-03-17,344,360,344,360,35073
2021-03-18,378,396,378,396,26620
2021-03-21,415,435,357,372,234228
2021-03-22,372,392,340,392,46079
2021-03-23,411,411,363,388,33100
2021-03-24,395,416,370,399,59650
2021-03-25,410,410,378,389,27990
2021-03-29,395,395,372,380,26750
2021-03-30,375,390,368,379,20562
2021-03-31,392,392,370,380,19019
2021-04-01,376,382,375,377,15316
2021-04-04,395,395,372,380,23391
2021-04-05,380,385,373,377,14635
2021-04-06,370,377,365,374,17225
2021-04-07,389,389,362,373,17195
2021-04-08,390,410,371,410,81011
2021-04-12,410,421,400,401,43508
2021-04-13,381,409,381,397,17889
2021-04-15,405,410,388,393,18195
2021-04-18,400,400,386,390,12353
2021-04-19,395,401,372,383,12456
2021-04-20,376,392,376,387,14831
2021-04-21,391,395,381,388,9608
2021-04-22,381,386,374,386,12225
2021-04-25,379,379,364,372,20901
2021-04-26,365,365,345,356,26868
2021-04-27,350,368,349,365,12989
2021-04-28,379,379,353,360,7244
2021-04-29,350,374,350,367,13195
2021-05-02,365,378,365,375,13085
2021-05-03,368,382,368,371,19169
2021-05-04,373,383,364,383,21924
2021-05-05,383,405,369,400,56811
2021-05-06,405,405,382,388,19453
2021-05-09,407,407,375,384,32899
2021-05-10,403,422,369,386,16664
2021-05-11,379,394,372,393,22186
2021-05-12,400,400,385,393,47981
2021-05-13,395,400,390,399,39488
2021-05-16,399,399,383,388,46265
2021-05-17,369,390,369,389,36107
2021-05-18,383,417,383,406,87505
2021-05-19,410,410,392,393,18488
2021-05-20,395,402,386,388,17114
2021-05-23,380,395,380,391,20910
2021-05-24,398,398,386,387,31570
2021-05-25,382,408,382,401,52861
2021-05-27,401,434,400,420,116366
2021-05-30,425,443,399,402,72953
2021-05-31,382,407,382,388,33760
2021-06-01,385,390,378,381,20792
2021-06-02,381,393,376,392,22681
2021-06-03,392,394,381,383,29683
2021-06-06,383,385,370,374,35202
2021-06-07,380,386,373,383,31129
2021-06-08,378,393,378,382,37584
2021-06-09,382,388,378,378,22164
2021-06-10,361,415,361,415,89320
2021-06-13,435,444,403,441,159930
2021-06-14,463,463,423,424,68732
2021-06-15,415,428,406,410,55734
2021-06-16,402,415,383,392,39748
2021-06-17,393,409,384,397,21852
