timestamp,open,high,low,close,volume
2022-01-02,305.45,316.36,305,316.36,16074
2022-04-19,246.45,271.09,246.45,271.09,292
2022-04-20,276.45,298.18,276.45,298.18,329
2022-04-21,304.09,328,304.09,328,2937
2022-04-24,334.55,360.73,334.55,360.73,23368
2022-04-25,367.91,396.73,339.09,362.73,117936
2022-04-26,363.64,369.09,340.91,354.55,31191
2022-04-27,354.55,354.55,341.82,350,19815
2022-04-28,354.55,356.36,342.36,343.09,17660
2022-05-02,336.36,337.27,308.82,325.45,33774
2022-05-04,326.36,326.36,292.91,295,39443
2022-05-05,289.27,293.64,275.45,276.36,17917
2022-05-08,276.36,287.27,262,281.82,21258
2022-05-09,286.36,286.36,270,277.27,9948
2022-05-10,282.82,286.36,271.73,279.09,16367
2022-05-11,279.09,304.09,275.64,295.91,21910
2022-05-12,298.91,305.45,285.09,291.55,18554
2022-05-17,289.09,289.09,265,265,15356
2022-05-18,265.45,279.09,258.45,277.27,16194
2022-05-19,272.73,278.18,263.64,272.73,13565
2022-05-20,268.18,278.18,263.82,268.18,7312
2022-05-23,262.82,268.18,259.55,260.36,7110
2022-05-24,259.09,270,256.45,264.27,9756
2022-05-25,267.91,271.82,259.45,264.09,4662
2022-05-26,264.09,271.64,260.09,264.55,9061
2022-05-27,263.64,268.18,259.45,263.55,10340
2022-05-30,259.09,268.18,254.55,255.45,6744
2022-05-31,250.91,254.55,246.36,254.55,9538
2022-06-01,250.91,257.18,246.73,250.91,4880
2022-06-02,246.45,254,244.64,246.36,5733
2022-06-03,241.82,252.18,241.82,246.36,9615
2022-06-06,245.45,254.45,245.45,245.45,6687
2022-06-07,240.91,248.18,236.55,237.36,8189
2022-06-08,232.73,260.91,232.73,250,11467
2022-06-09,250,255,241,241,7513
2022-06-10,245.73,265.09,245.45,265.09,27782
2022-06-13,270.36,291.55,270.36,291.55,33483
2022-06-14,297.36,320,269.64,272.73,59615
2022-06-15,267.27,278.18,253.64,264.09,21862
2022-06-16,269.09,281.82,254.55,274.55,12338
2022-06-17,272.73,280.82,265.55,273.18,11414
2022-06-19,268.27,271.64,262.09,263.64,12859
2022-06-20,258.36,258.36,249.64,252.55,12882
2022-06-21,254.55,265.18,249.45,264.27,13189
2022-06-22,259.09,260.55,252.73,260.55,9925
2022-06-23,255.36,255.36,241.82,241.82,11732
2022-06-24,240.91,265.18,231.91,250.91,7344
2022-06-26,250.91,272.27,250.91,270.91,15762
2022-06-27,265.55,272.73,257.27,260.91,14028
2022-06-28,255.73,264.09,251.91,258.91,11636
2022-06-29,254.55,281.82,250.91,280.18,24951
2022-06-30,280,293.64,275.45,287.27,25445
2022-07-01,283.64,292.73,279.09,280.91,17724
2022-07-03,277.27,296.36,275.55,292.73,32513
2022-07-04,295.45,300.91,281.82,295.45,37440
2022-07-05,289.55,300.91,281.82,286.36,22821
2022-07-06,282.09,287.27,277.27,286.36,12869
2022-07-07,286.36,296.36,280.91,285.45,16030
2022-07-08,285.45,285.45,271.82,276.36,10135
2022-07-11,272.91,272.91,258.18,258.18,9345
2022-07-12,259.09,272.73,257.27,263.09,11763
2022-07-13,257.91,275,257.91,270.91,13944
2022-07-14,265.55,281.82,265.55,281.82,22999
2022-07-15,282.73,283.64,270,275.91,11120
2022-07-17,270.91,280.91,270.73,272,10420
2022-07-18,267.27,281.82,267.27,279.09,13500
2022-07-19,279.09,298.18,278.18,294.55,45015
2022-07-20,289.09,299.55,287.82,289.18,18577
2022-07-21,284.55,306.36,284,294.55,40441
2022-07-22,300,300,286,291.82,27337
2022-07-24,290.91,320,287.27,318.18,71751
2022-07-25,322.73,338.18,313.64,336.27,58737
2022-07-26,329.64,336.18,313.73,322.64,43284
