timestamp,open,high,low,close,volume
2022-01-02,376.29,398.68,368.76,393.76,56324
2022-08-10,456.56,456.56,411.67,411.67,39935
2022-08-11,403.52,403.52,379.87,387.22,106384
2022-08-14,387.04,387.04,373.24,379.87,18955
2022-08-15,385.24,392.95,359.17,389.72,73423
2022-08-16,385.24,387.04,369.12,377.99,29833
2022-08-17,373.15,388.83,368.22,380.68,19105
2022-08-18,385.24,385.24,370.91,374.4,36151
2022-08-21,371.81,376.11,370.1,371.81,17196
2022-08-22,368.85,386.5,365.62,374.4,11844
2022-08-23,373.6,375.39,365.53,367.33,10994
2022-08-24,367.33,371.81,365.62,368.94,8711
2022-08-25,364.64,370.91,357.47,358.37,26968
2022-08-26,358.37,358.37,351.2,351.2,12876
2022-08-28,346.72,349.41,335.97,336.06,24649
2022-08-29,338.66,344.93,332.39,342.15,10683
2022-08-30,348.51,348.51,339.55,343.94,7955
2022-08-31,348.96,348.96,331.49,331.49,10845
2022-09-01,335.97,364.64,329.25,364.64,143616
2022-09-02,371.9,371.9,352.99,355.32,15502
2022-09-04,361.06,390.62,358.37,387.93,136843
2022-09-05,395.64,403.52,374.49,403.16,107791
2022-09-06,395.1,416.6,370.91,378.88,217023
2022-09-07,376.29,376.29,360.16,362.04,113241
2022-09-08,358.64,377.27,358.37,369.03,324764
2022-09-11,374.49,374.49,359.26,364.37,97751
2022-09-12,358.82,361.95,357.11,359.26,24198
2022-09-13,364.55,364.64,356.58,362.4,95720
2022-09-14,358.37,370.46,358.37,369.92,107208
2022-09-15,363.83,367.33,344.93,351.2,102070
2022-09-16,344.21,363.74,338.66,363.74,22169
2022-09-18,356.58,356.58,339.55,344.03,37496
2022-09-20,337.76,337.76,328.09,329.7,43519
2022-09-21,335.7,335.97,328,332.12,21990
2022-09-22,330.77,331.58,326.11,327.01,12540
2022-09-25,324.32,324.32,316.44,324.05,16852
2022-09-27,322.53,334.18,322.53,326.11,14044
2022-09-28,326.11,334.63,320.74,322.53,13456
2022-09-29,327.01,333.28,321.63,323.43,21240
2022-10-09,323.87,340.45,323.43,332.39,16093
