timestamp,open,high,low,close,volume
2026-03-12,101.7,111.8,101.7,111.8,150
2026-03-15,110.7,122.9,110.7,122.9,140
2026-03-16,121.7,135.1,121.7,135.1,150
2026-03-17,137.8,148.6,137.8,148.6,90
2026-03-19,147,163.4,147,163.4,190
2026-03-22,166.5,179.7,166.5,179.7,300
2026-03-23,176.4,197.6,176.4,197.6,250
2026-03-24,195.7,217.3,195.7,217.3,200
2026-03-25,215,239,215,239,270
2026-03-26,237.3,262.9,237.3,262.9,208
2026-03-29,264.6,289.1,264.6,289.1,410
2026-03-30,289.1,318,289.1,318,470
2026-03-31,316,349.8,316,349.8,370
2026-04-01,356,384.7,356,384.7,450
2026-04-02,381.7,423.1,381.7,423.1,590
2026-04-05,423.1,465.4,423.1,465.4,960
2026-04-06,474.7,511.9,474.7,511.9,1310
2026-04-07,513.7,563,513.7,563,1090
2026-04-08,574.2,619.3,574.2,619.3,1220
2026-04-09,610.7,681.2,610.7,681.2,2390
2026-04-10,694.8,749.3,694.8,749.3,2140
2026-04-13,764.2,824.2,764.2,824.2,4160
2026-04-15,840.6,906.6,840.6,906.6,3760
2026-04-16,924.7,997.2,924.7,997.2,5250
2026-04-17,1017.1,1096.9,1017.1,1096.9,11840
2026-04-20,1151.7,1261.4,1151.7,1261.4,292797
2026-04-21,1323,1450.6,1286,1386,159134
2026-04-22,1400,1404,1208.1,1237,228942
2026-04-23,1237,1237,1142,1180,188547
2026-04-24,1180,1225,1111,1195,111477
2026-04-27,1200,1225,1148,1148,105359
2026-04-28,1156,1156,1038,1060,189770
2026-04-29,1065.2,1065.2,995.1,1005,119051
2026-04-30,975.1,1045,956.6,1024,94735
2026-05-04,1000,1020,980,1000,51713
2026-05-05,985,1019,972,994,58778
2026-05-06,1000,1020,982,988,51679
2026-05-07,988,1004,986,994.4,37729
2026-05-08,995.3,1076,995.3,1073,132782
2026-05-11,1050.6,1107,1045,1065,90355
2026-05-12,1065,1077,999,1000,104518
2026-05-13,981.1,999,981.1,989,44049
2026-05-14,988,988,951,968.9,73005
2026-05-15,970,1005,963.5,985.1,51961
2026-05-18,966,997,966,975,25347
2026-05-19,980,980,956,958,34277
2026-05-20,957,986.7,950,976,42355
2026-05-21,980,989,955,960,49850
2026-05-22,970,1002,957.1,1000,86018
2026-05-25,1000,1042,999,1022.1,81719
2026-05-26,1007,1028.9,998,1008.7,63585
2026-05-27,1010,1010,986,988.1,41839
2026-06-01,984,987.7,953.1,955,51409
2026-06-02,955,965,950,958,30739
2026-06-03,958,975.9,955,960.1,23972
2026-06-04,960.1,965,920,925,64479
2026-06-05,925,925,875.3,886,97790
2026-06-08,880.1,885,856.3,859,54037
2026-06-09,850,882.9,835.2,865.9,47734
2026-06-10,850,884,850,880,28533
2026-06-11,870,879,857,857,26041
2026-06-12,865,865,839,842,35600
2026-06-15,842,859.9,837,839,32534
2026-06-16,839,858,825,839,32869
2026-06-17,839,839,822,823,20375
2026-06-18,815.1,829.9,811,820,25099
2026-06-19,810,824,805,815.3,19548
2026-06-22,815.3,835,805,815,25638
2026-06-23,806,810,770,775,48894
2026-06-24,761.1,785,741.1,756,51168
2026-06-25,740,767,740,753,22045
2026-06-26,755,765,748.1,755,27566
2026-06-29,750,750,730.1,730.1,28578
2026-06-30,729,743.8,721,721,20249
2026-07-01,703.1,745,703.1,738.2,34966
2026-07-02,738.2,745,722,735,14536
2026-07-03,748.6,748.6,723.1,727,24307
2026-07-06,722,730,698,700,27090
2026-07-07,700,714.8,686.2,700,24822
2026-07-08,700,700,665,669.1,25742
2026-07-09,650.2,669,650.1,658.9,16585
2026-07-10,658.9,677,650.1,654,22186
2026-07-13,654,660,632,635,19731
2026-07-14,630,655,620.1,643,24763
2026-07-15,650,668.9,641.1,650,15443
2026-07-16,650,662.8,640,644,20044
2026-07-17,650,699,650,696.2,44863
2026-07-20,708.1,726.4,681,725,48601
2026-07-21,722,745,710,721,47746
2026-07-22,705.3,721,700,706.9,33081
2026-07-23,700,770,690,760,73698
2026-07-24,779,810,770,779,88069
2026-07-27,779,780,715,720,53676
2026-07-28,719,745,702,724.1,41783
2026-07-29,725,740,715,717,30574
2026-07-30,717,729.8,696.7,704,28853
2026-07-31,696.6,722,696.6,720,22713
2026-08-03,715,738,715,725,22860
2026-08-04,738.4,738.4,703,710,20399
2026-08-05,700.1,716,700.1,712,20376
2026-08-06,702.5,721.9,702.5,709,16550
2026-08-07,701,708.9,692,699,21761
2026-08-10,690.1,698,682,686.3,21606
2026-08-11,687,698,676.2,679.5,19448
2026-08-12,676,688,665.5,669,14769
2026-08-13,669,691,665.6,679,18355
2026-08-14,679,688,673,680,16249
2026-08-17,675,680,670,670.1,12723
2026-08-18,669,687,666,679.8,31276
2026-08-19,680,700,670.1,679.1,13819
2026-08-20,670,679,669,674,15445
2026-08-21,670,687,650,662,34171
2026-08-24,662,669,645.1,646,15132
2026-08-25,645,653,625.7,633,30301
2026-08-26,627,633,613,616,27117
2026-08-27,602,640,602,628,18504
