timestamp,open,high,low,close,volume
2022-08-08,228,250.8,228,250.8,780
2022-08-09,255.8,275.8,255.8,275.8,1308
2022-08-10,281.3,303.3,281.3,303.3,6250
2022-08-11,309.3,333.6,309.3,333.6,74264
2022-08-14,340.2,361,315,316,56104
2022-08-15,316,331,305,327,24430
2022-08-16,333,335,314,317.1,28602
2022-08-17,315,327,310.7,325.9,19939
2022-08-18,332.4,355,322.5,355,62134
2022-08-21,362,362.1,336,337,25805
2022-08-22,334.7,343.7,328.3,335,17151
2022-08-23,335,335,326,332,13919
2022-08-24,332,339,321,335,23852
2022-08-25,328.4,341,323.6,329.9,15796
2022-08-26,323.4,325,318,322,8989
2022-08-28,315.6,318.2,301,303,24587
2022-08-29,297,311.1,290,300,14061
2022-08-30,302,309.5,296.2,296.2,9010
2022-08-31,292,297,283,284.2,11590
2022-09-01,280,298,273.1,288.4,14792
2022-09-02,287,305,280.1,286,3700
2022-09-04,286,293.8,283,290,4220
2022-09-05,285,294,281,288,9467
2022-09-06,292.7,292.7,274.1,276.1,13184
2022-09-07,271.2,279.2,271.2,279,7840
2022-09-08,284,286,270,285.9,7793
2022-09-11,280.2,285,276.7,276.7,5596
2022-09-12,272,275,268.1,268.1,5763
2022-09-13,273.1,281,265,270.7,4920
2022-09-14,272,287.6,272,287.6,11922
2022-09-15,287.6,290,267.2,268.1,14793
2022-09-16,262.8,273,255.2,261.8,7165
2022-09-18,267,267,248,250.1,12680
2022-09-20,246,246,233.1,240,9508
2022-09-21,242,251.7,237.3,239,5111
2022-09-22,235,247,225.4,232.5,9066
2022-09-25,227.9,231.1,216.7,222,5242
2022-09-27,218.1,230.9,214.1,218,5900
2022-09-28,220,224,217,218,1892
2022-09-29,214,226.7,214,219,1367
2022-10-09,219.1,224.5,219,223.5,2792
2022-10-10,220,226,216.1,223.9,6755
2022-10-11,219.5,223,213.8,217.6,3890
2022-10-12,215.1,223,213.3,222.3,3625
2022-10-13,220,223.5,216,222,2440
2022-10-16,218,222,214,218,4523
2022-10-17,215,220,214.2,220,2270
2022-10-19,216,216,211.1,212.9,3581
2022-10-20,208.7,211.1,204.9,206,3669
2022-10-23,202.1,208.9,202.1,208.8,2580
2022-10-31,212.9,212.9,206.4,210,3400
2022-11-01,210,220,206,219,11383
2022-11-02,223,225.9,216,224.4,5912
2022-11-03,220,227,215.7,217,1590
2022-11-06,213,224.4,213,223,3946
2022-11-07,220,233.3,220,226.5,11079
2022-11-08,222,225,219,221,3997
2022-11-09,221,222,210,218,9717
2022-11-10,218,218,207.5,217,6987
2022-11-13,213,213.9,208,212,2590
2022-11-14,207.8,220,205,220,1855
2022-11-15,215.6,218.5,212.1,214,2630
2022-11-16,210.1,219.3,210.1,217.8,2621
2022-11-17,220,234,217.1,225,11989
2022-11-22,225,231.4,218.1,223,3152
2022-11-23,219,222,215.3,219,1520
2022-11-24,215.1,220,215.1,219,1130
2022-11-27,215,229.5,215,229.5,9560
2022-11-28,225,230,221,224.8,2791
2022-11-29,220.4,224,217.1,224,1250
2022-11-30,220.2,226,220.2,222,4192
2022-12-01,226.4,226.4,215,220.3,4456
2022-12-04,220,227,220,226,9131
2022-12-05,222,223,217.1,219.5,4197
2022-12-06,215.2,220.5,215.2,220,3596
2022-12-07,216.1,218.9,215,215.2,6045
2022-12-11,214,215,207,212.8,4145
2022-12-12,209,221,208,219,3095
2022-12-13,214.8,219,214,219,2490
2022-12-14,223,223,211.1,217,2478
2022-12-15,221,225.6,210.2,211.6,2727
2022-12-18,208,210,205.8,209,5006
2022-12-19,205.1,210,205,209.8,3555
2022-12-20,205.7,211.6,202.1,211.4,3900
2022-12-21,207.2,211,204,205.3,5864
2022-12-22,202,211.4,202,206,3355
2022-12-26,210.1,218,208,218,6290
2022-12-27,221,237,215.1,230,24498
2022-12-28,230,234.5,218.7,226,14750
2022-12-29,221.5,238,221.5,235.1,15315
2023-01-01,239,243,222.1,229,22701
2023-01-02,224.5,236.6,221,230,9871
2023-01-03,228,239,227,230.9,9630
2023-01-04,234,253.9,227,253.9,39365
2023-01-05,258.9,279.2,251,279,41990
2023-01-08,279,284.5,266,272.9,31210
2023-01-09,275,300,267.7,292,31872
2023-01-10,297.8,310,265.5,277,53034
2023-01-12,279,288,260,262,32865
2023-01-17,267.2,288,252,287.7,43809
2023-01-18,287,306,287,300,65051
2023-01-19,300,317.2,294.1,317.2,39177
2023-01-23,322,322,292.3,292.5,64224
2023-01-24,290,296,277.4,288.9,26366
2023-01-25,294,310,278,299.8,31489
2023-01-26,304.9,312,295.1,307.1,33333
2023-01-29,308,311,295,307,37312
2023-01-30,300.9,307,285,290.9,34539
2023-01-31,285.1,297,280,289,16896
2023-02-01,289,294,284.3,291.8,13770
2023-02-02,290,294,278.7,281,15502
2023-02-05,280,288.1,276.4,278,13587
