timestamp,open,high,low,close,volume
2025-09-01,252.2,267.5,252.2,267.5,60
2025-09-02,272.8,294.2,272.8,294.2,60
2025-09-03,289.7,323.6,289.7,323.6,110
2025-09-04,319.3,355.9,319.3,355.9,160
2025-09-07,355,391.4,355,391.4,230
2025-09-08,399.2,430.5,399.2,430.5,250
2025-09-18,439,473.5,439,473.5,290
2025-09-21,465,520.8,465,520.8,2380
2025-09-23,531.2,572.8,531.2,572.8,2710
2025-09-24,584.2,630,584.2,630,4010
2025-09-25,642.6,693,642.6,693,3810
2025-09-28,706.8,762.3,666.4,688,76236
2025-10-07,674.3,674.3,619.2,651.1,39857
2025-10-08,645,652,616.6,625,28090
2025-10-09,637.5,663,620.2,630.1,16468
2025-10-12,620,625,605,608,15730
2025-10-13,600,637,597.1,636,11440
2025-10-14,636,642,607,619,9370
2025-10-15,631,631,601,606.1,8176
2025-10-16,600,606,594.1,602,11442
2025-10-19,595,600,585,595,6556
2025-10-26,595,597,586,595,2055
2025-10-28,588.1,620,588.1,618,9500
2025-10-29,610,627,606,613,7080
2025-10-30,603,620,600,615,10128
2025-11-02,605.5,646,605.1,646,16879
2025-11-03,646,650,626,635,9340
2025-11-04,630,636,617.4,624,7138
2025-11-05,613,624.7,613,622.7,7197
2025-11-06,615,625,608.5,610,7848
2025-11-09,600,612.5,600,602,10426
2025-11-10,595,610,595,597,7150
2025-11-11,585.1,609,585.1,608,7320
2025-11-12,597,602,594,599,5670
2025-11-13,595,612,595,600,9741
2025-11-16,595.4,617.1,595.4,604.1,9133
2025-11-17,601.1,633.4,601.1,622.7,18153
2025-11-18,622,678.3,622,676.9,31242
2025-11-19,663.4,744.5,663.4,744.5,56113
2025-11-20,729.7,810,715.2,788.5,51453
2025-11-23,772.8,854,750,826.2,61076
2025-11-24,809.7,884,809.7,884,40393
2025-11-25,866.4,952,821,931,44943
2025-11-26,912.4,984,880,938,47659
2025-11-27,919.3,973,865,865,44361
2025-11-30,847.7,917,847.7,907.1,36262
2025-12-01,889,940,878,933.3,20090
2025-12-02,914.7,1002,882.3,960,38731
2025-12-03,940.8,1035,922,1020,56494
2025-12-07,1020,1097.9,985.2,1010,58924
2025-12-08,989.8,1071,940.4,1030,71075
2025-12-09,1009.4,1050.6,949.8,990,37481
2025-12-10,970.2,971,923.3,940,20829
2025-12-11,921.2,943,900,921,34226
2025-12-14,939.4,958,902.3,935,37413
2025-12-15,916.3,950,866,870,24741
2025-12-16,852.6,899,845,853,24683
2025-12-17,853,889,840,855.5,25652
2025-12-18,838.4,873,825,848,20025
2025-12-21,831.1,873,831.1,840,14274
2025-12-22,825.4,840,803.1,803.1,22903
2025-12-23,787.1,826,787.1,825.4,19025
2025-12-24,808.9,881.2,808.9,860,50360
2025-12-28,860,895,830,885,34201
2025-12-29,885,900,846,863,33092
2025-12-31,850,878,841,841,27418
2026-01-01,824.2,924,824.2,909,61540
2026-01-04,909,909,878,902,32730
2026-01-05,884,992,884,979,81879
2026-01-06,985,1005,924,935.3,41564
2026-01-07,916.6,949,899,944,24634
2026-01-08,925.2,1000,913,947,37445
2026-01-12,928.1,972,910,935,46198
2026-01-13,922,957,905,913,42562
2026-01-14,913,919,891,899,21208
2026-01-18,882,930,882,919,26544
2026-01-20,934.9,936,902,919,32744
2026-01-21,920,925,895,900,23726
2026-01-22,900,955,891,950,63128
2026-01-25,931,1045,931,1045,96219
2026-01-26,1065.9,1149.5,1045,1149.5,82463
2026-01-27,1170,1264,1158,1171,63815
2026-01-28,1147.6,1213,1061.8,1150,63226
2026-01-29,1150,1174,1035,1050,67887
2026-02-01,1029,1050,980,980.2,34438
2026-02-02,960.6,1078.2,960.6,1078.2,47789
2026-02-03,1056.7,1143,1041,1068,32280
2026-02-04,1046.7,1100,990.1,1037.5,22088
2026-02-05,1050,1050,989.8,1009,28766
2026-02-08,1010,1034,990,1000,22446
2026-02-09,1000,1015,936,958,30313
2026-02-10,938.9,1024.9,938.9,985,29986
2026-02-11,1000,1004.7,940,958,17687
2026-02-12,950,978,935.2,956,14019
2026-02-16,941,978,937,957,17505
2026-02-17,950,975,930,937.9,17947
2026-02-22,919.2,940,903.6,905,12777
2026-02-23,886.9,969,886.9,958.9,27929
2026-02-24,939.8,979.2,939.8,970.2,21992
2026-02-25,970.2,1005,951,1000,22686
2026-02-26,980,1060,965,1060,24397
2026-03-01,1038.8,1038.8,960.4,1015.9,25784
2026-03-03,995.6,1044,976.1,1016,32609
2026-03-09,1036.3,1117,1036.3,1117,1605
2026-03-10,1117,1117,1029,1046,39493
2026-03-11,1050,1050,990,1014,36524
2026-03-12,995,1028,977,999,25383
2026-03-15,1014.9,1018,963,966,21244
2026-03-16,966,971,941,941,14001
2026-03-17,946,995,943,967.9,9350
2026-03-19,979,985,956,970,11510
2026-03-22,970,985,950.7,962,15667
2026-03-23,950,969,940.1,958,15172
2026-03-24,958,976,940,945,8388
2026-03-25,935.1,985,935.1,980,19591
2026-03-26,980,1032,975,1025,39897
2026-03-29,1005,1009,975,975,26565
2026-03-30,972,990,937,961,14315
2026-03-31,960,965,928,959,10433
2026-04-01,942,944,910,931,11755
2026-04-02,914,928,880.2,910,8341
2026-04-05,892,892,819,827,15686
