timestamp,open,high,low,close,volume
2023-06-22,307.02,334.3,307.02,334.3,1694
2023-06-25,340.96,367.72,340.96,367.72,5728
2023-06-26,368.42,404.47,368.42,404.47,4364
2023-06-27,412.54,444.91,412.54,444.91,24091
2023-06-28,453.51,489.39,453.51,489.39,1523712
2023-07-02,499.12,503.51,480.7,481.58,762109
2023-07-03,480.7,481.58,464.91,466.67,443519
2023-07-04,475.96,475.96,456.49,464.04,214583
2023-07-05,469.3,469.3,442.98,446.32,270713
2023-07-06,451.75,454.39,430.7,435.96,308562
2023-07-09,438.6,449.82,431.58,436.84,371250
2023-07-10,438.6,447.37,428.16,429.65,504920
2023-07-11,434.21,440.35,428.07,429.82,258735
2023-07-12,429.82,441.23,425.61,435.26,186206
2023-07-13,438.6,450.88,436.84,444.74,318517
2023-07-16,444.74,451.67,442.11,444.74,308820
2023-07-17,453.6,453.6,440.35,452.63,212261
2023-07-18,452.81,460.53,450,450.53,301695
2023-07-19,452.63,452.63,446.14,447.37,164408
2023-07-20,438.42,451.75,438.42,442.89,173777
2023-07-23,444.74,452.63,442.11,448.07,206880
2023-07-24,445.61,450,438.68,438.95,193182
2023-07-25,438.95,442.11,430.18,431.4,123003
2023-07-26,436.84,437.72,425.44,427.28,142367
2023-07-27,429.82,431.58,419.3,419.3,173200
2023-07-30,419.3,425.44,410.53,412.28,115672
2023-07-31,415.7,421.93,411.05,415.79,96879
2023-08-01,411.23,421.05,405.35,408.77,110535
2023-08-02,408.77,411.23,402.37,410,88138
2023-08-03,414.91,416.58,407.02,410.53,72155
2023-08-06,402.37,414.56,395.61,401.75,99712
2023-08-07,401.75,409.65,394.74,398.25,68555
2023-08-08,394.91,401.75,387.72,390.35,61829
2023-08-09,394.74,407.89,384.65,406.93,119634
2023-08-10,408.77,410.53,400.88,400.88,79935
2023-08-13,400.88,408.77,398.42,405.26,88083
2023-08-14,408.77,411.32,397.37,397.54,58115
2023-08-15,394.74,403.51,394.74,395.18,107956
2023-08-16,394.74,394.74,386.93,387.89,41181
2023-08-17,387.72,394.91,387.72,390.35,64326
2023-08-20,385.96,399.04,385.96,388.6,63429
2023-08-21,389.47,392.11,384.21,387.63,47478
2023-08-22,387.72,390.35,383.33,390.26,42882
2023-08-23,386.84,402.63,386.84,397.37,84462
2023-08-24,397.37,400,386.49,387.72,74208
2023-08-27,387.72,388.51,381.67,384.12,64554
2023-08-28,381.58,389.39,381.58,383.33,36845
2023-08-29,390.35,390.35,378.25,379.21,35054
2023-08-30,379.3,383.33,376.32,377.19,39652
2023-09-03,375.96,377.19,366.75,368.42,51126
2023-09-04,368.42,372.81,361.4,366.67,42146
2023-09-05,368.16,373.6,362.28,364.91,35954
2023-09-07,361.05,368.42,359.65,361.4,45182
2023-09-10,368.6,368.6,358.77,360.35,27188
2023-09-11,356.14,380.7,356.14,373.68,59113
2023-09-12,380.7,380.7,366.67,371.67,58074
2023-09-13,371.93,385.53,369.47,385.09,56905
