timestamp,open,high,low,close,volume
2019-05-22,130,130,122,122,8556
2019-05-23,122.5,122.5,115,115,3400
2019-05-26,112,117,108.5,117,54300
2019-05-27,116,116,111.5,115.5,8888
2019-05-28,115.5,116.5,114,116.5,11700
2019-05-29,115.5,123,115.5,123,18950
2019-05-30,124,130,124,130,16414
2019-06-02,131.5,134,123.5,126,36836
2019-06-03,126,127.5,122,127.5,14610
2019-06-04,128,128.5,124.5,124.5,6100
2019-06-06,125.5,127,124,124.5,3810
2019-06-10,125,127,123,123.5,9085
2019-06-11,124.5,127.5,123.5,124,5020
2019-06-12,123.5,127.5,122,124,3430
2019-06-13,123,125,122.5,123,4250
2019-06-16,124,126,122.5,126,3470
2019-06-17,124.5,126,121.5,124,3990
2019-06-18,123,123,121,123,1190
2019-06-19,122,126.5,122,122,810
2019-06-20,123,124,121,123,1580
2019-06-23,124,124,121.5,121.5,800
2019-06-24,120.5,122,120.5,121,1270
2019-06-25,120,122,120,121,866
2019-06-26,120,123,120,123,1950
2019-06-27,122,124,121.5,122,1540
2019-06-30,121,122.5,121,121,3730
2019-07-01,120.5,122,119.5,120.5,6390
2019-07-02,119.5,121.5,119.5,120.5,721
2019-07-03,119.5,121,119.5,120,1100
2019-07-04,120,121,119.5,120,1410
2019-07-07,121,121,119.5,120,1340
2019-07-08,121,125,119.5,120,1830
2019-07-09,120,121,119.5,120.5,2186
2019-07-10,120,121,119.5,120,1615
2019-07-11,120,120,119.5,119.5,1720
2019-07-14,120,120,119,119.5,1200
2019-07-15,119.5,120.5,119,119.5,3030
2019-07-16,119.5,121,119.5,119.5,1340
2019-07-17,119,120.5,119,120,2630
2019-07-18,120,121.5,120,121,680
2019-07-21,122,122.5,122,122.5,40
2019-07-22,121.5,121.5,119.5,121.5,1450
2019-07-23,120.5,120.5,119,119.5,1230
2019-07-24,120,121,119,119,2060
2019-07-25,119,120,119,119,1335
2019-07-28,118,119,115.5,118,11417
2019-07-29,118,119,117,117,3748
2019-07-30,116,119,116,117.5,1610
2019-07-31,116.5,119,116.5,118,990
2019-08-01,118,121,118,120,830
2019-08-04,120,120,117,118,730
2019-08-05,118.5,119,117,118.5,650
2019-08-06,117.5,118,116.5,117,690
2019-08-07,116,118,115.5,115.5,3450
2019-08-08,115,117,115,116.5,1900
2019-08-11,116,116,115,116,1080
2019-08-12,115,116,115,115,1385
2019-08-13,114,116,113.5,114,1320
2019-08-14,113.5,116,113.5,115.5,1030
2019-08-15,114.5,115,114,114.5,896
2019-08-18,114.5,115.5,113,113.5,760
2019-08-19,112.5,115,112.5,114,1510
2019-08-20,114,114,112.5,113.5,720
2019-08-21,112.5,114,111.5,113,2420
2019-08-22,112,113,112,112.5,1470
2019-08-25,111.5,111.5,110.5,111.5,390
2019-08-26,110.5,112.5,110.5,112,3150
2019-08-27,111,113,111,112,640
2019-08-28,112,112.5,111,111,1440
2019-08-29,110,111.5,110,111.5,950
2019-09-01,110.5,110.5,108.5,109.5,750
2019-09-02,108.5,109,108,108,700
2019-09-03,107,109,107,108,730
2019-09-04,107,110.5,107,109.5,640
2019-09-05,110,112.5,109,109.5,820
2019-09-08,108.5,108.5,106.5,107,890
2019-09-09,106,110,106,109.5,490
2019-09-10,110.5,113.5,110.5,113.5,50
2019-09-11,112.5,112.5,111.5,111.5,20
2019-09-12,110.5,110.5,106,107.5,3310
2019-09-15,106.5,106.5,103.5,104,1840
2019-09-16,103,104.5,102.5,102.5,2030
2019-09-17,103,106,103,106,986
2019-09-18,106,106,104,106,840
2019-09-19,105,107,105,105,702
2019-09-22,104,106,103,106,240
2019-09-23,106,107,104.5,104.5,190
2019-09-24,104,104.5,101,103,1370
2019-09-26,102,106,101,106,460
2019-09-29,105,105,101.5,101.5,310
2019-09-30,101,104.5,101,102,850
2019-10-01,102.5,104,102.5,103.5,460
2019-10-02,103,103,103,103,90
2019-10-10,103,103,102.5,103,40
2019-10-14,102,102,102,102,140
2019-10-15,102,102.5,102,102.5,670
2019-10-16,102,103.5,102,103.5,80
2019-10-17,103.5,103.5,102.5,102.5,740
2019-10-21,101.5,102.5,101,101.5,270
2019-10-22,102.5,102.5,101.5,101.5,690
2019-10-23,101.5,101.5,100.5,101,50
2019-10-24,101,102.5,101,102.5,220
2019-10-31,102.5,103,101.5,101.5,920
2019-11-03,100.5,101,100.5,101,430
2019-11-04,101,102,100.5,102,580
2019-11-05,101,102,100.5,101,490
2019-11-06,100.5,101.5,100.5,101.5,190
2019-11-07,100.5,101,100,100.5,650
2019-11-10,100.5,101.5,100.5,101.5,165
2019-11-11,100.5,101,100,100.5,240
2019-11-12,100.5,101.5,99.5,101,1510
2019-11-13,101,101,100,101,490
2019-11-14,101,101,100,100,1940
2019-11-17,100,100,99.5,99.5,260
2019-11-18,99.5,100.5,99.5,100,410
2019-11-19,99.5,99.5,99,99.5,480
2019-11-20,99.5,101.5,99,100.5,510
2019-11-21,99.5,101,99,100.5,680
2019-11-24,99.5,100,99.5,99.5,260
2019-11-25,100,100,99,99.5,470
2019-11-26,100,100,98.5,99,1490
2019-11-27,99.5,99.5,99,99.5,110
2019-11-28,99,99.5,98,99.5,1445
2019-12-01,99.5,99.5,98.5,98.5,830
2019-12-02,99,99,98.5,98.5,2190
2019-12-03,98.5,100,98.5,100,275
2019-12-04,101,101,99.5,99.5,320
