timestamp,open,high,low,close,volume
2023-06-20,291.8,320.9,291,320.9,69635
2023-06-21,327,352.9,320.9,340.1,38920
2023-06-22,346.8,346.8,314,316,34344
2023-06-25,320,320,292,305,34233
2023-06-26,299.3,320,294,312,26084
2023-06-27,305.9,315,302,314.9,15285
2023-06-28,315,320,290.2,294,14295
2023-07-02,289.3,298,282,282,12473
2023-07-03,276.4,292.3,271,274.4,8589
2023-07-04,270,279,267.8,276,7019
2023-07-05,270.5,283.4,260,264,11648
2023-07-06,259,274.5,250,256,10071
2023-07-09,255,270.3,250,253.9,7208
2023-07-10,248.9,256,248.9,251,6947
2023-07-11,246.2,256,246.2,251.2,5940
2023-07-12,248,272,248,270.1,18317
2023-07-13,275.5,280,260,260,9348
2023-07-16,255.1,257,250.2,257,3911
2023-07-17,252,264.3,247.2,264.3,7738
2023-07-18,259.2,271,256,265,14283
2023-07-19,260,261.1,255.1,256.4,6765
2023-07-20,255,265,255,260,7423
2023-07-23,265.1,283,263,278,30540
2023-07-24,278,288,270,273,18242
2023-07-25,268.3,275,267.1,269,4675
2023-07-26,269,276,258.6,270,8564
2023-07-27,275,275,259.1,262,4240
2023-07-30,258,262,252.7,253.2,9627
2023-07-31,249.5,264.1,249.5,251.5,7749
2023-08-01,255,260.1,249.9,250,8459
2023-08-02,250,255,248,251,4765
2023-08-03,246.2,258,246.2,246.8,7092
2023-08-06,245,245,236.1,238.1,5730
2023-08-07,240,248,233.9,236,8059
2023-08-08,233,240.7,227.2,228.6,5084
2023-08-09,224.5,232.4,216.6,232.4,12442
2023-08-10,232,235.8,223,225,7456
2023-08-13,221,229.1,217,220.8,10417
2023-08-14,223.9,225,217,218.1,5220
2023-08-15,218,218,213.1,214,6314
2023-08-16,210,215,207,210,3545
2023-08-17,206.1,216.2,206.1,209.1,2211
2023-08-20,205.2,208,205.2,206.2,2810
2023-08-21,202.2,206.5,200.2,202,3601
2023-08-22,202,220,200.2,220,8150
2023-08-23,220,229.5,216,229.5,10697
2023-08-24,225,229.5,217,229.5,9564
2023-08-27,225,225,207.6,219.6,3380
2023-08-28,215.3,220,210,214,2900
2023-08-29,209.9,214,208,214,2749
2023-08-30,210,217.2,210,214.9,1775
2023-09-03,210.7,211,207,208,3684
2023-09-04,212,216,201.2,205,2170
