timestamp,open,high,low,close,volume
2025-11-16,293.4,311.2,293.4,311.2,60
2025-11-17,305.3,342.3,305.3,342.3,130
2025-11-18,349.1,376.5,349.1,376.5,110
2025-11-19,384,414.1,384,414.1,120
2025-11-20,422.3,455.5,422.3,455.5,200
2025-11-23,464.6,501,464.6,501,250
2025-11-24,511,551.1,511,551.1,400
2025-11-25,562.1,606.2,562.1,606.2,550
2025-11-26,618.3,666.8,618.3,666.8,680
2025-11-27,680.1,733.4,680.1,733.4,940
2025-11-30,748,806.7,748,806.7,1280
2025-12-01,822.8,887.3,822.8,887.3,870
2025-12-02,905,976,905,976,1260
2025-12-03,976,1073.6,976,1073.6,1330
2025-12-07,1095,1180.9,1095,1180.9,4200
2025-12-08,1204.5,1298.9,1113,1298.9,70662
2025-12-09,1324,1417,1225.1,1378.1,21580
2025-12-10,1400,1400,1240.3,1250,40684
2025-12-11,1225,1240,1180.6,1220.7,41861
2025-12-14,1201.3,1315.5,1201.3,1259.8,27348
2025-12-15,1234.7,1289,1234.7,1260,21461
2025-12-16,1260,1279,1244,1260,10103
2025-12-17,1250,1295,1247.2,1270,17332
2025-12-18,1252.2,1277,1245,1255,13737
2025-12-21,1230,1259,1221,1245,17532
2025-12-22,1231,1240,1220.2,1240,9574
2025-12-23,1220,1240.9,1216.1,1236,12240
2025-12-24,1215,1243,1215,1230,4601
2025-12-28,1230,1251.6,1221.5,1247.8,12649
2025-12-29,1248,1271.9,1228.8,1263.9,18557
2025-12-31,1263.1,1295,1250,1285,19484
2026-01-01,1275,1369,1275,1320,27353
2026-01-04,1300,1366,1300,1359,33460
2026-01-05,1331.9,1396,1331.9,1384,34752
2026-01-06,1397,1475,1363,1368,30695
2026-01-07,1345,1389,1340.7,1380,21373
2026-01-08,1353,1401,1353,1400,14467
2026-01-12,1400,1507,1386.1,1470,31391
2026-01-13,1490,1495,1397,1425,41790
2026-01-14,1409,1450,1404,1422,15101
2026-01-18,1407,1486,1407,1444,24476
2026-01-20,1415.2,1510,1415.2,1499.9,36403
2026-01-21,1470,1518,1455,1475,17270
2026-01-22,1490,1622,1464,1599.9,48436
2026-01-25,1630,1749,1590,1680,26056
2026-01-26,1700,1705,1600,1648,35321
2026-01-27,1648,1665,1535,1545,32137
2026-01-28,1538,1580,1490.1,1554,12947
2026-01-29,1570,1581,1450,1473,17499
2026-02-01,1460,1469.9,1404.4,1420,11431
2026-02-02,1420,1560,1420,1514,13808
2026-02-03,1520,1544.2,1450.4,1465,9305
2026-02-04,1445,1490,1417.1,1440,9170
2026-02-05,1440,1458,1416.1,1436,9240
2026-02-08,1408,1487,1408,1445,7452
2026-02-09,1422,1440,1395,1396,9593
2026-02-10,1396,1423,1358,1375,7751
2026-02-11,1402,1415,1320,1320,9763
2026-02-12,1305.3,1316,1285,1300,9500
2026-02-16,1300.1,1417.6,1300.1,1360,11124
2026-02-17,1336,1360,1335,1345,3246
2026-02-22,1371.9,1372,1300,1324,4374
2026-02-23,1325,1325,1300,1305,5144
2026-02-24,1315,1389,1304.1,1368,6006
2026-02-25,1393.9,1402,1366.1,1400,6660
2026-02-26,1372,1455,1372,1455,10767
2026-03-01,1445,1500,1398.1,1480,13699
2026-03-03,1450.4,1500,1431,1470,6862
2026-03-09,1499.4,1559.5,1499.4,1529,830
2026-03-10,1530,1550,1460,1550,19718
2026-03-11,1519,1600,1470.1,1498,7023
2026-03-12,1527,1527,1455,1464,7086
2026-03-15,1450,1508,1411.3,1508,17919
2026-03-16,1477.9,1477.9,1419.5,1450,4853
2026-03-17,1440,1525,1415.6,1419.2,11531
2026-03-19,1447,1447,1400.1,1417,8468
2026-03-22,1445.3,1500,1388.7,1417,18953
2026-03-23,1417,1442,1397,1439,15857
2026-03-24,1410.3,1439,1410.3,1437.5,9919
2026-03-25,1466.2,1494,1405.1,1430,16859
2026-03-26,1420,1473.7,1420,1445,11029
2026-03-29,1425,1440,1388,1388,10347
2026-03-30,1363,1460,1363,1399,11404
2026-03-31,1390,1400,1371,1387.9,4181
2026-04-01,1415.6,1440,1315,1415,19401
2026-04-02,1386.7,1414,1313,1382,17621
2026-04-05,1360,1360,1260,1299.1,9399
