timestamp,open,high,low,close,volume
2023-05-07,278.1,294.9,251,255,73692
2023-05-08,255,270.3,237,256.1,24595
2023-05-09,251.1,261.1,247,258.3,10970
2023-05-10,253.2,255,246.2,253,9415
2023-05-11,253,253,243.1,249.9,7708
2023-05-14,245,246,235,238.7,13746
2023-05-15,234.2,249,230,240,14233
2023-05-16,236,244,232,243,8788
2023-05-17,239,250.2,239,249.8,10005
2023-05-18,250,263,244,258,14308
2023-05-21,252.9,260.9,245.1,251,15445
2023-05-22,246,255,243.1,250,6560
2023-05-23,250,263,250,261.2,10517
2023-05-24,261,265,254.1,258.7,10570
2023-05-28,258,263,247,254.9,17735
2023-05-30,249.9,252,241.8,249.9,6643
2023-05-31,245,249.9,238.2,240,6030
2023-06-01,240,246.5,235.6,241,7970
2023-06-04,241,259.7,241,255,7010
2023-06-05,250.1,265.2,250.1,261,18629
2023-06-06,256.1,273,256.1,272.5,13624
2023-06-07,271,291,271,282,27982
2023-06-08,282,291.3,274.1,290.1,29302
2023-06-11,285,316,285,314,24922
2023-06-12,313,333.3,307,323,31893
2023-06-13,316.6,323,311,321,21335
2023-06-14,320,333.5,312,319.9,26479
2023-06-15,314,330,313,330,25769
2023-06-18,324,330,317,320.8,13336
2023-06-19,320,351,318,350,38594
2023-06-20,350,350,321,330,11641
2023-06-21,329,333,316.2,320,16412
2023-06-22,320,326.4,303,317,15147
2023-06-25,310.7,320,291,310,25017
2023-06-26,310,316.2,299,302,7946
2023-06-27,302,330,284.2,315.5,20301
2023-06-28,310,319.2,296.5,297,14835
2023-07-02,293,308,287.7,287.7,8435
2023-07-03,282.2,295,279,279,8954
2023-07-04,279,291,274.1,287.6,9685
2023-07-05,288,288,280.3,284,8855
2023-07-06,278.4,281,270,275,11735
2023-07-09,270,280.5,270,275,5300
2023-07-10,270,280,262,271.3,16245
2023-07-11,273.9,280.4,266.1,270,17366
2023-07-12,275.4,290,265.1,290,7750
2023-07-13,284.8,295.8,274.5,290,5278
2023-07-16,294,294,271.5,273.1,6195
2023-07-17,269,282,269,280,5012
2023-07-18,274.5,295,270.1,278,10672
2023-07-19,272.5,275,267.2,274.9,5159
2023-07-20,269.5,279,262.7,278.9,11582
2023-07-23,274,281.5,263.3,273.2,7385
2023-07-24,273.2,288.2,273.2,282,16101
2023-07-25,276.5,291,273.2,279,8164
2023-07-26,273.5,284,268.2,270.1,7457
2023-07-27,265.2,281,261.2,270,6328
2023-07-30,264.7,270,260,263.9,7404
2023-07-31,260,264.9,260,263,2880
2023-08-01,257.8,265.2,253.2,258.3,4370
2023-08-02,253.2,267,252,267,4394
2023-08-03,261.8,268.2,253.8,267.9,5040
2023-08-06,264,264,250,254.7,8227
2023-08-07,249.7,270,245,255,4400
2023-08-08,250,255,250,250.2,5301
2023-08-09,246,270.3,242.1,270,5765
2023-08-10,264.6,275,255.1,271,5835
2023-08-13,265.6,265.6,250.1,253.3,3110
2023-08-14,249,257,249,256.8,4070
2023-08-15,254,267.1,247,254,10665
2023-08-16,250,259,235.3,250.1,3160
2023-08-17,245.1,270.6,239.9,242,7278
2023-08-20,238,259.8,237.2,243,7160
2023-08-21,238.2,251.8,235,239.9,4840
2023-08-22,235.3,260.1,230.7,260.1,5250
2023-08-23,257.9,258.7,241,253.8,6450
2023-08-24,249,270,242,269,5812
2023-08-27,263.7,263.7,242.1,243.1,5371
2023-08-28,238.4,247.8,238,238.2,3110
2023-08-29,234,239.4,234,234.3,4165
2023-08-30,233.3,239,230.5,230.5,3036
2023-09-03,227,235,225,225,2000
2023-09-04,225,239.1,221.2,234,2880
2023-09-05,238,238,220,237.9,1657
2023-09-07,233.2,236.9,221,226.8,3595
2023-09-10,223,231.5,219.4,223,2870
2023-09-11,219,244,219,236,4660
2023-09-12,231.3,231.3,223,227,1435
2023-09-13,223.1,240.8,223.1,233,5620
2023-09-17,228.4,228.4,220.5,223.7,1970
2023-09-18,219.3,228.1,217.1,227.3,1930
2023-09-19,231,240.3,222.2,235,2960
2023-09-21,235,258,235,250,14671
2023-09-24,245,265.3,237.1,252,11500
2023-09-25,247,262.1,239.7,256,10626
2023-09-26,251,269,251,265,13210
2023-09-27,260.1,261,251.1,256,11645
2023-10-01,251,252,241,249,11593
2023-10-02,244.1,250,235.2,243.3,3167
2023-10-03,239.1,245,239.1,242.9,4918
2023-10-04,238.1,247,238.1,244.4,4260
2023-10-05,240.1,260,240.1,247,8490
2023-10-08,247,247,230.1,243,7293
2023-10-09,239,243.7,232,239.9,3365
2023-10-10,239.8,240,235.4,235.5,3175
2023-10-11,230.8,239.8,230.8,238,3530
2023-10-12,235,238,229.3,232,2182
2023-10-16,227.5,230,221,229.9,7740
2023-10-17,225.6,230,219.1,226.4,4055
2023-10-18,226,232.8,222.1,232.8,3345
2023-10-19,237.4,241,223.2,234,1454
2023-10-29,229.4,231,220.6,231,3515
2023-10-30,226.4,228,217.5,225.7,1440
2023-10-31,221.2,225,217.3,222,3381
2023-11-01,219.1,228.4,219,223,2270
2023-11-02,218.8,223,218.7,219,1650
2023-11-05,217,221,213.1,217,2239
2023-11-06,217,238,214,221,3000
2023-11-07,217.2,225.4,217.1,223.7,1920
2023-11-08,225,226,218.1,224.9,3410
2023-11-09,225,230,220.8,222,2425
2023-11-20,218.1,227,217,227,2779
2023-11-21,222.5,224,216.6,219.9,3540
2023-11-22,216,235.9,216,235.9,2120
2023-11-23,231.2,236.6,221,236.6,5240
2023-11-26,232,252.9,226,251.9,14268
2023-11-27,246.9,266,242,248,7145
