timestamp,open,high,low,close,volume
2023-10-11,373.2,410.5,373.2,410.5,120801
2023-10-12,418.7,451.5,402,440.1,53234
2023-10-16,431.3,431.3,396.1,407.5,71195
2023-10-17,407.5,432,407.5,429.6,40342
2023-10-18,425,460,416.5,450.1,24712
2023-10-19,450.1,457,441.1,446.8,32579
2023-10-29,437.9,437.9,421.1,431.5,22589
2023-10-30,423.1,454,423.1,441.5,20413
2023-10-31,440,445.2,433.1,442,10300
2023-11-01,435,448.8,435,438,12368
2023-11-02,431,436,431,434,9660
2023-11-05,435,435,415,424.8,16710
2023-11-06,420,439,417.6,427,12244
2023-11-07,420.1,445,420.1,431.1,14060
2023-11-08,439.5,468,439,460,36200
2023-11-09,463,465,446.7,452,17631
2023-11-20,445,474,443,462,26462
2023-11-21,459,464.8,446,462,15340
2023-11-22,452.9,492,452.9,484.5,21333
2023-11-23,475,520,471,515,24561
2023-11-26,510,534,501,531,28973
2023-11-27,520.4,530,497.1,515.2,54021
2023-11-28,505,525,504.9,514,18057
2023-11-29,514,545,503.9,523,16010
2023-11-30,533.4,533.4,499.8,501.2,22157
2023-12-03,500,508,492,500,12907
2023-12-04,495,515,493,506,17551
2023-12-05,500,510,485.2,486,29374
2023-12-06,495,504,481,485,15690
2023-12-07,475.3,512,475.3,507,31801
2023-12-10,510,530,510,516,4610
2023-12-11,526,536.5,506,513.5,39771
2023-12-12,510,535.3,506,529.5,57697
2023-12-13,539,573,522,554.1,48659
2023-12-14,544,575.2,544,555,19222
2023-12-17,544,575,534,575,25631
2023-12-18,570,579,550,553,46249
2023-12-19,550.1,572,545,568.9,37834
2023-12-20,580.2,605,563,592,53369
2023-12-21,581,651.2,581,651,71420
2023-12-24,655,716.1,642.1,687,69213
2023-12-27,700.7,701,661.2,685,53036
2023-12-28,685,707,666.2,704.9,54518
2024-01-01,704.9,747.6,686,701,40322
2024-01-02,687,707.8,670.1,707.8,71934
2024-01-03,695,720.1,673,720.1,35844
2024-01-04,720,775,706,775,76502
2024-01-07,782,805.8,745,795.6,46744
2024-01-08,779.7,786.4,762.3,777,39975
2024-01-09,782,782,736,736,77066
2024-01-10,722,752,715,728.4,26029
2024-01-11,728.4,742.9,707,721,29185
2024-01-14,715,746,715,736,25615
2024-01-16,746,759.9,721.7,750,31796
2024-01-17,765,765,719.1,736,27012
2024-01-18,722,729,708,715,20185
2024-01-21,722,749.9,709,709.4,13505
2024-01-22,700.1,720,690.1,710,14210
2024-01-23,696,722,689,700,13159
2024-01-24,687.1,714,685,700,20819
2024-01-25,686,699,680,699,13068
2024-01-28,700,710,683,701,8004
2024-01-29,689,715,689,704.9,9685
2024-01-30,692,734,692,707,12962
2024-01-31,700,721,696,696,15063
2024-02-01,688,696,682.1,684,10476
2024-02-04,690,691.5,671.1,673,8927
2024-02-05,670,689,670,683,5566
2024-02-06,685,700,670,689,6864
2024-02-07,702.7,702.7,682,692,14062
2024-02-08,690,705,686.1,700,11615
2024-02-11,710,726,693.1,703,8934
2024-02-12,692,709,692,707,8475
2024-02-13,693.2,730.3,693.2,721.8,39381
2024-02-14,734,736.2,712.1,730,28088
2024-02-15,730,739,705,715,12122
2024-02-18,700.7,715,692,696,13125
2024-02-20,696,713,692,708,17501
2024-02-21,720,720,690.7,706,16385
2024-02-22,699,700,681,700,7472
2024-02-25,700,700,670,687,7718
2024-02-26,690,700,663.6,690,11450
2024-02-27,676.2,690,668,689.7,2090
2024-02-28,676,689,667.5,687,10772
2024-02-29,673.4,683.3,658,670,8562
2024-03-03,657.1,661,648.6,654,3505
2024-03-04,667,693.6,667,693,5300
2024-03-05,706.8,706.8,663,667,5519
2024-03-06,655,677,654.3,672,8096
