timestamp,open,high,low,close,volume
2024-08-13,1303.9,1406.2,1303.9,1406.2,1391
2024-08-14,1434.3,1546.8,1434.3,1546.8,5416
2024-08-15,1577.7,1701.4,1577.7,1682.5,63003
2024-08-18,1716,1716,1555,1555,20531
2024-08-21,1555,1580,1445,1462,17465
2024-08-22,1435,1485,1433,1465,8512
2024-08-25,1465,1599,1425,1480,12980
2024-08-27,1470,1498,1425,1430,6109
2024-08-28,1450,1487,1400,1405,5524
2024-08-29,1395,1431,1360,1361,8089
2024-09-01,1388,1435,1345,1351,6397
2024-09-02,1340.4,1397.4,1340.4,1397.4,2683
2024-09-03,1410.1,1537.1,1410.1,1537.1,14487
2024-09-04,1567.8,1690.8,1540,1551,35953
2024-09-05,1520,1599,1490,1569.8,10501
2024-09-08,1569.8,1600,1500,1500,13504
2024-09-09,1500,1528,1412,1528,11398
2024-09-10,1558.2,1558.2,1446,1490,7024
2024-09-11,1460.2,1488.7,1431,1443,4818
2024-09-12,1470,1587,1441,1500,8220
2024-09-15,1499,1520,1460,1490,3912
2024-09-16,1467.1,1475,1413,1475,7182
2024-09-18,1500,1505,1421,1460,5873
2024-09-22,1488,1517,1415,1466,2980
2024-09-23,1436.7,1540,1410,1540,4487
2024-09-24,1509.2,1509.2,1415,1458,3134
2024-09-25,1428.9,1514,1400.4,1466,5774
2024-09-26,1436.7,1523,1408,1449.4,3193
2024-09-29,1420.5,1445,1401,1443,2980
2024-09-30,1415.2,1451,1400.1,1450,1864
2024-10-01,1421,1470,1402,1470,5359
2024-10-02,1440.9,1478,1420,1454,3798
2024-10-06,1425,1484,1425,1479,4714
2024-10-07,1449.5,1505,1420.6,1449,4638
2024-10-08,1420.1,1449,1420.1,1435,3312
2024-10-09,1420,1446.5,1420,1440,2459
2024-10-15,1458.9,1458.9,1425,1450,1201
2024-10-16,1421,1460,1421,1459,2269
2024-10-17,1451,1457,1431.1,1432,3110
2024-10-20,1460.6,1460.6,1412,1412,5324
2024-10-21,1393,1430,1390,1395,3567
2024-10-22,1380.1,1415,1380.1,1413,2663
2024-10-23,1390,1417.8,1390,1405,3625
2024-10-24,1386,1409,1381.6,1400,1759
2024-10-27,1385,1400,1381.1,1390,1395
2024-10-28,1400,1412,1383,1412,2704
2024-10-29,1400,1428,1400,1425,1963
2024-10-30,1425,1425,1391,1395,1392
2024-11-05,1367.1,1421,1367.1,1420.9,1033
2024-11-06,1420,1425,1394,1405,976
2024-11-10,1381,1450,1381,1450,5796
2024-11-11,1425,1482,1425,1453,6669
2024-11-12,1425,1479.8,1425,1432.1,2486
2024-11-13,1415,1450,1410,1412,2929
2024-11-14,1406,1438,1391,1405,4069
2024-11-17,1401,1461.6,1401,1410,6549
2024-11-19,1410,1430,1392,1400,3938
2024-11-20,1393,1410,1391,1406,1907
2024-11-21,1405,1420,1380,1380,4452
2024-11-24,1385,1395,1370,1384,2915
2024-11-25,1384,1397,1369.1,1375,1814
2024-11-26,1348.6,1385,1348.6,1379.9,2353
2024-11-27,1390,1400,1375,1388,3852
2024-11-28,1391,1394,1370,1372,3348
2024-12-01,1345,1360,1341,1343,2391
2024-12-02,1343,1369.8,1340,1347,2783
2024-12-03,1350,1360,1341.1,1342,1473
2024-12-04,1345,1355,1335,1336,3991
2024-12-05,1337,1337,1315,1315,3071
2024-12-08,1315.5,1315.5,1295,1300,2719
2024-12-09,1290,1301,1281,1292,1897
2024-12-10,1317,1317,1275,1278,4118
2024-12-11,1267,1290,1242,1282.5,2648
2024-12-12,1282.5,1310,1274.1,1274.1,2389
2024-12-16,1299.5,1299.5,1250.5,1254,2604
2024-12-17,1254,1270,1245,1258,1501
2024-12-18,1262,1283,1250.1,1265,3517
2024-12-19,1250,1275,1245,1258.9,2708
2024-12-22,1246,1255,1223.2,1244.6,4739
2024-12-23,1269.4,1269.4,1235,1240,833
2024-12-24,1240,1260,1240,1250,2082
2024-12-26,1250,1257,1245.3,1255,1375
2024-12-29,1255,1320,1247.1,1280,4833
2024-12-31,1254.4,1289,1240.1,1260,2095
2025-01-01,1260,1260,1235,1257,1750
2025-01-02,1278,1278,1233,1256,2781
2025-01-05,1232.5,1256.9,1232.3,1236,1732
2025-01-06,1258,1260,1236,1237.3,2441
2025-01-07,1231,1256,1231,1250,1637
2025-01-08,1275,1290,1251.2,1264.9,2988
2025-01-09,1244.1,1278,1242,1242,2179
2025-01-12,1263,1263,1230.1,1230.1,605
2025-01-13,1229,1245,1212,1212,1560
2025-01-15,1212,1236,1195.2,1199.9,2374
2025-01-16,1200,1200,1172.3,1172.4,2183
2025-01-19,1150,1212,1150,1171,1417
2025-01-20,1151.1,1190.5,1151.1,1170,1103
2025-01-21,1170,1190,1165,1165,1686
2025-01-22,1175,1185,1170,1175.6,2480
2025-01-23,1161,1204,1161,1188,2530
2025-01-26,1200,1207,1190,1192,2249
2025-01-27,1200,1215,1180,1192.9,1596
2025-01-28,1170.3,1214.9,1170,1189.5,2373
2025-02-02,1213,1308.4,1190.1,1291,10406
2025-02-03,1313,1339,1286,1287,4679
2025-02-04,1262.1,1280,1260,1268,1877
2025-02-05,1251,1258,1242,1256,2518
2025-02-06,1257,1270,1233,1247,2552
2025-02-09,1247,1255,1231.2,1240,1160
2025-02-10,1240,1285,1235.1,1241,4330
2025-02-11,1265,1265,1239.9,1250,2658
2025-02-12,1275,1297,1250,1280,4816
2025-02-13,1285,1408,1255.4,1408,21189
2025-02-16,1436.1,1464.8,1370,1409,14926
2025-02-17,1430,1430,1365,1386.5,14259
2025-02-18,1407,1407,1367.1,1367.1,6368
2025-02-20,1360,1410,1350,1362.3,3320
2025-02-23,1340.2,1371.9,1333,1349.9,4725
2025-02-24,1360,1370.1,1327.1,1350,2342
2025-02-25,1332,1352,1325,1348,3750
2025-02-27,1374,1374,1333,1350,1688
2025-03-02,1350,1365,1330,1359,3656
2025-03-03,1333,1362,1333,1340,2918
2025-03-04,1340,1340,1309,1317,4020
2025-03-05,1324,1410,1300,1326,4306
2025-03-06,1325,1326,1300.1,1320,2138
2025-03-09,1328.9,1329,1290,1319.9,3729
2025-03-10,1293.6,1320,1276.7,1296,1815
2025-03-11,1270.1,1294,1244.7,1289,1621
2025-03-12,1308,1333,1257,1299,1513
2025-03-16,1273.1,1322,1247,1288,1402
2025-03-17,1264,1288,1246,1271,1388
2025-03-18,1271,1271,1247,1247.2,943
2025-03-19,1245,1320,1227,1240.1,938
2025-03-20,1264.9,1315,1221,1242.79,1059
2025-03-23,1250.5,1250.5,1202,1203,1668
2025-03-24,1203,1215,1190,1211.18,2054
2025-03-25,1230,1230,1166,1169.89,1594
2025-03-26,1169,1200,1169,1184.46,1277
2025-03-27,1198,1269.1,1176.1,1215.53,2188
2025-03-30,1219.5,1235,1203,1230.52,1222
2025-04-01,1210,1257,1196,1239.73,3221
2025-04-02,1215,1313,1215,1253.44,691
2025-04-03,1228.4,1269,1200,1230.33,3604
2025-04-07,1230.33,1230.33,1204,1205.88,623
2025-04-08,1220,1220,1190,1199.21,729
2025-04-09,1191,1262,1191,1195.98,1628
2025-04-10,1198.1,1269,1180.2,1225.52,2069
2025-04-13,1250,1250,1196.2,1214.71,949
2025-04-15,1205,1230,1205,1209.54,780
2025-04-16,1200,1224,1200,1209.27,1027
2025-04-17,1192,1218.8,1192,1209.67,1706
2025-04-20,1200,1224,1192,1204.89,306
2025-04-21,1180.8,1277,1180.8,1199.92,822
2025-04-22,1220,1220,1187,1199,971
2025-04-23,1183,1194.9,1180,1180.5,2029
2025-04-24,1171,1204,1171,1178.09,1221
2025-04-27,1180,1182,1150.1,1152.94,2771
2025-04-28,1150,1192,1132,1158.34,1101
2025-04-29,1160,1175,1151,1159,476
2025-04-30,1160,1268,1143,1243.78,2439
2025-05-04,1220,1220,1170.9,1180.38,1162
2025-05-05,1199,1199,1140,1146.01,2037
2025-05-06,1167,1173,1149,1161.09,824
2025-05-07,1150,1180,1140,1175.59,2790
2025-05-08,1161,1193,1160.1,1187.2,1084
2025-05-11,1187.2,1193,1165.1,1191.74,1122
2025-05-13,1215.5,1215.5,1166.5,1179,988
2025-05-14,1202.5,1226,1156,1179,1765
2025-05-15,1169,1181,1152,1157.79,607
2025-05-18,1174.9,1197.9,1155,1191.66,1590
