timestamp,open,high,low,close,volume
2021-12-26,100,110,100,110,150
2021-12-27,110,121,110,121,184
2021-12-28,119.3,133.1,119.3,133.1,160
2021-12-29,133.1,146.4,133.1,146.4,137
2022-01-02,144.6,161,144.6,161,239
2022-01-03,164.2,177.1,164.2,177.1,217
2022-01-04,177.1,194.8,177.1,194.8,212
2022-01-05,198.6,214.2,198.6,214.2,315
2022-01-06,214.2,235.6,214.2,235.6,445
2022-01-09,240.3,259.1,240.3,259.1,20
2022-01-10,259.1,285,259.1,285,440
2022-01-11,290.7,313.5,290.7,313.5,556
2022-01-12,309.6,344.8,309.6,344.8,1630
2022-01-13,351.6,379.2,351.6,379.2,2675
2022-01-16,379.2,417.1,386.7,417.1,12392
2022-01-17,425.4,458.8,425.4,458.8,240409
2022-01-18,467.9,503,441,496,357427
2022-01-19,505,505,472,477,148537
2022-01-20,475,480,458.7,479,135601
2022-01-23,488,488,465.9,470,86480
2022-01-24,465,470,450.1,455,102924
2022-01-25,455,461,440,447,71995
2022-01-26,440,451.2,435,437,64379
2022-01-27,432,452,432,441,36998
2022-01-30,449,466,446,461,64363
2022-01-31,470,479,448,448.1,43054
2022-02-01,441,463,441,455,59724
2022-02-03,455,466,451,451,74742
2022-02-06,450,452.1,445,445.8,34341
2022-02-07,440.1,450,440,450,38037
2022-02-08,459,467,437,441.1,46197
2022-02-09,438,441,433.1,436.3,33968
2022-02-10,430,447.7,430,431,32370
2022-02-13,425,425,407,409,47777
2022-02-14,401,419.1,401,406,24853
2022-02-15,405,423.1,400.2,422,29078
2022-02-16,422,423,408.1,409,23013
2022-02-17,409,418.4,403.3,418,23187
2022-02-20,409.7,416.2,397,410,27972
2022-02-21,410,420,405.1,414,37810
2022-02-22,405.8,440,405.8,427,97982
2022-02-23,430,465.9,427.1,452,126540
2022-02-24,452,455,431,435,52331
2022-02-27,435,443,422,428.7,48473
2022-02-28,428,453,415,415.2,52097
2022-03-02,407.2,420.1,401,403,31844
2022-03-06,403,409,398,400,27820
2022-03-07,408,408,375,389,68379
2022-03-09,387,393,374.9,378,26126
2022-03-10,378,401.5,370.5,394.5,32450
2022-03-13,400,418,395,418,36795
2022-03-14,420,420,400,408,13178
2022-03-15,400,416,400,403,26137
2022-03-16,396.1,404,394.1,399.9,19150
2022-03-20,395,404,391.2,391.4,22386
2022-03-21,390,406.8,387.1,404,29067
2022-03-22,412,412,397,400,21203
2022-03-23,400,405,392.1,395,14092
2022-03-24,395,397.8,387.1,390,25713
2022-03-27,385,390,378,378.1,21284
2022-03-28,374,383,372,372,26946
2022-03-29,372,385,367,368,17649
2022-03-30,362.1,380,362.1,380,16223
2022-03-31,380,385.9,370.7,371,12636
2022-04-03,371,374,365,365.4,15135
2022-04-04,360.1,370,360,361,15069
2022-04-05,355.3,361,345,348,30439
2022-04-06,342.1,347.9,336,337.6,22140
2022-04-07,332,348,332,343,21036
2022-04-11,343,350,329,329,22565
2022-04-12,325,327,315.9,318.1,18704
2022-04-13,312.2,327,307.1,317,17952
2022-04-17,318,322,305.5,307,12627
2022-04-18,302.2,306.9,293,293,19079
2022-04-19,287.2,310,286,294,21022
2022-04-20,290.1,298,285.2,289,13265
2022-04-21,285,298.9,278,291,13285
2022-04-24,296.8,320.1,293,314,18912
2022-04-25,314,320,303,306,29117
2022-04-26,306,310,299,300,10899
2022-04-27,294,311,294,302.9,11404
2022-04-28,297.1,305,297,297,17856
2022-05-02,295,298.1,287,290,12336
2022-05-04,290,294.9,280,285,17738
2022-05-05,279.4,288,272.8,273,15544
2022-05-08,267.6,275,264,275,15570
2022-05-09,275,287.6,270.5,283,15266
2022-05-10,283,295.3,280,295,9540
2022-05-11,300,321,296,319.9,23420
2022-05-12,322,324.3,304.5,305.6,23602
2022-05-17,299.6,300,285,290,17808
2022-05-18,284.4,300.9,276.4,297,18345
2022-05-19,292,302,285,287,13280
2022-05-20,283.4,291,283.1,283.1,10805
2022-05-23,280.2,287,280.2,283,7849
2022-05-24,278,290.7,278,289.7,7495
2022-05-25,284,295.3,284,286,14519
2022-05-26,281.3,290,281.3,288,5137
2022-05-27,283.1,289,280,283.9,15899
2022-05-30,280,285,274.5,278,11925
2022-05-31,274,275,270.6,272,15093
2022-06-01,266.7,282,266.7,273,8010
2022-06-02,268,280,268,268,6463
2022-06-03,266.4,273,262.9,264,9360
2022-06-06,260,275,259.7,260,11102
2022-06-07,256.2,263,252.2,252.3,7845
2022-06-08,249,266,247.1,263.8,12669
2022-06-09,262,265,257.1,258,10632
2022-06-10,253,263,253,255,11977
2022-06-13,251,260,250,252.1,4780
2022-06-14,247.5,254,237,240,14816
2022-06-15,235.2,242.8,227,236.5,14507
2022-06-16,232,241.2,228,234,7241
2022-06-17,230,237,227.1,232,3758
2022-06-19,228.1,233,217.9,217.9,13194
2022-06-20,214.2,218,205.1,211,14727
2022-06-21,206.8,226.3,204,218,16060
2022-06-22,218,218,209.8,215.8,5399
2022-06-23,211.5,211.5,194.7,200,20323
2022-06-24,196,217.5,193.3,203,6720
2022-06-26,207,219,207,217,14659
2022-06-27,218,223,209,213,19153
2022-06-28,213,213,206.1,206.1,7859
2022-06-29,205,215,205,212,9155
2022-06-30,210,228,210,227,29584
2022-07-01,227,231,215,227,14886
2022-07-03,223,249.7,219.6,248.8,42587
2022-07-04,249.1,266.5,245,246,48257
2022-07-05,241.1,250.8,235.9,238,30721
2022-07-06,238,242,227.8,238,16099
2022-07-07,242.7,247.5,234,236,13978
2022-07-08,231.4,237.6,230,230,12902
2022-07-11,225.4,226.1,217.8,220,12131
2022-07-12,216.2,223.3,216.1,220,6870
2022-07-13,216.1,234,216.1,233.4,10746
2022-07-14,234,238.6,230,232.1,12956
2022-07-15,230,234,226,233.5,5639
2022-07-17,228.9,238,222.1,232.8,6609
2022-07-18,229,235,228,234,5897
2022-07-19,235,239.9,230.3,236,17090
2022-07-20,235,240,231.1,235,9536
2022-07-21,235,235,230,230.1,12403
2022-07-22,230,231,223.1,228,7860
2022-07-24,228,235.5,225.1,235,12980
2022-07-25,239.7,258,237,253.2,46917
2022-07-26,255,262,241.5,248,30871
