timestamp,open,high,low,close,volume
2023-09-25,222,244.2,199.8,225,139185
2023-09-26,225,247.5,220.5,247.5,62839
2023-09-27,252.4,272.2,252.4,272,46297
2023-10-01,270,270,244.8,244.8,53436
2023-10-02,240,240,225.1,232,73085
2023-10-03,228,245,227.5,233,50026
2023-10-04,230,241,230,234,23887
2023-10-05,232,234,228.1,231,20058
2023-10-08,226.9,227.7,219,221,36803
2023-10-09,218,228.5,215.1,221.1,29630
2023-10-10,219,225,217.1,221,31543
2023-10-11,217.5,227,217.2,224.4,23622
2023-10-12,220,223,215.2,217.9,19981
2023-10-16,214,224,204,207.2,27787
2023-10-17,204,214,202,204,15790
2023-10-18,201.1,210,201.1,207,8589
2023-10-19,204.2,209.2,201,201.8,15772
2023-10-29,198,201.9,193,194,17340
2023-10-30,193,199.9,190.3,199,13572
2023-10-31,195.1,195.8,192,195,7120
2023-11-01,192,197,191,194.8,7495
2023-11-02,191,192,184,186,10813
2023-11-05,184,186,182.6,184,10675
2023-11-06,186,193.9,183.1,191.7,10575
2023-11-07,190.1,197,187.2,194.9,6590
2023-11-08,192,195.8,188.5,194,12885
2023-11-09,192,194,188,190,11530
2023-11-20,191,195,187,187.3,7208
2023-11-21,187,187,178,180,7616
2023-11-22,176.5,193.8,175,193.3,18628
2023-11-23,189.5,203,185.9,201.5,19022
2023-11-26,198,210,195,204.6,25307
2023-11-27,201,207,197,199,25439
2023-11-28,200,213.2,198,209,17176
2023-11-29,209,213,200.9,200.9,38005
2023-11-30,200,204,191.7,196,14706
2023-12-03,195,204,192.4,202.5,32493
2023-12-04,199.1,212.1,199.1,208,29146
2023-12-05,205.2,209,199,199.6,13131
2023-12-06,197.1,205,197.1,203.9,10953
2023-12-07,199.9,216.4,199.9,210,26063
2023-12-10,214,222,211.6,220,4700
2023-12-11,221,223,210,216,32962
2023-12-12,220.3,237.6,212.3,237.1,102867
2023-12-13,237.9,253.9,232,240,63187
2023-12-14,240,260,233,250.5,54694
2023-12-17,245.5,273.6,236.1,273.6,57698
2023-12-18,274,279,250,263.1,89134
2023-12-19,257.9,270,248.2,266,63387
2023-12-20,271.3,271.3,255,265.9,55329
2023-12-21,261,261,252,253.5,31728
2023-12-24,250,266.2,246,246,49397
2023-12-27,246,270.6,246,270.6,118529
2023-12-28,276,297.6,276,297.6,99132
2024-01-01,303.5,315.5,275,278,111911
2024-01-02,272.5,299.8,267.8,284.2,63134
2024-01-03,289,306,285,306,69180
2024-01-04,306,315.7,294.1,299,58207
2024-01-07,302,304,285,287.9,43733
2024-01-08,285,302.7,280,299.9,57747
2024-01-09,296.2,305.9,284,287.7,67801
2024-01-10,285,292,282,285,24523
2024-01-11,282.4,313.5,282.4,312.3,81998
2024-01-14,307.3,333.5,307.3,324,66577
2024-01-16,326,334.6,318,320,58820
2024-01-17,320,320,290,297,80462
2024-01-18,291.1,319,286.5,305,39152
2024-01-21,299,315,299,313.9,47645
2024-01-22,307.7,307.7,292.5,300,32511
2024-01-23,294,298,288.3,297,22033
2024-01-24,302.9,302.9,287,291,16449
2024-01-25,293,296,280.3,289.6,22221
2024-01-28,284.4,296.8,284.4,294.3,15880
2024-01-29,300,305,294.1,303,41843
2024-01-30,298,309,298,305.2,27835
2024-01-31,305.2,311.2,278,299,38390
2024-02-01,294,294,283.5,287,27844
2024-02-04,281.3,288,275.8,280.2,17025
2024-02-05,285,287,281.1,283.1,8243
2024-02-06,280,295,280,290.8,15896
2024-02-07,290,301,290,300,31661
2024-02-08,294,318,294,310,72881
2024-02-11,304.3,328,304.3,309.1,42987
2024-02-12,308,321.3,306,320,43035
2024-02-13,315,334.4,307.1,318,85138
2024-02-14,318,328,313.1,316,46672
2024-02-15,310.1,338,310.1,330,108789
2024-02-18,324,330,313.2,313.5,47139
2024-02-20,308.5,315,308,310.2,37235
2024-02-21,306.3,316,301.5,310,22500
2024-02-22,303.9,316,288.4,296,48555
2024-02-25,296,301,285.1,285.1,22159
2024-02-26,284.9,295,282.5,293,18168
2024-02-27,290,300,289.3,299.5,9939
2024-02-28,301,302.9,290.1,297.1,11414
2024-02-29,292,292.5,275,280,34847
2024-03-03,275.1,287,275.1,284,8495
2024-03-04,289,312.4,289,312,8930
2024-03-05,315,315,286,294.7,41234
2024-03-06,290,305.8,284.5,298,30939
2024-03-07,297.1,305,297,299,26603
2024-03-10,300,315,297.1,301.5,18432
2024-03-12,307.5,307.5,298,301.1,19126
2024-03-13,300,306,299,301,25793
2024-03-14,296.1,306.1,296,297.8,21695
2024-03-17,295,309,292,294,12332
2024-03-18,288.7,302,288.7,298.1,13142
2024-03-19,304,304,295,300,12868
2024-03-20,302,303,294,294.3,15972
2024-03-21,290,295,286.5,288,22598
2024-03-25,287,288,283.5,284,6733
2024-03-26,284,306,284,289.3,15065
2024-03-27,288.1,297.8,288.1,295,9414
2024-03-28,292,307.9,290,302,28333
2024-03-31,300,324,300,316.3,104141
2024-04-01,322,334.5,315.1,329.4,127918
2024-04-02,334,339.6,310.1,312,45927
