timestamp,open,high,low,close,volume
2023-07-05,270,275.4,243,243,69350
2023-07-06,238.2,238.2,218.7,218.7,26946
2023-07-09,214.4,226,197.9,218.1,263768
2023-07-10,218.1,218.1,208,209.1,82952
2023-07-11,209,210.4,205,206.1,46920
2023-07-12,206.9,220,202.8,219.5,77758
2023-07-13,217,223.5,207.6,208.6,76665
2023-07-16,212,212.7,205,207.5,44573
2023-07-17,206,214,204.1,211.5,49975
2023-07-18,211.5,214,211.2,211.3,41978
2023-07-19,211,212,207.4,208,38450
2023-07-20,205.3,228.8,205.3,217,87926
2023-07-23,215,224,215,220,76728
2023-07-24,217,235.5,217,225,117096
2023-07-25,224.4,235,222,230,68437
2023-07-26,230,230.1,220,222,63411
2023-07-27,222,225,215.1,218,52702
2023-07-30,213.7,222,210,210.9,37013
2023-07-31,210,218.9,207.5,209.5,55013
2023-08-01,208.1,216,206.2,206.2,42913
2023-08-02,205.6,211.1,205.6,208,28714
2023-08-03,209.5,211.3,206,207,41739
2023-08-06,202.9,214,200.2,202,41679
2023-08-07,202,205.9,198.3,200,51751
2023-08-08,200,202,193.2,194,38481
2023-08-09,191.1,201,189,200.1,43607
2023-08-10,196.5,204,195.4,199,42298
2023-08-13,196,196,191.2,192.1,37934
2023-08-14,192,195.9,190,190.5,30083
2023-08-15,190,190,183,183.4,44990
2023-08-16,182.6,185,179,179.2,22557
2023-08-17,182,184.9,179,180,22438
2023-08-20,180,187,173.6,173.6,21024
2023-08-21,173,173,156.4,165.1,58531
2023-08-22,162,179,162,178.3,24115
2023-08-23,176.7,183.6,172.5,182,31189
2023-08-24,180,182,170.6,171,34492
2023-08-27,174,174,163.1,164.1,29768
2023-08-28,163,170,163,165.5,16631
2023-08-29,164.2,168,163,166,10508
2023-08-30,163,169,163,164.3,14058
2023-09-03,163,163,159,160,26024
2023-09-04,159,165,157,164.2,13404
2023-09-05,164.5,165,160,161.1,8592
2023-09-07,159,162.3,159,162.3,17335
2023-09-10,160,171,159.3,164,21435
2023-09-11,161,175,161,171.9,30653
2023-09-12,172,172,166.2,166.2,17835
2023-09-13,163.1,175.4,163.1,175,26141
2023-09-17,175,175,165,167,26541
2023-09-18,164,169.9,161.3,167,14326
2023-09-19,170.3,179.5,165.1,179.5,34798
2023-09-21,179.5,192.8,178.5,188,86981
2023-09-24,188,191,180,184,58233
2023-09-25,181,189,178,181.1,30282
2023-09-26,181.1,195,181.1,191.6,62508
2023-09-27,194.1,194.1,181.5,188,64132
2023-10-01,189,189,171.5,177,58511
2023-10-02,175,187,170.6,181.7,34890
2023-10-03,178.1,180.1,175,177.5,19636
2023-10-04,175,186.5,175,180,20286
2023-10-05,177,182,175.4,179,20970
2023-10-08,176,178,171.1,172.5,31350
2023-10-09,172,175,168.9,174.1,19490
2023-10-10,170.7,179.9,167.4,168.3,22985
2023-10-11,166.7,174.4,166.7,170,24426
2023-10-12,169,173.4,167,169.5,29833
2023-10-16,166.3,168,163.1,165,24347
2023-10-17,163,173.3,163,166.9,17010
2023-10-18,165.1,170.9,165.1,169,15002
2023-10-19,166.1,170,163.7,167.9,16169
2023-10-29,164.7,169.5,162,163,16730
2023-10-30,160.4,165,160.4,162,23152
2023-10-31,161,164,160.4,162.9,8336
2023-11-01,164,164,158.5,160.2,24687
2023-11-02,161,163,156.7,157,16831
2023-11-05,156,157,152,153,22041
2023-11-06,150,157,150,155,12755
2023-11-07,152.3,162.2,152.3,159,17827
2023-11-08,156,161,156,160.2,7265
2023-11-09,157.3,160,155.4,156,10135
2023-11-20,156,160.5,153,154.6,16820
2023-11-21,152.2,154,149.6,151.5,13983
2023-11-22,150,158,149,158,10768
2023-11-23,158,160,153,159.9,12918
2023-11-26,156.8,170,156.8,168.9,35639
2023-11-27,169,177,165.1,166.5,27810
2023-11-28,166,170,163.3,168,20036
2023-11-29,168,174.4,163.1,166,24342
2023-11-30,163,167.2,160.2,166,18671
2023-12-03,163,164.8,160.1,164.8,10065
2023-12-04,161.6,168.5,161.6,166,25520
2023-12-05,169.3,169.3,161.9,164,15325
2023-12-06,160.8,167,160.8,166,10650
2023-12-07,169.3,174.1,163,174,53440
2023-12-10,177,190,177,188,13646
2023-12-11,190,191.7,176,182,107894
2023-12-12,180,200,178.5,198,134953
2023-12-13,201,202.9,187,191.5,92825
2023-12-14,194,201.2,185.5,197.9,86893
2023-12-17,194,213.1,186.5,212,144136
2023-12-18,213.1,216.2,200,202.2,146485
2023-12-19,198.2,210,198.2,206.2,98865
2023-12-20,204.5,218,204.5,212,160725
2023-12-21,216.2,216.2,202,204,102576
2023-12-24,200,212,199.1,204,115113
2023-12-27,205,210,196.5,199,107868
2023-12-28,196,210,196,202.2,76068
2024-01-01,202.2,207,196,197,77379
2024-01-02,200,200,190.2,192,53823
2024-01-03,190,205,190,202,79414
2024-01-04,202,209.1,200.6,203,105154
2024-01-07,207,218.2,200,212,221098
2024-01-08,212,233.2,211,233.2,290067
2024-01-09,237.8,254,228,236,334224
2024-01-10,237,244,228.1,232,160810
2024-01-11,235,246.9,229,242,193739
2024-01-14,243,250.9,237,239,163087
2024-01-16,243,260.1,238,243.5,204019
2024-01-17,248.3,248.3,226.5,226.9,226218
2024-01-18,223,249.1,220,242,231430
2024-01-21,242,254.8,238.2,238.9,191038
2024-01-22,235,247.7,231,233,106746
2024-01-23,229.1,239.9,229.1,233.9,64694
2024-01-24,229.3,239,228,228.3,69439
2024-01-25,225,234.5,225,226.2,52092
2024-01-28,229,234,226.1,230,48830
2024-01-29,234,238,228,228,73028
2024-01-30,230,239.7,230,238.5,99084
2024-01-31,236.5,241.5,229.5,231,64527
2024-02-01,230,232,223.2,223.9,75948
2024-02-04,220,227,220,222,34108
2024-02-05,226.4,226.4,220,222.5,49186
2024-02-06,220,229.2,218.2,223,33751
2024-02-07,222.1,232.3,222.1,229.8,54955
2024-02-08,233,242.9,226,238,154308
2024-02-11,242.5,247,236.3,236.3,146754
2024-02-12,236.3,245,236.1,242.9,74376
2024-02-13,239,247.7,234.3,238.5,176137
2024-02-14,234,246.9,234,237.5,63533
2024-02-15,233.5,245,233.5,238.1,99332
2024-02-18,238.1,242,230,231,84375
2024-02-20,227,233,226.1,228,81286
2024-02-21,224.3,232.5,224,225.2,53393
2024-02-22,221,234.4,221,221,78756
2024-02-25,221,225,215.1,216,56718
2024-02-26,220.3,223,214.1,222,37241
2024-02-27,218.5,222.8,216.2,220.6,55276
2024-02-28,225,225,214,217,34040
2024-02-29,213,216,207.1,208,50916
2024-03-03,212.1,212.1,203,209,35702
2024-03-04,213,229.5,213,228,1482
2024-03-05,232.5,232.5,214,215.4,89514
2024-03-06,215,224.9,211.1,217.5,69286
2024-03-07,217.5,226,217,221,56997
2024-03-10,222.9,226,219.6,222,39504
2024-03-12,226.4,227,220,224,48956
2024-03-13,228.4,228.4,220.2,224,38189
2024-03-14,223.5,231,222,225.5,72869
2024-03-17,228,230,221,221.1,33531
2024-03-18,220,224,218.6,221,24890
2024-03-19,221,225,220,224,28914
2024-03-20,224,226,217,217.1,37803
2024-03-21,217,221,215,215.2,41291
2024-03-25,218,218,211.3,212,15746
2024-03-26,212,221.3,211.9,219,44473
2024-03-27,220,222,214.1,214.2,18812
2024-03-28,214.5,226,211.4,217.1,41098
2024-03-31,215,226.5,213.6,222.3,71994
2024-04-01,218,234,218,230,120687
2024-04-02,234,234,222,224.9,33116
2024-04-03,220.5,227,220.5,223.7,25490
2024-04-04,220,224,217.4,220,32052
2024-04-07,216.5,221.9,216.5,221.9,29399
2024-04-09,220,230,220,225.1,70642
2024-04-10,229,232.9,223.9,229.1,100725
2024-04-14,228.9,243.4,228,243.4,158240
2024-04-15,244,248.9,233,234,120664
2024-04-16,238,238,228,230,55542
2024-04-18,229,230,224.6,226.3,25513
2024-04-21,225,238.6,224.1,236,69489
2024-04-22,236,238.9,228,232,41176
2024-04-24,230,237,228,230.5,21882
2024-04-25,235.1,235.1,226.3,228.7,16574
2024-04-28,230,235,227,234.8,48210
2024-04-29,239.4,239.4,228,231.9,39436
2024-04-30,228,247,228,244,177429
2024-05-02,248.8,249.9,243.1,244,123684
2024-05-05,245,248.1,233,235.8,82776
2024-05-06,234,239.7,229.5,232,31841
2024-05-07,230,238,228.5,229.7,38161
2024-05-08,233,234.2,226,231,39245
2024-05-09,226.4,231.5,224.2,230,41941
2024-05-12,234.6,234.6,225,230.7,31487
2024-05-13,227,232.7,226.4,229,32537
2024-05-14,230,237.6,226.2,235,77764
2024-05-15,231,236.7,228,229,46699
2024-05-16,230,233.5,226.2,227.7,28970
2024-05-19,228,235,226,230,43449
2024-05-20,234.6,238,227,227.3,49177
2024-05-21,225,235.5,225,232,69784
2024-05-22,234.9,237,229,230.5,42188
2024-05-26,228.1,232.5,227,228,57989
2024-05-27,228,230,226,227,24080
2024-05-29,227,231.5,224,225.9,46518
2024-05-30,225,235,225,228,78269
2024-06-02,228,232,225,227.2,29091
2024-06-03,227.3,234,225.1,228,33773
2024-06-04,228,229.8,225,227,31038
2024-06-05,222.6,229,222.6,223,26615
2024-06-06,218.7,230,218.7,224,47041
2024-06-09,219.6,229,219.6,220.6,27174
2024-06-10,216.2,228.4,216.2,226,46319
2024-06-11,226,234,224.5,232.8,73298
2024-06-12,228.2,235,226.9,228,69691
2024-06-13,223.5,239,223.5,230.6,43419
2024-06-16,226,233.5,226,227.1,52112
2024-06-18,227.1,229.5,223.5,225,32253
2024-06-19,221,229,221,227,37941
2024-06-20,222.5,229.3,222.5,224,22500
2024-06-23,222.4,226.8,221.4,225,28520
2024-06-24,221,229,221,222.6,20731
2024-06-25,218.3,227.4,218.3,226.4,37908
2024-06-26,223,230.5,221,223,24964
2024-06-27,220,225,219,219,19722
2024-06-30,217,223.3,216,219,33859
2024-07-01,215,223,215,220.8,17329
2024-07-02,225.2,238,221,225,36173
2024-07-03,228.4,228.4,219,224,33013
2024-07-04,228,228,219.7,220.2,37140
2024-07-07,215.8,227.9,215.8,223.4,30779
2024-07-08,227.7,227.7,219,222.9,33801
2024-07-09,218.5,223.8,218.5,223.8,51914
2024-07-10,220.1,225,220.1,223.9,37703
2024-07-11,222.4,229,222.4,226.7,60110
2024-07-14,231.2,237,227,233,109431
2024-07-15,237.6,237.6,228,233.9,66472
2024-07-16,237.5,251.7,230,251,237403
2024-07-17,252,257,244.5,249,184012
2024-07-18,253.5,257.8,245.2,250.5,194916
2024-07-21,255,269.3,247.1,264,235042
2024-07-22,269.2,271,256,265.1,166893
2024-07-23,265.1,285,264,282,197248
2024-07-24,287.6,287.6,266.1,268,212540
2024-07-25,266,280,262,274.9,191830
2024-07-28,280.3,290,266.1,272,98514
2024-07-29,272,291.7,270,281.5,308350
2024-07-30,287.1,291,276,288.2,174015
2024-07-31,293.9,305,285,291,148320
2024-08-01,291,291,276,278.2,167436
2024-08-05,283.6,295.8,274.5,288,157040
2024-08-06,290,308.9,275.1,284.9,469972
2024-08-07,283,309,278,308.9,193223
2024-08-08,310,314.2,296,299.1,151031
2024-08-11,305,318.2,295,312,242280
2024-08-12,315,320,305.9,307.6,188430
2024-08-13,310,313,299,302.9,174991
2024-08-14,305,312.1,298.4,310,213102
2024-08-15,316.2,341,316.2,341,205463
2024-08-18,347.8,375,329.5,333,385102
2024-08-21,339.6,346,316.6,321,172844
2024-08-22,321,333,315.1,320,110188
2024-08-25,326,330.7,310.1,310.4,155422
2024-08-27,306.1,316,296,296.2,106321
2024-08-28,296,307,290.3,296,100516
2024-08-29,292.1,304,284,288.5,79505
2024-09-01,294,297.9,288.1,289.9,69634
2024-09-02,295.6,318.8,293,318.8,158914
2024-09-03,318.8,340,310.7,335.3,282543
2024-09-04,340.9,350,318.5,319,242075
2024-09-05,320,330,316,323.2,131546
2024-09-08,329.6,332.5,321,322.4,98752
2024-09-09,327.9,327.9,312.3,314,85300
2024-09-10,315,324.9,302,304.3,57116
2024-09-11,304,309.9,294,298,70733
2024-09-12,303.9,316.9,296.1,315,49197
2024-09-15,321,321,301,301,94178
2024-09-16,295,305,290,294,56030
2024-09-18,289,299,289,296,65137
2024-09-22,301.9,307,294,304,52940
2024-09-23,300,306,288.3,292,35787
2024-09-24,287,301,280,283,34378
2024-09-25,278,291,278,288.8,33832
2024-09-26,290,295.8,277,278,21170
2024-09-29,272.5,281,268.3,270,39967
2024-09-30,265.6,277,265.6,274,36975
2024-10-01,278,295,272,290,42602
2024-10-02,295,301.9,285.1,290,59306
2024-10-06,285,301,285,295.6,25659
2024-10-07,291,305,291,299,34991
2024-10-08,300,300,290,292.5,40234
2024-10-09,286.7,298,286.7,293,12626
2024-10-15,298.8,306,293.5,296,13282
2024-10-16,296,307,296,300,39180
2024-10-17,300,307.9,299.1,303.8,34401
2024-10-20,297.8,303,291,294.9,35592
2024-10-21,290,299.9,283,287,49259
2024-10-22,284,297,284,290,33050
2024-10-23,295.8,295.8,286,292,23751
2024-10-24,287,295,281.4,288,28565
2024-10-27,282.3,291.4,282.3,288,13074
2024-10-28,284,296.8,284,294,22769
2024-10-29,288.2,300,288.2,297,33521
2024-10-30,295.2,300,289,290,30592
2024-11-05,288.6,296,288.6,296,11174
2024-11-06,301.9,301.9,293,299,37812
2024-11-10,299,325,296.8,320.9,131549
2024-11-11,327.3,327.3,311.4,317.7,92380
