timestamp,open,high,low,close,volume
2023-04-13,141,155.1,141,155.1,460
2023-04-16,158.2,170.6,158.2,170.6,490
2023-04-17,174,187.6,174,187.6,313
2023-04-18,186,206.3,186,206.3,10126
2023-04-19,210.4,226.9,210.4,226.9,1483
2023-04-20,231.4,249.5,231.4,249.5,1839
2023-04-23,254.4,274.4,239.8,254,120512
2023-04-24,259,259,235.5,239,52538
2023-04-25,235,251.7,235,246,20790
2023-04-26,241.3,251.5,237,250,17748
2023-04-27,246,246.5,241.5,242.8,14715
2023-04-30,238.3,241,230,232,23631
2023-05-02,232,234.6,222.3,225,14972
2023-05-03,225,225,218,220,8519
2023-05-04,217,229.5,217,227.9,8573
2023-05-07,232.4,232.4,216.5,219,8520
2023-05-08,214.8,220,212,213.5,14386
2023-05-09,212,224,211,216,8320
2023-05-10,220,220,214.1,218,4895
2023-05-11,222.3,235,213,216,5733
2023-05-14,220,220,209.2,210.9,7205
2023-05-15,207,212,206,210,17348
2023-05-16,205.8,213,205.8,210,5545
2023-05-17,206,215,206,213.9,8941
2023-05-18,212.5,228.9,210.5,224,28558
2023-05-21,227.9,232,217.8,220.1,24657
2023-05-22,215.7,225,212.1,222,12147
2023-05-23,218,234.1,218,234.1,37997
2023-05-24,235,236,226.4,230,13414
2023-05-28,230,234,225,225.4,33586
2023-05-30,221.1,223.3,213,215.3,13389
2023-05-31,212,218,209,210,17134
2023-06-01,210.1,217.5,209,217,9983
2023-06-04,213,228,211,225,16071
2023-06-05,220.7,229.5,217,219,7931
2023-06-06,215.4,228,215.4,226,12875
2023-06-07,230,240.7,226,236,50252
2023-06-08,231.5,244,231.5,238,22198
2023-06-11,234,246.6,234,246,29258
2023-06-12,250.9,255,236.9,242.9,28687
2023-06-13,238.2,249.7,235.7,248,29852
2023-06-14,243.1,250.9,234.5,235.5,33273
2023-06-15,231.1,240,231.1,238,26485
2023-06-18,234,246.8,230,246.8,34491
2023-06-19,251.7,251.7,237.7,239,17448
2023-06-20,243,243.7,233.8,236,15302
2023-06-21,239.9,239.9,226.4,228.1,14961
2023-06-22,225,230.4,221.9,226,12510
2023-06-25,226,229.5,213.5,229.5,38034
2023-06-26,225.3,241,217.6,217.6,23371
2023-06-27,214,227.4,214,223,14269
2023-06-28,223,227,216,220.5,21048
2023-07-02,221,221,213.7,219,13826
2023-07-03,215.1,220,212.1,217,12637
2023-07-04,220,220,212.1,216.8,10030
2023-07-05,213.1,219,210.2,211,13060
2023-07-06,210,214.5,206.2,210,15308
2023-07-09,206.6,216,206.6,212,10454
2023-07-10,212,216.2,208,212,11629
2023-07-11,207.9,209.9,206.3,208,5197
2023-07-12,203.9,225,201,218,19055
2023-07-13,222.3,223.3,212,214,8373
2023-07-16,218.2,218.2,209,209.4,6208
2023-07-17,205.6,218.2,205.6,214,7510
2023-07-18,210,215,207.8,210,8880
2023-07-19,206.1,211,206.1,210,11862
2023-07-20,210,221.2,207.6,214,9102
2023-07-23,210.1,216.7,210.1,215,10551
2023-07-24,215,222.3,211,215,15281
2023-07-25,212,220.5,211.3,219,15761
2023-07-26,215,220.5,212.7,212.7,4453
2023-07-27,210.8,219,209,210.5,11575
2023-07-30,210,212,205,208,10765
2023-07-31,206.1,210,205,207,7358
2023-08-01,207,214.9,204,204.1,10745
2023-08-02,202,206.7,202,204.8,4363
2023-08-03,204,206.8,200.1,205,8940
2023-08-06,201,209.1,192.7,209.1,11382
2023-08-07,205,205,189.2,199.8,10320
2023-08-08,195.9,203,191.6,193.9,10437
2023-08-09,190.2,195,187.1,192.1,9310
2023-08-10,192,199.7,190,195,5948
2023-08-13,191.5,194.8,189,192,9650
2023-08-14,188.5,192,186.7,192,10547
2023-08-15,188.2,188.2,179.7,180,13363
2023-08-16,180,182,168,173,5148
2023-08-17,171,178,169.5,169.5,6553
2023-08-20,170,173.3,163,169.9,10302
2023-08-21,167,171,164.2,165,4057
2023-08-22,162,171.5,162,170.9,5470
2023-08-23,170.9,178,168,177.9,6975
2023-08-24,174.5,176.6,162.7,162.7,9267
2023-08-27,161.2,168.3,161,162,7331
2023-08-28,159,168,159,163.2,9189
2023-08-29,163,166.7,160.3,166,4170
2023-08-30,163,167.2,163,166.9,4647
2023-09-03,163.6,164.9,159,159.4,6762
2023-09-04,160,165.8,158.3,165.8,5120
2023-09-05,162.5,166.2,160.5,166,6635
2023-09-07,166,166,160.1,162.3,2567
2023-09-10,165,166.2,160,166.2,3805
2023-09-11,169,182.8,168,182.6,23019
2023-09-12,183,192,180,183,15734
2023-09-13,179.5,191.5,173.1,189,12229
2023-09-17,185.3,187,171.5,171.6,15482
2023-09-18,168.6,180,168.6,178,4262
2023-09-19,181,195.8,175.4,193.2,23245
2023-09-21,197,208,193.1,200,31486
2023-09-24,196,204,191,191,18245
2023-09-25,187.3,198.6,187,193.8,17441
2023-09-26,193,213.1,193,213.1,61900
2023-09-27,217.3,229.7,213.1,229.3,96247
2023-10-01,226,227,207.6,211,66492
2023-10-02,208,220,203.1,215.9,30259
2023-10-03,211.7,216,206,209.7,13723
2023-10-04,206,218,205.6,212.9,11817
2023-10-05,208.8,212,203,207,22524
2023-10-08,202.9,206.8,198,199.1,20134
2023-10-09,195.2,206.9,195.2,205.9,20671
2023-10-10,202,207.9,200,203.7,15602
2023-10-11,200,208,196.3,202,7094
2023-10-12,200,211,198.3,201.9,18360
2023-10-16,202.2,209,194.1,209,8664
2023-10-17,207,209,195,203,11380
2023-10-18,199,207,195.2,205,2825
2023-10-19,200.9,208.9,197.2,204,4697
2023-10-29,200,208,194,196.8,4404
2023-10-30,193,199,185.5,196.8,3751
2023-10-31,193,194,189.2,194,5337
2023-11-01,190.2,197.8,188.1,197.8,4440
2023-11-02,193.9,193.9,188.6,188.6,5885
2023-11-05,185,193.4,182,193.4,8397
2023-11-06,193,199,185.7,198,3967
2023-11-07,194.1,201.9,188.5,194,5210
2023-11-08,191,194.5,189,194.5,3930
2023-11-09,190.7,194,187.1,193,3076
2023-11-20,193,203.8,190.1,200,21720
2023-11-21,197,203,196.3,201.1,20802
2023-11-22,197.8,212,197.8,212,13066
2023-11-23,208,217.9,204.1,210,11010
2023-11-26,214.2,222.3,205.8,216,16137
2023-11-27,218,218,207,208.8,20892
2023-11-28,205.2,229,205.2,218.5,51867
2023-11-29,218.5,222,214.8,215,17226
2023-11-30,211.1,215,208.6,211,8808
2023-12-03,206.8,226.9,206.8,223,33970
2023-12-04,223,237,213.8,234,67564
2023-12-05,237.9,237.9,223.1,226,13359
2023-12-06,221.6,243.7,221.6,243.7,38786
2023-12-07,238.9,253.3,229.9,253.3,35448
2023-12-10,258.3,278,251,278,7322
2023-12-11,283.5,289.1,254.8,289.1,93483
2023-12-12,288,300.6,272.6,300.6,52017
2023-12-13,306.6,330.6,287.5,330.6,78101
2023-12-14,324,348.8,297.9,348.8,69506
2023-12-17,342,348,314,348,96561
2023-12-18,345,375.5,324,375.5,96635
2023-12-19,383,383,339.5,379,67363
2023-12-20,386.5,386.5,342.5,367,74306
2023-12-21,374.3,381.7,333.2,381.7,114985
2023-12-24,377,393,348,393,167582
2023-12-27,400.8,432.3,370,432.3,120977
2023-12-28,433,433,389.1,408,73156
2024-01-01,399.9,399.9,375,375,69353
2024-01-02,372,403.9,372,403.9,105891
2024-01-03,411.9,426,373,395,61872
2024-01-04,402.9,426,398,426,95727
2024-01-07,434,440,402,440,82534
2024-01-08,448.8,457.7,400,428.5,92500
2024-01-09,420,452,420,450,73386
2024-01-10,441,486.9,430,486.9,82134
2024-01-11,477.2,504.9,448.9,504.9,93371
2024-01-14,494.9,519,461.2,496,148198
2024-01-16,486.1,528.3,466.9,528.3,103200
2024-01-17,517.8,560.1,500,560.1,109356
2024-01-18,548.9,570,515,570,98243
2024-01-21,558.6,568,516,528.6,77348
2024-01-22,518.1,534.4,475.9,534.4,86708
2024-01-23,523.8,525,494.3,515,24566
2024-01-24,504.7,535,491,500,40466
2024-01-25,500,509.2,481.5,509,47736
2024-01-28,498.9,517,488,505,22566
2024-01-29,494.9,520,486,499.8,54318
2024-01-30,489.9,509.7,481,494,37891
2024-01-31,484.2,499.9,469,474.7,55550
2024-02-01,469,481,430,444,83211
2024-02-04,443.9,486,443.9,486,57685
2024-02-05,476.3,499.9,476.3,499.9,53914
2024-02-06,490,517,488,517,67827
2024-02-07,506.7,534.4,503,530,90753
2024-02-08,519.4,543,505,515.2,78625
2024-02-11,504.9,525,504.9,520,46814
2024-02-12,509.6,525,500,520,69106
2024-02-13,509.6,528,495.1,508,40102
2024-02-14,497.9,557,490.1,535.5,121935
2024-02-15,524.8,552.8,518,552.8,133628
2024-02-18,541.8,583.6,531,583.6,93984
2024-02-20,572,617.1,550,567,93392
2024-02-21,567,613,561.1,613,97081
2024-02-22,600.8,637,561.7,625,83921
2024-02-25,612.5,612.5,562.5,562.5,62490
2024-02-26,551.3,573,529.5,573,62832
2024-02-27,561.6,572,529.2,552.8,28955
2024-02-28,541.8,584,512.6,549,85174
2024-02-29,538.1,568,495.2,505,67357
2024-03-03,494.9,509,479.4,490,91190
2024-03-04,480.2,528,470.6,528,44883
2024-03-05,528,546,475.2,546,192031
2024-03-06,535.1,535.1,491.4,493,144918
2024-03-07,483.2,500,445.9,490,291207
2024-03-10,480.2,488,441,475,81840
2024-03-12,480,480,457.7,463,57946
2024-03-13,453.8,462.9,450,451,67470
2024-03-14,445,463.9,445,451.1,56595
2024-03-17,460.1,460.1,446.2,448,39964
2024-03-18,448.4,461,448,455,39505
2024-03-19,463,463,455,456,38395
2024-03-20,456,464,448,449.5,24820
2024-03-21,446,455,439.3,440,35584
2024-03-25,433,438,422.9,423,30309
2024-03-26,414.7,450,414.7,447,28089
2024-03-27,450,455,430,433.9,32988
2024-03-28,442,442,428,434,29571
2024-03-31,442.6,444.5,428,428.1,31950
2024-04-01,421.4,434.9,413,422.2,28847
2024-04-02,430.6,430.6,416,422,22233
2024-04-03,418.1,428.4,416.4,418.5,19942
2024-04-04,420,423,414.1,415,21856
2024-04-07,406.7,429.5,406.7,420.5,15331
2024-04-09,428.9,437,423,429,26067
2024-04-10,437.5,439.9,421.4,424,23813
2024-04-14,432.4,432.4,415.1,417,18924
2024-04-15,416.1,428,411.1,415.9,14094
2024-04-16,409.1,415,402,402,19656
2024-04-18,395,401,388,389,25823
2024-04-21,396,401.9,379,400,22695
2024-04-22,400.5,404.5,383,383,17771
2024-04-24,385,392.7,383,383,7678
2024-04-25,385,385,373,376.9,17840
2024-04-28,373,382.9,372.5,376.9,14501
2024-04-29,371.1,384,371.1,376,8994
2024-04-30,376,399.4,370.1,393,28227
2024-05-02,400,405,382,382,23713
2024-05-05,388.9,389,375.9,382,16118
2024-05-06,380,383.9,375,379,18631
2024-05-07,379,386.5,371.5,371.5,15919
2024-05-08,365,377,365,368,9720
2024-05-09,374.9,374.9,361,362,13808
2024-05-12,355.4,365,355.4,358,9249
2024-05-13,365.1,365.1,355,361,9521
2024-05-14,360,397,360,389,31370
2024-05-15,395,409,388,389,53372
2024-05-16,390,394,380,382,11784
2024-05-19,385,390,374,389,19672
2024-05-20,385.5,396,382,383.9,13442
2024-05-21,389,402,386,399,26128
2024-05-22,399,411,395,398,30882
2024-05-26,405,413,380,392,15795
2024-05-27,385.1,399,381,389,8238
2024-05-29,396,396,380,382.9,13662
2024-05-30,379.1,405,375,378,24592
2024-06-02,378,394,378,389,24525
2024-06-03,394,398,385,390,14395
2024-06-04,383.1,398,383.1,387,11747
2024-06-05,380.1,391,380.1,387,6734
2024-06-06,393,393.4,380,381.1,11255
2024-06-09,383,395.7,378.1,390,20055
2024-06-10,390,429,390,427,98436
2024-06-11,435,443.7,429,435,45896
2024-06-12,442.9,443,413.7,419.9,35347
2024-06-13,412.1,416.9,408,408,30920
2024-06-16,412,422,407.7,410,27722
2024-06-18,418.2,418.2,401.8,405,22370
2024-06-19,400.2,417,400.2,410,10409
2024-06-20,414.9,415,405,409.8,13396
2024-06-23,405.1,410,392,400.1,16454
2024-06-24,393.2,411,393.2,408,22722
2024-06-25,408.5,418,405,416,22194
2024-06-26,411.1,422.9,404.9,410,20876
2024-06-27,410,410,402.3,404,10706
2024-06-30,402,405,395,399,12294
2024-07-01,394.5,406,394.5,404.9,10232
2024-07-02,412,428.4,405,408,20771
2024-07-03,401.2,409.3,395.1,398,21514
2024-07-04,405.9,418,398,400,37125
2024-07-07,392,410,392,405,13686
2024-07-08,413,420.9,399,399,18853
2024-07-09,406.9,407,399.2,405.9,17320
2024-07-10,405,408,398.2,404.8,21941
2024-07-11,410,414,406.1,412,31173
2024-07-14,415,428.2,412,416,19160
2024-07-15,424.3,424.3,408,410,34326
2024-07-16,410,440,410,440,63645
2024-07-17,446.5,465,430,439.9,65844
2024-07-18,447.6,448,432,433.1,57957
2024-07-21,435,455,428,455,55229
2024-07-22,456.1,460,435,452,47547
2024-07-23,448,470,448,457.5,31127
2024-07-24,462.9,469,441,441,60155
2024-07-25,440,447,435,435,33249
2024-07-28,443,470,426.3,432,22800
2024-07-29,435,442.6,427,435,39299
2024-07-30,443,444.9,429.1,438.5,34419
2024-07-31,439,466,439,460,81334
2024-08-01,468.9,482,460,475,96062
2024-08-05,480,515,470.1,501.2,100509
2024-08-06,511.2,511.2,451.1,451.4,95731
2024-08-07,442.4,485.5,441.1,480,59937
2024-08-08,489.6,489.6,455,462,49371
2024-08-11,462,478.6,456.1,468,55380
2024-08-12,477.3,480,465,472,66828
2024-08-13,472,505,463,477,64707
2024-08-14,471,505,468,497,51982
2024-08-15,500,507.9,486.2,501,87995
2024-08-18,501,509.9,464,467,47180
2024-08-21,476.3,478,455,455.1,27103
2024-08-22,453,470,444,450,31517
2024-08-25,459,459,429,430,36677
2024-08-27,425,433,407,409.8,29352
2024-08-28,417.9,434,405.2,409,25886
2024-08-29,406,421,402.6,413.1,21787
2024-09-01,413.1,419,400,404,14955
2024-09-02,404.1,427,400,425.9,21084
2024-09-03,427,430,415,415,18742
2024-09-04,410,420,398,403.8,17006
2024-09-05,403,407,392,399.5,16529
2024-09-08,407.4,418.2,394,397.5,22134
2024-09-09,398,402,390.1,393,13228
2024-09-10,400.8,404,390,390.5,15473
2024-09-11,387,398,385,385.3,15133
2024-09-12,385,406.8,380,406.8,20397
2024-09-15,400.1,416,393,400,20077
2024-09-16,395,416.1,385,391.1,25337
2024-09-18,391.1,404,384.1,391,11738
2024-09-22,398.8,406,389,392.9,7589
2024-09-23,390,400,372,372,19666
2024-09-24,370,379,355.1,364,11947
2024-09-25,357.3,379,356.9,374,9980
2024-09-26,367,403,360,388,27231
2024-09-29,388.1,388.1,368,379,6555
2024-09-30,371.5,382,371,377,2052
2024-10-01,369.6,400,369.6,390.2,8506
2024-10-02,398,398,377,377,11456
2024-10-06,371,399.7,371,391.8,8833
2024-10-07,399,412,392,395,7438
2024-10-08,400,400,382,387,6123
2024-10-09,394.7,418.7,380,404.3,4365
2024-10-15,405,408,398,405,2940
2024-10-16,413,413,397,412,11130
2024-10-17,404,445.7,404,432.9,24883
2024-10-20,425,437.9,412,417.9,19430
2024-10-21,410,416,399.4,416,14320
2024-10-22,407.7,424,392,417,9570
2024-10-23,409,441,405,413,13300
2024-10-24,405,429,404,425,13051
2024-10-27,416.6,440,409,413,8221
2024-10-28,405,429,405,423.4,17472
2024-10-29,415,439.6,415,430.2,21500
2024-10-30,422,439.6,421,424.9,17665
2024-11-05,417,433.3,417,432,5605
2024-11-06,424,440,424,435.1,15637
2024-11-10,443,460,436,457,32674
2024-11-11,460,465,444,453,23821
2024-11-12,444,470.2,444,446,22021
2024-11-13,446,465.5,443.1,463,47159
2024-11-14,464,481,464,471,61298
2024-11-17,480.4,499,467,467,45216
2024-11-19,476.3,476.3,433,435,43763
2024-11-20,443.7,453,426.3,449,18765
2024-11-21,457.9,457.9,431.4,432,30596
2024-11-24,440.6,440.6,425,425.1,15379
2024-11-25,424.5,441,421,430.6,11135
2024-11-26,422,452.6,422,450,20989
2024-11-27,459,466,446.1,457,38770
2024-11-28,466,466,448,453,27357
2024-12-01,462,462,443,445,14163
2024-12-02,453.9,462,446,450,22809
2024-12-03,459,487.8,455,478,102968
2024-12-04,478,515,478,495,145229
2024-12-05,493.1,508,482,508,73529
2024-12-08,499,552,499,541,219498
2024-12-09,546,556,525.2,530,83227
2024-12-10,540,540.6,516,525,81954
2024-12-11,527.1,550,520.1,545,103901
2024-12-12,536.2,592,536.2,574.3,245684
2024-12-16,574,574,552.1,554.4,147538
2024-12-17,545,560,539.1,550,86488
2024-12-18,554,560,546,555,62938
2024-12-19,566.1,570.8,546.1,550,106635
2024-12-22,540.2,556,535.2,551,78760
2024-12-23,558.9,580,550,571,205152
2024-12-24,582.4,582.4,541,551,106008
2024-12-26,551,551,526.4,532,60479
2024-12-29,532,539,516.2,527.3,85550
2024-12-31,517,525,481,510,87463
2025-01-01,501,528,500,517.8,48232
2025-01-02,511,545,511,534,105475
2025-01-05,534.9,547,530,547,56755
2025-01-06,541,557.9,540,547,89516
2025-01-07,550,561,535,542,52530
2025-01-08,540,565,533,565,89185
2025-01-09,560.5,567.5,546.9,549.9,42297
2025-01-12,544,555,531,545,31556
2025-01-13,535,548,530,535,25699
2025-01-15,535,555,533.9,545,19228
2025-01-16,537,564.9,537,559.3,71460
2025-01-19,553,568.1,549,565,53532
2025-01-20,565,574,560.1,562.5,50892
2025-01-21,573.7,573.7,542.1,547,59531
2025-01-22,547,560,543.2,550,50390
2025-01-23,560,560,545,545.3,76194
