timestamp,open,high,low,close,volume
2023-03-22,265.5,292,265.5,292,680
2023-03-23,297.8,321.2,297.8,321.2,6317
2023-03-26,327.6,353.3,327.6,353.3,8740
2023-03-27,360.3,367.5,327.3,340,97727
2023-03-28,340,347,331.1,342,34239
2023-03-29,347,347,330.3,337,24389
2023-03-30,343.7,343.7,324,332,31298
2023-04-02,332,336,307.8,312,35279
2023-04-03,307,307.1,293.1,297,34267
2023-04-04,293,300,289.2,298.9,16077
2023-04-05,293,305.1,290,298,8585
2023-04-06,298,300,292.2,293.9,10773
2023-04-09,289,290,275.6,275.6,20584
2023-04-10,271.6,282.6,271.2,279,11394
2023-04-11,275,304,274.6,280.5,10110
2023-04-12,281.1,308.5,281.1,305,21164
2023-04-13,311.1,316,292,292.2,20822
2023-04-16,290,302.9,287.2,297.9,14280
2023-04-17,292,296,285.6,288.9,9551
2023-04-18,294.6,294.6,278.2,291,8861
2023-04-19,285.3,295,285,295,8620
2023-04-20,290.1,295,284.4,284.5,6531
2023-04-23,284,284,274.4,275,6952
2023-04-24,270,281.5,270,275.3,5315
2023-04-25,270.1,280.5,270,279,10429
2023-04-26,275,281,272,272.5,7107
2023-04-27,268.1,274,268.1,273.5,5596
2023-04-30,268.4,273,261.2,261.3,9439
2023-05-02,261,263,251.9,255,6600
2023-05-03,250.3,260,250.3,260,4928
2023-05-04,260,268,251.2,268,8253
2023-05-07,263,263,251.3,256,4850
2023-05-08,253,253,237.2,245,9444
2023-05-09,245,255,237.2,249,4036
2023-05-10,244.3,245,240.1,243,2265
2023-05-11,238.3,246,234.2,243.7,3890
2023-05-14,239,243.5,225,233,8232
2023-05-15,228.4,237.5,220.1,230,5092
2023-05-16,231,248.1,226,243.1,14843
2023-05-17,238.3,245,229.1,244.9,4381
2023-05-18,240.1,259.4,236,257,10888
2023-05-21,254.1,257,246,248,12133
2023-05-22,244,266.9,244,259,10207
2023-05-23,254.1,270,254.1,266.1,11880
2023-05-24,261,265.9,256,261.2,9351
2023-05-28,256,266.2,247.1,253.9,10840
2023-05-30,248.9,250.5,237,244,9429
2023-05-31,239.2,247.8,231.5,235,6755
2023-06-01,237,239.5,226.4,236,10112
2023-06-04,240.7,248.7,240.7,248.4,13843
2023-06-05,243.5,249.7,240,240,20075
2023-06-06,237,252.9,237,251.9,10327
2023-06-07,247,260,246.9,252,16638
2023-06-08,248,268,248,258,18122
2023-06-11,255,267.7,254,264.8,20489
2023-06-12,270,270,258.9,264.9,17636
2023-06-13,264.9,274,258.1,271,20037
2023-06-14,265.6,274,261,269,24238
2023-06-15,272,272,262,264,13820
2023-06-18,260.2,273,260.2,273,20808
2023-06-19,278.4,278.4,267.1,273.8,16412
2023-06-20,274,275.4,264.6,264.6,28198
2023-06-21,269,269,253.5,255,13226
2023-06-22,259,259,241,245,19022
2023-06-25,240.1,267.9,237.7,258.8,17102
2023-06-26,263.9,263.9,248.2,251,18524
2023-06-27,246.4,261,246.4,253.5,19390
2023-06-28,250.1,263.4,248,251,9400
2023-07-02,247,250.9,236,249.9,21157
2023-07-03,245,245,235,238.1,11886
2023-07-04,237,242.8,228,231,10769
2023-07-05,231,235,222,222.1,16714
2023-07-06,217.8,238,217,221,23012
2023-07-09,225.4,227.4,217.2,227.4,6503
2023-07-10,231.9,235,219.1,229,10690
2023-07-11,233.5,233.5,223,225,2407
2023-07-12,221.1,242,221.1,240,16774
2023-07-13,236,244.8,233,234.6,8800
2023-07-16,230.1,239.2,226,233.5,8657
2023-07-17,237.9,241,226.5,240,3882
2023-07-18,241,244,229.9,235.3,6626
