timestamp,open,high,low,close,volume
2021-10-06,397.5,397.5,397.5,397.5,90
2021-10-10,403.2,403.2,403.2,403.2,20
2021-10-17,403.2,411.2,403.2,411.2,20
2021-10-19,419.4,427.7,419.4,427.7,20
2021-10-24,436.2,462.7,436.2,462.7,40
2021-10-25,471.9,471.9,471.9,471.9,10
2021-10-26,481.3,490.9,481.3,490.9,20
2021-10-27,500.7,520.9,500.7,520.9,30
2021-10-28,520.9,552.7,520.9,552.7,53
2021-10-31,563.7,598,563.7,598,41
2021-11-01,609.9,657.8,609.9,657.8,71
2021-11-02,657.8,657.8,657.8,657.8,6
2021-11-03,670.9,697.9,670.9,697.9,30
2021-11-08,711.8,767.6,711.8,767.6,79
2021-11-09,782.9,844.3,782.9,844.3,10
2021-11-11,861.1,928.7,861.1,928.7,60
2021-11-14,947.2,1021.5,947.2,1021.5,100
2021-11-15,1041.9,1123.6,1041.9,1123.6,60
2021-11-16,1146,1235.9,1146,1235.9,50
2021-11-17,1260.6,1359.4,1260.6,1359.4,101
2021-11-18,1386.5,1495.3,1386.5,1495.3,189
2021-11-21,1525.2,1644.8,1525.2,1644.8,370
2021-11-22,1677,1809.2,1677,1809.2,900
2021-11-23,1845.3,1990.1,1845.3,1990.1,1310
2021-11-24,2029.9,2189.1,1985,1999,26187
2021-11-25,2005,2005,1851,1860.5,10621
2021-11-28,1823.3,1823.3,1675,1710,11732
2021-11-29,1676,1677,1618,1630,4964
2021-11-30,1630,1720,1605,1720,1831
2021-12-01,1720,1720,1666,1690,1430
2021-12-02,1661,1680,1621.2,1630,2460
2021-12-05,1630,1630,1525,1553,4205
2021-12-06,1525,1640,1500,1600,2350
2021-12-07,1600,1605,1520.1,1550,1981
2021-12-08,1540,1540,1470,1518,1400
2021-12-09,1510,1510,1466.2,1468.1,860
2021-12-12,1421,1451.5,1400,1400.1,1740
2021-12-13,1372.1,1372.1,1266,1280,2799
2021-12-14,1300,1408,1300,1400,970
2021-12-15,1428,1510,1428,1470,2638
2021-12-16,1470,1470,1384.8,1401,1300
2021-12-20,1429,1429,1370,1370,1500
2021-12-21,1350,1370,1343,1370,670
2021-12-22,1350,1474.9,1346,1390,929
2021-12-23,1370,1414,1370,1385,1170
2021-12-26,1386,1400,1359,1385,790
2021-12-27,1385,1408,1340,1340,1205
2021-12-28,1335,1393.3,1309.1,1335,816
2021-12-29,1322,1347,1309,1314,1398
2022-01-02,1314,1375,1290,1340,1120
2022-01-03,1366.8,1421,1330,1361,850
2022-01-04,1388.2,1399,1337,1390,1138
2022-01-05,1390,1446,1361,1390,930
2022-01-06,1363,1400,1363,1388,960
2022-01-09,1388,1437,1388,1400,2681
2022-01-10,1395,1415,1381,1400,1050
2022-01-11,1400,1540,1400,1500,5380
2022-01-12,1515,1616,1500,1530,5859
2022-01-13,1530,1600,1522,1600,3540
2022-01-16,1600,1695,1600,1655,4063
2022-01-17,1656,1685,1600,1621,2350
2022-01-18,1590,1653,1539,1540,4705
2022-01-19,1541.3,1565,1535,1538,3221
2022-01-20,1522,1600,1516.2,1550,2935
2022-01-23,1540,1581,1530,1535,1307
2022-01-24,1515,1515,1469,1470,1569
2022-01-25,1450,1485,1441,1462,1413
2022-01-26,1435,1450,1400,1400,1441
2022-01-27,1428,1460,1406,1453,730
2022-01-30,1482,1590,1482,1550,2751
2022-01-31,1580,1600,1530,1572.2,1940
2022-02-01,1570.9,1571.9,1531,1560,1251
2022-02-03,1535,1561,1520,1520,2875
2022-02-06,1489.6,1500,1477,1500,1020
2022-02-07,1471,1500,1471,1490,903
2022-02-08,1500,1530,1450,1461.1,1119
2022-02-09,1432,1455,1426,1450,990
2022-02-10,1430,1458,1430,1432,570
2022-02-13,1403.5,1420,1372,1372,1975
2022-02-14,1370,1405,1370,1390,585
2022-02-15,1369,1420,1369,1420,860
2022-02-16,1421,1447,1402,1422,468
2022-02-17,1422,1425,1394,1400,1135
2022-02-20,1399,1410,1349,1382,770
2022-02-21,1400,1430,1380,1385.5,1356
2022-02-22,1380,1425,1380,1403,1260
