timestamp,open,high,low,close,volume
2023-11-20,288.4,299.9,259.6,259.6,31379
2023-11-21,254.5,254.5,233.7,233.8,27890
2023-11-22,229.2,257.1,225,257,22578
2023-11-23,252,270,247,258.5,20520
2023-11-26,254,263,244.1,254.9,30077
2023-11-27,254.9,275,250.1,274,41342
2023-11-28,269,284,267.7,284,25969
2023-11-29,284,286,275.9,280,21359
2023-11-30,275,281,266.3,279,19130
2023-12-03,282.5,282.5,267.3,275.5,11169
2023-12-04,271,282.5,271,280,27938
2023-12-05,276.2,285,276.2,281,11359
2023-12-06,275.5,280,275.5,279.9,6695
2023-12-07,274.4,280.8,270.4,273.9,10464
2023-12-10,278,300,278,300,1090
2023-12-11,306,306,283,293,22849
2023-12-12,288,306,283.1,296.9,19737
2023-12-13,292,305.1,292,300,24639
2023-12-14,294,330,291.4,328,25585
2023-12-17,321.5,350,308.9,342,18918
2023-12-18,335.2,348.8,325.7,347,19375
2023-12-19,340.1,340.1,320.1,330,22170
2023-12-20,330,330,314.2,318,29531
2023-12-21,320,339,311.8,328,30996
2023-12-24,333,360.8,331.7,355,66828
2023-12-27,351,390,351,366.5,30497
2023-12-28,366,369,354,361.8,18434
2024-01-01,360,365,339,340,29543
2024-01-02,335,339,323.2,329.5,21885
2024-01-03,325,343,323.4,343,11460
2024-01-04,340,369,340,350,21250
2024-01-07,344.4,385,344.2,384,46818
2024-01-08,376.4,407.9,357,394,19742
2024-01-09,394,408.9,375.6,377,16245
2024-01-10,377,399,366,397,21558
2024-01-11,389.1,420,373.1,401,30667
2024-01-14,401,441.1,400,441.1,61268
2024-01-16,449.9,459,431.4,437,19810
2024-01-17,429,453,408.5,408.5,30483
2024-01-18,400.4,432,400.4,427.3,37921
2024-01-21,421,427,408,411,19183
2024-01-22,403,425,395,410.9,17159
2024-01-23,410,421,403,413,26890
2024-01-24,406,415,398,402,6915
2024-01-25,394.1,417,390.2,401,8605
2024-01-28,409,441.1,409,441.1,81541
2024-01-29,441.1,449.9,433,436,22351
2024-01-30,435,450,428.1,440,20153
2024-01-31,435,439,416,420,22973
2024-02-01,420,428,401.1,418,18809
2024-02-04,409.7,423.3,400,423.3,17280
2024-02-05,415,423.5,412.1,422,7486
2024-02-06,414,428,414,426.9,23078
2024-02-07,425,430,419.2,430,12460
2024-02-08,425,436,420,430,13447
2024-02-11,424,448,414.6,427,17958
2024-02-12,421.3,450,421.3,439.9,30821
2024-02-13,432,468.1,424.1,442,81555
2024-02-14,450,456.8,434,454.9,28005
2024-02-15,463.6,478,441.1,462,46244
2024-02-18,471,471,434.6,444.5,43249
2024-02-20,435.7,445,433.1,440,15476
2024-02-21,446.8,455,425,438,17745
2024-02-22,429.4,438.8,410.2,436,15858
2024-02-25,436,438.8,414,424,13360
2024-02-26,415.6,430,408.1,426,10588
2024-02-27,419,434,414.4,433,25385
2024-02-28,425,433.1,410.7,420,6795
2024-02-29,413,420,395,420,12946
2024-03-03,411.6,425,391,398,13813
2024-03-04,405,437,405,437,1160
2024-03-05,445.7,445.7,411.3,416.9,31612
2024-03-06,408.6,425,402.5,413,8897
2024-03-07,410,421,407.4,416.6,12520
2024-03-10,423.9,423.9,411.7,419,3514
2024-03-12,415,423.9,414.2,421,10380
2024-03-13,414,432,412.7,424.5,21098
2024-03-14,420.1,436.4,420.1,429,48521
2024-03-17,430,447.7,430,440,66905
2024-03-18,448.7,448.7,434,441,31609
2024-03-19,449.8,449.8,432.3,432.5,20748
2024-03-20,430,436.4,422,427,22734
2024-03-21,428,428,419,419.5,12615
2024-03-25,419.5,419.5,407,414.9,14117
2024-03-26,408.1,428.5,408.1,422,21705
2024-03-27,420,428.5,415.1,416.7,6270
2024-03-28,409.5,428.3,409.5,420,14045
2024-03-31,415,428,411,420,8830
2024-04-01,415,425,415,425,7932
2024-04-02,426.5,426.5,416.1,419.9,3078
2024-04-03,412.1,426,410.3,414,9006
2024-04-04,408.3,420,408.3,417.8,8564
2024-04-07,426.1,426.1,395,413.8,4515
2024-04-09,406,420.2,403,408,21845
2024-04-10,404.2,418,404.2,410,25176
2024-04-14,401.8,419,401.8,407,7565
2024-04-15,405.8,412.9,403,403,13207
2024-04-16,402.8,410,399.4,410,7315
2024-04-18,408,418,403,416,7777
2024-04-21,407.7,418.5,401.1,416,7380
2024-04-22,424.3,428.4,408,414.6,26553
2024-04-24,406.4,426.9,406.4,418,8010
2024-04-25,411,426,411,417,7799
2024-04-28,409,418.2,407,418.2,12822
2024-04-29,409.9,420,409.9,418.9,13183
2024-04-30,411.3,426,405.1,419.8,17977
2024-05-02,428.1,428.1,410,417,13665
2024-05-05,409,419.2,406.3,416.9,20313
2024-05-06,408.6,414,408.1,410.5,4995
2024-05-07,404.1,415.9,404.1,410,7825
2024-05-08,405.9,439,405.9,439,39839
2024-05-09,430.3,457.8,430.3,456.9,48791
2024-05-12,456.9,459,428,449,64009
2024-05-13,454,454,438,448.9,22150
2024-05-14,440,457,432,450,28256
2024-05-15,459,459,435,447,14692
2024-05-16,453.9,453.9,429.6,438,12070
2024-05-19,440,446.7,427.1,432.2,14735
2024-05-20,432.2,464,432.2,440,21128
2024-05-21,448.1,450,431.3,446.8,36388
2024-05-22,440,450,430,438.6,9170
2024-05-26,447.3,447.3,421.7,426,8495
2024-05-27,426,440,425.9,434.6,3858
2024-05-29,443,443.2,414,434.9,8686
2024-05-30,427,440,418,426.9,12898
2024-06-02,421.5,446,421.5,437,28150
2024-06-03,445,447,437.1,439.2,29675
2024-06-04,445,475,445,470,128790
2024-06-05,479.4,498,456,485,72970
2024-06-06,476,493,470.4,488,50375
2024-06-09,488,497,480,489,64639
2024-06-10,482,508.9,482,504,117744
2024-06-11,504.5,529,496,496,38509
2024-06-12,505.9,505.9,477,493,55858
2024-06-13,483.2,492.8,475,486.6,32753
2024-06-16,477.3,487,469.1,469.1,10668
2024-06-18,474,480.5,447,455.1,35114
2024-06-19,464.2,476,450,475,24599
2024-06-20,471,487,462,462,17569
2024-06-23,456,490.6,456,490.5,67482
2024-06-24,485,493,483,491,28367
2024-06-25,481.3,494,481.3,489,24409
2024-06-26,479.3,509.9,469.9,509.9,63761
2024-06-27,511,517,505.5,516,83968
2024-06-30,505.7,558.1,498,502.5,160959
2024-07-01,494,505.5,484.2,505.5,47931
2024-07-02,515.6,525.9,493,506,19379
2024-07-03,496.4,504,492,495,33899
2024-07-04,490,505,490,505,30166
2024-07-07,499,509,493,504,98271
2024-07-08,500,510,496,503,12587
2024-07-09,500,500,488,497,13873
2024-07-10,504.9,523,493.9,519.8,64426
2024-07-11,522,527,512,517,43921
2024-07-14,527.3,548,508,547,45122
2024-07-15,536.1,568.9,530,558.8,59974
2024-07-16,547.7,597.7,547.7,591,52139
2024-07-17,602,605,580.1,605,47934
2024-07-18,593,665,580,650,63478
2024-07-21,637,647.9,590,614,127406
2024-07-22,601.9,601.9,575,591,56707
2024-07-23,599,632,587.1,604.8,47314
2024-07-24,593,598,575,582,39604
2024-07-25,590,590,565.1,569,24951
2024-07-28,580,586,556,585,23624
2024-07-29,573.3,632,569,585,31134
2024-07-30,574,590,568.4,570,48468
2024-07-31,570,581,556,560,54751
2024-08-01,569.9,575,550,551,30054
2024-08-05,551,606.1,546.1,606.1,75324
2024-08-06,618.2,640,578,613,92416
2024-08-07,600.8,660,583.5,645,72116
2024-08-08,632.1,690,618,690,83941
2024-08-11,692,692,665.2,689,63833
2024-08-12,680,688.8,662,681,41581
2024-08-13,668,749,647,651,220748
2024-08-14,638,645,602,637.5,39593
2024-08-15,645,645,610,635,44185
2024-08-18,635,635,600,600,28008
2024-08-21,590,610,581,590,28586
2024-08-22,581.3,617,578.5,594,20950
2024-08-25,605,605.8,555,569.4,15373
2024-08-27,569,597,560,597,44727
2024-08-28,597,610,590,610,32091
2024-08-29,597.8,650,588,624,66521
2024-09-01,611.6,611.6,575,580,9804
2024-09-02,570,599.9,563,585,8440
2024-09-03,590,600,567,579,18388
2024-09-04,568,580,544.9,547,18352
2024-09-05,539,549,516,532.1,13566
2024-09-08,542,542.7,520,530,23290
2024-09-09,531,531,495,518,16150
2024-09-10,528,528,495,500,12910
2024-09-11,501,501,485,490,17811
2024-09-12,485,513.7,485,513.7,10058
2024-09-15,519.9,550,509.6,522,24650
2024-09-16,517,517,493.3,500,18150
2024-09-18,495,504,492,500,4520
2024-09-22,510,510,474.2,489.6,13876
2024-09-23,498,507,472.9,478.9,7096
2024-09-24,488,488,460.8,461,11366
2024-09-25,455,505,451.8,505,13848
2024-09-26,494.9,545,490,515,25087
2024-09-29,504.7,524,478,499.9,13209
2024-09-30,499.9,505,484,495,2254
2024-10-01,485.1,515.6,485.1,515,10260
2024-10-02,507,513,481.3,499.5,11622
2024-10-06,490.1,548,490,499.1,49756
2024-10-07,508.9,509,494,500,8995
2024-10-08,491,500.8,481,490,8710
2024-10-09,490,497,480.2,485,5087
2024-10-15,485,498,485,498,2597
2024-10-16,498,521,492.4,517.1,19617
2024-10-17,510,540,502,538,33117
2024-10-20,527.3,564,517,530.1,56117
2024-10-21,519.5,540,519.5,529,22397
2024-10-22,519.2,539,519.2,534,12299
2024-10-23,523.5,546,523.5,543.6,19225
2024-10-24,532.8,579,532.8,572.1,64132
2024-10-27,575,590,558,571,40222
2024-10-28,559.6,582.4,559.6,570,41728
2024-10-29,559,614,537.1,572,98625
