timestamp,open,high,low,close,volume
2012-02-12,109.29,109.29,109.29,109.29,10
2012-02-21,109.29,108.4,107.93,107.93,30
2012-03-06,107.93,106.92,106.92,106.92,10
2012-04-08,106.92,105.91,105.49,105.49,20
2012-04-11,105.49,104.54,103.47,103.47,50
2012-06-06,103.47,103.12,103.12,103.12,10
2012-06-17,103.12,102.23,102.23,102.23,200
2012-07-25,102.23,101.39,101.39,101.39,10
2012-08-16,101.39,100.56,100.56,100.56,10
2012-08-22,100.56,99.79,99.79,99.79,10
2012-08-27,99.79,99.08,99.08,99.08,10
2012-09-12,99.08,98.37,97.89,97.89,40
2012-09-13,97.89,97.65,97.18,97.18,30
2012-09-18,97.18,96.58,95.99,95.99,70
2012-09-20,95.99,95.46,94.92,94.92,80
2012-09-24,94.92,94.74,94.39,94.39,50
2012-09-30,94.39,93.91,93.44,93.44,80
2012-10-07,93.44,93.02,92.61,92.61,100
2012-10-08,92.61,92.49,92.37,92.37,30
2012-10-09,92.37,92.01,91.89,91.89,40
2012-10-11,91.89,91.54,91.18,91.18,40
2012-10-14,91.18,91.06,90.53,90.53,620
2012-10-15,90.53,90.29,89.99,89.99,1260
2012-10-18,89.99,89.99,89.58,89.58,1020
2012-10-30,89.58,89.93,89.64,89.88,1480
2012-10-31,89.88,90.05,89.88,89.88,1030
2012-11-01,89.88,89.93,89.88,89.88,1500
2012-11-04,89.88,89.88,89.82,89.82,1280
2012-11-05,89.82,89.88,89.82,89.82,460
2012-11-06,89.82,89.82,89.76,89.82,1540
2012-11-07,89.82,89.82,89.82,89.82,800
2012-11-08,89.82,89.82,89.82,89.82,550
2012-11-11,89.82,89.82,89.82,89.82,2230
2012-11-12,89.82,89.76,89.7,89.7,300
2012-11-18,89.7,89.82,89.7,89.76,590
2012-11-20,89.76,89.93,89.82,89.93,1390
2012-11-22,89.93,89.88,89.88,89.88,1020
2012-11-25,89.88,89.88,89.88,89.88,60
2012-11-26,89.88,89.82,89.82,89.82,5670
2012-11-28,89.82,89.82,89.7,89.82,830
2012-12-03,89.82,89.88,89.88,89.88,410
2012-12-04,89.88,89.93,89.93,89.93,600
2012-12-05,89.93,89.88,89.88,89.88,20
2012-12-06,89.88,89.93,89.88,89.93,390
2012-12-09,89.93,89.99,89.99,89.99,320
2012-12-11,89.99,89.93,89.93,89.93,530
2012-12-13,89.93,89.82,89.82,89.82,500
2012-12-16,89.82,89.82,89.82,89.82,400
2012-12-17,89.82,89.82,89.76,89.82,160
2012-12-18,89.82,89.76,89.76,89.76,280
2012-12-23,89.76,89.7,89.7,89.7,20
2012-12-26,89.7,89.64,89.64,89.64,500
2012-12-27,89.64,89.64,89.64,89.64,60
2012-12-31,89.64,89.64,89.64,89.64,300
2013-01-01,89.64,89.76,89.7,89.76,100
2013-01-02,89.76,89.82,89.82,89.82,40
2013-01-07,89.82,89.76,89.7,89.7,320
2013-01-09,89.7,89.76,89.76,89.76,300
2013-01-10,89.76,89.76,89.7,89.76,320
2013-01-20,89.76,89.7,89.64,89.64,90
