timestamp,open,high,low,close,volume
2020-12-03,124.38,124.38,124.38,124.38,10
2020-12-06,125,125,125,125,8390
2020-12-07,125.75,128.75,125.75,128.75,50
2020-12-08,129.5,132.88,129.5,132.88,160
2020-12-09,133.75,137.38,133.75,137.38,60
2020-12-10,137.5,142.25,137.5,142.25,250
2020-12-13,143.25,147.63,143.25,147.63,5450
2020-12-14,148.75,153.63,148.75,153.63,670
2020-12-15,154.88,160.13,154.88,160.13,3440
2020-12-16,161.5,167.38,161.5,167.38,7501
2020-12-17,171.25,173.25,160,161.38,4695
2020-12-20,160,160,154.63,154.63,350
2020-12-21,153.38,153.38,148,148,5170
2020-12-22,146.88,146.88,142,142,615
2020-12-23,141,141,136.63,136.63,3463
2020-12-24,135.75,135.75,131.75,134.63,23660
2020-12-27,135.5,139.25,135.5,139.25,310
2020-12-28,140.25,144.38,140.25,144.38,1785
2020-12-29,145.5,150,145.5,150,9638
2020-12-30,151.25,152.5,143.75,143.75,5984
2020-12-31,142.75,143.75,141.63,141.63,1778
2021-01-03,141.63,143.75,136.25,142.63,20237
2021-01-04,143.63,148.13,141.88,147,2945
2021-01-05,148.13,152.88,148.13,152.88,6655
2021-01-06,154.13,159.38,154.13,159.38,265
2021-01-07,162.88,166.5,162.88,166.5,26188
2021-01-10,168,174.38,168,174.38,15905
2021-01-11,176,183,176,183,10813
2021-01-12,187.75,192.5,177.5,191.13,28984
2021-01-13,193.5,202.75,193.5,202.75,481
2021-01-17,205.25,215.5,205.25,215.5,7180
2021-01-18,218.25,229.5,218.25,229.5,5430
2021-01-19,232.5,244.75,232.5,244.75,29142
2021-01-20,248,261.5,248,261.5,10415
2021-01-21,270.75,270.75,243,249,11045
2021-01-24,249,249,231.75,231.75,6893
2021-01-25,224,247.25,216.25,240,12599
2021-01-26,242.5,246.75,234.25,237,4596
2021-01-27,238.75,238.75,231.25,235,6994
2021-01-28,237.5,243.75,235,235,2890
2021-01-31,243,251,235,244.25,12644
2021-02-01,247.25,247.5,240.75,244.25,3224
2021-02-02,247.5,247.5,239.25,240.25,1702
2021-02-03,237.25,238,231.25,233,5709
2021-02-04,240.75,240.75,231.25,236.25,2445
2021-02-07,233.25,236.25,231.25,231.75,4631
2021-02-08,231.25,231.25,229,229.5,4372
2021-02-09,226.75,229.5,226.25,226.75,3274
2021-02-10,227.5,229.5,224,226.5,4718
2021-02-11,223.5,226.25,223.25,224.75,3004
2021-02-14,223.75,223.75,217,220,2775
2021-02-15,222.75,234.25,217,227.75,5285
2021-02-16,228.75,228.75,224.75,225.75,1902
2021-02-17,228.75,229,222.5,225.5,2175
2021-02-18,225.5,230.5,222.5,223.25,1759
2021-02-21,222.5,226.75,221.5,226.75,880
2021-02-22,224.5,226.25,223.75,226,1719
2021-02-23,223.25,225,220,221.25,1200
2021-02-24,224,227.5,223,224.75,1385
2021-02-25,227.5,227.5,219.5,220,2166
2021-02-28,220,222.75,217.75,219.5,751
2021-03-01,220,227,217.5,222.75,1190
2021-03-02,220.75,220.75,215.5,218.75,1074
2021-03-03,220,220,211.25,212.5,2197
2021-03-04,212.5,215.25,212.5,213.75,1625
2021-03-08,216.5,216.5,211,212.25,776
2021-03-09,210,210,205,207.75,1235
2021-03-10,205.75,208.5,205.75,208.5,758
2021-03-14,210,210,200.25,200.75,1946
2021-03-15,200.5,203.25,198.5,203.25,1277
2021-03-16,205.5,208,205.5,207,1311
2021-03-17,204.5,206.75,204.5,206.25,218
2021-03-18,206.25,215,206.25,214.75,955
2021-03-21,214.75,217.25,209.5,214.5,1958
2021-03-22,212.5,212.5,209.25,211.25,1402
2021-03-23,213.75,217.75,208.75,210,1135
2021-03-24,210,212.5,209.75,209.75,316
2021-03-25,212.25,212.25,207.25,209.5,913
2021-03-29,207,210.25,205.5,208,495
2021-03-30,209.75,213.75,208.75,212.5,1746
2021-03-31,209.75,211.25,209.75,211.25,170
2021-04-01,213.75,213.75,209.25,212.5,2562
2021-04-04,210,210,208.75,209,213
2021-04-05,207,215.25,207,211.25,1780
2021-04-06,212.5,217.75,212.5,216.25,2615
2021-04-07,218.75,221.5,214.5,221.5,3140
2021-04-08,218.75,227.75,218.75,223.75,2265
2021-04-12,226.5,228.75,220,221.25,2144
2021-04-13,223.75,223.75,221,223.75,650
2021-04-15,221.25,225.75,219,223.75,1330
2021-04-18,223,223,219,219.25,408
2021-04-19,216.5,221.25,216.5,217.5,869
2021-04-20,217.5,223,215.75,223,1640
2021-04-21,220.25,224.75,215.25,217.5,2030
2021-04-22,215,223,215,218.5,1707
2021-04-25,215.75,215.75,204.5,206.75,24805
2021-04-26,204.5,204.5,197.5,200,17042
2021-04-27,197.5,206.5,197.5,203.25,11513
2021-04-28,203.25,213.25,203.25,209.5,9228
2021-04-29,210,210.25,202.25,207.5,11449
2021-05-02,205,206.25,202.5,206,7418
2021-05-03,204,215,204,206.25,4351
