timestamp,open,high,low,close,volume
2020-07-09,331,364,331,364,230
2020-07-12,371,400,371,400,260
2020-07-13,408,440,408,440,400
2020-07-14,448,484,448,484,250
2020-07-15,508,532,508,532,1050
2020-07-16,542,585,542,585,1170
2020-07-19,614,626,614,626,20
2020-07-20,657,688,657,688,8160
2020-07-21,722,756,722,756,38948
2020-07-22,793,831,793,805,221826
2020-07-23,820,820,781,793,89223
2020-07-26,795,795,775,781,80655
2020-07-27,780,855,780,820,93959
2020-07-28,811,839,810,830,59825
2020-07-29,840,840,807,812,53350
2020-07-30,812,820,800,806,44120
2020-08-02,810,810,783,787,52090
2020-08-03,775,799,772,787,29520
2020-08-05,785,785,768,772,28956
2020-08-06,775,775,760,763,27895
2020-08-09,755,764,730,756,43385
2020-08-10,742,795,742,793,34851
2020-08-11,793,793,772,778,30656
2020-08-12,775,780,765,767,26710
2020-08-13,753,770,753,759,30385
2021-03-31,759,795,759,795,239
2021-04-01,834,874,834,874,431
2021-04-04,917,961,917,961,3440
2021-04-05,980,1057,980,1057,1217
2021-04-06,1109,1162,1109,1162,1052
2021-04-07,1220,1278,1220,1278,1359
2021-04-08,1297,1405,1297,1405,721
2021-04-12,1545,1545,1545,1545,2242
2021-04-13,1622,1699,1622,1699,10426
2021-04-15,1783,1868,1783,1868,269135
2021-04-18,1961,2037,1831,1899,288975
2021-04-19,1918,1940,1840,1849,123334
2021-04-20,1900,1900,1802,1818,85694
2021-04-21,1900,1900,1785,1793,77827
2021-04-22,1882,1885,1764,1837,116471
2021-04-25,1900,1900,1761,1764,71662
2021-04-26,1750,1794,1700,1701,73976
2021-04-27,1701,1760,1700,1755,38917
2021-04-28,1760,1806,1718,1729,28733
2021-04-29,1730,1750,1711,1726,20952
2021-05-02,1730,1748,1710,1736,39847
2021-05-03,1744,1765,1721,1738,28252
2021-05-04,1738,1830,1725,1809,62225
2021-05-05,1850,1910,1825,1873,119789
2021-05-06,1880,1885,1820,1821,48227
2021-05-09,1821,1821,1764,1769,36361
2021-05-10,1750,1800,1747,1780,21338
2021-05-11,1780,1805,1771,1780,25790
2021-05-12,1786,1795,1766,1773,21623
2021-05-13,1750,1800,1750,1772,19962
2021-05-16,1775,1795,1775,1790,29210
2021-05-17,1790,1810,1780,1783,29173
2021-05-18,1800,1800,1780,1790,39058
2021-05-19,1800,1836,1781,1798,66643
2021-05-20,1800,1820,1776,1783,31918
2021-05-23,1750,1793,1750,1780,33784
2021-05-24,1780,1790,1760,1762,35799
2021-05-25,1780,1785,1758,1758,23995
2021-05-27,1671,1733,1607,1673,111261
2021-05-30,1670,1700,1655,1658,41047
2021-05-31,1655,1683,1644,1650,43055
2021-06-01,1650,1666,1622,1633,26567
2021-06-02,1670,1670,1631,1643,20574
2021-06-03,1725,1725,1649,1649,25530
2021-06-06,1650,1681,1641,1644,25578
2021-06-07,1644,1660,1634,1634,21195
2021-06-08,1705,1705,1626,1628,34635
2021-06-09,1628,1651,1625,1629,34825
2021-06-10,1650,1650,1614,1617,29349
2021-06-13,1625,1628,1578,1609,36522
2021-06-14,1620,1635,1605,1616,28333
2021-06-15,1606,1622,1600,1603,29455
2021-06-16,1603,1709,1595,1660,61567
2021-06-17,1690,1723,1619,1629,24410
2021-06-20,1628,1640,1595,1599,27748
2021-06-21,1520,1620,1520,1566,27217
2021-06-22,1580,1598,1550,1573,23267
2021-06-23,1589,1589,1539,1539,20286
2021-06-24,1500,1566,1500,1516,23509
2021-06-27,1520,1540,1499,1507,20011
2021-06-28,1525,1566,1510,1544,25558
2021-06-29,1570,1610,1546,1548,24360
2021-06-30,1520,1555,1515,1516,12917
2021-07-01,1524,1538,1510,1516,15784
2021-07-04,1509,1530,1509,1510,12304
2021-07-05,1538,1539,1497,1500,21852
2021-07-06,1525,1525,1496,1500,17498
2021-07-07,1495,1520,1495,1499,14768
2021-07-08,1500,1528,1499,1511,13684
2021-07-11,1530,1550,1511,1550,16629
2021-07-12,1570,1570,1525,1538,19812
2021-07-13,1550,1555,1525,1539,7292
2021-07-14,1530,1548,1518,1531,7827
2021-07-15,1536,1545,1530,1545,17437
2021-07-18,1575,1612,1560,1605,27529
2021-07-19,1619,1669,1608,1615,19763
2021-07-20,1615,1636,1600,1600,11650
2021-07-22,1605,1620,1591,1595.4,16338
2021-07-25,1600,1601,1590.5,1594,15010
2021-07-26,1585.1,1642,1585.1,1638,31482
2021-07-27,1605.3,1611,1551.1,1599,42050
2021-07-28,1590,1635,1588,1605,17791
2021-07-29,1610,1630,1590.2,1595,13485
2021-08-01,1620,1649.9,1600,1608,16141
2021-08-02,1640,1640,1610,1630,21357
2021-08-03,1650,1711,1650,1697,68028
2021-08-04,1725,1780,1675,1677,50206
2021-08-05,1650,1680,1635,1641.5,28817
2021-08-08,1674,1674,1602,1615,29655
2021-08-09,1620,1625,1592,1610,20822
2021-08-10,1610,1651,1592,1620,19278
2021-08-11,1620,1630,1605,1610,20691
2021-08-12,1610,1633,1600,1602.2,20561
2021-08-15,1634.2,1634.2,1588,1610,25826
2021-08-16,1608,1620,1590,1594,19288
2021-08-17,1595,1610,1577,1580,21499
2021-08-18,1581,1581,1538.6,1575,22238
2021-08-19,1562,1605,1562,1567,16232
2021-08-24,1570.1,1575,1540,1546.6,16197
2021-08-25,1530,1555,1520,1532,9030
2021-08-26,1540,1560,1510,1519,21214
2021-08-29,1520,1545,1498,1498,20556
2021-08-31,1492,1510,1457.8,1464,21127
2021-09-01,1455.1,1500,1455.1,1473,13843
2021-09-02,1475,1498,1450,1460,17417
2021-09-05,1445,1450,1375,1405,22687
2021-09-06,1387.3,1458,1387.3,1455,13113
2021-09-07,1455,1456.1,1417.1,1422,10128
2021-09-08,1440,1444,1399,1407,12596
2021-09-09,1402,1434,1402,1404,9419
2021-09-12,1432,1432,1405,1417,11374
2021-09-13,1421,1446,1410,1415,11932
2021-09-14,1405,1420,1400,1406,12326
2021-09-15,1406,1409,1390,1392,10160
2021-09-16,1390,1391,1340,1341,22041
2021-09-20,1340,1364,1290.1,1294,17623
2021-09-21,1271,1356,1250,1285,18152
2021-09-22,1310,1341,1293,1335,10781
2021-09-23,1360,1380,1324,1325,13846
2021-09-26,1325,1325,1290,1303,10413
2021-09-27,1305,1305,1260,1262,10596
2021-09-28,1250,1287,1237.1,1265,17318
2021-09-29,1265,1278,1250.2,1268,8860
2021-09-30,1292,1292,1265,1275,11290
2021-10-03,1265,1295,1256,1262,9286
2021-10-04,1279,1280,1240,1269,9604
2021-10-05,1243.7,1243.7,1142.1,1142.1,14027
2021-10-06,1119.3,1190,1027.9,1140,153332
2021-10-10,1160,1200,1140,1160,25099
2021-10-11,1138,1140,1114.5,1133,36007
2021-10-17,1134,1148,1110.5,1130,10754
2021-10-18,1108,1128,1090,1097,15305
2021-10-19,1076,1097,1038,1097,20819
2021-10-20,1118,1130,1078,1084,18591
2021-10-21,1090,1091.2,1062,1063,10449
2021-10-24,1051,1088,1051,1081.2,13406
2021-10-25,1065.1,1116,1065.1,1110,18487
2021-10-26,1125,1130.9,1100,1124,26737
2021-10-27,1146.4,1235,1146.4,1205,81893
2021-10-28,1223,1241,1181.1,1232.1,29483
2021-10-31,1235,1320,1213,1310,38731
2021-11-01,1330,1389,1305,1313,33043
2021-11-02,1310,1340.2,1273,1301,20771
2021-11-03,1300,1369.9,1300,1311,17452
2021-11-08,1311,1337,1285,1286,14052
2021-11-09,1301,1301,1220,1231,15371
2021-11-11,1207,1233,1185,1185,13472
2021-11-14,1185,1199,1162,1181,9489
2021-11-15,1204,1210,1186,1199,8677
2021-11-16,1177,1306.4,1177,1276,16780
2021-11-17,1280,1327.5,1280,1291,31637
2021-11-18,1290,1316,1268,1272,15663
2021-11-21,1252.1,1276,1252,1270.2,11212
2021-11-22,1293.3,1300,1270,1276,14018
2021-11-23,1276,1299.9,1250,1260,22252
2021-11-24,1235,1245,1220,1233.1,9818
2021-11-25,1250,1250,1220.1,1220.2,5382
2021-11-28,1196,1244,1175,1189,21071
2021-11-29,1175,1231.1,1175,1191,8098
2021-11-30,1212.1,1212.5,1172,1180,8278
2021-12-01,1182,1191,1172.4,1173.1,4872
2021-12-02,1173,1188.8,1137,1137,11463
2021-12-05,1114.6,1114.6,1081.1,1091,13341
2021-12-06,1071,1150,1060,1100,11990
2021-12-07,1103.1,1140,1100,1100,7262
2021-12-08,1110,1110,1068,1070,6817
