timestamp,open,high,low,close,volume
2021-02-14,314.81,346.3,314.81,346.3,59931
2021-02-15,362.96,380.56,362.96,380.56,47850
2021-02-16,399.07,418.52,399.07,418.52,47799
2021-02-17,438.89,460.19,438.89,460.19,1397130
2021-02-18,482.41,505.56,482.41,505.56,932534
2021-02-21,530.56,555.56,530.56,555.56,898056
2021-02-22,583.33,611.11,583.33,611.11,487154
2021-02-23,641.67,672.22,550,550,1081400
2021-02-24,523.15,594.44,314.81,520.37,992207
2021-02-25,509.26,550.93,487.04,502.78,1649930
2021-02-28,502.78,509.26,469.44,470.37,1229080
2021-03-01,470.37,495.37,446.3,489.81,863802
2021-03-02,500,500.93,470.37,476.85,494666
2021-03-03,476.85,481.48,465.74,470.37,428048
2021-03-04,470.37,516.67,470.37,511.11,989491
2021-03-08,518.52,527.78,499.07,501.85,779371
2021-03-09,501.85,506.48,488.89,492.59,476968
2021-03-10,490.74,500,483.33,491.67,389669
2021-03-14,500,500.93,482.41,484.26,521372
2021-03-15,507.41,515.74,488.89,497.22,807526
2021-03-16,509.26,509.26,490.74,493.52,317765
2021-03-17,492.59,500,487.96,490.74,378017
2021-03-18,490.74,495.37,486.11,486.11,408478
2021-03-21,486.11,494.44,486.11,488.89,401215
2021-03-22,490.74,497.22,483.33,485.19,375082
2021-03-23,485.19,509.26,481.48,500,973981
2021-03-24,504.63,544.44,504.63,537.96,1140970
2021-03-25,555.56,584.26,541.67,562.96,1462360
2021-03-29,569.44,575.93,558.33,561.11,724630
2021-03-30,561.11,565.74,547.22,548.15,802167
2021-03-31,548.15,559.26,546.3,549.07,508187
2021-04-01,569.44,569.44,544.44,550.93,96316
2021-04-04,550.93,555.56,534.26,537.96,801852
2021-04-05,537.96,544.44,531.48,534.26,500352
2021-04-06,559.26,561.11,529.63,560.19,672591
2021-04-07,561.11,566.67,547.22,548.15,461662
2021-04-08,575,575,544.44,545.37,420301
2021-04-12,542.59,546.3,537.04,540.74,376104
2021-04-13,542.59,545.37,537.04,539.81,361253
2021-04-15,541.67,559.26,537.04,550.93,835570
2021-04-18,576.85,576.85,537.96,541.67,476981
2021-04-19,544.44,544.44,536.11,537.96,410725
2021-04-20,537.04,540.74,532.41,534.26,343512
2021-04-21,537.96,537.96,518.52,528.7,444290
2021-04-22,529.63,529.63,519.44,520.37,457462
2021-04-25,523.15,527.78,497.22,500.93,723657
2021-04-26,500,500.93,481.48,487.04,476237
2021-04-27,481.48,507.41,478.7,505.56,391695
2021-04-28,506.48,513.89,492.59,504.63,209761
2021-04-29,504.63,508.33,494.44,501.85,210781
2021-05-02,501.85,504.63,495.37,501.85,448160
2021-05-03,504.63,512.96,501.85,503.7,368189
2021-05-04,518.52,518.52,500.93,503.7,302660
2021-05-05,503.7,503.7,499.07,500,230204
2021-05-06,500,500,491.67,492.59,282014
2021-05-09,490.74,495.37,481.48,488.89,297827
2021-05-10,488.89,500,486.11,494.44,182691
2021-05-11,500,502.78,490.74,497.22,216667
2021-05-12,473.15,504.63,473.15,494.44,167760
2021-05-13,494.44,497.22,486.11,491.67,256911
2021-05-16,495.37,508.33,487.04,506.48,546356
2021-05-17,513.89,518.52,504.63,505.56,331567
2021-05-18,505.56,512.04,501.85,503.7,314084
2021-05-19,503.7,511.11,497.22,498.15,323110
2021-05-20,518.52,518.52,490.74,497.22,371438
2021-05-23,497.22,502.78,489.81,498.15,362473
2021-05-24,499.07,504.63,495.37,496.3,344835
2021-05-25,513.89,513.89,492.59,494.44,261918
2021-05-27,494.44,496.3,489.81,490.74,391248
2021-05-30,490.74,504.63,488.89,490.74,522428
2021-05-31,490.74,495.37,487.04,487.04,332230
2021-06-01,487.04,492.59,483.33,486.11,285458
2021-06-02,486.11,488.89,476.85,485.19,312966
2021-06-03,486.11,500,486.11,493.52,618859
2021-06-06,501.85,537.96,501.85,535.19,1478880
2021-06-07,546.3,554.63,524.07,529.63,805770
2021-06-08,535.19,535.19,518.52,519.44,588485
2021-06-09,519.44,525.93,506.48,508.33,466594
2021-06-10,518.52,518.52,491.67,500.93,444293
2021-06-13,500.93,507.41,494.44,497.22,419915
2021-06-14,500,523.15,499.07,509.26,577558
2021-06-15,521.3,521.3,499.07,499.07,320786
2021-06-16,486.11,496.3,484.26,494.44,483442
2021-06-17,494.44,495.37,486.11,489.81,464954
2021-06-20,481.48,497.22,481.48,484.26,388678
2021-06-21,484.26,487.04,471.3,472.22,420675
2021-06-22,476.85,485.19,467.59,485.19,402416
2021-06-23,489.81,493.52,473.15,474.07,201087
2021-06-24,474.07,479.63,470.37,472.22,252503
2021-06-27,472.22,480.56,468.52,473.15,306783
2021-06-28,476.85,479.63,467.59,471.3,185355
2021-06-29,471.3,476.85,464.81,465.74,247114
2021-06-30,465.74,467.59,458.33,462.96,240095
2021-07-01,467.59,470.37,462.96,463.89,209366
2021-07-04,463.89,467.59,459.26,460.19,184761
2021-07-05,460.19,462.04,451.85,452.78,271311
2021-07-06,452.78,458.33,445.37,448.15,255098
2021-07-07,448.15,450,442.59,443.52,227513
2021-07-08,444.44,470.37,437.96,453.7,290179
2021-07-11,458.33,474.07,458.33,473.15,373329
2021-07-12,496.3,496.3,453.7,458.33,364593
2021-07-13,466.67,466.67,451.85,457.41,253886
2021-07-14,457.41,467.59,452.78,454.63,154072
2021-07-15,458.33,460.19,453.7,455.56,164324
2021-07-18,455.56,466.67,455.56,462.04,207820
2021-07-19,464.81,470.37,458.7,461.11,212059
2021-07-20,461.11,462.96,454.63,455.56,159685
2021-07-22,455.56,460.19,453.7,456.11,209467
2021-07-25,455.56,461.11,453.8,455.56,300559
2021-07-26,458.33,459.26,451.02,451.85,294200
2021-07-27,450,458.52,446.3,456.02,293096
2021-07-28,455.56,458.33,450.09,453.7,216256
2021-07-29,453.7,456.48,450.56,450.93,206567
2021-08-01,459.91,459.91,448.24,448.8,220642
2021-08-02,449.07,449.26,445.46,445.83,232036
2021-08-03,454.63,454.63,444.44,447.69,233403
