timestamp,open,high,low,close,volume
2023-02-23,232.2,232.2,213.2,216,276758
2023-02-26,212,212,204,207.5,129624
2023-02-27,207,210.6,203.1,206,88701
2023-02-28,206,207,203.2,203.7,62491
2023-03-01,205,205.9,203.7,204,41099
2023-03-02,207.8,207.8,200,200.5,57048
2023-03-05,202,202,197.1,197.5,78195
2023-03-07,196.1,199.8,196.1,197,40001
2023-03-09,199.5,202.9,199.2,201.2,67668
2023-03-12,204,204,196,198.2,58923
2023-03-13,196.1,198.5,195.1,197,45952
2023-03-14,200.9,200.9,195,195,57432
2023-03-15,197,197,192.6,193.2,58388
2023-03-16,192,193,190.6,192,55926
2023-03-19,192.1,193,189.7,190.9,72137
2023-03-20,192,194,190.2,191.4,41833
2023-03-22,194.5,194.5,190,191.5,51533
2023-03-23,191,193.8,188.5,192,55968
2023-03-26,193,193,186.2,187.9,85585
2023-03-27,189,190.7,184.3,188.3,62229
2023-03-28,191,193,187.2,191,39108
2023-03-29,190,191.9,186,191.4,74551
2023-03-30,189,191,187.3,187.5,74624
2023-04-02,187.5,191.2,183,184.9,74001
2023-04-03,184,186,182,184,98341
2023-04-04,181.5,184.8,179.1,181.1,78330
2023-04-05,181,184,180.5,183.3,38531
2023-04-06,183.9,185,181,182.8,82265
2023-04-09,181,182,179,181,100811
2023-04-10,180.1,182.7,179.3,180.5,61761
2023-04-11,177,187.2,177,183.5,83463
2023-04-12,186,193.2,184.6,192.9,112996
2023-04-13,196,196,187,191,95095
2023-04-16,193,193,186.2,186.5,66764
2023-04-17,185,190,184.6,185,42409
2023-04-18,188,188.7,182.5,185,46710
2023-04-19,183,188,182.6,185,68139
2023-04-20,184.1,186,181.5,184,48699
2023-04-23,187.6,187.6,180.1,181,80139
2023-04-24,181.9,183,180,182.5,48384
2023-04-25,180.2,184.7,180.2,183.8,37663
2023-04-26,185,186,182.4,184,89370
2023-04-27,187,187,182.1,183.5,34985
2023-04-30,183,185,182,182.9,195178
2023-05-02,184,184,181,182,56145
2023-05-03,180,184,180,181.9,55649
2023-05-04,182,182.5,180.1,181.6,74454
2023-05-07,181.6,185,180,180.5,75910
2023-05-08,180,183,179.5,179.6,78252
2023-05-09,182,182.5,179.2,179.2,34106
2023-05-10,180.1,182.9,180,180.3,21675
2023-05-11,176.7,183,176.7,180,66954
2023-05-14,182,182.6,178.4,179.2,56296
2023-05-15,179,180.7,178,178.3,76315
2023-05-16,180,180,178.2,179.5,31210
2023-05-17,179,183,179,180,53613
2023-05-18,180.5,184,180,182,66878
2023-05-21,185,186,182,183.8,52616
2023-05-22,182.3,183.6,180.5,181.1,44432
2023-05-23,183,184.8,180,184.7,71436
2023-05-24,182.5,185,182,184.5,49980
2023-05-28,185,187,183.2,183.6,68960
2023-05-30,183,183,179,179.1,75743
2023-05-31,179,179.9,177,177,79091
2023-06-01,180,180.1,175.5,177,60499
2023-06-04,175.8,182.8,175.8,178.3,46873
2023-06-05,181.7,181.7,176.6,176.6,64655
2023-06-06,176,178,176,177,49549
2023-06-07,177,179.9,176,176.1,56148
2023-06-08,179.3,179.3,176,176.1,77732
2023-06-11,176,179,176,176.2,56136
2023-06-12,176.6,179.5,176.6,178,50104
2023-06-13,181.5,181.5,176.5,179.5,99102
2023-06-14,179.5,188,178,180.7,140526
2023-06-15,179,184.3,179,182.5,63982
2023-06-18,181,184,181,183,147609
2023-06-19,185,185,180.5,180.5,136527
2023-06-20,182,184.1,180,180.1,98416
2023-06-21,183.5,183.5,178.1,178.6,175342
2023-06-22,182,182,176.9,176.9,135570
2023-06-25,177.1,179,175,178,287841
2023-06-26,181.2,181.5,175,175.5,233021
2023-06-27,177.6,187.6,176,187.6,255718
2023-06-28,188,192,185.2,186.9,224285
2023-07-02,190,190,178,178.1,213671
2023-07-03,174.6,180,174.6,176,107565
2023-07-04,172.5,182,172.5,175.8,102970
2023-07-05,175.8,177,173.5,173.9,213753
2023-07-06,176.9,176.9,173.1,173.5,111479
2023-07-09,170.1,176,170.1,173.9,134111
2023-07-10,175,176.3,171,171.8,129842
2023-07-11,171.1,176,171,174.9,65177
2023-07-12,176,176,172.6,173.8,112977
2023-07-13,170.4,178,170.4,174.9,155129
2023-07-16,175,177.7,172.5,173.8,139250
2023-07-17,174,185.9,174,184,146645
2023-07-18,184,188,184,184.9,146120
2023-07-19,185,195.4,183.5,194.6,269300
2023-07-20,198,199.9,195,198,228004
2023-07-23,200.9,215,196.1,214.9,368391
2023-07-24,212,217,204,205,481052
2023-07-25,205,207.9,196.9,198.6,223765
2023-07-26,201,202,195.2,196.7,122004
2023-07-27,199.9,199.9,193.5,193.6,137172
2023-07-30,195,199,191,192,92276
