timestamp,open,high,low,close,volume
2025-04-08,302.3,332.5,302.3,332.5,210
2025-04-09,332.6,365.7,332.6,365.7,170
2025-04-10,373,402.2,373,402.2,277
2025-04-13,410.2,442.4,410.2,442.4,210
2025-04-15,449.7,486.6,449.7,486.6,230
2025-04-16,496.3,535.2,496.3,535.2,330
2025-04-17,536.3,588.7,536.3,588.7,370
2025-04-20,600.4,647.5,600.4,647.5,440
2025-04-21,660.4,712.2,660.4,712.2,530
2025-04-22,712.2,783.4,712.2,783.4,590
2025-04-23,799,861.7,799,861.7,650
2025-04-24,878.9,947.8,878.9,947.8,530
2025-04-27,966.7,1042.5,966.7,1042.5,940
2025-04-28,1042,1146.7,1042,1146.7,850
2025-04-29,1169.6,1261.3,1169.6,1261.3,840
2025-04-30,1238.5,1387.4,1238.5,1387.4,810
2025-05-04,1387.6,1526.1,1387.6,1526.1,1410
2025-05-05,1556.6,1678.7,1556.6,1678.7,1500
2025-05-06,1712,1846.5,1712,1846.5,1540
2025-05-07,1883.4,2031.1,1883.4,2031.1,4840
2025-05-08,2071.7,2234.2,2071.7,2234.2,15950
2025-05-11,2278.8,2457.6,2278.8,2457.6,29180
2025-05-13,2506.7,2703.3,2274,2304.7,217680
2025-05-14,2305,2310,2080.1,2081.02,145890
2025-05-15,2050,2255,1960,2190.06,59233
2025-05-18,2146.3,2180,2018,2025.07,51818
2025-05-19,2020,2060,1939,1955.69,59401
2025-05-20,1956,1990,1891,1965.58,45780
2025-05-21,2000,2040,1907,1913.7,27915
2025-05-22,1890,2055,1872,1988.55,74610
2025-05-25,1985,2023,1933.6,1992.7,35397
2025-05-26,2032.5,2073,1936.5,1952.32,20489
2025-05-27,1920,1940,1896.7,1899.79,22118
2025-05-28,1900,1900,1805,1822.27,34583
2025-06-02,1822,1854,1766,1823.42,67547
2025-06-03,1823,1890,1800,1808.45,29581
2025-06-04,1801,1835,1801,1822.85,23969
2025-06-05,1820.1,1831,1766.3,1769.73,27046
2025-06-08,1755,1755,1592.8,1595.79,57804
2025-06-09,1595,1720,1536,1711.76,46686
2025-06-10,1680,1820,1680,1794.47,35039
2025-06-11,1830,1830,1725,1776.05,37091
2025-06-12,1777,1795.5,1656.3,1676.88,29692
2025-06-15,1650.1,1800,1650.1,1721.91,32045
2025-06-16,1756,1756,1680,1680.71,13065
2025-06-17,1680,1700,1646.7,1650.29,14120
2025-06-18,1650,1703.4,1636,1651.26,16159
2025-06-19,1630.1,1664,1578,1583.13,19737
2025-06-22,1580,1640,1565,1610.02,35602
2025-06-23,1607,1669,1576,1588.29,15124
2025-06-24,1580,1614,1560,1566.31,13256
2025-06-25,1570,1646,1561.3,1599.75,25556
2025-06-26,1600,1621,1545.5,1562.4,15548
2025-06-29,1593.6,1593.6,1535,1539.8,12591
2025-06-30,1510,1649.9,1510,1613.24,25055
2025-07-01,1613,1634,1585,1589.27,11319
2025-07-02,1585,1620,1572.9,1579.88,12221
2025-07-03,1560,1620,1560,1585.18,17321
2025-07-06,1570,1625,1570,1573.58,14120
2025-07-07,1600,1630,1578.1,1586.46,18218
2025-07-08,1571.5,1601,1571.5,1582.28,6222
2025-07-09,1582,1590,1570,1577.98,12345
2025-07-10,1575,1590,1561.1,1566.66,12347
2025-07-13,1597.9,1611,1555,1562.2,12136
2025-07-14,1570,1570,1543,1544.88,10437
2025-07-15,1546,1560,1525.1,1552.39,13423
2025-07-16,1542.1,1575,1542.1,1559.4,15166
2025-07-17,1545,1624,1545,1612.91,20790
2025-07-20,1605,1750,1601,1732.81,55287
2025-07-21,1730,1770,1682.1,1759.08,36273
2025-07-22,1732,1762,1723,1755.71,19093
2025-07-23,1725.1,1745,1725.1,1735.45,16219
2025-07-24,1711.1,1744,1711,1718.72,22432
2025-07-27,1708,1744,1688,1696.39,25569
2025-07-28,1706.9,1707,1670.1,1687.28,15451
2025-07-29,1687,1724.6,1656,1700.91,21645
2025-07-30,1705,1720,1651,1670.64,14102
2025-07-31,1660,1669,1640,1649.06,13709
2025-08-03,1625,1639,1590,1593.31,16154
2025-08-04,1600,1625,1565,1586.95,10841
2025-08-05,1558.1,1589,1555,1561.61,13463
2025-08-06,1542,1581,1541.6,1562.28,8557
2025-08-07,1555,1589.9,1550,1563.64,6140
2025-08-11,1545,1570,1540.5,1544.21,8007
2025-08-12,1540.1,1555,1525,1530.28,7915
2025-08-13,1520,1560,1520,1545.47,13868
2025-08-14,1514.6,1555,1507.1,1514.59,9882
2025-08-17,1512,1519,1476,1480.45,12339
2025-08-18,1480,1482,1439.7,1443.05,10713
2025-08-19,1445,1465,1435,1442.17,8594
2025-08-20,1436,1450,1416.2,1420.9,7580
2025-08-21,1400,1430,1382,1396.26,14599
2025-08-24,1396,1420,1350,1364.3,14832
2025-08-25,1390,1390,1338.4,1380.89,12715
2025-08-26,1355,1379.9,1352,1374.83,11015
2025-08-27,1351,1460,1351,1450.85,19628
2025-08-28,1422,1460.6,1400,1403.88,13440
2025-08-31,1410,1410,1360,1362.46,12836
2025-09-01,1350,1380,1340,1355.93,7116
2025-09-02,1355,1365,1339,1340.42,5278
2025-09-03,1335.1,1350,1290.2,1300.85,12664
2025-09-04,1286.1,1300,1277,1286.27,8463
2025-09-07,1285,1285,1250,1255.73,8870
2025-09-08,1235,1240,1190,1199.97,29023
2025-09-18,1180.1,1180.1,1080,1080,2716
2025-09-21,1058.4,1140,1036,1131,16809
2025-09-23,1131,1191.3,1109,1191.3,10937
2025-09-24,1199,1199,1150,1159,7365
2025-09-25,1141.1,1155,1141.1,1146,6054
2025-09-28,1165,1168,1130.1,1145,3322
2025-10-07,1145,1188,1125,1130,10754
2025-10-08,1108,1130,1080,1100,7672
2025-10-09,1122,1165,1113.4,1115,10618
2025-10-12,1130,1182,1080.1,1182,75415
2025-10-13,1200,1300.2,1158.1,1300.2,41237
2025-10-14,1300.5,1377,1300.5,1354,34826
2025-10-15,1353,1379,1301,1355,32940
2025-10-16,1327.9,1375.9,1250,1375.9,21789
2025-10-19,1403.4,1403.4,1310,1325,13678
2025-10-26,1298.5,1347,1254.4,1316,6094
2025-10-28,1340,1386.9,1291,1373,18567
2025-10-29,1380,1416.7,1340,1348,13066
2025-10-30,1370,1458,1326.5,1458,24969
2025-11-02,1428.9,1438,1373,1405,57947
2025-11-03,1405,1418.9,1345,1364,16840
2025-11-04,1390,1476,1327.1,1335,11461
2025-11-05,1360,1361.7,1335.1,1355,4865
2025-11-06,1335,1369.7,1325,1337,5358
2025-11-09,1313,1356.6,1275,1356.6,13620
2025-11-10,1329.5,1347,1285.1,1296.5,6585
2025-11-11,1270.6,1321,1270.6,1280,2257
2025-11-12,1270,1328,1244.7,1328,6900
2025-11-13,1354,1354,1260,1264,6216
2025-11-16,1289,1367,1240.1,1340,6039
2025-11-17,1315,1315,1265,1297,4899
2025-11-18,1280,1300,1280,1299,6023
2025-11-19,1280.1,1295,1260.1,1260.1,5276
2025-11-20,1285,1325,1241,1280,10869
2025-11-23,1300,1377,1260,1332,11517
2025-11-24,1333,1339.9,1306,1327.9,10193
2025-11-25,1320,1380,1302,1325,8068
2025-11-26,1306.1,1320,1300,1314,7586
2025-11-27,1301,1317,1292,1296.3,4742
2025-11-30,1320,1375,1287.3,1300,6201
2025-12-01,1299,1324,1282.1,1282.1,2619
2025-12-02,1307.7,1333.8,1281.1,1289,2699
2025-12-03,1285,1313,1284,1296,15683
2025-12-07,1297,1304,1268,1275,10850
2025-12-08,1300,1352.5,1251.2,1326,15549
2025-12-09,1352.5,1352.5,1280,1315.5,11049
2025-12-10,1290.2,1315,1280.1,1285,4333
2025-12-11,1290,1350,1262,1288,7639
2025-12-14,1270,1280,1256.1,1257,7227
2025-12-15,1255,1306,1241.1,1267,4477
2025-12-16,1245,1280,1245,1257,5899
2025-12-17,1250,1269,1244,1249.9,9100
2025-12-18,1249.7,1256,1230,1230,6380
2025-12-21,1230,1230,1195,1196,13602
2025-12-22,1185,1196,1182.1,1183,4827
2025-12-23,1165.1,1219.9,1165.1,1200,5703
2025-12-24,1200,1223,1180,1191,3853
2025-12-28,1191,1213,1191,1207.9,4582
2025-12-29,1200,1224,1190.2,1195,5274
2025-12-31,1171.1,1215,1171.1,1196,5476
2026-01-01,1182,1225,1182,1206.9,7154
2026-01-04,1210,1232,1190,1232,9335
2026-01-05,1230,1294,1229,1280,25980
2026-01-06,1298,1305,1250,1250,13257
2026-01-07,1273,1273,1225.1,1233,12144
2026-01-08,1233,1255,1211,1225,8210
2026-01-12,1220,1253,1215.5,1242,9314
2026-01-13,1245,1265,1222,1240,8680
2026-01-14,1230,1264,1220,1220,17724
2026-01-18,1230,1264,1230,1236.1,14189
2026-01-20,1260,1285.2,1250,1253,18875
2026-01-21,1250.1,1290,1250,1266.2,19875
2026-01-22,1270,1317,1262.2,1316,41471
2026-01-25,1340,1447.6,1340,1447.6,61004
2026-01-26,1447.6,1516,1441,1460,70981
2026-01-27,1455,1512,1364.3,1395,52850
2026-01-28,1395,1410,1350,1375,22320
2026-01-29,1395,1395,1321,1322.1,30203
2026-02-01,1323,1344,1285,1289,26758
2026-02-02,1291,1360,1283,1334,22409
2026-02-03,1314,1368,1314,1335,34465
2026-02-04,1336,1375,1336,1357,20421
2026-02-05,1365,1468,1347,1456,72170
2026-02-08,1450,1525,1432,1445,151242
2026-02-09,1431.1,1435,1375.1,1380,25140
2026-02-10,1381,1390.1,1350,1350.1,12994
2026-02-11,1368,1377.1,1330,1335,10992
2026-02-12,1350,1350,1301,1315,17119
2026-02-16,1305,1340,1305,1314,12653
2026-02-17,1310,1341.3,1300.1,1310,15164
2026-02-22,1310,1310,1270.1,1287,10342
2026-02-23,1289,1299.9,1254.5,1260.1,9986
2026-02-24,1260,1299,1257.3,1297.9,7191
2026-02-25,1305,1309.9,1282,1297,8266
2026-02-26,1296,1304,1267.2,1288,7855
2026-03-01,1270.1,1300,1250,1295,6222
2026-03-03,1295,1346.4,1286.1,1325,13597
2026-03-09,1351.5,1380,1351.5,1380,84
2026-03-10,1407.6,1464,1362,1387,26321
2026-03-11,1387,1410,1340.1,1367,12117
2026-03-12,1341.2,1380,1341.2,1365,10281
2026-03-15,1365,1389,1345,1345,7536
2026-03-16,1370,1370,1316,1320,7142
2026-03-17,1320,1320,1300,1320,5025
2026-03-19,1325,1358,1308,1348,10795
2026-03-22,1370,1372,1350.2,1363.9,11611
2026-03-23,1366,1367,1340,1355,11467
2026-03-24,1369,1369,1350,1353,5991
2026-03-25,1348.2,1364,1339,1348,7275
2026-03-26,1335,1355,1335,1350,6643
2026-03-29,1331,1357,1271,1296.9,27028
2026-03-30,1276.1,1300,1265,1270,12217
2026-03-31,1292,1292,1245,1274,10493
2026-04-01,1260,1260,1212,1215,16745
2026-04-02,1215,1235,1188,1208,10975
2026-04-05,1208,1208,1100,1107,18078
