timestamp,open,high,low,close,volume
2024-05-19,599.6,646.6,599.6,646.6,864
2024-05-20,659.5,711.2,659.5,711.2,4504
2024-05-21,725.4,782.3,725.4,782.3,45318
2024-05-22,797.9,860.5,782.1,790,302424
2024-05-26,790,790,750,751,66898
2024-05-27,746.9,759,736.1,746,28805
2024-05-29,757,757,714.6,717.9,41973
2024-05-30,732.2,732.2,689,689,34156
2024-06-02,700,727,691,710.1,24091
2024-06-03,724.3,759,706.2,733,25396
2024-06-04,747,747.6,726,729,27975
2024-06-05,735,741,720.1,729.8,20251
2024-06-06,739,739,721,723.7,34501
2024-06-09,725,735,710,710,21502
2024-06-10,710,719,705,712,27636
2024-06-11,708.2,717,703,708,22691
2024-06-12,710,724,710,719,26382
2024-06-13,728,729,709,709,30497
2024-06-16,717,717,688.9,694,45306
2024-06-18,686.2,698.9,686,690,11911
2024-06-19,690,700,681,690,20335
2024-06-20,693.4,700,685,687,10374
2024-06-23,688,690,678,679,12840
2024-06-24,680,690,676,683,16379
2024-06-25,696,696,680,684.5,10789
2024-06-26,693,694,670,674,16848
2024-06-27,686.8,694,667.4,667.4,12464
2024-06-30,665,673,661,661,8064
2024-07-01,673,673,660,663,6071
2024-07-02,676.2,703.4,664.6,670,21736
2024-07-03,681,681,665.7,671.2,10352
2024-07-04,675,690,671,675,15117
2024-07-07,688.5,693,680,683,29961
2024-07-08,685,694,685,689,17860
2024-07-09,689,727,688,717,63311
2024-07-10,725,748.9,725,742.5,50750
2024-07-11,754,754,722.1,727.1,31884
2024-07-14,741.6,771,726.8,738,29390
2024-07-15,732,743,718.1,720.2,27095
2024-07-16,732.8,739.9,718,735,27151
2024-07-17,748,749,731.1,745,29609
2024-07-18,749,808,745,789,117794
2024-07-21,790,818,777.1,804.5,59640
2024-07-22,815,815,785,795,44495
2024-07-23,788,824,788,820,36574
2024-07-24,820,835,795,800,34855
2024-07-25,800,875,800,871,121125
2024-07-28,888.4,897,839,875,69494
2024-07-29,865,873,845,845,75029
2024-07-30,836.1,861,832,849,58275
2024-07-31,865.9,883.2,849,856,51722
2024-08-01,870,877,845.1,848.2,57961
2024-08-05,855,860,840,849,31873
2024-08-06,852,853,791,803,48155
2024-08-07,818.9,837,805,837,40375
2024-08-08,840,846.9,814,820,39574
2024-08-11,836.4,902,836.4,902,230828
2024-08-12,920,988,920,935.1,157868
2024-08-13,950,980,901.9,905.1,94514
2024-08-14,906,906,867.3,892,69168
2024-08-15,900,908,882.2,887.9,101113
2024-08-18,895,919,870,870,108548
2024-08-21,887.4,923,880,882,77656
2024-08-22,895,900,883,890,60642
2024-08-25,907.8,925,880,897,114157
2024-08-27,905,920,863,867,58777
2024-08-28,884.3,899,849,850,38206
2024-08-29,860,860,820.1,821,57646
