timestamp,open,high,low,close,volume
2023-08-06,250.4,275.4,250.4,275.4,62033
2023-08-07,280.8,302.9,275,302.9,277924
2023-08-08,308.9,333.1,308.9,333.1,61197
2023-08-09,339.7,354.7,299.8,306.7,241388
2023-08-10,307,310,295,297,133080
2023-08-13,297,299,278.6,282,108982
2023-08-14,276.5,305,276.5,296,82580
2023-08-15,291,293,284,285,42304
2023-08-16,280,285,277,278,45046
2023-08-17,278,285.6,275,278,46745
2023-08-20,273,278,267.5,267.5,40091
2023-08-21,265,279.7,261,264.8,33941
2023-08-22,261,270,261,267.5,37619
2023-08-23,269.7,275,264.5,272.8,35734
2023-08-24,270,274,259.7,263,57178
2023-08-27,263,263,250.5,255,42073
2023-08-28,260,265,249.6,251.1,36339
2023-08-29,251,255,248.8,251.5,22328
2023-08-30,251.5,252,245,245,28958
2023-09-03,241,243,233.7,234,37133
2023-09-04,230.2,244,227.4,237,40748
2023-09-05,237,241.5,230.7,233,12465
2023-09-07,237,237.6,225.2,230,22644
2023-09-10,226.1,234,225.3,229.5,24418
2023-09-11,227,243,227,241,27163
2023-09-12,238,245,230.7,234.9,27030
2023-09-13,238,244,231.6,240.2,26892
2023-09-17,236.2,237,230.6,233,20730
2023-09-18,228.4,244,228.4,234.2,11910
2023-09-19,231,239.8,231,237.4,14010
2023-09-21,242,255,240,249,83534
2023-09-24,244.5,261.5,244.2,255,68730
2023-09-25,252.2,257,248.3,248.3,30714
2023-09-26,248,263.4,245,260,49356
2023-09-27,255,265,250,255,38479
2023-10-01,255,259.6,240.2,241.3,41491
2023-10-02,237,249.9,237,244,33090
2023-10-03,243,253,239.1,241.2,23623
2023-10-04,238.2,250,238.2,247.6,22629
2023-10-05,243,255,242.1,244,21280
2023-10-08,246,246,237.5,237.6,24315
2023-10-09,237.6,239,231.2,238.9,12860
2023-10-10,239,243.6,231.1,233,14314
2023-10-11,233,240,230,239.7,10854
2023-10-12,239,244,231.2,234.4,19408
2023-10-16,230,233,227.9,231.7,17387
2023-10-17,228.1,241,226.1,229,24101
2023-10-18,233.5,236,225.2,232,9641
2023-10-19,228.4,236.3,228.4,229.3,15248
2023-10-29,225,235,225,226.2,10395
2023-10-30,221.7,230,218,226,8292
2023-10-31,224,224.1,219.7,222,14956
2023-11-01,222,226,218,221,10592
2023-11-02,219,220,214,215,17139
2023-11-05,211,213,206.1,207,19592
2023-11-06,210,223.3,205.9,219,19075
2023-11-07,223.3,229.3,216.6,220,16397
2023-11-08,220,225.9,213.3,218.2,17303
2023-11-09,215.1,226,210.5,213,11334
2023-11-20,213,222.5,213,222.5,17283
2023-11-21,218.2,223.3,214,215,6626
2023-11-22,211,222,211,222,15417
2023-11-23,217.6,236,215.2,228.5,33054
2023-11-26,233,241,224.1,241,39600
2023-11-27,236.2,240,230.1,232.6,32838
2023-11-28,228.7,250,228.7,241.5,59564
2023-11-29,241.5,249.9,233,238,43074
2023-11-30,235,236,226,230,36462
2023-12-03,226.1,238,223.5,231,17222
2023-12-04,226.5,237,226.5,233.9,23013
2023-12-05,230.1,240.7,229.1,230.5,25500
2023-12-06,226,239,226,233.9,16925
2023-12-07,230.1,245,230.1,241,44562
2023-12-10,245.8,258,245.8,258,10330
2023-12-11,260,266,241.3,261,118987
2023-12-12,255.8,287.1,253,287.1,191354
2023-12-13,287,303,284.1,287,110361
2023-12-14,290,315.7,282.1,315.7,205677
2023-12-17,315,347.2,304,340,209713
2023-12-18,346,363,328,351,197331
2023-12-19,355,386.1,350,386.1,146602
2023-12-20,393.8,424.7,390,424.7,132988
2023-12-21,433.1,467.1,418,467.1,264077
2023-12-24,467.1,492.5,420.4,420.4,274134
2023-12-27,420.4,430,378.4,389.1,319664
2023-12-28,396.8,428,385.1,423.2,166790
2024-01-01,431.6,435,400,409,175079
2024-01-02,408,413,395.1,404,108264
2024-01-03,410,438.9,401.1,437.5,164454
2024-01-04,437.5,458,427.3,443.8,264692
2024-01-07,443.8,443.8,413,415.8,147754
2024-01-08,424.1,430,407.5,417,124654
2024-01-09,425.3,430,402.1,404.3,166783
2024-01-10,412,417,405.2,408,84959
2024-01-11,401,416.1,401,402.9,75932
2024-01-14,410,424,405.2,406.1,112717
2024-01-16,412.5,438,410.5,429.9,177089
2024-01-17,429.9,459,416,419.9,210835
2024-01-18,420,436.8,412,419,124520
2024-01-21,419.1,433.5,409,410.5,73296
2024-01-22,407,419.9,398,399.5,89910
2024-01-23,396.5,409,396.5,404,79647
2024-01-24,412,413,396.9,397.5,53664
2024-01-25,400,405,388.5,393,52688
2024-01-28,388,410.9,388,396,40500
2024-01-29,396,408,391,401,64056
2024-01-30,409,409.9,400.8,400.8,60836
2024-01-31,400,406,384.3,389,97145
2024-02-01,382.3,390,373.1,373.4,54177
2024-02-04,373.4,378,365,373,42436
2024-02-05,373,385,373,376,29599
2024-02-06,371,395.2,371,390,42093
2024-02-07,397.7,397.7,385,388,34736
2024-02-08,382,391,382,385.1,27549
2024-02-11,385.1,387,372,374,53555
2024-02-12,368,383.4,368,380,34243
2024-02-13,381,381,367.5,370,35586
2024-02-14,377.4,381.3,358,375,41606
2024-02-15,367.5,382,367,369.5,23466
2024-02-18,364.1,375,362.2,365,33165
2024-02-20,357.7,370,357.7,363.9,20338
2024-02-21,361.5,370,355.8,358,23184
2024-02-22,358,365.1,343,345,32983
2024-02-25,340,365,330.4,339,55131
2024-02-26,333,370,333,360,38781
2024-02-27,360,369.9,356.4,357.4,34348
2024-02-28,356,371.4,351.1,360,34317
2024-02-29,367,367,335,338,51525
2024-03-03,338,359,335,345,38240
2024-03-04,351,375,351,375,5948
2024-03-05,382.5,382.5,360,364.8,72087
2024-03-06,358.1,396.7,357.6,392,187918
2024-03-07,399,409.9,390,407,110963
2024-03-10,407,420,402.2,407,90790
2024-03-12,407,414.2,395.3,407,107499
2024-03-13,415.1,415.1,396,398,96723
2024-03-14,393,407,389,390,67374
2024-03-17,383,401.8,383,393,52917
2024-03-18,388.1,407,388.1,402.5,76489
2024-03-19,401,415.9,397.6,401,87490
2024-03-20,394,407.9,390,393.9,55006
