timestamp,open,high,low,close,volume
2012-01-01,351.67,358.33,354.17,355.83,540
2012-01-02,355.83,363.33,350,363.33,1266
2012-01-03,363.33,362.5,358.33,362.5,1524
2012-01-04,362.5,364.17,354.17,354.17,2424
2012-01-05,354.17,362.5,350,362.5,1248
2012-01-08,362.5,361.67,355.83,355.83,2262
2012-01-09,355.83,364.17,353.33,358.33,3426
2012-01-10,358.33,371.67,362.5,365,2772
2012-01-11,365,366.67,360.83,365.83,3360
2012-01-12,365.83,366.67,365,365.83,780
2012-01-16,365.83,369.17,366.67,369.17,2646
2012-01-17,369.17,373.33,373.33,373.33,120
2012-01-18,373.33,375,366.67,366.67,1320
2012-01-22,365,370,362.5,370,462
2012-01-23,370,365,362.5,364.17,1050
2012-01-25,364.17,365,361.67,363.33,1176
2012-01-26,363.33,363.33,363.33,363.33,1788
2012-01-29,363.33,365.83,360,363.33,7614
2012-01-31,363.33,365.83,361.67,363.33,1140
2012-02-01,363.33,365.83,361.67,365.83,492
2012-02-02,365.83,365,359.17,365,2400
2012-02-05,365,362.5,362.5,362.5,720
2012-02-06,362.5,363.33,360.83,360.83,5046
2012-02-07,360.83,365,360.83,360.83,2736
2012-02-08,360.83,363.33,359.17,361.67,3324
2012-02-09,361.67,363.33,360.83,362.5,1308
2012-02-12,362.5,362.5,360.83,360.83,2850
2012-02-13,360.83,364.17,360.83,362.5,1956
2012-02-14,362.5,364.17,362.5,362.5,2358
2012-02-15,362.5,364.17,362.5,363.33,5880
2012-02-16,363.33,367.5,365,367.5,1026
2012-02-21,367.5,369.17,367.5,367.5,2202
2012-02-23,367.5,371.67,370,370.83,12600
2012-02-26,370.83,370,366.67,370,3240
2012-02-27,370,372.5,369.17,370.83,1512
2012-02-28,370.83,377.5,370.83,372.5,4020
2012-02-29,372.5,374.17,372.5,374.17,1434
2012-03-01,374.17,376.67,372.5,376.67,3192
2012-03-04,376.67,377.5,372.5,372.5,1968
2012-03-05,372.5,376.67,373.33,373.33,1650
2012-03-06,373.33,372.5,372.5,372.5,534
2012-03-11,372.5,377.5,372.5,376.67,5916
2012-03-12,376.67,378.33,372.5,374.17,6036
2012-03-13,374.17,375.83,370.83,375,12732
2012-03-14,375,377.5,373.33,375,3186
2012-03-15,375,379.17,373.33,373.33,2736
2012-03-18,373.33,366.67,336.67,337.5,2466
2012-03-19,337.5,338.33,336.67,336.67,720
2012-03-20,336.67,337.5,333.33,333.33,1440
2012-03-21,333.33,337.5,336.67,337.5,768
2012-03-25,337.5,339.17,336.67,338.33,1284
2012-03-26,338.33,337.5,334.17,337.5,960
2012-03-27,337.5,338.33,334.17,338.33,1392
2012-03-28,338.33,340,337.5,338.33,624
2012-03-29,338.33,338.33,333.33,333.33,858
2012-04-01,333.33,335.83,335,335,540
2012-04-02,335,335.83,335,335,1116
2012-04-03,335,335.83,334.17,334.17,840
2012-04-04,334.17,335.83,330,335,1362
2012-04-05,335,336.67,336.67,336.67,120
2012-04-08,336.67,336.67,336.67,336.67,954
2012-04-09,336.67,338.33,336.67,336.67,2748
2012-04-10,336.67,338.33,335,336.67,3252
2012-04-11,336.67,345,338.33,339.17,2640
2012-04-12,339.17,346.67,337.5,345,3534
2012-04-15,345,358.33,345.83,358.33,2850
2012-04-16,358.33,394.17,365,394.17,1368
2012-04-17,394.17,425,365,365,10464
2012-04-18,365,385,363.33,376.67,10020
2012-04-19,376.67,387.5,375,379.17,4308
2012-04-22,379.17,388.33,381.67,388.33,6198
2012-04-24,388.33,402.5,395.83,396.67,1350
2012-04-25,396.67,411.67,404.17,405,1476
2012-04-26,405,441.67,390,434.17,16680
2012-04-29,434.17,437.5,409.17,433.33,8592
2012-04-30,433.33,425,408.33,412.5,6948
2012-05-02,412.5,405,375,375,1722
2012-05-03,375,382.5,382.5,382.5,36
2012-05-07,382.5,415.83,400.83,415.83,372
2012-05-08,415.83,433.33,416.67,423.33,18240
