timestamp,open,high,low,close,volume
2023-12-21,208.8,229.6,208.8,229.6,995
2023-12-24,234.1,252.5,234.1,252.5,1461
2023-12-27,252,277.7,252,277.7,1382
2023-12-28,277.7,305.4,277.7,305.4,1963
2024-01-01,311.5,335.9,311.5,335.9,2381
2024-01-02,342.6,369.4,342.6,369.4,2040
2024-01-03,376.7,406.3,376.7,406.3,2558
2024-01-04,414.4,446.9,414.4,446.9,2380
2024-01-07,455.8,491.5,455.8,491.5,2290
2024-01-08,481.8,540.6,481.8,540.6,3122
2024-01-09,551.2,594.6,551.2,594.6,2170
2024-01-10,594,654,594,654,2040
2024-01-11,655.4,719.4,655.4,719.4,2180
2024-01-14,733.7,791.3,733.7,791.3,2520
2024-01-16,791,870.4,791,870.4,2120
2024-01-17,887.8,957.4,887.8,957.4,7631
2024-01-18,976.5,996,861.7,902,170936
2024-01-21,900,915,885,892.6,47406
2024-01-22,889.6,889.6,836.6,855,57058
2024-01-23,838,876,838,875,32691
2024-01-24,860,900,860,877.5,25662
2024-01-25,868,891,858,865,27013
2024-01-28,850,871,849,860,21274
2024-01-29,850,892,850,857,15019
2024-01-30,850,871.5,847.3,856,19619
2024-01-31,839,850,798,836,56229
2024-02-01,820,837,815,820,19467
2024-02-04,810,811.1,780,789,18624
2024-02-05,775.1,804,767,767,15739
2024-02-06,755.5,785.5,755.5,780,13235
2024-02-07,787,787,761.5,772.8,9480
2024-02-08,760,780,760,777,6730
2024-02-11,761.5,785.4,761.5,765,11267
2024-02-12,760,777,760,775,8881
2024-02-13,760.1,767,743.6,750,14806
2024-02-14,742,751,733,734,7944
2024-02-15,722.4,768,722.4,723.4,12099
2024-02-18,712,717,695.8,699,19487
2024-02-20,710,752.9,687,710,14096
2024-02-21,695.8,748.7,695.8,748.7,23600
2024-02-22,734.3,790,734.3,765,33368
2024-02-25,750,765.2,739,745,26116
2024-02-26,754.2,815,739.2,802,31862
2024-02-27,786,815,780,800,29229
2024-02-28,801,803.9,775,775,13853
2024-02-29,764,775,731,739.9,16256
2024-03-03,740,750,730,730.1,10273
2024-03-04,744.7,803.1,744.7,800,640
2024-03-05,808,808,746.5,755,26085
2024-03-06,741,775.2,735.6,764,19053
2024-03-07,778,779.2,751.5,769,7574
2024-03-10,769,780,755,774,11430
2024-03-12,765.2,786.4,765.2,784.5,17561
2024-03-13,799,800,770.1,773,16308
2024-03-14,761.1,788,761.1,770,12839
2024-03-17,761,779,761,773.9,8849
2024-03-18,763,780,763,766.5,5544
2024-03-19,766,780,760,765,8639
2024-03-20,777.9,777.9,735,761,16977
2024-03-21,776.2,776.2,742,750,5967
2024-03-25,738,750,738,750,10022
2024-03-26,760,760,738,748,5756
2024-03-27,740,777,735.5,747.9,7374
2024-03-28,737,750,735.1,736.2,9991
2024-03-31,738,750.9,726,736,6541
2024-04-01,730,740,723.8,735,6128
2024-04-02,729,740,723.5,730,8969
2024-04-03,725,739,720,726,9702
2024-04-04,724,738,718,723,12066
2024-04-07,723,745,713.5,745,9953
2024-04-09,750,764,735,764,37017
2024-04-10,777,777,750,750,11010
2024-04-14,735,750,730,745,8990
2024-04-15,740.1,759.9,740.1,748,9947
2024-04-16,735.1,755,735,741,5582
2024-04-18,735,735,715,724,8820
2024-04-21,735,735,712.1,730,4758
2024-04-22,744.6,759.3,716,717,5194
2024-04-24,708,730,708,717,3593
2024-04-25,715.6,734.4,715.6,729,4475
2024-04-28,729,742,720,734,2819
2024-04-29,722,733,720.1,728,3596
2024-04-30,715,745,715,735,8120
2024-05-02,723.1,745,721,726.9,4902
2024-05-05,725,738.8,708,710,8762
2024-05-06,709,709,688,691,7473
2024-05-07,678,715,678,705,10423
2024-05-08,691.2,711,691.2,707.9,1560
2024-05-09,700,734.4,700,724,11953
2024-05-12,720.3,760,720.2,749,21415
2024-05-13,745,749,734.1,740,23392
2024-05-14,737,737,721,733.8,14660
2024-05-15,739,739,719.6,720.1,9011
2024-05-16,712,735.4,712,735.4,11091
2024-05-19,722,750,722,732.2,8046
2024-05-20,730,758.4,725,730,9103
2024-05-21,730,735,720.3,733,10475
2024-05-22,721.1,745,721.1,730,7662
2024-05-26,720,735,711,720,8980
2024-05-27,734,792,711.6,792,83520
2024-05-29,807.8,871.2,800,840,89166
2024-05-30,841,848,780,789.9,32061
2024-06-02,785,834,764,820,62857
2024-06-03,820,889,816,837,51842
2024-06-04,833,844,815,827.8,33909
2024-06-05,816,830,805,817,24215
2024-06-06,815,849.9,810.3,836.1,32146
2024-06-09,850,880,836.2,856.9,49169
2024-06-10,865,867,838,838,40317
2024-06-11,854,855,826,828.1,23547
2024-06-12,835,877,835,872,47288
