timestamp,open,high,low,close,volume
2021-11-29,282.3,310.5,282.3,310.5,194
2021-11-30,316.7,341.5,316.7,341.5,171
2021-12-01,348.3,375.6,348.3,375.6,150
2021-12-02,375.6,413.1,375.6,413.1,390
2021-12-05,421.3,454.4,421.3,454.4,1533
2021-12-06,463.4,499.8,409,433,81212
2021-12-07,441,459,414,416,30287
2021-12-08,408,410,400,408,10795
2021-12-09,399.9,404,385,393,12424
2021-12-12,387,392,364,365,17386
2021-12-13,358,386,332,347,10591
2021-12-14,350,381.7,350,381.7,4849
2021-12-15,389.3,412,363,372,17495
2021-12-16,365,385.5,360,363,5854
2021-12-20,362,362,343,347,4850
2021-12-21,349,356.9,344,356.9,5216
2021-12-22,357,378,357,378,7385
2021-12-23,378.1,380,365.1,371,8049
2021-12-26,370.1,377,362.6,375,8054
2021-12-27,375,375,358,360,11881
2021-12-28,355,362.4,351,358,4065
2021-12-29,351.2,372,351.2,364,4050
2022-01-02,356.8,386.1,353,383,11390
2022-01-03,375.4,390,362,379,13813
2022-01-04,371.5,388,367.1,384,7729
2022-01-05,384,397.8,371,382,14924
2022-01-06,375,393,369.1,393,11525
2022-01-09,390.1,432.3,390.1,430,24892
2022-01-10,430,439.9,420,439,20907
2022-01-11,431,482,431,482,31728
2022-01-12,482,486,460,482,25627
2022-01-13,472.4,485,463,481,20163
2022-01-16,481,489.6,469,470.1,32274
2022-01-17,463,492,460,492,28599
2022-01-18,492,505,490,499,30733
2022-01-19,499,499,481,484.1,13433
2022-01-20,475,529,474.6,527,34689
2022-01-23,530,545,510,517,31446
2022-01-24,517,520,480,492,37075
2022-01-25,486,503,472,485.1,18223
2022-01-26,477,485,463,473,11451
2022-01-27,473,481,465,475,9620
2022-01-30,484.5,510,484.5,505,25004
2022-01-31,505,505,488,489,9895
2022-02-01,495,524,481,509,21831
2022-02-03,509,530.2,503,530,56373
2022-02-06,527,527,503,515,34028
2022-02-07,504.8,515,499.1,509,11704
2022-02-08,509,529.2,495.1,498,18203
2022-02-09,490,500,480.2,489.9,13550
2022-02-10,480.2,499.8,475,478,13357
2022-02-13,468.5,469,448,451,21099
2022-02-14,451,459,444,445,7201
2022-02-15,445,489.5,437,489.5,11328
2022-02-16,490,490,457.7,475,17166
2022-02-17,465.5,483,460,483,7677
2022-02-20,473.4,507,464,491.6,30263
2022-02-21,482,516,482,511,28319
2022-02-22,520,555,512,535,68842
2022-02-23,545.7,566,530,550,44722
2022-02-24,550,550.8,518,520,37596
2022-02-27,520,535,510,525,30184
2022-02-28,535,545,490,490,25258
2022-03-02,481,490,472.6,475,11964
2022-03-06,484.5,488,470,488,16335
2022-03-07,497.5,497.5,478.3,486,8970
2022-03-09,494.7,494.7,464,470,10317
2022-03-10,470,517,447,503,16084
2022-03-13,513,517,491.1,505,27030
2022-03-14,495,504.9,486.1,490.4,6148
2022-03-15,483.2,499.7,467,476,19314
2022-03-16,485.5,489.2,470.5,483.5,8788
2022-03-20,475,493.1,475,484,6100
2022-03-21,490,496,475.1,489,9304
2022-03-22,498.6,498.6,478,484,7378
2022-03-23,483,483,470,471,12633
2022-03-24,471,475,467,469,7182
2022-03-27,459.7,470,447,453,13798
2022-03-28,460,469.1,442,444,5974
2022-03-29,436,459,436,449.7,9089
2022-03-30,440.8,464.2,440.8,463,7335
2022-03-31,458,470,451.1,451.1,8375
2022-04-03,442.2,454.9,442,454.9,4216
2022-04-04,445.9,450,439,450,4533
2022-04-05,441,441,425,438,10520
2022-04-06,429.3,441,419.9,436,6185
2022-04-07,444,444,425,429.1,10979
2022-04-11,435,443.7,421.5,427,11615
2022-04-12,420,422,397.1,401.1,9734
2022-04-13,394,411.9,394,410,5670
2022-04-17,410,417,397,400,4681
2022-04-18,392,400,381,381,4772
2022-04-19,380,390,361.2,387,7350
2022-04-20,382,401,368,375,5304
2022-04-21,370,399.8,360,390,5538
2022-04-24,395,419.8,374.6,419.8,12837
2022-04-25,412,424.3,398,400,11852
2022-04-26,392.1,408,390.3,396,5881
2022-04-27,389,403.9,386.1,395,3525
2022-04-28,387.1,402.9,387.1,393.3,8301
2022-05-02,386,393,374.1,375,5895
2022-05-04,368,380,361,363,4666
2022-05-05,363,363,344.2,353,7144
2022-05-08,348,360,336,354.4,7743
2022-05-09,349,362,349,351,4450
2022-05-10,346,367.2,346,366,5366
2022-05-11,373.1,388,360,384,11876
2022-05-12,391.6,401.8,377,389.7,15321
2022-05-17,382,382,365.6,369,5725
2022-05-18,370,384,351.3,380,4429
2022-05-19,372.5,381,366.1,366.1,3372
2022-05-20,358.8,373.4,352.3,361.5,2658
2022-05-23,354.3,360,341.4,353,4555
2022-05-24,353,367.2,347.1,349,6181
2022-05-25,343,362.1,343,355,1894
2022-05-26,360,370,355.1,360,3079
2022-05-27,360,360,348,360,2946
2022-05-30,357,357,343,346,4890
2022-05-31,340,347.8,336,336.2,2850
2022-06-01,330,341,330,332,5330
2022-06-02,335,340,330,330,1522
2022-06-03,325.5,331,321,323,3295
2022-06-06,317,331.5,315.1,325,2100
2022-06-07,318.8,322,313.7,314,2213
2022-06-08,311,332.4,311,323.1,2595
2022-06-09,323.1,340,317,318,3320
2022-06-10,324.3,324.3,313.2,317,927
2022-06-13,310.8,321.4,310.8,315,1581
