timestamp,open,high,low,close,volume
2022-12-14,300,300,270,270,13121
2022-12-15,264.6,264.6,243,243,6205
2022-12-18,238.2,238.2,218.7,218.7,6609
2022-12-19,214.4,214.4,196.9,205.5,163559
2022-12-20,201.4,209.2,198.5,205.8,55571
2022-12-21,202,205.5,200.5,204.9,29210
2022-12-22,204,204,197.1,199,38684
2022-12-26,202.9,210.1,197,205,48390
2022-12-27,202,215,202,210,70046
2022-12-28,207,213.9,203.5,208,37641
2022-12-29,208,219,205.1,214.1,33748
2023-01-01,214.1,225.4,213.9,218,89702
2023-01-02,213.8,229.9,213.7,228,74947
2023-01-03,228,239.3,225,234,43536
2023-01-04,229.4,252.9,229.4,250,69470
2023-01-05,250,258,238.1,249,68130
2023-01-08,253.9,268,240.3,253.8,90591
2023-01-09,249,279.1,249,279.1,94077
2023-01-10,281,300,267,275,83862
2023-01-12,277,288,270,270,78962
2023-01-17,270,297,270,297,83296
2023-01-18,302,326.7,302,326.7,53835
2023-01-19,333.2,359.3,316,345,301371
2023-01-23,345,379.5,339,374.5,127279
2023-01-24,370,402,353,390,76695
2023-01-25,391.6,405,372.5,377,157234
2023-01-26,372,384.4,365,370,94783
2023-01-29,362.6,374,355.4,361.8,57465
2023-01-30,357.2,394,357.2,380,252453
2023-01-31,378,416.1,376.1,397.6,116340
2023-02-01,397,405,385,399,98335
2023-02-02,392,403.9,377.3,383,82932
2023-02-05,376,400,370.2,377,58573
2023-02-06,376,384.5,371.2,379.9,47053
2023-02-07,380,398.4,375,390.5,94538
2023-02-08,383,399,383,384.9,52431
2023-02-09,384,397.5,380,394.8,53795
2023-02-12,387,387,371.8,375,94119
2023-02-14,368,375,362,375,30264
2023-02-15,368,377,362,370,36445
2023-02-16,362.7,373,359,364,22780
2023-02-20,360,363,353,356,35845
2023-02-22,356,376.9,355,367.1,34212
2023-02-23,360,367,354.1,362,29931
2023-02-26,354.8,366,342.7,364.9,48860
2023-02-27,358,365.1,343,360,36146
2023-02-28,355,374,355,368,42240
2023-03-01,368,368,357,358.1,11233
2023-03-02,351,355,350,350.1,25310
2023-03-05,345.5,350.5,335.1,337.5,26048
2023-03-07,334,349,334,343,18887
2023-03-09,336.5,377,336.5,364.1,39404
2023-03-12,365,371.3,359,360.1,39279
2023-03-13,360,369.9,353,363.1,32231
2023-03-14,356.3,378.4,356.3,365.1,55495
2023-03-15,365,367.9,358.1,362.9,18737
2023-03-16,356.1,370,356.1,359.1,45526
2023-03-19,353,386,353,362.7,32157
2023-03-20,357,370,357,364.3,19240
2023-03-22,364,371,359,359,21200
2023-03-23,352.1,357,349,351.3,25563
2023-03-26,346,355.9,346,350,33085
2023-03-27,344,361,338,361,18085
2023-03-28,356,369.8,356,362,19252
2023-03-29,355.1,365.1,355.1,361.2,19680
2023-03-30,360,367,353.2,354,18861
2023-04-02,354,361,343,344.9,20169
2023-04-03,338.2,347,335.3,336.4,25781
2023-04-04,343.1,343.6,331.1,338,20110
2023-04-05,332,343,331.5,339.9,11411
2023-04-06,339,342,334.4,340,16620
2023-04-09,333.2,335,322,329.9,19004
2023-04-10,323.4,343,321.1,323.1,12360
2023-04-11,320,332,318.1,320,15360
2023-04-12,320,345,320,344.6,25405
2023-04-13,345,351,331.1,336.9,15668
2023-04-16,332,337,328,334,12230
2023-04-17,330,340,325.5,325.5,10926
2023-04-18,319,336,319,330,9668
2023-04-19,325.5,337,325.5,335,9720
2023-04-20,330,332,324.5,325,7891
2023-04-23,320,323,319.3,319.6,9302
2023-04-24,315.3,324.9,315.3,323,6783
2023-04-25,316.7,340,316.7,326,14073
2023-04-26,319.5,332,319.5,322.1,7355
2023-04-27,317,328,317,319.1,12176
2023-04-30,315,320,312,312,14630
2023-05-02,306,312,303.8,308,12775
2023-05-03,302.2,306,299,301.1,12139
2023-05-04,295.1,319,295.1,310,12865
2023-05-07,310,321,304,319,19105
2023-05-08,312.7,318,305,309,7445
2023-05-09,310,315,304,312,9600
2023-05-10,315,315,303.3,310,5424
2023-05-11,304.2,315,300.3,306,9505
2023-05-14,305,313,298,300,16150
2023-05-15,294,306,289.1,297.7,8289
2023-05-16,293.4,309,293.1,309,7545
2023-05-17,302.9,315,297,312,12720
2023-05-18,312,321.5,305.8,319,25293
2023-05-21,317,323,312.6,317,12428
2023-05-22,311,322.5,311,321,10860
2023-05-23,320,341,317.3,340,76038
2023-05-24,340,340,324,335,29595
2023-05-28,336,339.7,326.7,326.7,33390
2023-05-30,320.2,323,312.5,320,16702
2023-05-31,313.6,325,301.9,307,30000
2023-06-01,309,317,302.1,312.1,27730
2023-06-04,318,330,312.1,325,20539
2023-06-05,327,332.5,316.1,316.1,42313
2023-06-06,315,330,315,327,16572
2023-06-07,322.2,340,322.2,335,34304
2023-06-08,329,337.6,325.3,334.5,36986
2023-06-11,335,354,329.1,350,74695
2023-06-12,353,361,350,358,56929
2023-06-13,350.9,369,348,365,60221
2023-06-14,365,372.3,351.9,359,66126
2023-06-15,360,373.4,346.2,355.1,30189
2023-06-18,348,368,348,367,39235
2023-06-19,367,381,356.3,370,23323
2023-06-20,363,377,351.3,359,34232
2023-06-21,352,365,350,356,63081
2023-06-22,354,361,343,345,61789
2023-06-25,350,364,338.2,350,42614
2023-06-26,345,365,344.2,344.6,32625
2023-06-27,350,359.9,340,347,17168
2023-06-28,341,355,341,346,30357
2023-07-02,342,359,337,337,32641
2023-07-03,335,350,335,338,21146
2023-07-04,335.5,360,330.2,353.9,27167
2023-07-05,360.9,360.9,328.5,333,32821
2023-07-06,339.5,339.5,324.1,333.8,17340
2023-07-09,327.2,349,327,330,21065
2023-07-10,325.1,330,321.1,324,12916
2023-07-11,330,330,315,325.5,16266
2023-07-12,319,340,319,339,15388
2023-07-13,333,345,318,318.5,73744
2023-07-16,319,345.7,316.1,335,13150
2023-07-17,328.3,329.9,321.8,325,17220
