timestamp,open,high,low,close,volume
2023-07-05,249.3,274.2,249.3,274.2,1610
2023-07-06,279.6,301.6,279.6,301.6,24638
2023-07-09,307.6,331.7,307.6,331.7,16525
2023-07-10,338.3,364.8,332.5,364.8,32047
2023-07-11,372,401.2,365,401.2,10100
2023-07-12,401,415,361.1,361.1,38727
2023-07-13,360,363,333.2,357,18418
2023-07-16,357,364,350.1,353.2,11229
2023-07-17,346.2,358,346.2,354,8094
2023-07-18,361,361,351,355.9,6348
2023-07-19,351,360,345.1,356,9470
2023-07-20,349,373,348.9,370,8862
2023-07-23,377.4,394,364,393,19522
2023-07-24,394,410,387,387.1,14517
2023-07-25,387.1,396.7,382.5,392,7470
2023-07-26,388.1,414,385.1,399.1,28481
2023-07-27,393,407,393,399,8170
2023-07-30,393,399,375,379,11435
2023-07-31,379,389.6,370,370,7720
2023-08-01,364.2,377.4,363,369,6236
2023-08-02,370,376,356,368.9,4650
2023-08-03,366,387,363,364,6635
2023-08-06,370,370,348.6,360,12912
2023-08-07,352.8,369,352.8,363.8,6726
2023-08-08,363,367,352,357.7,6007
2023-08-09,350.6,361.9,342.1,360,4207
2023-08-10,353,360,346.2,355,6112
2023-08-13,348,357,348,357,8525
2023-08-14,351,355,345.2,348,2112
2023-08-15,345,350.8,331,336,5590
2023-08-16,330.1,345,330,339,5525
2023-08-17,332.4,345.7,332.4,344,2902
2023-08-20,337.2,340,326,327.1,4500
2023-08-21,322,328,316.2,322,5200
2023-08-22,315.6,326.4,310.2,325,3427
2023-08-23,318.5,336,312.2,336,2529
2023-08-24,334,340,307.4,310,11928
2023-08-27,304.1,316.2,296.2,316.2,9355
2023-08-28,310,326,297.8,315,2010
2023-08-29,308.7,321,303.5,310,1425
2023-08-30,315,315,298,300,3166
2023-09-03,300,310,290.3,305,1730
2023-09-04,299,308,295,308,4992
2023-09-05,301.9,306,296.1,306,1680
2023-09-07,299.9,301,294.1,298.2,630
2023-09-10,298.2,312,295.1,305,1616
2023-09-11,305,316.2,303.5,312.3,4324
2023-09-12,312.2,314.2,302,310,1729
2023-09-13,303.8,324,303.8,324,4234
2023-09-17,317.6,319,306,312,4946
2023-09-18,305.9,318.4,305.9,317.9,1830
2023-09-19,324,333,308.3,329.9,2855
2023-09-21,336.4,358,324,344.9,6367
2023-09-24,345,364,332.1,349,9444
2023-09-25,342.1,371,338,367,12733
2023-09-26,374,380,360.4,374.8,9825
2023-09-27,372,378,347.2,365,5521
2023-10-01,365,371.9,342,349,8086
