timestamp,open,high,low,close,volume
2022-01-02,173.45,175.85,167,171.1,19040
2022-06-16,181.95,195.1,181.95,195.1,60760
2022-06-17,198,200.95,185,186.5,52534
2022-06-19,183.8,183.8,172.9,173.45,19420
2022-06-20,175,175,161.15,162.05,31226
2022-06-21,162,173.25,155.65,172,20128
2022-06-22,174.4,176.85,163.5,166.75,6830
2022-06-23,169.05,169.05,156,158,11649
2022-06-24,155.85,164,150,156.5,9612
2022-06-26,157.5,163.5,156,163.5,14916
2022-06-27,165.75,165.75,158.3,162.35,13680
2022-06-28,162,162,156,158.45,9230
2022-06-29,156.5,163.5,156.5,162.5,10181
2022-06-30,162.5,167.5,157.05,164.5,24919
2022-07-01,163,166.5,161.25,163,8939
2022-07-03,160.75,172,159.1,171,18191
2022-07-04,171,180,162.7,165.5,33149
2022-07-05,164,170,160.5,161.5,12329
2022-07-06,161.5,167,159.35,162.5,9290
2022-07-07,162.5,167.3,159.1,162,13889
2022-07-08,159.8,160,157,157.5,7726
2022-07-11,155.5,157,150.5,151.55,14254
2022-07-12,151,155.5,150,151.9,8467
2022-07-13,153.5,160.15,152.5,159.5,9792
2022-07-14,158,166.65,156.5,166.5,17479
2022-07-15,168.8,168.8,160,161,9792
2022-07-17,159,162.7,157.5,161,8151
2022-07-18,163.2,163.2,156.65,163.2,11432
2022-07-19,161,165.5,159.05,161.5,12170
2022-07-20,160,162.9,159.75,160.5,7531
2022-07-21,158.6,161.5,157.5,159,10772
2022-07-22,157,160.5,155,156,6494
2022-07-24,157.5,166.55,156,165.75,25996
2022-07-25,165.75,172.4,161.75,168.6,23825
2022-07-26,166.25,170.5,161.5,161.5,19600
2022-07-27,161.5,171,161.5,169.5,56227
2022-07-28,170,181.45,170,179,53624
2022-07-29,181.5,184.5,177.4,182,17567
2022-07-31,179.4,183.5,176.85,180.25,28364
2022-08-01,180,185.15,173.05,179,41098
2022-08-02,179,191,177.65,190,36730
2022-08-03,189,204,187.05,199.5,60118
2022-08-04,202,210,192,207.5,69198
2022-08-05,205,210.5,202,203.5,37903
2022-08-07,202.5,206.5,199.5,204,40781
2022-08-08,205,212.5,203.5,207,34766
2022-08-09,208.5,208.5,198.5,199.55,23544
2022-08-10,196.6,199,192.05,195,19990
2022-08-11,197.9,198.5,192.5,194.3,17515
2022-08-14,191.45,196.5,188.5,188.6,13651
2022-08-15,186.5,202.45,186.5,202.45,15715
2022-08-16,205.45,208.55,195,195.95,39575
2022-08-17,196,204.45,193.1,199,13259
2022-08-18,201,206,198.5,204,37341
2022-08-21,203,207,195,196,16872
2022-08-22,196.5,204,194,197.5,22188
2022-08-23,198,201.5,196.55,197.2,10840
2022-08-24,195.05,200.45,194.8,199.25,27752
2022-08-25,198.5,203,193.55,194,27460
2022-08-26,195,195,190,190,8763
2022-08-28,187.5,190,181.75,182.5,23824
2022-08-29,181.05,187.7,180.6,182.2,13340
2022-08-30,182.5,192.1,181.5,183.5,10730
2022-08-31,185,185.55,176.45,179,17589
2022-09-01,177.5,185.5,175,183,9216
2022-09-02,180.5,183.75,180,183.5,5110
2022-09-04,183.5,184.65,181,183.5,4608
2022-09-05,181,186.15,180.75,182,6407
2022-09-06,180,182.5,176,176,5655
2022-09-07,175,176,173,174.55,14255
2022-09-08,177,182,170,175,12004
2022-09-11,174.5,177.5,170.45,172.25,4744
2022-09-12,169.85,172,167.65,169.05,10390
2022-09-13,167.5,177.85,167.5,174.1,7165
2022-09-14,174,180.95,173.6,180.2,13799
2022-09-15,177.6,182,170,172.5,16392
2022-09-16,170.05,170.5,161,166,12149
2022-09-18,164.1,167,160.75,161.75,9536
2022-09-20,162,162,156.4,157.1,8212
2022-09-21,159,163,157.5,159.45,6848
2022-09-22,157.55,162.5,155.5,158,5428
2022-09-25,155.85,157.5,152.25,154.2,8338
2022-09-27,154,160,154,158.4,6899
2022-09-28,157.5,159.5,154.5,157.5,4167
2022-09-29,155.45,158.45,155,157.5,4425
2022-10-09,155.35,162,155.35,162,4273
2022-10-10,161.55,162,157.75,158.75,5218
2022-10-11,156.6,163,155.1,159.5,10787
2022-10-12,161.5,163.7,157.8,162.45,6721
2022-10-13,164.6,172.45,159,166,32943
2022-10-16,165,166.45,163.05,165.2,4640
2022-10-17,163,165,161.7,162,5419
2022-10-19,159.8,161.5,155.75,156.5,5194
2022-10-20,155.65,157,153.5,156.7,5332
2022-10-23,154.6,158.5,154.6,157.5,1060
2022-10-31,157.5,158.25,155,156.2,1660
2022-11-01,154.5,163.15,154.5,163.15,4370
2022-11-02,165.4,165.4,159.3,161,9119
2022-11-03,158.8,161.15,158.8,161,2034
2022-11-06,160,167.5,160,167.5,6216
2022-11-07,169.5,169.5,164.5,164.5,6132
2022-11-08,163,166.75,161.5,165,3145
2022-11-09,162.7,162.7,158,160.5,3515
2022-11-10,160,160,155.45,155.55,5507
2022-11-13,155.05,157.1,155,156.25,1590
2022-11-14,155,164.4,154.8,163.95,3326
2022-11-15,164,164,158.5,159,4368
2022-11-16,157.55,160.5,157.55,158.15,2670
2022-11-17,156.55,164.5,156.55,162.5,10286
2022-11-22,163.25,164.5,160,161.75,6615
2022-11-23,159.75,161,158.1,158.7,6116
2022-11-24,157.5,163,157,160.55,5671
2022-11-27,162.75,165.2,159.65,165.2,21174
2022-11-28,165.5,167.35,161,163,7447
2022-11-29,163,164.8,160.75,164,5165
2022-11-30,166,167.3,161.75,161.9,1393
2022-12-01,161.9,165.7,161.25,164.5,6418
2022-12-04,164.5,169.05,162.5,166.25,21920
2022-12-05,164,171.9,164,168,28865
2022-12-06,168,172.4,163.15,164.7,4045
2022-12-07,162.55,169,162.55,164.5,6820
2022-12-11,165,165,160.4,160.75,4220
2022-12-12,158.6,163.5,158.6,163,1980
2022-12-13,160.9,165,160.9,163.95,2399
2022-12-14,162.5,166,159.35,160.55,5120
2022-12-15,160.5,167.3,159.1,162,3480
2022-12-18,160,160.05,157.8,157.9,3199
2022-12-19,156.05,160.05,156.05,158.55,3045
2022-12-20,158.5,161,156.45,158.75,6452
2022-12-21,156.7,159.5,156.7,158.45,2305
2022-12-22,156.3,158.45,156.3,157,2470
2022-12-26,159,165,157.65,164.45,5664
