timestamp,open,high,low,close,volume
2026-02-16,300,330,300,330,130
2026-02-17,328,361.8,328,361.8,60
2026-02-22,358.2,395.3,358.2,395.3,60
2026-02-23,391.5,432,391.5,432,60
2026-02-24,427.9,472.2,427.9,472.2,60
2026-02-25,467.5,519.4,467.5,519.4,60
2026-02-26,514.3,567.5,514.3,567.5,60
2026-03-01,561.9,624.2,561.9,624.2,110
2026-03-03,621.1,685.5,621.1,685.5,60
2026-03-09,675.3,675.3,675.3,675.3,10
2026-03-10,688.8,742.8,688.8,742.8,80
2026-03-11,735.6,812.1,735.6,812.1,60
2026-03-12,802.1,893.3,802.1,893.3,160
2026-03-15,885.2,939.3,885.2,939.3,80
2026-03-16,921.2,1033.2,921.2,1033.2,170
2026-03-17,1017.8,1136.5,1017.8,1136.5,250
2026-03-19,1120.5,1250.1,1120.5,1250.1,770
2026-03-22,1235,1375.1,1235,1375.1,375
2026-03-23,1361.4,1512.6,1361.4,1512.6,480
2026-03-24,1494.4,1663.8,1494.4,1663.8,543
2026-03-25,1697,1830.1,1697,1830.1,1020
2026-03-26,1821,2013.1,1821,2013.1,3368
2026-03-29,2009.7,2214.4,2009.7,2214.4,2225
2026-03-30,2203.9,2435.8,2203.9,2435.8,2297
2026-03-31,2430.1,2679.3,2430.1,2679.3,2107
2026-04-01,2678.2,2947.2,2678.2,2947.2,5120
2026-04-02,3006.1,3241.9,3006.1,3241.9,16025
2026-04-05,3306.7,3566,3306.7,3566,18487
2026-04-06,3637.3,3922.6,3210,3509,326117
2026-04-07,3509,3650,3440,3545,68424
2026-04-08,3545,3899.5,3545,3899.5,110003
2026-04-09,3977,4289.4,3825,4289.4,68240
2026-04-10,4375.1,4718.3,4375.1,4691,93429
2026-04-13,4775.4,5049,4611,4799,94947
2026-04-15,4799,4896,4500,4530,106020
2026-04-16,4501,4600,4280,4366,140365
2026-04-17,4400,4730,4300,4649.1,72648
2026-04-20,4700,4700,4465,4479,42038
2026-04-21,4390.1,4539.9,4210,4290,68901
2026-04-22,4080,4326,4080,4230,78442
2026-04-23,4180,4425,4070,4320,70488
2026-04-24,4291,4330,4200,4220,58569
2026-04-27,4220,4346,4195,4239,72187
2026-04-28,4225,4270,3981,4000,85116
2026-04-29,4000,4000,3790,3810.1,62734
2026-04-30,3780,3989,3700,3850.2,70158
2026-05-04,3865,3949,3699,3720,47038
2026-05-05,3790,3839.9,3675,3750,33951
2026-05-06,3700.1,3775,3619,3689,43504
2026-05-07,3690,3724,3636.1,3693,38611
2026-05-08,3631,3800,3631,3800,36444
2026-05-11,3765,3920,3765,3825,54516
2026-05-12,3899,3940,3680,3729,47727
2026-05-13,3700,3750,3655.1,3724.9,22366
2026-05-14,3705,3787.9,3673,3690,19134
2026-05-15,3741.9,3777.9,3680,3706,23184
2026-05-18,3720,3730,3681,3690.1,19875
2026-05-19,3700,3749.9,3650,3680,13524
2026-05-20,3640,3730,3640,3700,21592
2026-05-21,3744.9,3744.9,3675,3715,11962
2026-05-22,3720,3740,3683,3730,26240
2026-05-25,3744,3850,3740.1,3825,37741
2026-05-26,3849.9,3897,3737,3780,18745
2026-05-27,3814.9,3850,3700,3745,22770
2026-06-01,3701,3718,3650,3670,26045
2026-06-02,3685,3695,3621.1,3640,30424
2026-06-03,3622,3700,3572.1,3652,25239
2026-06-04,3685,3699,3595,3631,12521
2026-06-05,3570,3648,3570,3580,41801
2026-06-08,3560.1,3685,3560,3598.8,28775
2026-06-09,3551,3645,3551,3590,18308
2026-06-10,3598.1,3638,3565,3584,13911
2026-06-11,3584,3597,3536.3,3570,29675
2026-06-12,3636.1,3636.1,3499,3517.9,36704
2026-06-15,3517,3620,3425,3460,47155
2026-06-16,3420,3443,3330,3342,44416
2026-06-17,3311,3605,3248.5,3399,55293
2026-06-18,3465,3579,3320,3350,14771
2026-06-22,3347,3448.3,3290,3291,38904
2026-06-23,3255,3255.2,3140,3199,53883
2026-06-24,3140.1,3200,3033,3100,23942
2026-06-25,3110,3249,3060,3200,38199
2026-06-26,3160,3250,3160,3248,31125
2026-06-29,3180,3247,3149,3247,25644
2026-06-30,3150,3190,3139,3189,22936
2026-07-01,3101,3499,3101,3400,54822
2026-07-02,3230,3274,3151,3274,79286
2026-07-03,3320,3320,3150,3200,21379
2026-07-06,3260,3260,3070,3070,18466
2026-07-07,3060,3097,3020,3097,36795
2026-07-08,3109,3109,3021,3040,16075
2026-07-09,3040,3090,2949,2999,53793
2026-07-10,3024,3049,2952,3034.9,41428
2026-07-13,3010,3048,2975,3029,23433
2026-07-14,3005,3037,2967,3025,41025
2026-07-15,2985,3070,2982,3000,27505
2026-07-16,2985,3035,2960,2970,29513
2026-07-17,3000,3200,2971,3200,49947
2026-07-20,3165,3498,3163,3498,73255
2026-07-21,3461,3650,3461,3545,77289
2026-07-22,3460,3681,3459,3681,75158
2026-07-23,3615,3791,3484.9,3516,80405
2026-07-24,3501,3599,3420,3494,43204
2026-07-27,3419.6,3419.6,3200.1,3240,102801
2026-07-28,3299,3299,3100,3185,51466
2026-07-29,3200,3200,3080.5,3118,57561
2026-07-30,3060,3134.9,2970.5,3024,80858
2026-07-31,3079.8,3079.8,2950,2999,38722
2026-08-03,3053.6,3053.6,2775,2780,95826
2026-08-04,2840,2850,2561.2,2705,45708
2026-08-05,2650,2699,2580,2619,31835
2026-08-06,2600,2600,2510,2541.6,49202
2026-08-07,2541.6,2640,2541.6,2620,27037
2026-08-10,2563,2699.9,2563,2633.5,31036
2026-08-11,2577,2690,2577,2626,31269
2026-08-12,2591,2630,2550.1,2550.1,23929
2026-08-13,2520,2587,2480,2546.1,21911
2026-08-14,2492.6,2605,2470,2556,19819
2026-08-17,2570,2890,2290.1,2841.6,523651
2026-08-18,2841.6,2898,2720,2725,60363
2026-08-19,2705,2720,2655,2710,57723
2026-08-20,2685,2830,2610.6,2784,110600
2026-08-21,2849,2849,2768,2775,94674
2026-08-24,2800,2800,2721,2728,46283
2026-08-25,2744.9,2755,2712,2727,64986
2026-08-26,2741,2741,2690,2706,24922
2026-08-27,2686,2764,2685,2728,40235
2026-08-31,2770,2770,2696,2724,44684
