timestamp,open,high,low,close,volume
2025-11-09,319.5,351.4,319.5,351.4,100
2025-11-10,345.8,386.5,345.8,386.5,90
2025-11-11,386.5,425.1,386.5,425.1,200
2025-11-12,430.1,467.6,430.1,467.6,210
2025-11-13,476.9,514.3,476.9,514.3,270
2025-11-16,524.5,565.7,524.5,565.7,570
2025-11-17,577,622.2,577,622.2,710
2025-11-18,634.6,684.4,634.6,684.4,450
2025-11-19,684,752.8,684,752.8,480
2025-11-20,767.8,828,767.8,828,950
2025-11-23,828,910.8,828,910.8,1270
2025-11-24,929,1001.8,929,1001.8,1600
2025-11-25,1000.9,1101.9,1000.9,1101.9,1980
2025-11-26,1101.9,1212,1101.9,1212,1810
2025-11-27,1236.2,1333.2,1236.2,1333.2,2870
2025-11-30,1359.8,1466.5,1359.8,1466.5,2590
2025-12-01,1495.8,1613.1,1495.8,1613.1,3280
2025-12-02,1645.3,1774.4,1645.3,1774.4,3010
2025-12-03,1800,1951.8,1800,1951.8,4420
2025-12-07,1990.8,2146.9,1790.1,1817.1,231979
2025-12-08,1800,1892,1733,1830,134790
2025-12-09,1830,1836,1794.1,1801,32590
2025-12-10,1801,1810.4,1752,1754.1,60435
2025-12-11,1741,1805,1735,1796,54615
2025-12-14,1796,1808,1756.1,1765,39341
2025-12-15,1756,1805,1751,1772,35750
2025-12-16,1772,1785,1766.5,1770,21380
2025-12-17,1805.4,1805.4,1740.2,1773,21614
2025-12-18,1740,1777,1740,1740.3,37422
2025-12-21,1720.3,1740,1670,1680.2,48656
2025-12-22,1666,1679.9,1652.1,1676.1,33929
2025-12-23,1654,1754.8,1653.4,1720,49483
2025-12-24,1690,1744.2,1685,1690.1,17378
2025-12-28,1690,1710,1670,1687,28702
2025-12-29,1697,1700,1672,1678.9,29857
2025-12-31,1680,1725,1676.6,1678,31924
2026-01-01,1650.5,1725,1650.5,1699.9,61283
2026-01-04,1666,1849,1666,1833,105590
2026-01-05,1833,2016.3,1833,2016.3,81032
2026-01-06,2020,2060,1931.7,1932,93360
2026-01-07,1932,2009,1915,1969,79760
2026-01-08,1955,2038.8,1955,1980,75232
2026-01-12,1980,2047,1980,2001,92460
2026-01-13,2010,2020,1960,1966,75443
2026-01-14,1960,2019.6,1960,2005,54968
2026-01-18,2039,2205.5,2020,2205.5,115153
2026-01-20,2249.6,2320,2191.5,2235,56353
2026-01-21,2245,2268.9,2171,2190,45786
2026-01-22,2180,2299.9,2168.2,2298,62021
2026-01-25,2343.9,2439,2280,2360,76416
2026-01-26,2349.9,2395,2286,2354,77305
2026-01-27,2360,2400,2240,2300,77794
2026-01-28,2300,2376,2230,2265,64783
2026-01-29,2299,2299,2103,2130,37182
2026-02-01,2172.6,2172.6,2070,2085,37451
2026-02-02,2085,2293,2077,2203,49340
2026-02-03,2200,2230,2100,2150,33154
2026-02-04,2150,2187.9,2090.1,2120,22917
2026-02-05,2120,2178,2083,2160,22769
2026-02-08,2200,2200,2080,2080,24335
2026-02-09,2119,2119,2011,2052,34884
2026-02-10,2093,2093,2010.1,2066,14697
2026-02-11,2025,2100,1995,2014,21960
2026-02-12,2054,2054,1950,1965,16658
2026-02-16,2004.3,2135,1966.1,2013,24781
2026-02-17,2053,2062,1961,1975,20949
2026-02-22,1975,1975,1851,1852,26386
2026-02-23,1852,1888,1810,1819.9,14267
2026-02-24,1819,1983,1809,1983,28190
2026-02-25,2000,2040,1983,2008,22170
2026-02-26,1980,2019,1929.8,1985,13243
2026-03-01,1950,2020,1913,2000,18573
2026-03-03,2040,2040,1962,2009,21402
2026-03-09,2049.1,2172,2049.1,2172,1120
2026-03-10,2180,2180,2040,2059,49300
2026-03-11,2026,2074.2,1985,1988,25513
2026-03-12,2027.7,2050,1950,1965,42768
2026-03-15,1965.2,1980.1,1900,1925,35305
2026-03-16,1910,1960,1910,1955,14950
2026-03-17,1985,1985,1901.9,1920,20229
2026-03-19,1925,1949,1915.3,1934,23738
2026-03-22,1964.9,1966,1932,1947,18028
2026-03-23,1935,2000,1935,2000,27692
2026-03-24,1990,1999,1966,1998,15311
2026-03-25,2004,2099,1983.2,2043,48300
2026-03-26,2043,2090.9,2011,2055,37964
2026-03-29,2013.9,2064,1967.4,1967.4,22326
2026-03-30,1968,1990,1942,1950,20006
2026-03-31,1950,1958,1911.1,1941.9,15842
2026-04-01,1910.3,1939,1860.1,1876,10317
2026-04-02,1850,1947,1839,1902,16159
2026-04-05,1864,1864,1712.1,1729,32297
2026-04-06,1729,1832,1723,1820,15403
2026-04-07,1820.1,1853,1800,1810,22486
2026-04-08,1835,1989,1804.9,1925,37853
2026-04-09,1920,1980,1900,1949,25393
2026-04-10,1916,1990,1915,1929.9,27171
2026-04-13,1920,1944,1900,1922,13507
2026-04-15,1923,1940,1892.1,1918,15617
2026-04-16,1905,1908,1870,1880,12949
2026-04-17,1897.8,1897.8,1809.2,1865,16588
2026-04-20,1849,1869,1792,1819,11644
2026-04-21,1802,1843,1751,1759,21532
2026-04-22,1755,1800,1710,1780,18045
2026-04-23,1780,1798,1750,1760,9657
2026-04-24,1727,1820,1714,1807,22611
2026-04-27,1861,1861,1796.1,1809,12466
2026-04-28,1760,1811,1760,1780,10572
2026-04-29,1727.2,1777,1727,1735,6969
2026-04-30,1700,1775,1684,1770.9,18123
2026-05-04,1733,1745,1675,1675,10353
2026-05-05,1655,1720,1655,1694,11577
2026-05-06,1694,1710,1660,1670,6790
2026-05-07,1670,1700,1662.1,1697,10018
2026-05-08,1670,1732,1670,1729,8352
2026-05-11,1763,1763,1716,1725,6949
2026-05-12,1750,1750,1680,1689.9,17286
2026-05-13,1690,1691,1665,1678,7326
2026-05-14,1685,1686,1650,1679.7,6667
2026-05-15,1685,1700,1661.2,1665,4867
2026-05-18,1688,1688,1656.2,1667,3563
2026-05-19,1656,1675,1650,1668,11700
2026-05-20,1672,1744.2,1655,1733,9539
2026-05-21,1760,1760,1664,1675,9578
2026-05-22,1678,1720,1678,1717,11593
2026-05-25,1722,1757,1722,1741,6951
2026-05-26,1740,1740,1714,1720.1,7836
2026-05-27,1720,1725,1700,1702.1,9335
2026-06-01,1700,1719.9,1675.1,1678.1,6467
2026-06-02,1679,1714,1676,1700,8829
2026-06-03,1725,1725,1691.2,1697,7147
2026-06-04,1697,1715,1675,1689,7274
2026-06-05,1670,1696,1670,1672.1,3190
2026-06-08,1660,1692,1650,1656.5,5423
2026-06-09,1675.5,1689,1640,1670,9883
2026-06-10,1672,1699,1660,1669,3642
2026-06-11,1669.1,1694,1661,1665,2997
2026-06-12,1678,1680,1651,1659.9,10081
2026-06-15,1656,1710,1656,1694,8069
2026-06-16,1678.3,1705,1678.3,1687,2706
2026-06-17,1675,1700,1675,1689,1938
2026-06-18,1700,1700,1660.1,1666,2941
2026-06-19,1665,1666,1650,1660,3819
2026-06-22,1650,1682.9,1648,1650,5887
2026-06-23,1625,1648,1575,1575,10512
2026-06-24,1580,1596,1504,1593,17989
2026-06-25,1560,1575,1530,1541,2609
2026-06-26,1517,1578,1517,1570,8412
2026-06-29,1550,1570,1530.3,1533.4,2527
2026-06-30,1523,1529,1507,1526,3551
2026-07-01,1490,1589.9,1490,1589.9,4757
2026-07-02,1587.1,1587.1,1529.5,1541.1,1813
2026-07-03,1540,1599.8,1540,1599.8,7327
2026-07-06,1599,1599,1497,1535,3429
2026-07-07,1550,1589.8,1520,1585,10864
2026-07-08,1540.1,1589,1540.1,1587,6611
2026-07-09,1541,1586,1530.1,1578,4389
2026-07-10,1560,1578.9,1547,1569.7,3185
2026-07-13,1530,1569,1525,1535,4633
2026-07-14,1535,1550,1511.1,1528,5425
2026-07-15,1550,1630,1531,1620,21862
2026-07-16,1617.1,1660,1610,1618,14532
2026-07-17,1620.2,1719.9,1620.2,1719.9,19486
2026-07-20,1719.9,1780.3,1690.1,1780.3,13838
2026-07-21,1726.9,1814,1726,1768.1,20809
2026-07-22,1720,1800,1720,1795,23162
2026-07-23,1794.9,1850,1762,1820,29234
2026-07-24,1819,1842,1787,1792,24706
2026-07-27,1750,1800,1725.5,1743,15108
2026-07-28,1740,1764.9,1685.5,1755,23845
2026-07-29,1720,1759,1713,1724,4608
2026-07-30,1715,1740,1690,1704,8271
2026-07-31,1682,1723.8,1682,1710,10413
2026-08-03,1700,1791,1700,1779.9,25363
2026-08-04,1780,1780,1733.6,1752.6,11671
2026-08-05,1760,1780,1740,1740,7443
2026-08-06,1750,1780,1726.2,1750,11449
2026-08-07,1725,1765,1705,1750,4058
2026-08-10,1720,1730,1708,1730,5294
2026-08-11,1700,1735,1670.1,1700,10002
2026-08-12,1700,1725,1650,1680,7720
2026-08-13,1643.8,1700,1643.8,1700,6433
2026-08-14,1662,1690,1635.4,1653,8483
2026-08-17,1653,1653,1609,1610,9038
2026-08-18,1600.1,1610,1565.2,1570,13175
2026-08-19,1552,1599.5,1550,1580,3732
2026-08-20,1580.1,1580.1,1540,1568.1,4434
2026-08-21,1568,1589,1550,1557,3512
2026-08-24,1540,1585,1537.3,1540,2203
2026-08-25,1515,1550,1515,1549.9,3876
2026-08-26,1515,1550,1494,1497,11396
2026-08-27,1485,1536.7,1454,1522,3430
