timestamp,open,high,low,close,volume
2025-11-24,301.7,331.8,301.7,331.8,250
2025-11-25,328.7,364.9,328.7,364.9,300
2025-11-26,362.9,401.3,362.9,401.3,260
2025-11-27,409.3,441.4,409.3,441.4,490
2025-11-30,443.6,485.5,443.6,485.5,650
2025-12-01,490,534,490,534,790
2025-12-02,534,587.4,534,587.4,810
2025-12-03,599.1,646.1,599.1,646.1,930
2025-12-07,655.9,710.7,655.9,710.7,2530
2025-12-08,724.9,781.7,724.9,781.7,6050
2025-12-09,769.2,859.8,769.2,859.8,37290
2025-12-10,876.9,930,814.9,830.2,311450
2025-12-11,820,890,800.1,879.9,148500
2025-12-14,862.4,867,830,839,91105
2025-12-15,839,844,825.1,834.1,76908
2025-12-16,825.1,840,825.1,833.9,52517
2025-12-17,827.1,844,825,825.6,48525
2025-12-18,825.6,835,811,814,70476
2025-12-21,829.9,829.9,800,800,65040
2025-12-22,816,816,780.1,782,57231
2025-12-23,780,805,767,784.6,57477
2025-12-24,785,802,771,773.6,40256
2025-12-28,760,794.8,760,778.9,48704
2025-12-29,763.4,827.4,763.4,818,104295
2025-12-31,834.3,870,810,851.2,159892
2026-01-01,851.2,882,840,854,129484
2026-01-04,837,939.4,837,939.4,253711
2026-01-05,958.1,1033.3,941.1,1033.3,160424
2026-01-06,1050,1119.9,976.1,980,169345
2026-01-07,960.4,1027.1,952.8,970.1,238563
2026-01-08,970.1,1019,952,1013,133885
2026-01-12,1000,1114.3,1000,1114.3,236576
2026-01-13,1120,1182,1079,1125,235297
2026-01-14,1102.5,1142.19,1095.3,1100,104597
2026-01-18,1078,1210,1078,1210,242443
2026-01-20,1230,1331,1216,1282.2,161975
2026-01-21,1307.8,1307.8,1250,1271,120977
2026-01-22,1271,1398.1,1251,1398.1,185329
2026-01-25,1426,1537.9,1416,1537.9,155279
2026-01-26,1568.6,1690,1476.9,1555,231776
2026-01-27,1523.9,1688,1400,1515,220225
2026-01-28,1515,1579.8,1441,1515,172053
2026-01-29,1484.7,1535,1365,1390,125796
2026-02-01,1380,1484,1310,1344,132819
2026-02-02,1370.8,1478.4,1344.1,1478.4,112327
2026-02-03,1507.9,1598,1496,1522,145637
2026-02-04,1522,1575,1452,1480,166974
2026-02-05,1508,1530,1450,1499.4,119797
2026-02-08,1501,1511,1403,1450,108705
2026-02-09,1450,1455,1350,1399.9,103006
2026-02-10,1372,1426,1347,1373,70154
2026-02-11,1350,1425,1264.2,1320,92197
2026-02-12,1346.4,1403,1282,1403,144607
2026-02-16,1376.6,1463,1350,1450,146638
2026-02-17,1450,1451,1363,1375,77445
2026-02-22,1375,1450,1315,1335,67995
2026-02-23,1350,1355,1280,1315.8,73776
2026-02-24,1300,1376,1290,1365,69200
2026-02-25,1365,1428,1348,1368.8,49719
2026-02-26,1341.5,1395,1315,1320,44478
2026-03-01,1293.6,1345,1293.6,1306,60926
2026-03-03,1303,1384,1303,1335,69411
2026-03-09,1361.7,1468,1361.7,1466,10775
2026-03-10,1470,1470,1375,1400,117827
2026-03-11,1400,1424,1350,1368,70459
2026-03-12,1355,1387,1330,1360,88145
2026-03-15,1360,1380,1317.2,1336,48612
2026-03-16,1309.3,1388,1309.3,1340,80779
2026-03-17,1360,1360,1313.2,1329,48335
2026-03-19,1329,1421,1311,1350,101642
2026-03-22,1330,1377,1310,1310,86700
2026-03-23,1300,1346,1300,1315,73901
2026-03-24,1315,1334,1305,1333,81159
2026-03-25,1333,1376.5,1318,1360,94038
2026-03-26,1370,1415,1345,1392,143616
2026-03-29,1392,1394,1319.1,1321,54031
2026-03-30,1347.4,1347.4,1285.2,1300,77513
2026-03-31,1300,1352.5,1270,1300,52346
2026-04-01,1300,1318,1215.2,1218,44063
2026-04-02,1193.7,1300,1193.7,1300,67146
2026-04-05,1274,1274,1170,1178.8,46569
