timestamp,open,high,low,close,volume
2023-05-15,611.1,611.1,554,560.5,53417
2023-05-16,558,564,551.4,558.8,14258
2023-05-17,560,584,560,584,19381
2023-05-18,573,606,573,604.9,41447
2023-05-21,610,618,600,613.7,21127
2023-05-22,610,629,606,628,12030
2023-05-23,625,665,625,651,28344
2023-05-24,661,665,647,660,23153
2023-05-28,669,669,633,639,33839
2023-05-30,627,632.9,608,622,34278
2023-05-31,609.6,640,597.8,606,49776
2023-06-01,612,628,594.1,615.2,16560
2023-06-04,615.2,650,615.2,641,14219
2023-06-05,645,650,635,635,17932
2023-06-06,625,666,624.2,665,29713
2023-06-07,678,678,658,658.1,31512
2023-06-08,655,696.9,650,696.9,49848
2023-06-11,704,708.5,694.3,708.5,41139
2023-06-12,718,718,700,704,48227
2023-06-13,690,740,690,728.9,53143
2023-06-14,738.8,745,715,720,44792
2023-06-15,729.9,745,720,740,26899
2023-06-18,753.9,784.9,740,780,54204
2023-06-19,795.6,795.6,751,760,30787
2023-06-20,753.1,774,726.3,731.1,32472
2023-06-21,731,749.9,731,733,32546
2023-06-22,745.7,759.8,735,752,27637
2023-06-25,767,800,764.9,787.9,72656
2023-06-26,800,805,776,776,44642
2023-06-27,770,786,767,771.9,29547
2023-06-28,757.2,785,747,765,35448
2023-07-02,770,790,755,774.9,43506
2023-07-03,772,776,752,758,67716
2023-07-04,760.3,770,746.1,752,37118
2023-07-05,739,750,739,739.5,34776
2023-07-06,738,747.9,726.3,733.2,31245
2023-07-09,747.8,747.8,730,732.1,51779
2023-07-10,745,752,733.5,736,35209
2023-07-11,727,750,727,746.9,32560
2023-07-12,750,765,743,758,47558
2023-07-13,751,770,741.4,750,34844
2023-07-16,750,750,743.3,748,16740
2023-07-17,760,770,741,765,20219
2023-07-18,780,790,771,780,41317
2023-07-19,777,789.8,767.5,774,29080
2023-07-20,789,789,766,768.1,14725
2023-07-23,781,782.4,766,770.1,21026
2023-07-24,766,780,762,770,18102
2023-07-25,760,782,752,760,17512
2023-07-26,759,759.7,746.6,749,4971
2023-07-27,740.1,756,740.1,745,30389
2023-07-30,758,759,730,737,22638
2023-07-31,745,749,733.5,733.5,12298
2023-08-01,735,746,700.8,708,7828
2023-08-02,710,719,701,714.9,9203
2023-08-03,720,736,701,705,14121
2023-08-06,693.5,700,680,685,13925
2023-08-07,672,692,660,691,5675
2023-08-08,696,696,670,683,6093
2023-08-09,670,705,670,700,5308
2023-08-10,700.1,729,700,724,16859
2023-08-13,716,740,716,740,16096
2023-08-14,740,745,735,736,20202
2023-08-15,721.3,743.9,720,725,11958
2023-08-16,730,733,715,725,14979
2023-08-17,725,740,725,731.2,9598
2023-08-20,723.2,736,711,722,14445
2023-08-21,722,735,710,710,6388
2023-08-22,710,719,701.2,715,11970
2023-08-23,711,730,711,725,16439
2023-08-24,733,733,710.2,711,9868
2023-08-27,700,710,696.8,704,5914
2023-08-28,705,713,701.2,705,5967
2023-08-29,707,717.9,707,716,10896
2023-08-30,721,721,712.1,712.2,7304
2023-09-03,704,705,695.1,705,14226
2023-09-04,700,711,696.1,706.9,4934
2023-09-05,696.6,707.9,695,695,3171
2023-09-07,689.1,699.7,687,695,4103
2023-09-10,685.1,698.5,685,692.3,3720
2023-09-11,692.3,716,692.3,708.3,5312
2023-09-12,702,724,702,713,11658
2023-09-13,710,725.9,707,725,23459
2023-09-17,725,725,713,713.9,9724
2023-09-18,703.3,722,703.3,715.1,9023
2023-09-19,715.1,718,711.3,717.9,1982
2023-09-21,730,732,723,723,19402
2023-09-24,722.9,724.9,715,717,5667
2023-09-25,717,717,704,714.9,12449
2023-09-26,715,719,707.2,711,4709
2023-09-27,721,721,709.5,709.5,5482
2023-10-01,714.9,714.9,702.3,702.3,9428
