timestamp,open,high,low,close,volume
2025-07-20,359,394.9,359,394.9,350
2025-07-21,388.7,434.3,388.7,434.3,450
2025-07-22,442.9,477.7,442.9,477.7,500
2025-07-23,487.2,525.4,487.2,525.4,710
2025-07-24,535.9,577.9,535.9,577.9,690
2025-07-27,589.4,635.6,589.4,635.6,1170
2025-07-28,648,699.1,648,699.1,2644
2025-07-29,713,769,713,769,3416
2025-07-30,784.3,845.9,784.3,845.9,4200
2025-07-31,862.8,930.4,845.9,891.5,279583
2025-08-03,900,900,802.4,802.4,216419
2025-08-04,787,830,729,778.73,185618
2025-08-05,770,800,753,760.53,47554
2025-08-06,775,812,751,794.65,54477
2025-08-07,790,800,770,773.14,54284
2025-08-11,773.7,773.7,741.9,747.32,56104
2025-08-12,745,748,721,723.42,48465
2025-08-13,715.4,729,710.2,713.54,28119
2025-08-14,713,719,703,704.89,33064
2025-08-17,700,705,670.2,673.74,52306
2025-08-18,670,690,661,680.44,25769
2025-08-19,675,741,675,727.93,50197
2025-08-20,730,748.9,715.5,722.74,35038
2025-08-21,720,731.5,716.1,729.67,21206
2025-08-24,720.1,722,698.8,700.6,30382
2025-08-25,705,710,690.1,704.65,15757
2025-08-26,705,726.2,696,711.06,21854
2025-08-27,725.1,725.1,701,711.02,18576
2025-08-28,710,720,695.1,696.08,27352
2025-08-31,700,700,678.1,680.78,23562
2025-09-01,670,680,670,674.65,18680
2025-09-02,669,673,661,663.41,15907
2025-09-03,670,675,650,650.32,24222
2025-09-04,645,645,630,634.25,28262
2025-09-07,637,652,618.4,619.93,20187
2025-09-08,620,620,595.3,599.19,23406
2025-09-18,590,590,544,544,2090
2025-09-21,545,593,536,588.71,33380
2025-09-23,600,627,590,615.7,20026
2025-09-24,617,618,605.1,609.9,12338
2025-09-25,609,618,600,613,12111
2025-09-28,613,636.9,613,636.9,12532
2025-10-07,624.2,624.2,588,604.9,21790
2025-10-08,604,607,585.2,594,18071
2025-10-09,594,642,590,597.8,17358
2025-10-12,590,590.1,575.1,579,16613
2025-10-13,588.9,590,570,586,7085
2025-10-14,588,595,575,580,10612
2025-10-15,580,590,560.1,574,6141
2025-10-16,572,573,561,563.2,5651
2025-10-19,562,563.2,555,559.9,6609
2025-10-26,550.3,563,550.1,563,4004
2025-10-28,562.1,595,562.1,594,12290
2025-10-29,593,610,578.7,590,20975
2025-10-30,585,612,580.2,603,17537
