timestamp,open,high,low,close,volume
2022-01-02,309.8,309.8,286,298.1,14403
2022-08-17,269,295.9,269,295.9,562
2022-08-18,301.8,325.4,301.8,325.4,5350
2022-08-21,331.9,357,331.9,337,78676
2022-08-22,343.7,349,320.1,323,53198
2022-08-23,318,323.5,315,320,28437
2022-08-24,318,344.5,318,332,30418
2022-08-25,332,334,322.6,323,13083
2022-08-26,318,320,313.1,319,11130
2022-08-28,312.9,315,300,301,20529
2022-08-29,295,307,295,305,9421
2022-08-30,311.1,311.1,298,299.9,6385
2022-08-31,299,303,283.6,286,11413
2022-09-01,280.3,291.7,276.2,284,16566
2022-09-02,279,297,279,279.1,4222
2022-09-04,274,297,274,295,18356
2022-09-05,295,300,290.1,290.1,7987
2022-09-06,287,290,283,284.1,9180
2022-09-07,278.8,293,278.8,283.2,8490
2022-09-08,280,296,277.8,287,9217
2022-09-11,282,292.7,282,284,7985
2022-09-12,279.2,285,279.2,281,4077
2022-09-13,276,291.7,276,284,7565
2022-09-14,284,293.9,281,288.3,13757
2022-09-15,288.3,290,267.7,268,14365
2022-09-16,262.7,264,255.1,260.1,4250
2022-09-18,256,258,247.5,248.1,9285
2022-09-20,243.2,243.2,227.1,240,9268
2022-09-21,235.2,244.8,235.2,242,2930
2022-09-22,237.2,237.5,227.2,230,9938
2022-09-25,225.5,226,219.2,223,3253
2022-09-27,223,228.5,217.2,224,2722
2022-09-28,220,230,220,224,1154
2022-09-29,219.8,225,219.8,224,1314
2022-10-09,220.1,230.9,220.1,230.9,1409
2022-10-10,235,235,217.4,223,6291
2022-10-11,219,232,215,232,3733
2022-10-12,228.5,232.5,216.1,230.5,5657
2022-10-13,225.9,233,221.4,225,3305
2022-10-16,221,225,215.1,219,2550
2022-10-17,215,223.3,213.1,219,4480
2022-10-19,215,216,209,210,2680
2022-10-20,205.8,214,202.1,207.7,2070
2022-10-23,207,220.3,207,208.1,1763
2022-10-31,206,216.2,206,209.1,1200
2022-11-01,206,221,206,218,10036
2022-11-02,222.2,227.4,215,223,4784
2022-11-03,218.6,221,214.4,216.4,3892
2022-11-06,212.2,238,212.1,237,7544
2022-11-07,235,251,228.5,230,19667
2022-11-08,229,238.6,221.6,238,8702
2022-11-09,235,235,221.5,225,16241
2022-11-10,221.4,229,216.6,216.7,6541
2022-11-13,216.7,219.8,212.7,214,3710
2022-11-14,210,225.4,210,221,3292
2022-11-15,216.6,224,209.8,220,6590
2022-11-16,215.6,224,211.3,223,3970
2022-11-17,224,233,223.8,231.9,6860
2022-11-22,227.3,232.5,223.6,227,3598
2022-11-23,222.6,227.4,220.9,222.1,3525
2022-11-24,219,226.4,214.9,220,4508
2022-11-27,216,235,216,233,20338
2022-11-28,232,234.9,224.8,231.4,7947
2022-11-29,226.8,240,225,235.6,2855
2022-11-30,231,244.8,231,242,10640
2022-12-01,237.2,264.3,237.2,264.3,28386
2022-12-04,259.1,265.2,251,259,9225
2022-12-05,256,258.1,248.3,250.4,15223
2022-12-06,246,255,241,252.9,7484
2022-12-07,250,256,246,251.7,8007
2022-12-11,247,251,240.1,240.1,5012
2022-12-12,235.3,255,235.3,250,3468
2022-12-13,245,253.5,242,251.5,2825
2022-12-14,246.5,262,246.5,260.3,17829
2022-12-15,255.1,263,249,255,6274
2022-12-18,250,255.3,249.1,255.2,6737
2022-12-19,253,265.3,250.2,259.9,15619
2022-12-20,254.9,264.9,254.9,257,3389
2022-12-21,252,262.4,251.9,261.1,5745
2022-12-22,255.9,264,252.9,259,10270
2022-12-26,264,269,255.2,269,10636
2022-12-27,263.7,274.3,260,274,22795
2022-12-28,268.6,275,263.2,274.5,15156
2022-12-29,269.1,301.9,264.3,301.9,17270
2023-01-01,307,312.1,288,303.8,23811
2023-01-02,309.8,309.8,286,298.1,14403
2023-01-03,304,327.9,294,327.9,30377
2023-01-04,334.4,335.5,306.1,335.5,22361
2023-01-05,341,361.7,327.6,361.7,33104
2023-01-08,354.5,358,341,354,19672
2023-01-09,347,372.3,335,372.3,33028
2023-01-10,372,380,340,370,30719
2023-01-12,363,364,337.1,344.7,40329
2023-01-17,337.9,362,324,359.8,36293
2023-01-18,366.9,374,356,367.2,40165
2023-01-19,367.2,390.6,361,389.6,57900
2023-01-23,385,386,366,374.1,46321
2023-01-24,366.7,374,350,374,32023
2023-01-25,366.6,391.2,361,379,37590
2023-01-26,371.9,386.4,365,375.3,18950
2023-01-29,367.8,411.6,358,411.6,29501
2023-01-30,403.4,403.4,373,384,45297
2023-01-31,377,382,363,378,19185
2023-02-01,382,382,370,378.9,10445
2023-02-02,386,386,364,375,28029
2023-02-05,382.5,382.5,362.9,378.4,10421
2023-02-06,370.9,380,370.1,370.2,8497
2023-02-07,370.2,395,370.2,395,40525
2023-02-08,402,410,385,397,23567
2023-02-09,389.1,404.9,382.4,404.9,13211
2023-02-12,404,404,381,387,30718
2023-02-14,390.8,393,372,382,18060
2023-02-15,374.4,381.6,366.1,375.9,12370
2023-02-16,376,385,367,380,24025
2023-02-20,372.4,384,368.2,376,13212
2023-02-22,380,389,368.6,378,13041
2023-02-23,385.5,385.5,369,379.9,15014
