timestamp,open,high,low,close,volume
2024-08-18,1067,1162.7,1067,1162.7,5314
2024-08-21,1185.9,1278.9,1090,1099,142108
2024-08-22,1120,1120,1064,1078,36931
2024-08-25,1056.5,1115,1025,1040,27092
2024-08-27,1024.1,1060,998,999.9,20466
2024-08-28,1019.8,1020,965,965,13394
2024-08-29,956.5,1003,945.7,967,12183
2024-09-01,986.3,988,926.4,926.4,12163
2024-09-02,926.4,954.5,916,954.5,14912
2024-09-03,956,1049,955,1020,19965
2024-09-04,1012,1072,983,990,21344
2024-09-05,973,1023,968,992,14160
2024-09-08,1011.8,1073,1000,1009,22487
2024-09-09,1029,1029,980,989,8917
2024-09-10,1004,1004,967,967.3,6374
2024-09-11,967.3,980,958,975,10305
2024-09-12,971,986,957.1,980,9452
2024-09-15,985,993,951,958,6701
2024-09-16,941,955,922,923,8147
2024-09-18,941,941,905,911.1,6661
2024-09-22,929,929.3,897.1,905,5225
2024-09-23,895,905,882,882.5,5095
2024-09-24,890,890,852,855,7027
2024-09-25,850,870,842,865,8222
2024-09-26,865,868,848,848,5938
2024-09-29,864.7,870,826,852,4507
2024-09-30,835,871,835,871,2664
2024-10-01,875,900,871,900,6254
2024-10-02,902,915,880,888.9,5011
2024-10-06,875.5,936,855.1,920,4818
2024-10-07,938,970,920.3,940.9,8275
2024-10-08,923,938,900,900,4017
2024-10-09,918,930,882.1,924,5232
2024-10-15,910,930,910,928,1154
2024-10-16,925.1,997,925,949,4572
2024-10-17,931,984.9,931,948,8142
2024-10-20,929.1,945,910.6,921.1,4596
2024-10-21,923,935,896,900,4052
2024-10-22,890,928.2,890,911,4327
2024-10-23,929.2,929.2,902.3,910,3389
2024-10-24,928.2,928.2,895.1,899,5550
2024-10-27,900,912,887.1,912,5412
2024-10-28,928,928,901.6,904.5,1044
2024-10-29,920,932,907,917,4372
2024-10-30,917,936,917,923,3922
2024-11-05,934.9,935,916.4,929,1386
2024-11-06,929,942,921.1,925,1861
2024-11-10,925,948.7,918,945,5388
2024-11-11,926.1,1006,926.1,969,22164
2024-11-12,975,988.5,955,955.5,4434
2024-11-13,955,958,936,941,4711
2024-11-14,959.8,997,931,960,8220
2024-11-17,975,1000,961,988,17027
2024-11-19,1000,1000,945.8,957,13609
2024-11-20,939.3,981.2,939.3,961.6,5991
2024-11-21,942.4,1019.9,942.4,1000,32192
2024-11-24,1000,1012.9,970,992.5,10328
2024-11-25,972.7,997,972.7,990,2890
2024-11-26,990,1000,975.1,998,6339
2024-11-27,978.1,1060,978.1,1035,34433
2024-11-28,1054,1055,1010,1025,13325
2024-12-01,1004.5,1031.3,995,1025,13436
2024-12-02,1045.5,1110,1015,1082,32691
2024-12-03,1103.6,1148,1060,1097,19113
2024-12-04,1075.1,1205,1070,1070,37324
2024-12-05,1048.6,1091,1025,1032,21633
2024-12-08,1011.4,1030,980.1,995,13041
2024-12-09,975.2,1035.8,970,979.1,7476
2024-12-10,998.6,998.6,958,960,7792
2024-12-11,979.2,1018,965,970,3610
2024-12-12,989.4,1009,952.2,957,3013
2024-12-16,950,951,925.1,938,6434
2024-12-17,920,954.9,920,925,5251
2024-12-18,943.5,943.5,910,920,4842
2024-12-19,938.4,938.4,905,910,7327
