timestamp,open,high,low,close,volume
2023-10-29,350,350,315,315,6459
2023-10-30,308.7,308.7,283.5,283.5,11557
2023-10-31,277.9,277.9,255.2,255.2,25109
2023-11-01,250.1,250.1,230,234.8,616775
2023-11-02,230.2,244,230.2,244,189303
2023-11-05,244,244,230,237,119248
2023-11-06,232.3,255,232.3,244.1,231101
2023-11-07,248.4,260,244,257,232895
2023-11-08,258,275.4,252.2,273,210017
2023-11-09,273,273,258.9,259,290692
2023-11-20,253.9,268,253.9,263.9,224086
2023-11-21,259,265.6,255.5,260.5,167730
2023-11-22,260,285,257.4,283,392703
2023-11-23,279,294.2,274,287.9,332905
2023-11-26,287.9,299,280,293.3,402121
2023-11-27,290,298,285.1,288,268335
2023-11-28,288,306,285.1,301.2,283941
2023-11-29,301.2,312.1,295.1,295.5,257788
2023-11-30,295,302.5,291.1,293,270044
2023-12-03,297,300,288,295,236788
2023-12-04,293,304.5,290.3,300.2,248193
2023-12-05,302,305,292.5,293.5,182682
2023-12-06,287.7,296.1,287.7,291,106939
2023-12-07,288.1,304,288.1,297,310907
2023-12-10,302.9,320,302.9,318,113600
2023-12-11,320,339.9,310,328,784650
2023-12-12,328,360.8,328,360.8,429827
2023-12-13,368,381.9,353,359,398398
2023-12-14,359,373.3,347,361.8,444033
2023-12-17,354.6,386,348,383,449066
2023-12-18,390.6,407,377.2,394,521417
2023-12-19,390,433.4,390,433.4,398818
2023-12-20,440,476.7,440,476.7,431356
2023-12-21,486.2,493.1,451.4,461,539018
2023-12-24,470.2,479,430,433,618652
2023-12-27,435,450,399,415.1,467990
2023-12-28,415.1,455.9,409,454.1,328829
2024-01-01,463.1,470,443,456,437027
2024-01-02,456,458,437.1,439,288959
2024-01-03,439,482.9,438,482.9,570717
2024-01-04,492,529.5,490,508,653648
2024-01-07,518.1,518.1,496,498.8,557159
2024-01-08,496.1,519,496,506,429578
2024-01-09,507,516.3,490.1,493,427624
2024-01-10,502,530,496,527.3,634593
2024-01-11,527.3,540,523,527,315907
2024-01-14,527,545,522.3,539,451820
2024-01-16,545,575,536,554,506592
2024-01-17,555,565,529.2,532,548790
2024-01-18,521.4,521.4,485,506.8,597489
2024-01-21,507,507.7,480,482,402920
2024-01-22,473,493,465,466,278908
2024-01-23,457,494.7,457,485,220387
2024-01-24,478,498,469.1,469.2,171707
2024-01-25,460,480,460,468.9,147646
2024-01-28,468,498,461,483,163270
2024-01-29,483,494,479.1,480,172313
2024-01-30,480,494,475.1,483.1,189909
2024-01-31,485,489.5,467.8,472,141737
2024-02-01,472,473,460.8,462.5,163831
2024-02-04,462,467.9,453.6,456,153335
2024-02-05,460,466,455.9,458,100414
2024-02-06,458,474.3,457,472.3,115612
2024-02-07,472.3,485,471,478,122278
2024-02-08,478,482.5,471.4,475,100767
2024-02-11,467.2,482,464,465,133334
2024-02-12,455.7,465,448.9,456.5,224063
2024-02-13,456.5,460,438.6,440.2,267921
2024-02-14,436,449.5,434,442,115190
2024-02-15,442,455,436.7,442,126919
2024-02-18,440,442,427,427.1,133937
2024-02-20,420,437.5,420,430.2,105552
2024-02-21,430,438,424,424.1,65581
2024-02-22,432.5,432.9,416.5,418.5,117543
2024-02-25,422,424.8,407,408,109305
2024-02-26,408,440,406.1,438,228016
2024-02-27,446.7,463,439,451.5,313295
2024-02-28,450,469,444.1,458.5,277220
2024-02-29,458,465.5,440,440,246724
2024-03-03,435.1,460,435.1,452,292326
2024-03-04,461,493,461,490,93087
2024-03-05,490,508,470.6,493.8,850464
2024-03-06,500,519.5,491,514,657739
2024-03-07,520,524.2,504,506,262419
2024-03-10,509,519,502,507.4,354331
2024-03-12,517.5,532,511,526.9,461155
2024-03-13,529,534,513,517.2,395640
2024-03-14,517,523,512,514,314791
2024-03-17,516,534.5,516,529.2,437072
2024-03-18,530,534.9,518.7,523,257064
2024-03-19,527,532.9,506,506,365430
2024-03-20,496,510,490.7,493,392148
2024-03-21,484,510,484,495.1,255671
2024-03-25,504,504,483,484,165971
2024-03-26,484,493.6,480.2,487,175877
2024-03-27,480,496,480,480,151179
2024-03-28,480,496,475.1,493.9,229839
2024-03-31,489.1,495,477,477.1,186009
2024-04-01,477.1,486,473,477,113594
2024-04-02,484.9,484.9,469.3,469.3,94878
2024-04-03,469,477,460.6,462,127686
2024-04-04,462,466,454,455.5,131463
2024-04-07,455,477,451.1,475,131285
2024-04-09,475,481,463.3,465,137538
2024-04-10,461,469.9,456,456.8,114282
2024-04-14,456,464,453,453,74958
2024-04-15,451,458,445,448,81434
2024-04-16,448,452.5,443.2,445,62907
2024-04-18,442.4,444,435.3,439,73909
2024-04-21,445,464.5,436.1,458.1,116323
2024-04-22,459,465,446,447,107638
2024-04-24,442.3,455,442.3,447,58052
2024-04-25,440.1,454,440.1,443.2,69948
2024-04-28,452,453,444.3,450,93802
2024-04-29,448.3,454,445,445.1,59515
2024-04-30,454,459.6,442.1,454.9,122903
2024-05-02,454,459.9,445,445,105978
2024-05-05,441,450,439,440,83740
2024-05-06,440,448,437,437.6,72058
2024-05-07,438,446.5,435.9,436.2,45443
2024-05-08,435.1,440,430,431,54165
2024-05-09,432,442.3,432,435.7,80706
2024-05-12,430,454,422.1,443.6,182472
2024-05-13,443.6,446.1,436,440,62351
2024-05-14,436.6,445,436.6,440,75003
2024-05-15,436,459,436,448,173303
2024-05-16,448,455.3,443.1,446.2,106284
2024-05-19,450,469,442,461.9,202023
2024-05-20,471.1,472.7,450,457,160450
2024-05-21,450,464.2,450,461,94630
2024-05-22,470.2,470.2,456,460,119954
2024-05-26,457.5,463.9,450.8,454,120483
2024-05-27,448,470,448,461,135238
2024-05-29,470.2,479,455.7,456.1,154506
2024-05-30,461.9,461.9,447,450,93183
2024-06-02,448,459.9,445,445.3,67026
2024-06-03,445,449.9,441.1,445,90037
2024-06-04,445,449.5,440,445.9,61824
2024-06-05,443,448,440,440.2,86225
2024-06-06,440.3,446,437,441,92637
2024-06-09,441,448,440,441,78208
2024-06-10,444,449.6,439.3,442.7,81217
2024-06-11,444.2,454.4,443.5,451,99920
2024-06-12,460,472,445,465.2,301612
2024-06-13,474.5,474.5,456,456,122736
2024-06-16,456,468,450.1,451,95947
2024-06-18,460,460,444,445,66259
2024-06-19,445,450,442,446,51601
2024-06-20,454,454,442.1,443.8,57734
2024-06-23,440,450,438,439,92490
2024-06-24,435,446.4,434.1,437.3,56748
2024-06-25,435,448,435,438.2,57747
2024-06-26,439,444,433.9,434,57605
2024-06-27,432.1,439.5,429.1,430,86154
2024-06-30,431,434.9,430,431,53867
2024-07-01,431,437,428,434.1,26325
2024-07-02,442.7,461,439,441.1,63326
2024-07-03,441,445,437,444,50078
