timestamp,open,high,low,close,volume
2021-11-25,296.3,320.5,296.3,320.5,57
2021-11-28,326.9,346.8,326.9,346.8,71
2021-11-29,346.8,381.4,346.8,381.4,67
2021-11-30,389,419.5,389,419.5,70
2021-12-01,427.8,461.4,427.8,461.4,160
2021-12-02,470.6,507.5,470.6,507.5,700
2021-12-05,517,558.2,471,500,33698
2021-12-06,510,510,455,500,10801
2021-12-07,510,519,471.6,475,6274
2021-12-08,467,467,427.5,441,8150
2021-12-09,432.3,440,418.5,425,5381
2021-12-12,415,420,393,393,5492
2021-12-13,386,386,354,367,2565
2021-12-14,369,403.7,369,403.7,2640
2021-12-15,411.7,444,406.8,444,9896
2021-12-16,452.8,478,413,433.2,4185
2021-12-20,431,433,403,426.8,3300
2021-12-21,420,434,416,425,2925
2021-12-22,425,458,425,458,2975
2021-12-23,448.9,483.9,432,436,3053
2021-12-26,428,469.2,425,469.2,7185
2021-12-27,460,500,437,497,6118
2021-12-28,488,488,452,467,1750
2021-12-29,457.7,457.7,442,457,2218
2022-01-02,448,456,436.1,450,5566
2022-01-03,444,452.8,431.2,444,2658
2022-01-04,440,450,438.1,440,2795
2022-01-05,433,461,433,449,6134
2022-01-06,441,460,433.2,460,4320
2022-01-09,460.1,478,459,477,6378
2022-01-10,478,487.5,460.6,482.5,5537
2022-01-11,483,494,473,490,4209
2022-01-12,490,529,481.3,516,15164
2022-01-13,522.9,530,506,526,6682
2022-01-16,526,560,526,554,12203
2022-01-17,545,593,545,593,16925
2022-01-18,590,649.3,584,649.3,18009
2022-01-19,640,714,615,714,17399
2022-01-20,700,745,672.3,732,20034
2022-01-23,735,735,670,683,30393
2022-01-24,669.4,669.4,625,636,14888
2022-01-25,624,661.6,613,661.6,6585
2022-01-26,648.4,663,632.3,663,6553
2022-01-27,649.8,703,640,660,10443
2022-01-30,673.2,694,661,693,8330
2022-01-31,690,690,670,679,3110
2022-02-01,679,684,665.5,679,5765
2022-02-03,669,692,669,676,11682
2022-02-06,663,682,655.1,678.9,5574
2022-02-07,665.4,689.9,652.2,670,5667
2022-02-08,670,694,644.1,655,5065
2022-02-09,642.1,655,631,637.1,2489
2022-02-10,635,687,613,630,3603
2022-02-13,617.4,618,586.1,586.1,3636
2022-02-14,586.1,606,581,586.1,2282
2022-02-15,575,624,575,617,2043
2022-02-16,611,633.4,586.9,630,3125
2022-02-17,617.4,672,601,656,15457
2022-02-20,642.9,707.9,618.4,699,32617
2022-02-21,705,757,672.3,728,23773
2022-02-22,713.5,792,713.5,790,20831
2022-02-23,774.2,845.5,759,844,17548
2022-02-24,827.2,827.2,781,819.9,17692
2022-02-27,803.6,819.7,783,790,20786
2022-02-28,790,790,711,711,27251
2022-03-02,696.8,725,656,670,11831
2022-03-06,656.6,709.5,656.6,700,26762
2022-03-07,686.7,728,670,680,7425
2022-03-09,693.6,693.6,667,669,9385
2022-03-10,655.8,687,655.8,687,9419
2022-03-13,700.2,719,680.1,719,18353
2022-03-14,730,730,687.1,705,3191
2022-03-15,691,705,690,692.2,11538
2022-03-16,691,699,680,693.6,12341
2022-03-20,680,690,673.1,682,5372
2022-03-21,670,697.6,658,681,17135
2022-03-22,670,685,663,673,3350
2022-03-23,659.6,671,652,660.9,11456
2022-03-24,650,660.9,630.2,630.2,9005
2022-03-27,618,637,615,630,4530
2022-03-28,620,628,602.1,620,6717
2022-03-29,610,630,598,610,4635
2022-03-30,600,670,600,670,8797
2022-03-31,670,688.9,633.1,644,20000
2022-04-03,631.2,631.2,603,616,6290
2022-04-04,616,617,596,610,6510
2022-04-05,597.8,599,579,587.1,7872
2022-04-06,579,597,565,580,6103
2022-04-07,570,625,570,585.2,9511
2022-04-11,585,596.7,560,560,5347
2022-04-12,548.8,584.4,535.2,547,3855
2022-04-13,554,574,521,562,4757
2022-04-17,563,563,525,530,2545
2022-04-18,521,521,496,513,2957
2022-04-19,513,530.2,485,512,2929
2022-04-20,502.1,502.1,481,491.8,4872
2022-04-21,500.9,500.9,460,495,2984
2022-04-24,502.8,542.5,476.1,536,9545
2022-04-25,527,546.4,511,512.1,5585
2022-04-26,512.1,517.1,495.1,506,3690
2022-04-27,496,514,495,500,2235
2022-04-28,500,520.2,490,490,4249
2022-05-02,481,484,466.1,466.1,3222
2022-05-04,456.8,475,452.8,452.8,934
2022-05-05,455,455,425,432,4767
2022-05-08,423.4,447,415,447,1865
2022-05-09,454.9,456,439,444,1420
2022-05-10,452.8,470,444,470,2535
2022-05-11,460.6,508.5,460.6,498.9,2461
2022-05-12,500,514.9,480.2,482.3,7895
2022-05-17,473,473,455.8,455.8,3655
2022-05-18,464,480,437.9,480,1457
2022-05-19,470.4,489.6,451.9,466,2056
2022-05-20,456.8,465,441.1,460.9,1215
2022-05-23,451.7,451.7,439.1,443,945
2022-05-24,445,455.1,437.5,450,255
2022-05-25,441.4,464,441.3,463,2246
2022-05-26,454,472.2,450,463,605
2022-05-27,454,456,442.1,449,2217
2022-05-30,455,455,431.5,440,2815
2022-05-31,431.2,457.7,425,457.7,1239
2022-06-01,448.6,457.5,428.1,453,4601
2022-06-02,459,459.5,432,459.5,836
2022-06-03,467.9,467.9,425,446.7,2413
2022-06-06,437.9,446,431.3,444,400
2022-06-07,443,443,429,430,330
2022-06-08,437,454,422.1,453,2171
2022-06-09,453,454,425,435,3088
2022-06-10,443,451.8,427.2,442.8,4380
2022-06-13,451.5,451.5,430,440,360
2022-06-14,431.2,436,420,436,4030
2022-06-15,427.5,435,419.1,433,440
2022-06-16,425,441.5,425,431,1990
2022-06-17,430,438.4,423,438.4,340
2022-06-19,430,437.9,416.4,430,918
2022-06-20,421.4,421.4,394,400,2111
2022-06-21,392,413,392,413,1030
2022-06-22,404.8,404.8,391,400,434
2022-06-23,392,392,360,366,2337
2022-06-24,358.7,373.3,338.2,363,1896
2022-06-26,370,392.5,365,392,1855
2022-06-27,384.2,397.8,380,388,3741
2022-06-28,381,381,367.5,380,300
2022-06-29,372.4,397.8,372.4,392.7,1815
2022-06-30,400,422,395,421.5,2835
2022-07-01,414,439.2,413.3,419,2930
2022-07-03,415,447.3,413,442.9,1140
2022-07-04,445,486,425,477,7733
2022-07-05,467.5,467.5,444,461,3419
2022-07-06,451.8,460,423.2,453.9,3900
2022-07-07,460,468.8,442,447.9,555
2022-07-08,439,475,424.3,451.9,2954
2022-07-11,445,445,407,420,2679
2022-07-12,411.6,431,411.6,430,5242
2022-07-13,421.5,438.2,414,436,7337
2022-07-14,444,461,421.3,438,2030
2022-07-15,429.3,438.9,421,428.1,345
2022-07-17,420,428.5,418,427,4480
2022-07-18,420,436.5,415,421,1701
2022-07-19,412.6,436,405.1,421,1665
2022-07-20,415,437,414,414.6,3220
2022-07-21,407.1,431,407.1,418,1132
2022-07-22,416,426.3,403,415.9,2362
2022-07-24,420,430,410,430,3759
2022-07-25,438,468.1,432,466,6360
2022-07-26,456.7,489.6,447.7,478,15155
2022-07-27,469,489.6,460.8,489.6,6445
2022-07-28,479.9,525,479.9,490,13957
2022-07-29,482.1,506.8,472.5,498,7387
2022-07-31,507.9,519.9,501,515,10100
2022-08-01,524,524,495.2,509,9854
2022-08-02,498.9,559.8,498.9,559.8,28781
2022-08-03,560,615.7,560,615.7,23572
2022-08-04,603.4,664,580.2,648.9,17421
2022-08-05,636,636,584.2,612,17952
2022-08-07,600,649.3,577.1,591,27559
2022-08-08,602.8,620,580.1,603,13459
2022-08-09,603,603,553,569,11242
2022-08-10,558,569.1,548,552,10493
2022-08-11,563,563,525.1,525.1,11079
2022-08-14,516,537.9,515,537.9,5270
2022-08-15,528.1,585,518,576,11770
2022-08-16,564.5,584,540,560,7677
2022-08-17,548.8,554,528,531.2,8126
2022-08-18,538,556,525.4,536,11065
2022-08-21,545,545,527,530,3573
2022-08-22,530,560,520,560,4322
2022-08-23,548.8,548.8,535,538,4130
2022-08-24,528.1,543,527,534.9,3930
2022-08-25,525.2,535,515.8,519,4691
2022-08-26,509.3,513.9,500.3,506.1,3425
2022-08-28,500,516,486,486,3743
2022-08-29,486,496,467.7,485,2055
2022-08-30,485,514.5,470.5,470.5,2455
2022-08-31,470,497,460,464,3304
2022-09-01,464,470,451,455,1526
2022-09-02,464,482.6,451,460,720
2022-09-04,455,470,455,455,1530
2022-09-05,455,468,450.2,460,3881
2022-09-06,454.1,456.9,446,446,1167
2022-09-07,440,459,440,458,2285
2022-09-08,456,469.2,446.9,460,4677
2022-09-11,451,469,450,459.8,870
2022-09-12,450.7,455,441.7,455,2869
2022-09-13,454.9,464.1,450,450,2697
2022-09-14,446,475,446,472,3977
2022-09-15,474,475,452,454,7364
2022-09-16,445.1,463,441,456,2692
2022-09-18,449.3,458,443.1,443.1,4946
2022-09-20,442,453.9,436,439,9186
2022-09-21,435,482.9,433.5,482.9,16304
2022-09-22,473.3,531.1,461.1,531.1,14284
2022-09-25,521,552,484,508.8,17587
2022-09-27,498.7,539,475,485,9872
2022-09-28,475.3,504,450,504,4586
2022-09-29,494,494,453.6,464,25501
2022-10-09,454.9,472.9,450,467,5100
2022-10-10,458,476.3,450,458,1960
2022-10-11,448.9,450,439,441,3048
2022-10-12,441,455.8,433,440.1,2703
2022-10-13,448,448,431,435,2980
2022-10-16,430,430,413.6,421,3010
2022-10-17,421,424,413,424,1072
2022-10-19,417,417,392,398,5935
2022-10-20,395,402.7,384.9,399,700
2022-10-23,392,404.9,390,399.9,1982
2022-10-31,400,400,387,396,888
2022-11-01,398.9,422,396,416,5709
2022-11-02,409,432,409,419,5621
2022-11-03,412,424.8,405,405,2578
2022-11-06,410,420,406,415.3,1210
2022-11-07,416,427,410,415,5182
2022-11-08,408,419,403,411,2250
2022-11-09,402.8,405,394.8,396,2246
2022-11-10,396,396,384.9,390,5255
2022-11-13,390,392,375.5,385.1,1137
2022-11-14,377.5,400.5,377.5,399,2243
2022-11-15,392.2,410,386,394,5013
2022-11-16,401.6,409,397,405,3929
2022-11-17,405,428,405,428,7173
2022-11-22,430,430,411.7,414,3192
2022-11-23,405.9,414,404,404,2475
2022-11-24,396,413,396,409.6,1620
2022-11-27,401.5,428,401.5,410,4980
2022-11-28,415,415,405,411,3158
2022-11-29,402.8,418,396.1,417,2005
2022-11-30,409,415,407.1,415,1999
2022-12-01,407,420,400,418,1490
2022-12-04,409.7,420,409.7,411,1540
2022-12-05,404,412,403,409.9,1024
2022-12-06,408,408,398,400,1455
2022-12-07,392,405,392,393,1870
2022-12-18,385.3,392,371.1,378,4465
2022-12-19,383,383,370,375,2067
2022-12-20,368,380,368,375,1086
2022-12-21,368,380,368,370,1270
2022-12-22,362.7,382.5,362,362,3043
2022-12-26,369.2,388,367.2,387.3,2265
2022-12-27,395,412,391,411,4841
2022-12-28,402.8,416.1,395,412,3167
2022-12-29,403.8,428,395.8,428,5340
2023-01-01,432,439.9,412,424,9233
2023-01-02,415.8,430,415.8,430,6248
2023-01-03,438.5,438.5,421.5,423,8584
2023-01-04,423,463,421,459,10879
2023-01-05,459,468.1,445,463,5099
2023-01-08,466,475,454,456.6,7873
2023-01-09,462,474,454,474,7858
2023-01-10,483.4,499,449,466.1,14543
2023-01-12,461,474.3,431.2,439,9140
2023-01-17,439,474,430.3,457,8498
2023-01-18,460,474.8,452.5,452.5,7049
2023-01-19,445,463,440,458,4715
2023-01-23,458,467,448.9,454,8749
2023-01-24,456,456,440.1,452.8,2485
2023-01-25,450,471,447.1,465,6680
2023-01-26,468,489,465,475,7442
2023-01-29,466,500,465,497,18719
2023-01-30,490,490,468.7,471.5,6252
2023-01-31,465,480,457.1,464,7554
2023-02-01,457.1,476,457.1,467.2,3945
2023-02-02,465,473,460.1,467.9,3420
2023-02-05,458.7,470,449.8,464,2724
2023-02-06,460,460,451.6,457,3139
2023-02-07,449.1,474.7,449.1,473,1706
2023-02-08,464,495,464,479,4856
2023-02-09,474,480,469.1,469.5,5663
2023-02-12,460.2,509,442.1,487,27047
