timestamp,open,high,low,close,volume
2022-10-17,194.8,214.2,194.8,214.2,950
2022-10-19,218.4,235.6,218.4,235.6,4133
2022-10-20,240.3,259.1,240.3,259.1,4194
2022-10-23,264.2,285,264.2,285,1430
2022-10-31,290.7,313.5,290.7,313.5,9267
2022-11-01,319.7,326,284.2,312,25937
2022-11-02,318.2,324,301,314.9,8948
2022-11-03,313,314,302,310,2800
2022-11-06,303.8,316,300,314.9,3509
2022-11-07,309,320.5,307.3,310.8,3785
2022-11-08,304.7,310,301.3,310,4134
2022-11-09,304.1,307.5,296.1,305,2350
2022-11-10,299,305,296,302.9,2710
2022-11-13,296.9,305,291.1,299.9,1750
2022-11-14,294,306.5,290.3,300.1,1270
2022-11-15,300,312.1,290.2,306.1,6202
2022-11-16,312.2,316.2,300.9,316.2,5400
2022-11-17,322,347.8,316,347.8,7612
2022-11-22,354.7,382.5,341,361,12334
2022-11-23,362,365,347.6,365,9855
2022-11-24,365,375.3,357,375.3,3276
2022-11-27,367.8,376,362,376,3780
2022-11-28,381,381,362.6,363,2909
2022-11-29,356,370,356,367,1330
2022-11-30,360,364,355,364,1890
2022-12-01,364,371.2,355,355,4035
2022-12-04,350,378.7,350,353,5590
2022-12-05,347.1,365,347.1,364,2589
2022-12-06,360,362,354,356,1340
2022-12-07,350.6,359.1,350.6,359,3060
2022-12-11,351.9,362,346,350,2720
2022-12-12,343,357,343,352,1600
2022-12-13,345.1,352,345.1,350,780
2022-12-14,345,362,345,358,2642
2022-12-15,358,361,344.3,350,3790
2022-12-18,343.1,350,335,349,2320
2022-12-19,342.1,347,335.3,347,1725
2022-12-20,340.1,350,336,349.9,1365
2022-12-21,353.9,353.9,335,339.9,2510
2022-12-22,333.6,373.8,333.6,358,3110
2022-12-26,350.9,365,346,364,3049
2022-12-27,370,371.2,350.2,365,9845
2022-12-28,365,365,350,359,3060
2022-12-29,352,373,345,372,5102
2023-01-01,371,390,360,369,7760
2023-01-02,361.7,383.5,360,375,2160
2023-01-03,382.5,385,366.1,378,12100
2023-01-04,375,410,375,400,4586
2023-01-05,395,425,388,425,5825
2023-01-08,416.5,435,403.2,412,4695
2023-01-09,410,419.8,398,416,7575
2023-01-10,424.3,430,385.4,390,11942
2023-01-12,397.8,410.9,388,388,14067
2023-01-17,390,421.2,382.2,419,5774
2023-01-18,412,447,407.7,417,17334
2023-01-19,409,415,395,407.8,5668
2023-01-23,399.7,416,399.7,401.3,4575
2023-01-24,395,410,390,410,5004
2023-01-25,402,430,402,418.2,7544
2023-01-26,410,446.7,410,439.9,8963
2023-01-29,431.2,483.8,420,483,22851
2023-01-30,480,518.1,446,455,15662
2023-01-31,447,475,440,462.1,9451
2023-02-01,453.7,495,453.7,487,15329
2023-02-02,495,510,469,492.9,19418
2023-02-05,492,494,465.1,475,7161
2023-02-06,466,470.1,455,464,6277
2023-02-07,463,481,457,481,4904
2023-02-08,486,487,456,470,12304
2023-02-09,470,488.9,457.6,483,8975
2023-02-12,474,506,468,497,26647
2023-02-14,488,520.2,488,499.9,9108
2023-02-15,490,515,485,487,2480
2023-02-16,479.1,486,471.2,480,6952
2023-02-20,471.5,474,455,470,4853
2023-02-22,469,494,465.1,482,3840
2023-02-23,472.4,499,453.9,460,4210
2023-02-26,451,468,442,450,6923
2023-02-27,442.1,478.6,425,449,12545
2023-02-28,457,473,443,459.6,3891
2023-03-01,452,460,451.1,459.9,650
2023-03-02,462.9,462.9,445,445,2825
2023-03-05,440,445,430,438.6,3731
2023-03-07,447.3,447.3,432.1,434.2,740
2023-03-09,442,467.1,433.2,460,3346
2023-03-12,451,461,444,450,5106
2023-03-13,441,444,434.2,444,1619
2023-03-14,438,460.8,436.2,450,2360
2023-03-15,450,451.1,441.1,448,2682
2023-03-16,439.1,456.8,439.1,455,1320
2023-03-19,446.1,460,440,458,3730
2023-03-20,459,463.5,451,460,3323
2023-03-22,451,452.2,442.2,449,2435
2023-03-23,449,449,428.5,438,6680
2023-03-26,430,436,422.3,429,4560
2023-03-27,420.6,433,420.6,433,2715
2023-03-28,424.7,440,424.7,435,2570
2023-03-29,426.4,443,425,442.4,1210
2023-03-30,433.7,441.9,427,440,1654
2023-04-02,440,448.8,418.6,425,2835
2023-04-03,418.1,425.3,412,422.2,1400
2023-04-04,429.9,429.9,414,422,517
2023-04-05,413.6,429.5,406.7,426,455
2023-04-06,417.7,425,410.6,411,1413
2023-04-09,403,410,395,398,2160
2023-04-10,390.5,400,386,395,1710
2023-04-11,395.1,405,392,392,1920
2023-04-12,393,431.2,393,428.8,4255
2023-04-13,420.3,445,412.2,416,3262
2023-04-16,408,420,402,411.2,580
2023-04-17,405.3,410,400.1,408,907
2023-04-18,400,408.1,400,405,500
2023-04-19,405,417.5,400,417.5,800
2023-04-20,425,425,405.1,405.6,734
2023-04-23,397.5,405,396,396,1500
2023-04-24,388.5,405,388.5,405,1430
2023-04-25,397,417.8,393,417.8,1415
2023-04-26,415,415,399,408,2440
2023-04-27,399.9,401.5,393,395,2926
2023-04-30,390,395,387.3,393,790
2023-05-02,391,391,381,387,1133
2023-05-03,379.3,390,374.5,376.5,630
2023-05-04,370.2,414,370.2,408,922
2023-05-07,399.9,399.9,379.9,384.9,796
2023-05-08,377.3,380,369.9,374,1027
2023-05-09,367,389,367,368.1,760
2023-05-10,368.1,390.4,354,375,290
2023-05-11,370,377,368,368,837
2023-05-14,360.7,367,355.2,360,410
2023-05-15,353,367.2,353,367,430
2023-05-16,359.7,360,355,360,120
2023-05-17,353,370,353,370,1132
2023-05-18,365,387.9,365,387,2062
2023-05-21,387,394.6,381.3,392,2172
2023-05-22,385,385,376.8,384.5,2160
2023-05-23,384,402,384,402,4334
2023-05-24,400,408,388.2,398.8,1400
2023-05-28,406.6,430,389,389,3339
2023-05-30,381.6,381.9,360.7,360.7,2679
2023-05-31,360.6,394,360,368.9,2030
2023-06-01,368,380,355,366.1,480
2023-06-04,368,387,368,385,1985
2023-06-05,380,385,373.1,380,430
2023-06-06,372.4,384,372.4,384,1482
2023-06-07,384,400,384,385,2972
2023-06-08,378,388,378,388,1740
2023-06-11,380.5,396.2,380.5,395,2932
2023-06-12,387.1,390,380.6,390,1770
2023-06-13,382.5,404.9,382.5,400.1,3105
2023-06-14,397,418.8,397,403,5886
2023-06-15,410.8,411,388,400.9,4811
2023-06-18,395,429.8,395,424,4090
2023-06-19,415.6,423.9,411.1,423.9,5001
2023-06-20,420,430,401.9,414,1670
2023-06-21,406,414,398,405,2894
2023-06-22,396.9,399,388.5,391,4160
2023-06-25,385,398,376.6,390,5437
2023-06-26,391,402,383.1,383.1,5721
2023-06-27,390.7,398.5,378.8,390,1124
2023-06-28,390,408,380,408,4127
2023-07-02,399.9,404.8,376,386,4468
2023-07-03,378.8,390,365.1,365.1,4240
2023-07-04,363.1,385.2,363.1,376,512
2023-07-05,372,383,362,364,2810
2023-07-06,357,370,351,355.8,3565
2023-07-09,351,370.2,351,368,3680
2023-07-10,361.1,383,357.7,362.1,4254
2023-07-11,355,365,350.6,364,3025
2023-07-12,357.1,381.9,357.1,380,1840
2023-07-13,387.5,390,359.1,376,2640
2023-07-16,368.5,368.5,357.3,365,440
2023-07-17,357.7,379,351.1,375,1820
2023-07-18,367.5,379,361.1,375,1960
2023-07-19,382,382,355,377,3083
2023-07-20,369.5,375,356,359,3749
2023-07-23,352,384,352,380,3256
2023-07-24,372.4,386.5,370,382,5244
2023-07-25,382,389,365,369,3201
2023-07-26,374.4,379,365,365,2008
2023-07-27,372.2,372.2,357.1,367,2960
2023-07-30,360,372.9,358,364,3140
2023-07-31,357.3,371,357.3,367,1067
2023-08-01,359.8,374.3,354.2,364,1785
2023-08-02,356.8,378,353.9,378,1560
2023-08-03,385.5,385.5,364.1,370,1080
2023-08-06,377,377,351,359,1180
2023-08-07,366.1,379,346,346,3540
2023-08-08,346,373.3,340.6,343,1216
2023-08-09,343,360.9,337.3,360.9,1658
2023-08-10,353.7,365.9,347.1,365.8,1542
2023-08-13,358.5,367,346,365,1718
2023-08-14,357.7,359,347.4,359,1906
2023-08-15,351.9,368,341.4,361,7596
2023-08-16,353.8,353.8,333.9,353.7,3848
2023-08-17,356.5,356.5,336,352,1282
2023-08-20,345,351,332.6,335,370
2023-08-21,341.7,353,322.1,344.7,1728
2023-08-22,340,348,329,346.8,2763
2023-08-23,352,352,333.4,349,589
2023-08-24,342.1,348.9,335.5,348,1090
2023-08-27,341.1,341.8,334.4,341,755
2023-08-28,334.2,341,321,335.9,3282
2023-08-29,329.4,332,323.5,332,614
2023-08-30,326,335,320.5,332.8,416
2023-09-03,326.2,328,317.2,318,340
2023-09-04,317.2,319,311,318,1629
2023-09-05,311.9,320,311.8,311.8,855
2023-09-07,305.7,317.4,294,317.4,1490
2023-09-10,312,322.5,301,319,1000
2023-09-11,313,342.9,307.1,342.9,2665
2023-09-12,336.1,336.1,320.1,335.9,4259
2023-09-13,329.2,341.9,324,341.9,1189
2023-09-17,339.1,339.1,318,339,950
2023-09-19,332.3,345.6,319.3,344,4086
2023-09-21,350,375,340,371.2,7795
2023-09-24,363.8,363.8,350.2,359,1986
2023-09-25,352,394.8,352,391.6,16004
2023-09-26,384,423,384,410.2,16806
2023-09-27,402,405,385,390,4475
2023-10-01,390,429,386,429,55681
2023-10-02,437.5,471.9,437.5,471.9,31904
2023-10-03,479.9,517,462,493,17935
2023-10-04,483.2,536,464.7,485,32733
2023-10-05,476,518,465,467,19446
2023-10-08,476.3,513,443.2,480,33625
2023-10-09,480,513,480,513,22385
2023-10-10,502.8,550,495,495.2,14984
2023-10-11,485.3,544,485.3,544,26004
2023-10-12,533.2,598,495,598,31501
2023-10-16,586.1,586.1,538.2,538.2,2582
2023-10-17,527.5,527.5,496,516.1,16178
2023-10-18,506,557,496.1,503.4,14940
2023-10-19,495,510,477.1,477.1,8098
2023-10-29,486.6,507.6,478,494.6,10215
2023-10-30,504,504,471,503,1824
2023-10-31,493,510.1,472.1,510.1,8940
2023-11-01,499.9,558,480.2,558,12892
2023-11-02,547,547,502.2,502.2,4840
2023-11-05,493,502.1,460.1,485,1550
2023-11-06,493,493,475,476,4020
2023-11-07,485.5,505.1,470.2,480,5889
2023-11-08,485,485,450,474,11193
2023-11-09,464.6,507,443.1,507,14161
2023-11-20,496.9,496.9,456.3,456.3,25055
2023-11-21,447.2,483,434,480,14185
2023-11-22,489.6,489.6,432,440.9,37423
2023-11-23,432.3,442,418.1,433.5,12084
2023-11-26,425.1,439.6,422.5,428,12066
2023-11-27,420,428,411.6,419,16410
2023-11-28,419.9,427,396,409,30149
2023-11-29,409,411,402,408.9,4042
2023-11-30,401.2,409.9,392,392,12577
2023-12-03,385.4,406,385.4,391.2,4327
2023-12-04,386,406,386,400,14133
2023-12-05,403,403,389.9,389.9,5192
2023-12-06,397.6,402,382.2,385,4865
2023-12-07,392.7,394.7,384,386.9,8421
2023-12-10,394.6,418.2,394.6,415,4195
2023-12-11,420,426,390,404.9,27131
2023-12-12,412.9,415,399.1,407.1,21812
2023-12-13,415,432,412,430,21100
2023-12-14,421.4,450.8,421.4,438,13846
2023-12-17,439,457.9,430,448,16501
2023-12-18,456.9,466,435,440,22878
2023-12-19,447,447,422.9,438,11835
2023-12-20,438,446,428,432,11392
2023-12-21,424,435,416,418.7,8985
2023-12-24,420.1,460.5,420.1,460.2,34336
2023-12-27,461,501,461,489,34066
2023-12-28,489,499.8,475.3,478.5,11231
2024-01-01,488,488,455,455,12536
2024-01-02,449,460,449,453,7858
2024-01-03,445.2,480,445.2,475,7020
2024-01-04,484,493,469.1,470,12390
2024-01-07,475,480,452,458,11810
2024-01-08,467.1,482,449,473,10794
2024-01-09,473,493,461.1,467.1,18067
2024-01-10,476.4,476.4,455.8,465,6362
2024-01-11,461.2,482.1,461.2,477,8234
2024-01-14,481,515,481,501,23231
2024-01-16,505,512,491.1,500,10431
2024-01-17,500,509,466.1,467.1,13699
2024-01-18,461,491.6,461,479.6,10457
2024-01-21,480.1,483,466.1,473,10220
2024-01-22,464.1,470,456.1,462,7660
2024-01-23,471.1,471.1,445,454.9,3989
2024-01-24,447,464.1,447,452.1,4769
2024-01-25,444,478,444,458.9,4751
2024-01-28,459,469,452,469,2157
2024-01-29,469,477.5,460,472.9,2945
2024-01-30,482,482,472.5,481.9,8458
2024-01-31,481.8,491.5,463.5,468.1,5806
2024-02-01,468,468,460.5,462.1,2500
2024-02-04,453,460,453,460,1732
2024-02-05,456,469,456,461.1,1540
2024-02-06,454,470,454,460,1113
2024-02-07,460,487.4,460,480,7330
2024-02-08,477,508.9,473.9,508.9,22965
2024-02-11,499,517.59,499,500,15081
2024-02-12,507.9,535,495,525,16659
2024-02-13,530,530,510.7,520,20960
2024-02-14,530,551,512,523.4,11044
2024-02-15,516.1,530,500,508.9,12977
2024-02-18,518.8,529.1,485,490,14924
2024-02-20,496,496,476,484,11696
2024-02-21,475,502,475,479.5,9729
2024-02-22,479,497,462.1,463,4616
2024-02-25,470,479.4,452,470,5493
2024-02-26,479,480,461,480,7080
2024-02-27,471.6,479,470,475,4590
2024-02-28,475,484,466,473,6050
2024-02-29,473,482.4,451.1,457,5068
2024-03-03,448.1,466.1,448.1,457,1550
2024-03-04,466.1,475.4,466.1,475.4,30
2024-03-05,484,484,456.2,465.3,7869
2024-03-06,457.3,474.1,457.3,465,3443
2024-03-07,474.3,483.5,468.1,479,3800
2024-03-10,487,496,475,480,2945
2024-03-12,480,484,467.5,476,5140
2024-03-13,485,485,470,482,2952
2024-03-14,485,491,471.9,473,1581
2024-03-17,480,480,461.1,466,5806
2024-03-18,475.3,483,456.5,472,2341
2024-03-19,478,490,463.5,473.9,4364
2024-03-20,483,492,465,469,1704
2024-03-21,478,478,460.2,465,3114
2024-03-25,457.3,474,456,456,4975
2024-03-26,465,471.5,455.7,470.9,5303
2024-03-27,465,469,463,465,2512
2024-03-28,457,471,457,471,2666
2024-03-31,464,482.6,464,479.9,6178
2024-04-01,489,489.5,476.1,480.6,7060
2024-04-02,488,488.6,478.3,485.8,5342
2024-04-03,476.1,480.5,469,480.5,3190
2024-04-04,472,478,472,472.3,5135
2024-04-07,470,475,463,469.8,3205
2024-04-09,470,475.8,465,469,7795
2024-04-10,478,487.8,466,473.9,6453
2024-04-14,465.5,483,465.5,473.9,2130
2024-04-15,473.9,476.1,468.3,472,3108
2024-04-16,470,472,463.9,470,3885
2024-04-18,470,479,461.2,469.9,2300
2024-04-21,460.6,469,457.2,469,2530
2024-04-22,461,474,460.8,461,2460
2024-04-24,461,469.9,458,460,2389
2024-04-25,459,463.9,457.2,463,2937
2024-04-28,457.1,467.1,457.1,467.1,3795
2024-04-29,460,464,460,460,1597
2024-04-30,451.1,477,451.1,468,3700
2024-05-02,460,476.9,460,468,2740
2024-05-05,459,467.9,443,450,5300
2024-05-06,450,454,445,454,3519
2024-05-07,450,458,450,458,1331
2024-05-08,449,458,448.9,457.7,767
2024-05-09,450,457,449.5,453.2,1263
2024-05-12,460,474.8,451,468,1856
2024-05-13,458.7,476.7,456.5,460,1825
2024-05-14,460,475,459.7,474,3360
2024-05-15,477,477,463.5,467,3225
2024-05-16,467,470,452.3,465,3080
2024-05-19,459,470,459,465,2285
2024-05-20,474.3,484,466,474.9,5047
2024-05-21,483.3,503,483.3,502.8,21779
2024-05-22,501.2,509.9,500,501.6,13098
2024-05-26,503,503,481.2,489.8,8558
2024-05-27,481.1,503.8,477.1,493,10815
2024-05-29,502,531,484,495,11876
2024-05-30,504,513,486.1,500,8156
2024-06-02,505,510,494,508,7837
2024-06-03,499.6,506,495.1,495.8,4592
2024-06-04,486,505.7,486,490,3206
2024-06-05,499.1,499.1,480.3,482.8,3210
2024-06-06,482,502,482,494.7,7373
2024-06-09,503,544,500,539,37565
2024-06-10,539,585.4,539,553,28842
2024-06-11,550,570,550,558,10105
2024-06-12,558,567,533,533,17795
2024-06-13,543,546,525.4,534,12612
2024-06-16,536,552,532,541.9,10718
2024-06-18,535,545,531.2,539,5928
2024-06-19,539,546.1,534.1,543.5,8073
2024-06-20,554.3,554.3,533.2,534,6215
2024-06-23,528.5,539,528.5,537.5,4345
2024-06-24,547,559,540.6,557,14644
2024-06-25,567.8,583,563,578,13715
2024-06-26,575,580,560,561.2,11171
2024-06-27,565,567,550,554,15146
2024-06-30,555,580,555,564,7333
2024-07-01,569,569,556,564,3475
2024-07-02,575.2,586,564,572.1,13988
2024-07-03,560.9,569.7,555,569.7,10517
2024-07-04,558.5,573,558.5,564.6,4225
2024-07-07,564,569,555,562,6272
2024-07-08,562,570,556.3,558,5408
2024-07-09,552,569.1,552,566,8999
2024-07-10,561,575,561,572,5422
2024-07-11,573,585,573,583,12917
2024-07-14,594,605,580,586.2,9169
2024-07-15,595,606,585,599.9,17255
2024-07-16,605,649,605,630,19527
2024-07-17,642.6,655,618,630,20315
2024-07-18,642.6,642.6,615,615,22047
2024-07-21,605.1,627.3,605,623.9,11969
2024-07-22,636,636,611.1,629.9,6538
2024-07-23,640,642,620,630,16975
2024-07-24,630,642.6,617,634,17678
2024-07-25,646.6,646.6,625,625.1,9509
2024-07-28,637.6,662,612.5,620,5010
2024-07-29,620,642.6,617.4,628,13663
2024-07-30,624,650,624,641,12851
2024-07-31,650,702,640.2,675,25301
2024-08-01,661.5,690,655.1,662.1,16592
2024-08-05,650,690,630,680,28283
2024-08-06,692,720,646.8,670,38307
2024-08-07,669,715,661,693,11348
2024-08-08,706.8,706.8,669.6,680,19292
2024-08-11,666.4,698.6,666.4,696,20120
2024-08-12,698,719,687.5,698,24079
2024-08-13,698,714,690.1,698,14261
2024-08-14,700,725,675,703.1,20231
2024-08-15,706,748,706,717,19165
2024-08-18,705,705,685,699.8,9688
2024-08-21,685.9,712.9,672,680,8480
2024-08-22,667.5,705,666.5,670.1,13263
2024-08-25,680,697,651.8,663.9,13078
2024-08-27,663,664.1,624.1,635,10421
2024-08-28,630,670,625,650,8864
2024-08-29,662,662,637,637.2,5410
2024-09-01,645,660,626,652,4281
2024-09-02,665,678,628,669.9,5902
2024-09-03,669.9,688,657,670,8075
2024-09-04,683.4,683.4,635.1,659,5305
2024-09-05,645.9,669.8,633,650,3375
2024-09-08,643,662.8,643,660,4885
2024-09-09,647,659.9,635.1,637.8,2825
2024-09-10,650,685,639,642,4905
2024-09-11,640.5,666.9,639,655,2356
2024-09-12,642,693,640.1,686,14291
2024-09-15,686,720,680,685,21379
2024-09-16,698,710,662,674.9,7675
2024-09-18,674,688,661.2,682,4300
2024-09-22,685,750.2,684,730,31779
2024-09-23,744,745,701.1,708,15361
2024-09-24,701,720,660.3,677.9,6494
2024-09-25,691.4,709.9,663.4,709.9,7899
2024-09-26,710,720,678.2,678.2,6161
2024-09-29,664.7,678,640,641,14365
2024-09-30,653.8,653.8,625.2,625.2,7725
2024-10-01,612.7,680,612.7,672,3147
2024-10-02,658.6,668,628,664,15248
2024-10-06,650.8,726.8,642,692,7275
2024-10-07,700,700,670,687,5028
2024-10-08,697.9,697.9,657,675,8289
2024-10-09,688.5,694,655.1,660,2236
2024-10-15,660,690,660,674.9,3021
2024-10-16,687,690,663.9,674.9,3956
2024-10-17,688,688,662,678.3,9244
2024-10-20,670,682,652.2,667.9,4671
2024-10-21,655,667.9,640,645,3032
2024-10-22,657,662.8,646,650,2585
2024-10-23,661.9,670,638,666.9,9372
2024-10-24,655.5,678.3,655.1,658,6040
2024-10-27,658,680,654.9,677,8045
2024-10-28,684.9,684.9,659,681,6952
2024-10-29,673.2,693.9,673.1,689.9,4430
2024-10-30,680,682.9,665,665,3771
2024-11-05,665,678.3,661.2,667,1270
2024-11-06,665,688.5,661,673.8,3085
2024-11-10,674,717,666,703,14787
2024-11-11,717,730.9,689,699.9,6495
2024-11-12,709,740,694.9,717,9157
2024-11-13,703,739,701,738.9,8948
2024-11-14,725,785.4,725,785.4,15339
2024-11-17,801.1,863.9,770,796,18745
2024-11-19,811,843,796,809,22309
2024-11-20,824,824,793,804,7720
2024-11-21,800,805,755,774,10076
2024-11-24,770,780,750.3,757,6114
2024-11-25,769,772,751,757,8335
2024-11-26,749.2,785,749.2,770.1,3290
2024-11-27,785,800.7,773,789,6452
2024-11-28,804.7,820,760,780.3,7522
2024-12-01,776,779.9,760,760,5991
2024-12-02,775,799.9,760,760,4601
2024-12-03,775.2,790.7,760,785,6450
2024-12-04,788,799,775.9,776,8483
2024-12-05,787.9,791,770,791,8552
2024-12-08,797.7,799.9,770,782.9,6049
2024-12-09,782.9,782.9,761.1,775,3280
2024-12-10,790.5,790.5,765.4,767.1,5134
2024-12-11,762.2,801,762.2,795,7966
2024-12-12,810.9,810.9,770,785,5589
2024-12-16,769.5,830,768,783.9,6668
2024-12-17,768.3,783,768,775,1174
2024-12-18,761.2,800,761.2,794,10364
2024-12-19,779.1,781.2,766.1,776,4365
2024-12-22,772,789,766,786.9,10118
2024-12-23,790,865,790,855.5,48413
2024-12-24,856.1,870,826.2,839.9,10143
2024-12-26,828.2,830,808,825,8841
2024-12-29,809.1,810,760.1,810,16984
2024-12-31,794,809,763.1,789,13104
2025-01-01,804.7,820,758,780,7245
2025-01-02,765.1,794,765.1,789,6091
2025-01-05,773.3,816,773.3,799.9,12337
2025-01-06,805,815,793.2,812,9391
2025-01-07,801.4,828,801.4,806,11320
2025-01-08,790,850,790,840,13445
2025-01-09,841,850,811,828.9,9508
2025-01-12,815.2,840,815.2,829,3917
2025-01-13,817.2,823,790.7,805,10237
2025-01-15,812.9,830,801,820.1,7948
2025-01-16,811,884,811,860,13494
2025-01-19,860,874,830.5,849,10386
2025-01-20,833,865,827,843,8483
2025-01-21,830.2,863,830.2,850,22911
2025-01-22,860,866,846,846,11888
2025-01-23,841,857,836.1,850,11097
2025-01-26,845.1,922,842,898,21448
2025-01-27,882,897,867.9,875,6820
2025-01-28,885,909,872.2,872.2,12654
2025-02-02,889.5,905,877,880,14533
2025-02-03,880.1,907,870.1,890,11016
2025-02-04,900,900,873.2,890,4956
2025-02-05,875.2,895,872.2,879,9267
2025-02-06,865.3,882,865.3,866,6082
2025-02-09,866,898.8,855,860.1,9265
2025-02-10,858,872,858,859,6235
2025-02-11,859,865,848.1,859.6,5278
2025-02-12,859,865,847,855,6069
2025-02-13,838.1,865,838.1,845,4733
2025-02-16,847,864,833,852,4038
2025-02-17,852,871,852,865,8056
2025-02-18,881,896.9,855.3,860,6953
2025-02-20,855,860,842.1,842.1,6305
2025-02-23,830,849,820,839,4021
2025-02-24,823.2,855,823.2,829,3380
2025-02-25,830,842,820,841,3477
2025-02-27,835,843,824,843,5735
2025-03-02,827,847.4,827,845,5671
2025-03-03,860,860,825.1,825.1,5233
2025-03-04,809,839,809,833,1755
2025-03-05,816.5,829.9,809.1,809.1,3974
2025-03-06,808,825,806,818,4014
2025-03-09,812,813,789,804,3375
2025-03-10,792,816,790.3,812,3195
2025-03-11,825,825,781.1,795,2843
2025-03-12,781.1,800,771,790,4405
2025-03-16,775,795,766,780,2125
2025-03-17,780,802.9,773,790,2724
2025-03-18,782,787,756.6,764,4020
2025-03-19,764,807.9,764,781.3,4260
2025-03-20,766,781,766,776.58,1010
2025-03-23,761.5,761.5,719.6,726.23,4755
2025-03-24,726,770,712.5,748,3185
2025-03-25,733.1,762.5,708,731.71,2159
2025-03-26,725,760.9,725,753.96,1936
2025-03-27,738.9,799,738,798.7,2341
2025-03-30,785,795,749,767.66,8366
2025-04-01,752.4,812,752.4,799.48,3035
2025-04-02,783.5,790.3,765,790.3,3257
2025-04-03,775.1,783,762,765.19,2017
2025-04-07,750.1,826,735,797.93,2020
2025-04-08,782,789.9,737,769.39,1985
2025-04-09,770,770,761.1,762,450
2025-04-10,761,761,740,746.16,2830
2025-04-13,735,773.9,735,768.19,1378
2025-04-15,755,783,753,768.1,1940
2025-04-16,757,767,755.2,758.23,1022
2025-04-17,750.2,770,746,752.73,3367
2025-04-20,750,765,750,756.69,1928
2025-04-21,744,767,735.1,751.77,3950
2025-04-22,766.8,766.8,741,743.3,2450
2025-04-23,743,743,733,740,475
2025-04-24,727.6,740.2,725.2,726.85,2116
2025-04-27,718,741,700,705.24,5724
2025-04-28,700,770,700,711.24,1355
2025-04-29,711,721,711,714.64,2616
2025-04-30,704,725,704,711.69,1906
2025-05-04,701,712,693.1,696.85,8022
2025-05-05,688.1,712.8,688,695.48,1850
2025-05-06,700,709,654.7,705.93,4382
2025-05-07,691.9,720,691.9,712,3749
2025-05-08,698,715,698,698.83,645
2025-05-11,695,705,695,696.72,3553
2025-05-13,696,721.1,690,692.02,1537
2025-05-14,705.8,705.8,691.7,692,2605
2025-05-15,704,717.7,683,689.52,2280
2025-05-18,676,700,663.3,699.16,3237
2025-05-19,685.3,708,685.3,706.5,6515
2025-05-20,692.4,712,680.2,711.18,3610
2025-05-21,725,725,692.2,700,1561
2025-05-22,686.3,700,686.3,687.93,3286
2025-05-25,675,700,665.2,685.99,4695
2025-05-26,680,682,673,673,3544
2025-05-27,661,693.6,661,665,980
2025-05-28,665,680.3,664,670,2120
2025-06-02,661.1,676.2,641,653,2929
2025-06-03,640,689.7,640,663.62,3190
2025-06-04,650.4,668,650.4,665,260
2025-06-05,655,668,655,661.25,450
2025-06-08,650.1,688.5,650.1,683.84,3396
